County	X
Grand Total	4,495
ALACHUA	99
BAKER	4
BAY	36
BRADFORD	0
BREVARD	76
BROWARD	438
CALHOUN	1
CHARLOTTE	82
CITRUS	53
CLAY	47
COLLIER	89
COLUMBIA	18
DESOTO	4
DUVAL	234
ESCAMBIA	115
FLAGLER	20
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	1
HERNANDO	54
HIGHLANDS	54
HILLSBOROUGH	256
HOLMES	3
INDIAN RIVER	19
JACKSON	18
LAKE	79
LEE	138
LEON	39
MADISON	1
MANATEE	64
MARION	58
MARTIN	17
MIAMI-DADE	808
MONROE	4
NASSAU	8
OKALOOSA	53
OKEECHOBEE	9
ORANGE	199
OSCEOLA	101
PALM BEACH	271
PASCO	126
PINELLAS	205
POLK	147
PUTNAM	10
SANTA ROSA	16
SARASOTA	138
SEMINOLE	60
ST. JOHNS	19
ST. LUCIE	57
SUMTER	24
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	103
WALTON	8
WASHINGTON	11
