FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
21,21,41,081,MANATEE,Manatee,FL,15358,254,311,834,1400,1563,2004,2928,3253,2012,696,103,0 to 119,59,8747,6297,314,15113,245,0,612,14136,177,1200,45,1309,14045,4,0,15109,1240,59,10,0,706,591,2,1299,18,46,104,175,189,192,191,164,143,87,0,0 to 101,51,859,209,108,123,405,727,167,169,2,235,2,2,114,1309,596,711,1299,10,0,23668,235,25222,23903,1309,114,255,157,57,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,8206,119,200,610,944,1137,1340,1473,1300,758,304,21,0 to 101,53,4741,3354,111,8186,20,0,108,7744,130,478,46,429,7776,1,0,8185,366,60,3,0,250,176,0,426,0,5,25,44,55,63,77,76,53,31,0,6 to 95,58,242,87,43,54,37,318,71,126,0,95,0,0,32,429,177,252,426,3,0,11854,17,12305,11871,429,32,251,218,59,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,914,21,45,114,166,113,118,132,118,61,26,0,0 to 94,44,513,384,17,908,6,0,40,615,2,211,4,177,736,1,0,907,158,15,4,0,82,91,0,173,3,10,26,43,24,22,17,19,8,5,0,0 to 88,37,109,47,15,2,102,69,2,34,3,21,3,1,0,177,94,83,173,4,0,1230,2,1410,1232,177,0,309,223,50,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,13645,152,184,840,1519,1593,2011,2407,2572,1677,665,25,0 to 168,57,8342,5251,52,13619,26,0,4054,9170,177,2680,137,299,13065,0,281,13338,273,21,4,1,167,127,0,294,5,6,19,42,55,52,57,36,20,7,0,0 to 97,49,208,58,19,9,58,227,9,57,3,43,0,0,8,299,128,171,294,5,0,17841,21,18167,17862,299,8,366,204,51,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,20132,169,293,1028,2012,2162,2895,4193,3928,2142,1025,285,0 to 119,58,11259,8151,722,20037,95,0,262,19206,230,849,138,884,19248,0,0,20037,734,136,13,1,433,437,0,870,4,20,78,118,103,138,160,142,64,57,0,0 to 102,53,492,211,135,32,119,689,62,235,5,170,4,0,46,884,443,441,870,14,0,27044,81,28029,27125,884,46,920,309,53,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,805,21,27,65,88,133,106,136,120,68,40,1,0 to 118,52,476,311,18,805,0,0,11,695,6,73,1,60,745,0,0,805,44,16,0,0,29,31,0,60,0,3,12,2,11,11,10,3,5,3,0,6 to 91,48,44,14,1,1,1,57,2,13,0,10,0,0,3,60,31,29,60,0,0,1110,0,1170,1110,60,3,109,54,46,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,15027,207,235,758,1345,1450,1859,2452,2813,1993,657,1258,0 to 103,59,7895,6048,1084,14892,135,0,149,14461,222,408,93,383,14634,0,10,14883,352,16,15,0,188,180,0,368,2,11,31,54,51,66,57,56,46,9,0,1 to 103,51,204,44,95,25,97,240,31,128,12,79,5,1,15,383,189,194,368,15,0,21914,119,22428,22033,383,15,486,200,52,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,1674,26,27,156,212,181,218,326,262,186,79,1,0 to 118,55,982,675,17,1673,1,0,19,1463,16,261,2,98,1576,0,0,1673,95,3,0,0,30,68,0,98,1,1,21,26,19,5,12,7,3,3,0,3 to 99,34,28,8,56,6,57,35,6,12,0,5,0,0,1,98,68,30,98,0,0,2396,1,2496,2397,98,1,166,116,53,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,3830,27,27,90,171,181,296,511,1418,890,133,86,0 to 119,69,1869,1750,211,3755,75,0,112,3470,164,272,55,266,3541,0,23,3732,216,48,1,1,76,188,0,264,0,2,7,6,33,40,40,89,40,9,0,10 to 92,65,221,34,5,4,17,240,7,58,0,45,0,0,17,266,190,76,264,2,0,5223,73,5567,5296,266,17,61,49,66,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,16557,210,379,1299,2044,2216,2571,2819,2474,1171,503,871,0 to 119,51,9425,7003,129,16521,36,0,276,15830,246,564,98,663,15889,1,4,16516,606,49,8,0,350,305,0,655,9,14,129,114,97,104,69,68,35,24,0,0 to 100,41,437,87,78,53,207,368,80,214,5,121,1,0,12,663,308,355,655,8,0,25092,28,25796,25120,663,12,547,304,47,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,62100,1092,1414,4687,8721,9179,9942,10198,7356,3483,1330,4698,0 to 120,48,34353,27426,321,61044,1055,1,685,59963,585,1809,402,2773,59304,0,23,61022,2574,102,93,4,1279,1390,7,2676,46,82,394,561,510,512,378,173,81,35,1,0 to 101,40,993,516,783,384,1004,1134,538,708,44,368,36,5,46,2773,1445,1321,2675,97,1,85815,958,89601,86773,2773,46,912,688,45,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,3842,38,65,173,353,341,447,709,901,615,191,9,0 to 222,62,2127,1509,206,3835,7,0,55,3559,119,225,25,135,3704,1,2,3833,74,61,0,0,64,71,0,135,2,4,10,12,9,17,33,22,16,10,0,0 to 97,60,94,6,9,26,14,96,25,31,0,33,0,0,12,135,71,64,135,0,0,6964,6,7108,6970,135,12,535,81,58,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,3499,65,59,242,467,434,530,661,538,369,130,4,0 to 100,54,2098,1387,14,3481,18,0,67,3283,66,172,41,132,3367,0,0,3481,76,51,4,1,61,66,0,127,1,6,8,29,17,19,25,16,9,2,0,1 to 88,47,104,17,6,0,27,98,2,42,2,27,2,1,5,132,67,65,127,5,0,6202,13,6348,6215,132,5,210,159,49,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,36702,346,445,2103,4220,4166,5293,7159,6644,4056,2190,80,0 to 120,57,21345,15267,90,36379,323,0,1864,33448,411,3527,378,1941,34647,1,113,36265,1754,135,46,6,1102,787,0,1889,16,63,182,362,245,266,276,213,171,147,0,0 to 101,48,1127,464,123,175,200,1444,245,476,19,440,17,1,102,1941,818,1123,1889,52,0,59875,271,62104,60146,1941,102,413,321,56,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2117,55,47,158,270,240,247,343,299,236,212,10,0 to 118,56,1359,676,82,2112,5,0,59,1863,110,511,14,185,1932,0,0,2112,77,103,2,3,124,56,0,180,2,7,16,20,24,23,22,21,30,20,0,1 to 102,55,118,45,9,8,24,146,10,34,1,40,0,0,18,185,58,127,180,5,0,2620,0,2807,2620,185,18,23,19,63,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,47960,771,996,4177,7523,6970,7414,8683,6399,3278,1638,110,-6 to 119,49,26539,20667,754,47360,600,0,600,45849,454,1810,204,1923,45999,11,27,47322,1649,200,64,10,997,852,0,1849,31,52,200,337,319,289,313,208,110,63,1,0 to 101,45,803,633,285,128,342,1332,175,403,21,300,11,3,57,1923,890,1031,1849,74,0,66998,526,69493,67524,1923,57,1263,1147,50,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,343,5,0,42,41,38,34,36,47,55,44,1,0 to 119,59,221,115,7,343,0,0,12,326,0,16,1,12,331,0,0,343,10,2,0,0,5,7,0,12,0,0,2,3,0,2,1,2,0,2,0,19 to 98,46,11,0,0,1,3,8,1,3,0,1,0,0,0,12,7,5,12,0,0,403,0,415,403,12,0,6,6,47,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,603,10,10,36,57,63,100,123,120,65,19,0,0 to 94,56,357,243,3,548,55,0,16,579,1,52,9,8,594,0,1,547,7,0,1,0,3,4,0,7,0,1,0,1,2,3,0,1,0,0,0,9 to 67,44,5,0,2,0,2,5,0,1,1,0,1,0,0,8,5,3,7,1,0,962,54,1024,1016,8,0,23,20,42,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1164,11,17,54,75,108,138,399,277,71,14,0,0 to 118,59,316,841,7,1164,0,0,14,1125,4,73,4,38,1126,0,0,1164,35,3,0,0,6,32,0,38,0,0,0,5,1,2,17,11,2,0,0,25 to 80,62,24,11,2,1,1,36,1,7,0,7,0,0,1,38,32,6,38,0,0,1967,0,2005,1967,38,1,28,26,55,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1465,18,25,116,185,168,221,288,189,146,103,6,0 to 118,54,919,521,25,1463,2,0,28,1395,34,144,1,52,1412,0,1,1462,13,39,0,0,41,11,0,52,0,2,3,3,7,5,3,6,12,11,0,8 to 107,70,46,5,1,0,0,52,0,4,0,11,0,0,2,52,11,41,52,0,0,1911,2,1966,1913,52,2,112,80,74,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,1251,13,29,86,137,168,213,246,212,107,39,1,0 to 102,53,706,534,11,1247,4,0,12,1192,13,188,4,35,1215,0,1,1246,17,16,2,0,23,10,0,33,0,0,5,5,5,10,5,3,1,1,0,18 to 86,46,17,13,3,0,0,33,0,6,0,5,0,0,1,35,10,25,33,2,0,1718,2,1755,1720,35,1,94,22,43,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,19311,255,338,1040,1809,2059,2680,4391,3932,2101,556,150,0 to 119,58,10998,8211,102,19294,17,0,158,18878,107,465,78,519,18790,0,2,19292,455,53,9,2,273,235,0,508,8,16,59,64,69,75,101,61,38,28,0,0 to 99,51,378,63,30,37,112,356,40,127,2,75,2,0,13,519,238,281,508,11,0,28076,6,28603,28082,519,13,329,271,53,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,18484,434,465,1304,2262,2357,2663,3029,2957,1887,787,339,0 to 119,53,10734,7561,189,18392,92,0,342,16964,231,1315,135,1373,17098,1,12,18379,1196,164,12,1,814,543,3,1360,16,32,130,175,212,198,191,167,145,107,0,0 to 103,50,875,252,172,61,418,834,108,492,8,364,3,0,74,1373,548,822,1360,13,0,28880,79,30339,28959,1373,74,969,440,56,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,13288,168,345,889,1780,1901,2209,2313,1768,881,321,713,0 to 155,50,7453,5765,70,13211,77,0,402,12093,390,813,204,796,12445,2,45,13165,712,35,47,2,373,374,0,747,9,18,59,137,120,151,135,89,60,17,1,0 to 102,48,368,68,299,12,460,246,41,254,7,158,7,2,21,796,410,386,747,49,0,16831,27,17669,16858,796,21,600,92,50,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,3717,52,56,168,377,327,431,596,709,623,358,20,0 to 119,62,2258,1423,36,3652,65,0,52,3535,47,151,19,169,3544,0,4,3648,138,29,2,0,86,81,0,167,1,9,10,21,21,26,37,20,19,5,0,0 to 91,54,98,35,26,8,58,91,18,52,1,43,1,0,9,169,83,86,167,2,0,5225,63,5460,5288,169,9,202,93,56,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,25913,291,371,1647,2889,3136,3649,4498,4750,3182,1439,61,0 to 119,57,14987,10700,226,24970,942,1,510,23329,613,2230,168,2563,23326,1,23,24947,2345,149,64,5,1341,1151,2,2494,30,58,211,347,386,414,384,295,227,211,0,0 to 101,51,1552,401,66,475,740,1254,500,724,15,474,13,4,128,2563,1189,1372,2493,69,1,35577,873,39022,36450,2563,128,2233,650,54,5.538754123500179,0.1913752850054424
