FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
58,58,14,027,DESOTO,Desoto,FL,2325,48,81,182,315,314,416,469,272,153,70,5,0 to 102,50,918,1259,148,2315,10,0,21,1953,48,348,8,329,1986,0,10,2305,211,118,0,0,141,187,1,329,11,33,44,67,51,43,44,22,6,8,0,0 to 92,36,256,23,3,47,209,65,55,56,0,43,0,0,10,329,187,141,329,0,0,2828,10,3169,2838,329,10,364,243,62,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,3852,42,38,185,365,449,545,767,765,480,210,6,0 to 119,59,2257,1543,52,3817,35,0,75,3679,37,186,37,202,3648,2,0,3815,168,29,5,0,117,80,0,197,0,4,13,23,24,33,49,37,16,3,0,5 to 94,56,118,32,40,7,24,164,9,33,3,23,2,1,5,202,82,120,197,5,0,6091,30,6329,6121,202,5,84,49,56,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,2306,73,77,278,420,358,336,323,194,135,105,7,0 to 119,43,1152,1144,10,2304,2,0,125,1724,32,594,2,597,1708,0,1,2303,560,37,0,0,228,369,0,597,17,16,77,140,119,92,61,33,25,17,0,0 to 101,39,478,60,19,40,441,133,23,99,0,60,0,0,19,597,369,228,597,0,0,3013,2,3612,3015,597,19,782,374,48,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,5302,50,58,308,460,466,632,888,1072,774,581,13,0 to 119,62,3253,2025,24,5230,72,0,179,4803,77,409,61,190,5069,0,43,5190,165,14,9,2,99,80,0,179,2,7,18,25,23,24,24,31,24,12,0,0 to 96,52,122,16,19,22,33,115,31,68,6,34,3,0,11,190,87,103,179,11,0,8066,58,8314,8124,190,11,698,230,64,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,94381,1128,1447,6149,13589,14366,16687,18098,12551,6699,3475,192,0 to 119,51,51362,41420,1599,92923,1458,0,1937,86529,2336,8944,998,8589,85754,13,25,92888,7149,1246,170,24,4265,4130,0,8395,62,160,790,1385,1374,1557,1514,880,544,323,0,0 to 102,48,4210,3041,753,391,2914,5116,365,2625,67,1649,55,21,350,8589,4251,4338,8395,194,0,126588,1261,136511,127849,8589,350,2529,2160,50,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,17728,440,448,1400,2289,2064,2400,3314,2798,1608,931,36,0 to 119,54,10726,6962,40,14959,2769,0,153,17114,183,684,70,956,16769,2,1,14956,698,63,195,0,439,322,0,761,12,26,109,128,124,117,147,110,113,70,0,0 to 105,52,343,283,25,110,29,561,171,87,0,66,0,0,37,956,395,561,761,195,0,21010,2574,24549,23584,956,37,253,173,54,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,1600,26,46,216,192,170,202,246,180,175,136,11,0 to 119,52,947,632,21,1593,7,0,58,1410,2,166,11,158,1442,0,0,1593,129,28,1,0,75,82,0,157,4,16,35,26,24,21,22,6,3,1,0,0 to 87,34,115,19,7,16,82,58,17,11,0,15,1,0,0,158,83,75,157,1,0,2121,6,2285,2127,158,0,176,110,56,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,461,2,4,24,34,34,48,105,123,71,16,0,0 to 95,63,257,201,3,457,4,0,8,452,0,5,3,2,459,0,0,457,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,684,3,689,687,2,0,4,3,42,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,15344,210,206,1611,2835,2243,2219,2563,1905,913,573,66,0 to 119,47,8865,6328,151,15074,270,0,210,14913,61,454,60,506,14832,6,0,15068,433,53,9,11,243,243,0,486,3,5,96,121,59,66,57,62,23,13,1,0 to 103,38,162,144,45,135,57,297,132,133,5,84,4,0,10,506,253,253,486,20,0,27358,250,28121,27608,506,10,94,72,49,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,9694,129,226,683,971,1420,1600,1765,1631,865,388,16,0 to 119,53,5402,4173,119,9665,29,0,228,9150,208,397,125,292,9373,19,10,9637,228,54,7,3,144,138,0,282,2,6,27,29,36,58,63,47,19,5,0,2 to 97,52,222,18,20,22,18,231,33,65,3,45,3,0,6,292,144,148,282,10,0,13843,18,14175,13861,292,6,217,179,53,3.2463364568121142,0.15487996912821236
68,999,999,999,Unknown,Unknown,FL,1386,0,2,65,150,178,188,178,140,216,267,2,6 to 119,60,946,433,7,130,1256,0,1,1383,0,3,9,100,1284,1,1,129,6,1,92,1,3,4,0,7,0,1,7,27,21,21,10,3,6,4,0,6 to 95,41,1,1,0,5,0,0,7,0,1,0,0,0,0,100,58,41,7,93,0,506,1162,1783,1668,100,0,20,18,36,0.7369088143033444,0.04263711096938869
