OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1333,37,65,168,192,173,186,186,139,107,80,0,0 to 118,46,748,580,5,1333,0,0,85,779,2,606,17,538,793,1,1,1331,491,47,0,0,275,262,1,538,11,27,77,100,68,71,68,37,36,43,0,0 to 106,42,439,38,31,30,83,419,36,75,0,39,0,0,17,538,262,275,538,0,0,4306,0,4853,4306,538,17,671,654,{CB6285A2-DA2E-4583-AAD5-1221776836AE},7,33,40,0.175,42,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5806,159,496,742,816,741,816,870,601,366,191,8,0 to 118,44,3377,2380,49,5796,10,0,848,3178,133,2475,32,2240,3545,0,21,5775,1308,930,1,1,1178,1051,9,2238,54,231,366,329,328,304,286,198,96,47,1,0 to 100,39,1333,607,232,66,453,1687,98,388,1,241,0,0,46,2240,1052,1179,2238,2,0,16134,8,18392,16142,2240,46,1362,1298,{CE511C5D-2638-44A3-B2F8-B13847543637},12,219,231,0.051948051948052,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2591,56,120,277,505,477,399,356,249,109,39,4,0 to 118,41,1031,1540,20,2582,9,0,71,1592,3,1274,29,1408,1177,0,6,2576,1344,61,3,0,376,1029,0,1405,6,26,149,339,327,246,170,95,35,15,0,1 to 94,40,727,562,78,38,130,1193,82,115,0,54,0,0,14,1408,1029,379,1405,3,0,5493,6,6933,5499,1408,14,1397,1298,{541BD5A3-4453-499A-9896-F0EDC5353D0B},2,25,27,0.0740740740740741,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,13247,275,671,1718,2104,1936,1712,1858,1287,942,696,48,0 to 119,44,7621,5542,84,13071,175,1,707,7766,137,3210,234,5645,7543,1,58,13013,5386,214,40,5,3016,2539,45,5600,63,207,964,1089,875,749,771,469,270,179,9,0 to 103,40,2890,458,1239,1013,651,3909,1040,503,4,312,4,1,127,5645,2560,3040,5599,45,1,36002,130,41834,36132,5645,127,6861,6435,{EB5D2450-A892-40FD-9BA4-9821A7438525},156,1397,1553,0.100450740502254,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1358,24,89,152,196,220,188,185,151,102,51,0,0 to 99,44,683,662,13,1357,1,0,53,557,4,569,18,658,699,0,1,1356,620,37,1,0,278,378,1,657,6,26,74,123,114,94,83,65,44,29,0,0 to 99,43,441,97,45,74,27,535,95,63,1,35,1,0,14,658,379,278,657,1,0,4442,0,5110,4442,658,14,939,878,{3B55AA95-5170-4CAF-82A3-E99AD7459349},5,159,164,0.0304878048780488,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,112682,1888,3561,12333,15815,15025,16377,17423,13975,9409,5275,1601,0 to 119,49,60978,51366,338,111617,1063,2,10816,82210,465,36598,1133,48496,63797,154,235,111233,47383,686,419,8,24977,22948,144,48069,769,1901,7907,8783,7688,7419,6200,3531,2364,1884,50,0 to 106,41,19372,7789,8790,12118,13068,21137,13864,5375,65,3887,43,22,1472,48496,23179,25168,48067,427,2,341801,637,391552,342438,48496,1472,14888,14624,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},158,4046,4204,0.0375832540437678,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,19852,428,817,2042,2682,2730,3058,3104,2497,1559,909,26,0 to 119,49,11363,8322,167,19695,157,0,1978,11535,188,7189,272,8486,11111,4,251,19440,8302,155,28,1,4656,3798,3,8457,154,376,1128,1386,1356,1333,1165,797,474,316,1,0 to 104,43,3506,1974,1171,1806,1950,4286,2221,899,4,728,3,1,311,8486,3814,4669,8457,29,0,58379,127,67046,58506,8486,311,7874,7859,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},46,760,806,0.0570719602977668,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25128,502,1183,2952,3412,3555,3890,3866,3093,1848,814,13,0 to 119,47,14045,11007,76,24989,139,0,2146,15489,223,10062,459,10054,14912,4,158,24827,9753,227,72,2,5212,4765,3,9980,151,405,1596,1688,1584,1561,1322,915,551,279,2,0 to 105,42,7178,721,1555,526,2400,6885,695,1244,10,935,5,1,221,10054,4799,5252,9980,74,0,89196,70,99377,89266,10054,221,10427,9878,{83116673-3FAD-423E-B67E-DFE7515F5E81},62,1250,1312,0.0472560975609756,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5818,151,347,663,919,1015,982,839,571,222,106,3,0 to 119,42,3377,2433,8,5795,22,1,656,3183,46,2235,44,3005,2806,1,6,5789,2916,80,9,0,1469,1525,2,2996,75,194,409,481,568,531,405,212,94,35,1,0 to 98,40,886,1252,561,297,569,1988,439,443,0,235,0,0,51,3005,1527,1476,2995,9,1,14575,16,17640,14591,3005,51,1510,1315,{77657EA6-12D6-4645-9915-E7357C9F40D6},13,208,221,0.0588235294117647,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,24753,514,814,7077,3738,3089,2982,3020,2150,864,460,45,0 to 119,35,13365,11278,110,24215,537,1,2546,16596,201,7204,256,11483,13239,4,27,24186,11065,83,330,5,6193,4933,22,11148,204,395,5317,1666,1187,997,898,450,211,147,11,0 to 105,24,4335,2888,1517,2408,928,6117,4103,667,23,272,12,11,96,11483,5075,6384,11147,335,1,82958,212,94795,83170,11483,96,5419,5007,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},65,1926,1991,0.0326469110999498,23,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1269,30,48,115,159,176,203,237,184,90,26,1,0 to 101,50,578,689,2,1254,15,0,33,834,41,572,28,608,659,1,1,1253,521,75,12,0,192,404,0,596,8,18,61,102,90,115,110,64,27,13,0,0 to 98,47,247,298,39,12,30,526,40,57,2,36,0,0,9,608,411,197,596,12,0,3456,1,4080,3457,608,9,448,411,{862C7BAB-C64B-458C-A6FA-56543968D206},5,53,58,0.0862068965517241,47,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,2226,109,196,259,284,297,321,297,254,132,70,7,0 to 99,43,1293,929,4,2190,36,0,112,1109,53,1256,75,1049,1175,1,1,2188,700,332,15,2,571,461,0,1032,39,79,127,146,157,178,143,100,41,39,0,0 to 99,43,333,616,55,28,54,888,90,168,1,51,2,2,24,1049,465,584,1032,17,0,5220,19,6299,5239,1049,24,1300,1201,{89851E42-542B-499A-AC7E-D8F5369F3D0B},2,36,38,0.0526315789473684,42,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2547,14,53,253,704,592,442,314,115,42,9,9,0 to 105,38,385,2158,4,2547,0,0,28,1924,1,326,10,520,2027,0,0,2547,484,36,0,0,140,380,0,520,6,16,92,100,90,99,79,23,13,2,0,0 to 86,39,346,126,28,20,28,376,116,37,0,12,0,0,10,520,380,140,520,0,0,3134,0,3654,3134,520,10,551,527,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},0,25,25,0,39,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2584,47,80,240,622,509,412,314,217,89,51,3,0 to 118,40,711,1858,15,2573,11,0,80,1919,9,896,15,888,1695,0,1,2572,746,134,4,4,306,574,0,880,28,55,109,177,155,147,122,61,24,10,0,0 to 91,40,383,427,59,11,114,635,131,103,1,35,0,0,9,888,578,310,880,8,0,4746,3,5639,4749,888,9,179,177,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},0,59,59,0,40,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,9666,122,245,1216,1556,1479,1630,1542,1021,544,259,52,0 to 119,46,5029,4573,64,9494,172,0,1384,4644,28,5945,246,6394,3248,1,23,9471,6094,149,149,2,3130,3084,29,6243,71,168,976,1179,1048,1069,913,577,295,97,1,0 to 99,42,3639,636,862,1106,490,4268,1485,764,21,366,10,6,125,6394,3167,3198,6243,151,0,30340,30,36838,30370,6394,125,1353,1346,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},24,303,327,0.073394495412844,42,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,7199,157,281,704,1058,1121,1089,1199,886,444,250,10,0 to 119,47,3210,3935,54,7173,26,0,967,3048,63,4095,45,4051,3142,0,6,7167,3646,392,10,3,1394,2641,3,4038,70,153,479,706,739,682,584,383,183,71,1,0 to 102,43,2466,1202,175,195,252,3536,250,134,1,233,2,0,70,4051,2649,1399,4038,13,0,14266,13,18386,14279,4051,70,841,840,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},18,151,169,0.106508875739645,43,2.6336786210355756,0.19383765365800731
