OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1079,26,35,131,143,138,146,160,125,99,76,0,0 to 118,49,620,453,6,1079,0,0,44,740,2,392,10,339,736,0,4,1075,311,28,0,0,181,158,0,339,8,13,51,53,36,37,47,25,30,39,0,0 to 106,46,273,22,20,24,50,257,32,26,0,19,0,0,3,339,158,181,339,0,0,3171,0,3517,3171,339,3,497,480,46,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4561,105,226,532,679,595,682,716,495,336,180,15,0 to 118,47,2736,1772,53,4553,8,0,376,3691,133,1100,23,1446,3113,0,2,4551,880,566,0,0,757,667,22,1446,36,131,258,228,215,196,169,100,70,39,4,0 to 100,37,681,394,188,183,276,940,230,270,0,160,0,0,23,1446,667,757,1446,0,0,11067,8,12530,11075,1446,23,275,207,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1853,41,53,184,370,333,291,265,192,89,31,4,0 to 118,43,774,1056,23,1844,9,0,60,1335,3,659,29,857,990,0,6,1838,808,46,3,0,207,647,0,854,2,16,87,227,203,156,99,43,18,6,0,4 to 91,40,345,298,45,166,77,579,198,66,0,20,0,0,4,857,647,210,854,3,0,3670,6,4553,3676,857,4,746,646,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,10150,228,296,1127,1659,1497,1362,1420,1050,832,635,44,0 to 119,46,5927,4109,114,9989,160,1,503,7476,137,1445,125,3292,6820,1,37,9952,3107,156,24,5,1752,1457,54,3263,35,113,572,680,531,455,397,257,148,100,4,0 to 103,39,1634,290,567,772,429,1915,919,265,3,147,1,0,35,3292,1469,1769,3262,29,1,24912,132,28380,25044,3292,35,2918,2487,39,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,902,13,26,90,116,136,127,147,118,84,45,0,0 to 99,50,501,385,16,902,0,0,29,526,4,304,12,356,545,0,1,901,340,16,0,0,182,173,1,356,2,10,39,57,48,49,51,41,33,26,0,1 to 99,49,254,44,22,36,18,293,45,43,0,28,0,0,7,356,173,182,356,0,0,2308,0,2674,2308,356,7,506,445,49,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,97210,1585,2744,9243,13595,12843,14082,15437,12665,8613,4751,1652,0 to 119,50,52557,44247,406,96220,988,2,7343,76986,465,23706,650,35737,61048,167,258,95800,34968,418,345,6,18145,17073,168,35386,599,1345,5211,6772,5879,5513,4579,2640,1751,1392,56,0 to 106,41,13248,5650,5812,10676,9830,13528,12028,3748,43,2719,28,15,892,35737,17249,18300,35384,351,2,235091,652,272076,235743,35737,892,9456,9191,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,15723,291,451,1405,2121,2143,2437,2549,2118,1357,800,51,0 to 119,50,9064,6389,270,15570,153,0,1172,11537,188,3839,139,5514,9938,5,266,15299,5377,115,22,0,2991,2439,62,5492,104,222,736,937,890,877,739,486,289,218,16,0 to 104,43,1754,1155,781,1802,1105,2112,2275,485,2,344,2,1,148,5514,2450,3002,5492,22,0,35973,133,41671,36106,5514,148,3578,3563,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,20457,396,590,2048,2794,2920,3252,3304,2739,1645,721,48,0 to 119,49,11546,8823,88,20355,102,0,1350,15279,223,5346,237,6802,13554,2,99,20254,6627,138,36,1,3501,3236,28,6765,109,221,1027,1205,1088,1079,882,620,359,191,21,0 to 105,42,4222,469,958,1116,1352,3826,1587,812,9,524,4,1,104,6802,3254,3520,6765,37,0,58681,68,65594,58749,6802,104,4288,3737,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4288,97,207,435,700,726,727,626,480,184,98,8,0 to 119,44,2725,1540,23,4266,21,1,227,3354,46,963,26,1663,2617,1,7,4259,1602,53,8,0,910,731,14,1655,41,107,235,275,299,286,200,128,59,27,6,0 to 105,40,409,596,221,429,290,736,629,225,0,113,0,0,21,1663,731,918,1654,8,1,10571,16,12286,10587,1663,21,801,606,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,17229,280,520,2975,2944,2452,2448,2545,1906,738,376,45,0 to 119,42,8982,8109,138,16940,288,1,996,14084,201,3227,157,4643,12565,1,20,16920,4501,55,83,4,2392,2139,25,4556,65,196,1573,918,593,510,463,204,70,38,13,0 to 105,29,1362,1449,428,1317,330,2320,1906,345,14,127,11,7,23,4643,2186,2432,4555,87,1,52407,213,57378,52620,4643,23,2082,1666,29,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1028,22,24,78,128,153,164,201,161,76,20,1,0 to 101,51,448,575,5,1020,8,0,27,785,41,347,15,438,588,1,1,1018,384,49,5,0,102,331,0,433,5,6,41,79,76,83,85,44,12,7,0,0 to 95,46,178,230,18,7,22,382,29,35,2,23,0,0,5,438,335,103,433,5,0,2428,4,2882,2432,438,5,263,225,46,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1774,89,113,208,222,235,254,240,227,121,59,6,0 to 99,45,1093,677,4,1744,30,0,89,1020,53,811,50,675,1096,1,2,1741,430,234,10,1,396,268,0,664,34,58,98,97,98,111,84,56,18,21,0,0 to 98,39,169,447,31,17,38,571,55,122,0,30,0,1,8,675,271,404,664,11,0,4329,19,5033,4348,675,8,802,702,39,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2364,9,16,210,693,571,417,293,105,35,7,8,0 to 105,39,280,2079,5,2364,0,0,9,1959,1,220,6,384,1980,0,0,2364,380,4,0,0,72,312,0,384,3,6,60,83,73,79,61,14,4,1,0,0 to 85,40,243,110,12,19,18,262,104,18,0,7,0,0,4,384,312,72,384,0,0,2661,0,3045,2661,384,4,315,290,40,3.020973914923982,0.20464132709324395
