OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2412,72,212,372,320,335,335,306,210,158,92,0,0 to 118,41,1327,1073,12,2408,4,0,214,1059,2,1478,32,1427,979,1,5,2402,1223,200,2,2,751,664,8,1423,30,111,221,221,210,204,171,108,93,58,0,0 to 106,40,1105,84,54,180,120,1106,197,117,0,65,0,0,36,1427,666,753,1423,4,0,6280,0,7725,6280,1427,36,1393,1376,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,3,103,106,0.0283018867924528,40
2,2,54,107,PUTNAM,Putnam,FL,9930,326,956,1353,1331,1274,1352,1435,1039,599,256,9,0 to 118,42,5627,4265,38,9903,27,0,1706,3714,133,7017,90,5880,4008,0,42,9861,3518,2343,12,7,3184,2661,16,5861,145,519,881,811,807,794,823,620,339,139,2,0 to 100,42,3912,1314,470,165,778,4814,269,700,2,505,2,1,128,5880,2672,3192,5861,19,0,24967,0,30860,24967,5880,128,2933,2879,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,6,482,488,0.0122950819672131,42
3,3,62,123,TAYLOR,Taylor,FL,4263,139,398,510,705,685,611,570,395,182,62,6,0 to 118,40,1908,2338,17,4252,11,0,138,1993,3,2778,47,2653,1600,0,10,4242,2393,254,6,0,1041,1601,5,2647,33,118,314,496,516,428,364,231,114,38,1,0 to 98,41,1607,797,119,124,148,2296,203,186,0,92,0,0,42,2653,1603,1045,2647,6,0,7835,0,10515,7835,2653,42,2550,2454,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,2,61,63,0.0317460317460317,41
4,4,46,091,OKALOOSA,Okaloosa,FL,31276,743,3551,4528,4779,4610,3884,4096,2537,1546,931,71,0 to 119,39,17033,14016,227,30955,320,1,1839,10878,137,14090,965,19174,11989,2,111,30845,17571,1403,183,17,10051,8779,144,18974,236,1217,2833,3472,3064,2593,2767,1630,878,452,32,0 to 103,40,11130,1492,2484,3868,1516,13005,4453,1018,15,672,17,4,331,19174,8886,10141,18973,200,1,62868,0,82121,62868,19174,331,27479,27066,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,52,665,717,0.0725244072524407,40
5,5,7,013,CALHOUN,Calhoun,FL,2766,82,352,375,319,374,355,345,288,181,93,2,0 to 99,41,1438,1308,20,2763,3,0,178,587,4,1337,46,1622,1138,0,6,2757,1403,216,3,0,789,824,6,1619,27,111,204,220,226,229,219,190,121,74,1,0 to 99,45,1097,182,209,131,39,1349,231,126,2,56,2,0,46,1622,826,790,1619,3,0,5912,0,7545,5912,1622,46,2229,2172,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,1,62,63,0.0158730158730159,45
6,6,50,099,PALM BEACH,Palm Beach,FL,200770,4456,12585,25804,30154,27645,29104,28523,20711,13190,6987,1611,0 to 119,44,106791,93104,875,197999,2769,2,28701,106684,465,93120,3215,122709,77274,134,653,197219,119199,1428,2061,21,62639,57400,588,120627,2199,7283,18979,22066,18818,18548,16187,9420,5629,3520,60,0 to 107,40,60468,17242,20747,22170,31901,61118,27608,8442,137,6090,93,45,2510,122709,58472,63601,120625,2082,2,643518,0,766996,643518,122709,2510,51762,51503,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,475,8511,8986,0.0528600044513688,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,37940,1085,2740,4886,5247,5159,5515,5449,4205,2453,1166,35,0 to 119,44,21142,16579,219,37659,281,0,4484,14576,188,20952,818,22520,14985,7,428,37226,22162,205,151,2,12245,10053,69,22367,409,1230,3058,3598,3428,3440,3192,2314,1262,585,4,0 to 104,43,11127,4562,2902,3776,5096,12589,4682,1986,22,1496,14,1,551,22520,10129,12322,22367,153,0,100517,0,123111,100517,22520,551,22883,22867,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,83,1136,1219,0.0680885972108285,43
8,8,51,101,PASCO,Pasco,FL,54472,1182,4511,7403,7053,7494,8185,7475,6043,3672,1421,33,0 to 119,44,29804,24528,140,54103,369,0,3450,26457,223,26073,1425,33890,20164,3,415,53685,32206,1381,296,5,17942,15570,75,33587,532,2051,4830,4927,4952,5280,4557,3617,2266,868,8,0 to 105,44,24351,1964,3879,3393,6516,22102,4969,3095,52,2223,39,6,664,33888,15692,18100,33587,301,0,174900,0,208892,174900,33888,664,25316,24778,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,109,1935,2044,0.0533268101761252,44
9,9,20,039,GADSDEN,Gadsden,FL,8729,293,771,1069,1275,1415,1388,1218,808,337,152,3,0 to 119,41,5030,3675,24,8699,29,1,1157,3735,46,4597,99,5476,3240,1,12,8687,5039,421,13,3,2871,2570,19,5460,148,452,743,805,928,918,768,429,205,79,1,0 to 99,41,1554,2702,920,284,888,4138,434,726,1,413,0,0,87,5476,2574,2883,5459,16,1,21489,0,27008,21489,5476,87,2914,2721,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,6,189,195,0.0307692307692308,41
10,10,37,073,LEON,Leon,FL,45422,1438,2625,13316,7208,5690,5136,4824,3166,1329,642,48,0 to 119,31,24758,20459,205,44365,1056,1,7126,21075,201,22255,811,29424,15945,7,46,44314,28288,282,838,16,15778,12662,130,28570,662,1597,10549,4889,3619,3029,2621,1431,676,341,10,0 to 106,28,13580,8892,3388,2710,2665,21546,4359,1426,47,612,36,30,293,29424,13027,16257,28569,854,1,144275,0,173874,144275,29424,293,13047,12646,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,47,1793,1840,0.0255434782608696,28
