OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2487,76,218,381,335,340,350,315,218,162,92,0,0 to 118,41,1369,1107,11,2483,4,0,228,1063,2,1554,33,1487,994,1,5,2477,1277,206,2,2,784,692,7,1483,31,113,232,233,215,215,178,116,96,58,0,0 to 106,40,1161,86,55,181,122,1160,201,120,0,70,0,0,38,1487,694,786,1483,4,0,6464,0,7968,6464,1487,38,1438,1421,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,2,114,116,0.0172413793103448,40
2,2,54,107,PUTNAM,Putnam,FL,10086,335,972,1371,1351,1284,1381,1461,1057,607,258,9,0 to 118,42,5710,4340,36,10057,29,0,1768,3728,133,7197,91,6027,4018,0,41,10016,3648,2358,14,7,3258,2732,16,6006,152,529,899,830,818,820,849,640,347,141,2,0 to 100,42,4023,1339,481,163,800,4939,267,731,3,526,3,1,135,6027,2743,3268,6006,21,0,25748,0,31786,25748,6027,135,2962,2908,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,7,196,203,0.0344827586206897,42
3,3,62,123,TAYLOR,Taylor,FL,4325,146,409,515,707,694,619,576,402,187,64,6,0 to 118,40,1946,2364,15,4316,9,0,151,2002,3,2843,48,2694,1623,0,8,4308,2422,267,5,0,1069,1617,3,2689,35,119,318,498,526,433,371,235,118,40,1,0 to 98,41,1640,807,120,122,149,2335,205,189,0,96,0,0,45,2694,1619,1072,2689,5,0,8121,0,10842,8121,2694,45,2566,2472,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,1,85,86,0.0116279069767442,41
4,4,46,091,OKALOOSA,Okaloosa,FL,32250,803,3771,4697,4925,4725,3973,4204,2580,1566,936,70,0 to 119,38,17530,14488,232,31920,329,1,1880,11074,137,14630,1011,19734,12400,2,114,31807,18115,1410,193,16,10323,9060,142,19525,258,1260,2934,3577,3154,2658,2846,1665,893,458,31,0 to 103,40,13214,1780,2082,2449,1683,14626,3216,1045,14,690,17,5,351,19734,9171,10419,19524,209,1,66154,0,85966,66154,19734,351,28424,28011,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,12,553,565,0.0212389380530973,40
5,5,7,013,CALHOUN,Calhoun,FL,2826,88,367,387,325,379,358,349,292,186,93,2,0 to 99,41,1475,1331,20,2823,3,0,188,593,4,1369,46,1656,1162,0,8,2815,1433,220,3,0,810,837,6,1653,30,114,210,225,230,231,223,194,124,74,1,0 to 99,45,1129,184,211,129,38,1387,228,131,2,57,2,0,42,1656,839,811,1653,3,0,6023,0,7690,6023,1656,42,2253,2197,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,1,22,23,0.0434782608695652,45
6,6,50,099,PALM BEACH,Palm Beach,FL,211214,4811,13848,27642,31829,29157,30647,29875,21260,13434,7099,1612,0 to 119,44,112168,98012,1034,208204,3008,2,30846,109210,465,100612,3457,131235,79147,134,698,207379,127374,1549,2292,20,66908,61265,750,128923,2381,8010,20450,23616,20136,19885,17371,9882,5831,3614,59,0 to 107,40,65263,18295,22421,22944,33864,65708,29351,8807,150,6375,112,52,2645,131235,62460,67974,128921,2312,2,679693,0,811705,679693,131235,2645,55747,55489,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,326,4504,4830,0.067494824016563107,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,40093,1182,3043,5270,5562,5415,5798,5703,4355,2533,1195,37,0 to 119,44,22294,17609,190,39784,309,0,4822,14639,188,22789,869,23937,15697,7,452,39327,23555,208,172,2,13003,10716,44,23763,432,1327,3289,3847,3632,3666,3388,2426,1321,604,5,0 to 104,43,11966,4868,3069,3860,5442,13525,4796,2226,22,1632,14,1,584,23937,10803,13090,23763,174,0,106126,0,130138,106126,23937,584,24767,24751,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,43,587,630,0.0682539682539683,43
8,8,51,101,PASCO,Pasco,FL,57604,1259,4928,7925,7491,7950,8651,7872,6237,3798,1460,33,0 to 119,44,31524,25966,114,57217,387,0,3453,27571,223,28180,1532,36267,20896,3,438,56776,34500,1449,311,5,19220,16676,53,35949,565,2253,5215,5297,5317,5647,4909,3776,2377,901,8,0 to 105,43,26493,2124,4189,3143,6984,23952,5013,3328,59,2388,44,8,692,36265,16803,19388,35949,316,0,184751,0,221124,184751,36265,692,26677,26140,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,117,1259,1376,0.0850290697674419,44
9,9,20,039,GADSDEN,Gadsden,FL,8815,298,793,1079,1291,1429,1396,1228,810,337,151,3,0 to 119,41,5073,3718,24,8785,29,1,1169,3754,46,4710,99,5532,3269,1,13,8772,5091,425,13,3,2896,2601,19,5516,152,463,746,818,942,923,777,429,203,78,1,0 to 98,41,1587,2718,931,280,908,4178,430,727,1,415,0,0,90,5532,2605,2908,5515,16,1,22028,0,27603,22028,5532,90,3000,2806,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,1,109,110,0.00909090909090909,41
10,10,37,073,LEON,Leon,FL,46567,1542,2743,13762,7357,5804,5223,4903,3198,1344,642,49,0 to 119,31,25367,20983,217,45484,1082,1,7375,21215,201,23216,845,30283,16229,7,48,45431,29117,287,861,18,16236,13031,137,29404,698,1665,10902,5007,3707,3100,2700,1460,692,342,10,0 to 106,28,14160,9093,3490,2661,2793,22295,4316,1487,47,651,36,32,303,30283,13411,16724,29403,879,1,148185,0,178635,148185,30283,303,13596,13195,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,27,1129,1156,0.023356401384083,28
11,11,33,065,JEFFERSON,Jefferson,FL,2474,102,240,252,296,316,343,425,296,160,42,2,0 to 101,46,1214,1256,4,2450,24,0,93,1076,41,1678,42,1427,1042,2,3,2446,1229,176,18,4,631,772,2,1405,26,95,142,200,187,229,269,160,91,28,0,0 to 99,47,682,606,85,32,52,1276,77,125,3,75,0,0,24,1427,784,640,1405,22,0,5769,0,7215,5769,1427,24,1319,1282,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,1,26,27,0.037037037037037,47
12,12,40,079,MADISON,Madison,FL,3866,203,570,542,457,464,512,446,376,200,87,9,0 to 101,38,2186,1668,12,3824,42,0,226,1284,53,2829,131,2031,1820,0,15,3809,1436,569,24,2,1139,862,4,2005,68,169,276,285,260,331,270,209,105,57,1,0 to 101,43,855,988,92,70,101,1720,184,277,3,88,2,2,44,2031,870,1154,2005,26,0,7405,0,9446,7405,2031,44,3011,2915,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,0,42,42,0,43
13,13,39,077,LIBERTY,Liberty,FL,3373,74,246,390,776,686,528,409,167,71,17,9,0 to 105,37,839,2520,14,3372,1,0,106,1932,1,755,14,1054,2316,0,3,3369,891,162,1,0,414,630,9,1053,24,79,170,170,162,172,161,66,42,8,0,0 to 89,39,782,173,53,45,41,857,155,58,0,22,0,0,16,1054,630,415,1053,1,0,4082,0,5137,4082,1054,16,1378,1354,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,2,15,17,0.117647058823529,39
14,14,24,047,HAMILTON,Hamilton,FL,3543,112,269,379,711,613,533,419,300,138,63,6,0 to 118,39,1235,2286,22,3520,23,0,96,2033,9,1780,48,1588,1953,0,2,3519,1249,320,10,9,673,886,10,1569,58,140,206,259,237,241,213,140,69,23,2,0 to 93,41,771,649,92,57,161,1219,189,205,2,80,0,0,23,1588,896,682,1569,19,0,6412,0,8005,6412,1588,23,1100,1098,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,1,23,24,0.0416666666666667,41
15,15,3,005,BAY,Bay,FL,23941,342,1395,3185,3724,3676,3781,3729,2367,1193,488,61,0 to 119,43,12587,11093,261,23161,780,0,2455,10442,28,15319,519,19367,4489,2,83,23086,18294,332,732,10,9744,8667,215,18626,218,954,2742,3202,3081,3070,2963,1859,934,340,5,0 to 101,43,11909,1721,1873,3123,1199,13794,3633,1397,55,797,27,18,374,19368,9059,10084,18626,742,0,67710,0,87148,67710,19368,374,4949,4941,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,9,310,319,0.0282131661442006,43
