OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1998,55,147,304,273,271,274,261,186,138,89,0,0 to 118,42,1080,908,10,1997,1,0,138,947,2,1143,28,1094,898,1,5,1991,954,139,1,0,554,533,6,1093,22,70,175,178,155,150,135,84,71,54,0,0 to 106,40,858,78,49,108,110,863,120,108,0,57,0,0,27,1094,534,554,1093,1,0,5506,0,6614,5506,1094,27,1176,1159,{CB6285A2-DA2E-4583-AAD5-1221776836AE},10,50,60,0.166666666666667,40,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,8529,268,806,1162,1135,1075,1179,1248,910,505,232,9,0 to 118,43,4912,3563,54,8505,24,0,1284,3712,133,5257,80,4549,3948,0,32,8473,2584,1949,10,6,2494,2015,24,4533,111,410,711,613,620,627,644,488,232,91,2,0 to 100,42,2986,1008,378,161,661,3615,257,541,2,386,2,1,86,4549,2025,2500,4533,16,0,21940,8,26509,21948,4549,86,2554,2492,{CE511C5D-2638-44A3-B2F8-B13847543637},57,123,180,0.316666666666667,40,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,3552,87,249,409,620,597,525,494,347,160,58,6,0 to 118,41,1543,1991,18,3542,10,0,98,1837,3,2130,41,2158,1386,0,8,3534,1995,158,5,0,768,1382,3,2153,18,74,239,435,435,356,295,183,90,32,1,0 to 95,41,1289,642,105,117,141,1832,180,174,0,83,0,0,28,2158,1384,771,2153,5,0,6844,5,9032,6849,2158,28,2171,2075,{541BD5A3-4453-499A-9896-F0EDC5353D0B},11,61,72,0.152777777777778,41,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,24425,554,2259,3477,3833,3611,3072,3291,2089,1329,856,54,0 to 119,40,13467,10813,145,24145,279,1,1462,9683,137,9901,708,14233,10098,1,93,24053,12774,1305,139,15,7452,6537,90,14079,176,779,2138,2628,2280,1917,2070,1207,654,369,15,0 to 103,40,7827,1094,1985,3173,1145,9609,3325,799,9,530,13,2,248,14233,6620,7522,14078,154,1,53251,124,67683,53375,14233,248,20309,19891,{EB5D2450-A892-40FD-9BA4-9821A7438525},99,698,797,0.124215809284818,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,2327,62,238,283,289,331,308,303,256,173,84,0,0 to 99,43,1207,1103,17,2325,2,0,127,564,4,1137,42,1383,939,0,5,2320,1209,172,2,0,667,710,4,1381,20,82,152,198,198,194,189,167,117,66,0,0 to 99,47,909,154,199,119,33,1135,213,112,1,52,1,0,29,1383,711,668,1381,2,0,5252,0,6645,5252,1383,29,1899,1840,{3B55AA95-5170-4CAF-82A3-E99AD7459349},2,15,17,0.117647058823529,47,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,163675,3254,8113,20255,24318,22382,23804,23871,18099,11730,6237,1612,0 to 119,46,87458,75545,672,161623,2050,2,20693,98197,465,66083,2459,91710,71399,142,424,161065,89320,1017,1359,15,46837,43077,423,90337,1499,4702,14647,16664,14213,13913,11920,7024,4290,2782,57,0 to 106,40,43368,12373,15293,19303,23975,43833,22529,7172,109,5171,70,29,1955,91711,43780,47466,90335,1374,2,538182,669,631277,538851,91711,1955,37523,37263,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},665,7088,7753,0.0857732490648781,40,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,29907,780,1728,3581,4184,4105,4469,4452,3485,2042,1050,31,0 to 119,46,16856,12888,163,29685,222,0,3472,13303,188,14823,668,16319,13266,4,318,29364,16039,186,92,2,8918,7281,26,16225,303,766,2156,2652,2522,2533,2332,1668,907,478,2,0 to 104,43,7858,3254,2135,2978,3732,8869,3624,1420,14,1098,9,1,430,16319,7328,8965,16225,94,0,84665,127,101174,84792,16319,430,16289,16273,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},165,854,1019,0.161923454367027,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,43381,904,3188,5758,5634,5960,6559,6124,4984,3048,1193,29,0 to 119,45,23725,19371,285,43084,297,0,3114,22720,223,18994,1017,24943,18066,4,368,42712,23738,974,228,2,13069,11454,189,24712,376,1337,3594,3699,3673,3883,3357,2669,1691,654,9,0 to 105,44,17477,1446,2959,2830,4833,15944,3935,2277,28,1661,22,4,406,24942,11553,13188,24712,230,0,143474,69,168581,143543,24942,406,21437,20894,{83116673-3FAD-423E-B67E-DFE7515F5E81},276,1788,2064,0.133720930232558,43,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,7570,233,582,911,1152,1262,1228,1060,714,294,131,3,0 to 119,42,4378,3169,23,7541,28,1,898,3620,46,3396,82,4493,3064,1,12,7529,4205,273,12,3,2323,2138,17,4478,118,340,612,695,787,768,615,338,164,55,1,0 to 99,41,1296,2122,756,304,749,3286,443,592,1,318,0,0,61,4493,2142,2334,4477,15,1,18982,15,23538,18997,4493,61,2458,2263,{77657EA6-12D6-4645-9915-E7357C9F40D6},31,254,285,0.108771929824561,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,37036,943,1778,10755,5871,4688,4283,4097,2829,1167,578,47,0 to 119,33,20061,16797,178,36152,883,1,5199,19325,201,15800,625,22138,14844,7,47,36100,21246,211,670,11,11766,9590,101,21457,441,1020,8291,3639,2698,2214,1925,1115,515,270,10,0 to 106,27,9552,6651,2557,2697,1890,15291,4276,1050,37,432,26,22,184,22138,9877,12150,21456,681,1,126080,210,148624,126290,22138,184,10477,10074,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},166,2005,2171,0.0764624596959926,25,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1988,53,164,204,239,258,294,338,261,136,40,1,0 to 101,47,968,1015,5,1964,24,0,81,999,41,1189,38,1126,858,2,2,1961,941,163,18,4,474,628,2,1104,14,70,113,164,149,192,200,127,72,25,0,0 to 99,48,515,482,66,41,45,970,89,96,3,56,0,0,18,1126,640,483,1104,22,0,4814,0,5958,4814,1126,18,954,916,{862C7BAB-C64B-458C-A6FA-56543968D206},14,53,67,0.208955223880597,48,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,3103,146,355,406,374,391,437,391,330,180,84,9,0 to 101,41,1780,1315,8,3062,41,0,194,1217,53,2055,122,1647,1446,1,9,3052,1119,505,21,2,923,699,2,1624,56,124,216,225,218,273,221,169,89,55,1,0 to 101,44,670,822,77,55,82,1390,152,229,3,76,2,2,34,1647,706,937,1624,23,0,6288,18,7965,6306,1647,34,2285,2188,{89851E42-542B-499A-AC7E-D8F5369F3D0B},8,62,70,0.114285714285714,44,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,3021,55,130,319,754,644,492,381,158,63,16,9,0 to 105,38,653,2364,4,3020,1,0,76,1920,1,588,14,861,2157,1,2,3017,747,113,1,0,321,536,3,860,19,40,136,150,127,147,140,60,35,7,0,0 to 89,41,622,153,49,36,38,683,139,51,0,19,0,0,14,861,536,322,860,1,0,3696,0,4559,3696,861,14,1071,1047,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},7,15,22,0.318181818181818,41,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,3219,86,206,321,681,577,499,388,275,121,60,5,0 to 118,40,1065,2135,19,3200,19,0,93,1960,9,1485,43,1355,1863,0,1,3200,1028,312,6,9,556,778,6,1340,45,110,163,234,212,215,188,114,53,20,1,0 to 93,41,657,565,81,37,145,1030,165,162,2,61,0,0,15,1355,786,563,1340,15,0,5718,3,7079,5721,1355,15,860,858,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},8,42,50,0.16,41,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,17259,195,762,2169,2753,2631,2796,2770,1798,940,390,55,0 to 119,45,9042,8106,111,16688,571,0,2024,7562,28,10995,431,13207,3991,2,59,16631,12364,305,529,9,6552,6042,75,12669,108,487,1799,2292,2099,2141,2050,1307,683,240,1,0 to 101,44,7756,1085,1252,2576,857,8732,3080,1056,39,554,18,8,227,13207,6318,6809,12669,538,0,51790,38,65106,51828,13207,227,4065,4058,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},87,263,350,0.248571428571429,43,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,10178,261,627,1188,1436,1513,1455,1597,1183,598,308,12,0 to 119,45,4876,5240,62,10135,43,0,1243,3454,63,6315,93,6550,3617,0,11,10124,5908,612,26,4,2774,3727,19,6520,111,314,812,1054,1063,1030,970,687,356,149,4,0 to 102,44,4177,1689,284,370,360,5577,583,269,2,385,4,0,120,6550,3746,2785,6520,30,0,19749,13,26369,19762,6550,120,3501,3500,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},53,289,342,0.154970760233918,44,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,4270,106,271,625,724,704,666,559,360,182,71,2,0 to 103,40,2020,2230,20,4208,62,0,524,1704,16,2058,85,2681,1548,0,41,4167,2218,451,7,5,1106,1558,5,2669,21,95,346,505,502,451,362,241,112,46,0,0 to 103,42,1620,321,96,632,34,1769,866,257,0,145,0,0,38,2681,1563,1113,2669,12,0,9463,48,12223,9511,2681,38,3415,3414,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},15,86,101,0.148514851485149,41,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,3052,50,252,396,416,402,486,431,356,186,77,0,0 to 119,45,1645,1386,21,3015,37,0,154,1144,5,1507,213,1882,1166,0,4,3011,1567,286,20,9,966,880,7,1853,20,116,249,296,261,306,262,204,113,55,0,0 to 101,45,1475,106,98,174,48,1505,300,103,0,70,0,0,30,1882,890,985,1853,29,0,5803,8,7704,5811,1882,30,2418,2412,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},4,16,20,0.2,44,1.7364459249798063,0.117992933758262
