OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,MedianAge,GlobalID
42,42,5,009,BREVARD,Brevard,FL,24739,307,485,2029,2769,2852,3488,5141,4395,2370,756,147,0 to 119,55,13898,10727,114,24712,27,0,1376,21264,107,4729,158,5851,18878,0,10,24702,5719,111,18,3,3117,2689,24,5830,60,149,1043,1013,854,857,827,503,309,235,1,0 to 110,42,3064,649,505,1612,756,3253,1821,914,6,454,3,0,140,5851,2699,3128,5830,21,0,76081,17,82008,76098,5851,140,1429,1371,2687643838.87906,793218.333609179,42,943db4a8-472c-444e-b81a-0e7cf9758ca2
43,43,53,105,POLK,Polk,FL,31337,742,1221,3283,4759,4599,4593,4520,3876,2363,1032,349,0 to 119,47,17391,13619,327,31215,122,0,1966,24586,231,6277,245,13839,17445,1,52,31162,12375,1419,33,12,7268,6350,176,13794,273,684,2027,2610,2398,2079,1648,1094,647,360,19,0 to 103,40,6446,2384,1309,3655,3464,5517,4813,1813,11,1364,10,1,304,13839,6368,7295,13794,45,0,80578,78,94584,80656,13839,304,4708,4139,5206715917.89822,388118.956177661,40,233f5cac-222a-4ee3-81fe-76bb2a2139f5
44,44,49,097,OSCEOLA,Osceola,FL,22267,316,831,2313,3612,3613,3759,3246,2311,1158,426,682,0 to 155,45,12103,9943,221,22155,112,0,2297,16540,390,3843,239,9401,12755,2,109,22045,9257,60,82,2,4820,4358,139,9317,132,417,1384,1905,1756,1646,1030,646,343,125,17,0 to 104,39,2819,482,2671,3345,3863,1541,3913,764,11,411,8,2,100,9401,4413,4846,9317,84,0,52859,28,62415,52887,9401,100,3291,2780,3899316052.50861,350452.549474464,39,98fbcdad-181a-4269-a498-787173f6e740
45,45,28,055,HIGHLANDS,Highlands,FL,5092,96,132,327,599,520,624,786,838,738,412,20,0 to 119,58,2982,2077,33,5026,66,0,170,4038,47,1146,45,1355,3729,0,8,5018,1231,121,3,0,717,634,1,1352,26,48,148,215,185,206,213,136,122,56,0,0 to 98,48,767,222,194,169,368,754,230,300,2,158,1,0,36,1355,637,717,1352,3,0,14191,63,15623,14254,1355,36,1315,1201,2866885704.30579,296636.719911829,48,0861b99e-575f-41b4-992b-839b0b3f4f63
46,46,36,071,LEE,Lee,FL,40002,573,935,4050,5580,5448,5843,6240,5814,3707,1720,92,0 to 119,51,22349,17299,354,38846,1155,1,1625,33196,613,10008,252,16248,23726,2,26,38819,15270,692,279,7,8334,7436,192,15962,295,573,2531,2987,2611,2570,2055,1307,766,516,37,0 to 102,41,6583,1521,735,7123,3616,4920,7426,1877,20,1045,17,8,329,16248,7581,8464,15961,286,1,95514,928,112748,96442,16248,329,3931,2328,2112333669.17714,583283.842331616,41,d113537a-ba7a-4d3b-936c-ea742824206c
47,47,11,021,COLLIER,Collier,FL,24047,608,1023,2751,3100,3273,3361,3408,3253,2394,837,39,0 to 105,48,12701,11050,296,23627,420,0,1574,16938,356,7006,223,10202,13635,3,207,23417,9652,409,125,16,5089,4851,121,10061,270,527,1717,1680,1715,1617,1245,726,473,230,2,0 to 104,40,4946,607,1016,3492,4097,2458,3506,1153,22,718,12,6,131,10202,4912,5130,10061,141,0,51148,288,61702,51436,10202,131,6016,5036,5197102107.68439,580181.883282756,40,b407dcd0-fa26-4ba4-bfdb-b31c63c940ba
48,48,13,025,DADE,Dade,FL,264133,3515,6406,26334,45279,43107,47730,41823,26355,14713,8028,843,-1 to 225,46,136732,125612,1789,262275,1857,1,10951,223786,2785,30839,1175,129409,134377,90,257,261930,126973,1535,892,9,65025,62682,801,128508,1875,4142,16360,24376,21788,23289,18149,10177,5758,3236,259,-1 to 108,43,46416,11477,11715,58900,52560,15269,60679,11996,69,6114,37,16,1809,129409,63121,65422,128507,901,1,536751,989,668822,537740,129409,1809,11405,10669,5114451079.58835,540836.793924443,43,aea3ae00-e34e-48c0-8b01-466a26b4b1e0
49,49,44,087,MONROE,Monroe,FL,5607,102,150,465,820,826,963,1069,750,349,111,2,0 to 101,49,2881,2694,32,5512,95,0,1547,2570,83,1689,147,1456,4088,0,63,5451,1402,28,21,5,679,748,3,1430,31,55,174,287,258,264,191,121,60,15,0,0 to 100,42,859,78,65,428,471,507,452,220,5,93,4,0,13,1456,764,689,1430,26,0,11699,67,13234,11766,1456,13,2600,2323,2629619857.16548,1399292.97354894,42,629deeae-bcfa-4ad2-8de1-1d764edd7ac6
50,50,57,113,SANTA ROSA,Santa Rosa,FL,10847,305,436,1279,1600,1607,1716,1669,1271,664,287,13,0 to 119,46,5532,5271,44,10762,85,0,540,7298,99,2943,185,3791,7039,0,17,10745,3678,88,25,0,1576,2175,15,3766,56,113,700,694,624,635,507,252,135,72,3,0 to 105,39,2189,493,202,882,152,2616,998,139,0,184,1,0,36,3791,2186,1590,3766,25,0,24104,60,27991,24164,3791,36,3380,2837,2596863920.94926,364280.718031263,39,edf59bbc-47af-4b2f-bd97-6dab59dd7b4c
51,51,66,131,WALTON,Walton,FL,3004,68,98,424,402,433,442,477,323,193,139,5,0 to 101,46,1558,1408,38,2837,167,0,194,2321,15,1306,152,1345,1657,0,2,2835,1202,27,113,3,584,644,1,1229,17,54,312,217,221,188,190,78,53,13,2,0 to 101,38,960,78,53,138,246,855,128,173,17,61,3,0,15,1345,699,645,1229,116,0,7942,54,9382,7996,1345,15,732,677,2708101782.46999,370154.781284707,38,31ca379b-fb64-4c77-9456-056bcf505a65
52,52,32,063,JACKSON,Jackson,FL,4732,57,108,433,856,830,819,700,437,293,193,6,0 to 105,45,1932,2727,73,4702,30,0,41,2935,19,1677,44,1832,2894,1,5,4696,1762,55,14,1,529,1277,11,1817,17,47,175,390,365,337,251,127,68,55,0,0 to 100,42,779,350,80,608,71,749,997,149,2,100,0,0,37,1832,1285,535,1817,15,0,9582,18,11445,9600,1832,37,1143,944,2452499072.79567,223828.324060307,43,baf89079-8026-4e6b-b424-2dd9bc8af99d
53,53,67,133,WASHINGTON,Washington,FL,1756,36,53,154,274,270,293,312,178,128,58,0,0 to 119,48,870,840,46,1743,13,0,50,1204,9,837,15,807,931,0,18,1725,714,83,9,1,278,495,24,797,10,25,81,172,147,142,114,61,44,11,0,0 to 99,42,401,182,23,191,17,429,351,49,2,42,1,0,14,807,499,284,797,10,0,4637,4,5466,4641,807,14,517,461,1594396648.51196,243766.072259733,42,ed919630-6db9-4e1b-b6b4-eafa4d161468
54,54,45,089,NASSAU,Nassau,FL,4602,69,108,492,513,566,664,839,719,437,191,4,0 to 103,53,2545,1969,88,4437,165,0,227,3432,28,781,132,1202,3368,0,32,4406,1104,31,65,2,578,557,0,1135,17,33,243,164,184,190,184,114,50,23,0,0 to 95,43,748,117,55,215,58,830,247,157,6,72,1,0,11,1202,585,617,1135,67,0,13406,97,14722,13503,1202,11,1234,1228,1641620662.32831,388721.737801268,42,4d22d524-13f7-4497-919b-bc6894006209
55,55,22,043,GLADES,Glades,FL,578,9,23,61,120,141,84,66,37,30,6,1,0 to 90,39,208,369,1,578,0,0,60,339,3,390,0,398,179,0,1,577,396,2,0,0,106,292,0,398,6,10,43,96,116,65,45,10,5,2,0,0 to 89,38,286,77,22,13,167,210,21,42,0,28,0,0,3,398,292,106,398,0,0,711,0,1111,711,398,3,220,161,2551976411.00452,236757.936928168,38,db14356a-7e77-445a-a524-193dac2519e8
56,56,8,015,CHARLOTTE,Charlotte,FL,7152,80,89,453,661,720,1020,1354,1299,872,597,7,0 to 119,59,4073,3005,74,7129,23,0,646,5510,62,1620,42,2174,4966,1,11,7117,1944,223,6,1,1110,1035,22,2167,22,44,233,251,229,318,390,313,212,161,1,0 to 101,54,1588,125,121,333,168,1580,419,219,1,231,1,0,90,2174,1037,1114,2167,7,0,23409,16,25631,23425,2174,90,270,251,1825525431.11919,398247.923422686,54,2c59a1cc-d054-4df6-bef0-43eec4a23784
57,57,58,115,SARASOTA,Sarasota,FL,18705,221,401,1580,2146,2030,2456,3153,3273,2274,1109,62,0 to 119,56,10324,8121,260,18436,269,0,814,16547,190,2667,114,6095,12586,1,23,18414,5960,83,45,7,3165,2738,140,6043,71,218,959,1060,887,869,770,575,403,262,21,0 to 104,42,2391,362,503,2787,562,2115,3366,396,18,364,12,2,130,6095,2768,3187,6043,52,0,66014,222,72380,66236,6095,130,1059,954,1509311882.53409,264158.506465067,42,63cf7f11-0e2e-4c45-8079-812f07405f88
58,58,14,027,DESOTO,Desoto,FL,3543,97,219,369,535,547,598,593,333,173,75,4,0 to 102,45,1461,1965,117,3530,13,0,178,2251,48,1308,23,1327,2210,1,5,3524,1191,133,3,0,547,774,3,1324,41,121,182,258,251,202,158,78,24,12,0,0 to 97,36,828,132,77,287,651,354,319,196,1,99,1,0,16,1327,775,549,1324,3,0,8097,13,9444,8110,1327,16,1359,1225,1654926851.96404,168390.780925558,36,0d73423d-03c5-4ba5-9bfd-c106f87eb222
59,59,18,035,FLAGLER,Flagler,FL,4896,74,94,340,515,586,703,912,891,537,236,8,0 to 119,56,2844,1998,54,4856,40,0,343,3830,37,827,63,1008,3883,0,5,4851,873,125,10,0,551,441,6,998,16,42,137,147,125,160,159,132,66,22,2,0 to 94,47,574,162,180,82,144,747,107,146,4,85,2,1,13,1008,447,555,998,10,0,13607,30,14665,13637,1008,13,1178,1143,1294754947.55994,220559.838719988,47,0e4d3c2d-fb56-4a06-8b04-3ad9bff072bc
60,60,26,051,HENDRY,Hendry,FL,3685,134,214,535,663,596,528,463,265,164,116,7,0 to 104,39,1814,1858,13,3683,2,0,405,1755,32,1629,26,1725,1959,0,1,3682,1675,50,0,0,771,950,4,1725,56,112,280,351,310,257,178,99,52,30,0,0 to 101,37,1379,193,62,91,1181,467,77,275,0,152,0,0,37,1725,950,771,1725,0,0,6479,2,8224,6481,1725,37,2315,1888,3080878042.06929,290231.154940413,37,71664f0e-3199-410f-ad8c-5269ffa55669
61,61,31,061,INDIAN RIVER,Indian River,FL,8161,119,232,760,894,875,1044,1238,1298,954,731,16,0 to 119,56,4852,3248,61,8089,72,0,368,5974,77,2222,95,2450,5657,1,53,8037,2417,18,13,2,1313,1083,39,2435,42,126,382,387,338,343,281,209,187,153,2,0 to 101,43,1027,256,276,876,435,903,1097,305,6,184,3,0,52,2450,1092,1319,2435,15,0,23981,56,26503,24037,2450,52,2277,1792,1319798862.49319,234087.653130679,42,193731ca-a50a-4707-8eb3-d6585d669c9c
62,62,6,011,BROWARD,Broward,FL,152879,3628,5821,15124,24539,24323,25712,25168,15970,8197,4151,246,0 to 119,46,82218,69216,1445,151111,1768,0,8418,113738,2336,38241,1290,60746,91938,28,167,150919,56798,3424,490,34,31293,28706,223,60222,1289,3139,8867,11787,10577,9915,8083,4028,1989,1021,51,0 to 102,39,21897,15559,6065,16701,20435,23594,16193,6947,87,3660,66,25,782,60746,29050,31471,60222,524,0,362138,1311,424921,363449,60746,782,25128,24759,3142374056.01305,291881.846057183,39,4ac0d3a0-87b8-4126-9cf4-96dc2d84d1c4
63,63,17,033,ESCAMBIA,Escambia,FL,25050,542,753,2849,3778,3129,3348,4186,3369,1920,1068,108,0 to 119,49,14552,10338,160,21616,3434,0,1258,21284,183,3331,214,8757,16281,1,11,21604,7786,90,881,0,4224,3533,119,7876,105,326,1609,1683,1282,1124,1117,747,483,268,13,0 to 105,38,3066,2028,591,2191,278,5092,2506,876,9,521,8,7,115,8757,3907,4731,7876,881,0,58006,2632,69437,60638,8757,115,1186,1106,1767890300.40206,439974.169549806,38,3780c858-9510-4a33-a345-0acd39c89bb6
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2555,61,141,393,350,336,318,365,230,202,147,12,0 to 119,44,1406,1129,20,2543,12,0,286,1510,2,875,17,1013,1540,0,2,2541,947,62,4,0,497,509,3,1009,31,92,195,163,171,127,131,45,42,15,1,0 to 94,36,659,104,135,111,474,408,127,138,1,93,3,0,9,1013,510,500,1009,4,0,5431,8,6466,5439,1013,9,1016,935,2307690905.70045,272539.677334045,36,dd469486-5ba8-475c-9ddc-a21cc360caec
65,65,19,037,FRANKLIN,Franklin,FL,928,5,15,69,146,132,127,180,153,82,19,0,0 to 95,52,390,536,2,923,5,0,23,669,0,249,18,377,549,0,2,921,367,8,2,0,68,307,0,375,0,5,30,105,86,57,60,23,8,3,0,6 to 91,39,143,92,4,136,19,201,155,10,0,4,0,0,2,377,307,70,375,2,0,3220,3,3610,3223,377,2,148,147,1445840682.56789,446544.245992026,41,9f12dff3-9143-493b-867b-127f2b6bff20
66,66,1,001,ALACHUA,Alachua,FL,18663,271,358,2595,3584,2660,2585,2867,2073,991,612,67,0 to 119,44,10707,7821,135,18362,301,0,1009,16556,61,2051,123,4006,14648,6,3,18353,3798,155,41,12,2180,1766,7,3953,63,155,1099,911,498,466,402,254,106,50,2,0 to 103,31,1324,1163,507,959,510,2336,1107,315,11,163,11,1,26,4006,1796,2202,3953,53,0,65852,257,70138,66109,4006,26,239,217,2510756491.26947,272135.471452184,31,9eddb8fb-00dd-45f1-a09d-8e689049e28a
67,67,55,109,ST. JOHNS,St. Johns,FL,13759,188,429,1581,1553,2013,2291,2311,1896,1007,472,18,0 to 119,49,7426,6144,189,13701,58,0,839,10583,208,2661,296,3552,10153,10,44,13648,3197,316,35,4,1772,1707,34,3513,36,117,802,502,523,571,513,261,147,79,1,0 to 101,41,2310,274,213,716,257,2396,860,289,5,184,5,0,34,3552,1726,1791,3513,39,0,36532,18,40134,36550,3552,34,2803,2763,1658206648.51031,344848.248220385,41,8c0a9f2c-c490-4bbc-9e26-85b6f4aefeb1
69,68,999,999,Unknown,Unknown,FL,2016,11,22,194,293,293,293,259,167,220,254,10,0 to 119,51,1252,732,32,460,1556,0,5,1774,0,30,19,660,1351,1,4,456,202,3,450,5,95,98,12,205,11,18,122,142,117,109,84,30,15,5,7,0 to 82,36,50,29,25,101,74,30,101,0,4,0,2,1,0,660,313,323,205,455,0,4109,1097,5900,5206,660,0,5819,5817,NA,NA,36,d1373507-e2bb-431d-a2f9-63f6067c627a
70,69,998,998,A State,State,FL,1369548,23687,39754,139624,210473,199173,214239,218887,166860,96580,47462,12809,-6 to 225,48,740892,615892,12764,1351633,17907,8,80034,1094992,0,261541,10433,518075,847723,376,3374,1347927,494953,17468,5444,210,262334,246295,3792,512421,8671,20170,78605,100232,85486,82889,66960,38797,22212,12856,1197,-1 to 110,40,200978,77147,57529,176767,136054,176843,199524,50708,592,29730,384,124,7927,518075,249119,264991,512413,5654,8,3366180,12684,3903010,3378864,518075,7927,154697,141754,NA,NA,40,e2d719ef-85bc-44e7-84ed-af74ad1ec87d
