OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,MedianAge,GlobalID
15,15,3,005,BAY,Bay,FL,7212,87,114,839,1193,1123,1213,1152,773,422,228,68,0 to 119,47,3728,3365,119,7124,88,0,799,4838,28,3185,143,4194,3009,0,9,7115,3989,137,66,2,1988,2060,78,4126,51,82,651,838,727,714,559,347,155,54,16,0 to 98,41,2257,428,396,1045,306,2525,1295,445,14,187,5,5,45,4194,2101,2014,4126,68,0,21168,38,25451,21206,4194,45,368,361,1930770661.49939,558412.990825665,41,a66f3b06-8ee0-4dec-843e-f41d712aad2f
16,16,12,023,COLUMBIA,Columbia,FL,5874,129,174,468,880,933,892,1026,762,376,224,10,0 to 119,48,2559,3246,69,5851,23,0,627,3064,63,2741,23,2784,3086,0,4,5847,2540,234,8,2,767,2003,4,2774,52,84,259,534,554,485,408,250,116,41,1,0 to 102,43,1074,466,114,1120,118,1337,1319,43,1,114,2,0,14,2784,2010,770,2774,10,0,10474,13,13326,10487,2784,14,52,51,2068684690.43686,276060.430857214,43,6958d394-62b5-4f73-a62a-0fa2389d4fb3
17,17,2,003,BAKER,Baker,FL,1579,42,43,191,271,281,254,242,133,86,34,2,0 to 99,43,771,783,25,1520,59,0,146,1082,16,521,15,630,927,0,22,1498,537,93,0,0,222,408,0,630,5,15,77,130,144,105,94,30,24,6,0,1 to 97,40,326,91,39,174,13,417,200,53,0,27,0,0,4,630,408,222,630,0,0,4329,59,5026,4388,630,4,555,554,1520245937.66486,183737.354704368,40,393e3bc9-079e-4ad6-9162-d77ee72feb59
18,18,30,059,HOLMES,Holmes,FL,1317,23,44,135,198,193,220,202,187,83,31,1,0 to 119,48,655,647,15,1297,20,0,35,828,5,416,51,486,827,0,4,1293,409,66,8,3,176,297,2,475,9,16,67,103,93,84,51,40,16,7,0,0 to 96,39,322,80,35,38,25,373,77,29,0,14,0,0,2,486,302,182,475,11,0,3690,9,4192,3699,486,2,514,508,1251550190.83949,175658.620344926,39,bd5e2bc2-c55e-45e6-8687-0c7528780cd1
19,19,43,085,MARTIN,Martin,FL,10094,206,345,962,1176,1257,1331,1647,1547,1107,493,23,0 to 100,53,5070,4620,404,9990,104,0,854,6892,82,3307,110,3767,6274,1,52,9938,3723,20,24,0,1812,1910,21,3743,105,213,604,642,614,572,412,253,204,145,3,0 to 100,39,1672,222,1028,821,1771,1370,602,581,4,333,3,1,91,3767,1924,1822,3743,24,0,21428,77,25311,21505,3767,91,1984,1973,1686613017.08661,308980.48751506,39,14dc1d1d-ce53-4995-9cf2-039fe1559f59
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,81641,1909,2888,9360,13950,12319,12575,12248,8873,4740,2221,558,0 to 119,45,45535,35603,503,81169,472,0,3921,69219,458,10188,481,31865,49565,22,189,80958,31186,547,127,5,16841,14659,233,31733,691,1444,5369,6792,5129,4802,3596,1925,1078,593,446,0 to 104,37,10594,4097,4153,12889,7719,9205,14809,2532,19,1369,13,5,386,31865,14717,16915,31733,132,0,205755,350,238450,206105,31865,386,5810,5465,2746844886.16013,358788.307034344,37,12be5e4e-9d96-4b8e-8617-77c84f3bc487
21,21,41,081,MANATEE,Manatee,FL,23292,448,861,2215,2832,2840,3149,3861,3795,2314,863,114,0 to 119,52,12899,10020,373,22963,329,0,2151,18705,177,5052,81,9124,14157,3,8,22952,8954,76,94,0,4687,4200,143,9030,207,575,1463,1616,1462,1335,1122,690,431,212,11,0 to 101,39,3951,832,1143,3104,2246,3019,3765,471,7,596,6,2,189,9124,4244,4734,9030,94,0,74271,267,83726,74538,9124,189,640,541,1945653927.12581,371198.171414394,39,0ad77407-ceaa-4c6b-9e84-485e7d0fa9cc
22,22,10,019,CLAY,Clay,FL,11285,168,350,1168,1406,1636,1883,1869,1531,886,365,23,0 to 101,49,6396,4739,150,11259,26,0,785,8571,130,2065,125,3186,8085,1,13,11245,3055,123,8,0,1746,1423,9,3178,30,104,518,478,507,545,437,289,181,97,0,0 to 100,44,1588,540,256,794,296,2009,873,463,0,210,0,0,50,3186,1427,1750,3178,8,0,30878,18,34099,30896,3186,50,1964,1931,1667659896.51059,183856.484298748,44,d8b9952e-371d-460f-96ae-4666bdb4ad84
23,23,25,049,HARDEE,Hardee,FL,1953,66,180,323,360,256,257,228,170,81,32,0,0 to 95,36,1029,897,27,1944,9,0,73,734,2,1133,24,908,1044,1,0,1943,632,269,6,1,444,452,5,901,25,86,174,184,131,123,91,61,25,8,0,0 to 93,33,651,83,109,58,592,249,60,130,3,79,3,1,7,908,457,446,901,7,0,4087,2,5008,4089,908,7,1541,1440,1653184151.65315,165534.73009074,33,30dcfc30-6a6d-4712-9819-f2940d3f56ed
24,24,42,083,MARION,Marion,FL,23953,315,589,2046,3227,3234,3502,3831,3805,2421,941,42,0 to 168,52,14675,9201,77,23917,36,0,5680,13212,177,7754,246,5984,17635,1,333,23585,5815,156,12,1,3695,2241,35,5971,77,173,748,1176,1189,973,774,471,275,111,17,0 to 104,41,3453,1147,463,908,752,3883,1336,781,4,481,0,0,86,5984,2243,3706,5971,13,0,43785,23,49883,43808,5984,86,1656,1491,4305055841.62241,350920.190673371,41,76cc1b01-df08-469d-a322-71f8d05597d9
25,25,64,127,VOLUSIA,Volusia,FL,27515,318,596,2214,3322,3217,3989,5239,4613,2510,1203,294,0 to 119,54,15327,11582,606,27377,138,0,1658,22592,230,5336,298,7654,19800,0,61,27317,6838,761,49,6,4016,3535,48,7599,104,264,1187,1377,1094,1133,1080,727,418,249,21,0 to 103,43,3469,992,1489,1649,1285,4169,2145,944,7,565,5,0,126,7654,3564,4042,7599,55,0,64562,85,72401,64647,7654,126,2945,2323,3125661534.15881,560414.73783925106,43,3b926974-437e-4986-9bff-d87d276166f4
26,26,15,029,DIXIE,Dixie,FL,1237,26,55,118,164,220,163,195,163,89,43,1,0 to 118,47,656,572,9,1237,0,0,54,803,6,390,8,424,813,0,0,1237,386,38,0,0,175,249,0,424,1,19,43,78,82,61,65,44,25,6,0,3 to 91,43,265,55,6,98,9,301,114,43,0,31,0,0,4,424,249,175,424,0,0,2572,0,3001,2572,424,4,503,448,1823798262.39212,235232.973119088,43,2691daeb-cc0b-4abc-a209-fe46ce33086c
27,27,35,069,LAKE,Lake,FL,20069,329,465,1574,2241,2250,2638,3147,3248,2225,750,1202,0 to 103,54,10634,8513,922,19919,150,0,449,17975,222,1345,119,4958,15036,0,75,19846,4862,67,29,0,2531,2308,90,4929,87,194,777,892,796,762,672,430,249,90,9,0 to 103,41,1440,584,872,2033,675,1846,2408,424,13,269,5,1,61,4958,2323,2544,4929,29,0,58036,124,63203,58160,4958,61,1669,1378,2995995460.71371,331014.242454318,41,9712f6a1-e709-4877-97e2-3fe2eada2b79
28,28,38,075,LEVY,Levy,FL,2398,55,83,282,308,267,349,420,327,220,84,3,0 to 118,50,1368,1013,17,2393,5,0,156,1540,16,873,16,652,1744,0,2,2391,602,46,1,3,318,328,2,648,15,34,124,102,84,109,82,60,32,8,2,0 to 99,40,310,111,150,77,182,362,104,57,0,34,0,0,4,652,331,319,648,4,0,5439,1,6102,5440,652,4,900,850,2900663690.96646,339394.964008615,40,e8b9fc01-e14c-4049-babc-f4aa93256ea0
29,29,60,119,SUMTER,Sumter,FL,4966,36,69,193,258,282,405,673,1698,1091,172,89,0 to 119,68,2518,2297,151,4886,80,0,331,3862,164,1061,123,1237,3703,0,26,4860,1114,115,7,1,585,640,4,1229,6,34,101,81,127,149,178,314,196,47,4,1 to 99,61,686,199,67,277,64,855,310,278,1,176,0,0,41,1237,643,590,1229,8,0,16098,73,17421,16171,1237,41,677,665,1502516062.89801,229328.389599522,62,a985ccbc-ba3e-4854-acdf-8e9cd885e5aa
30,30,59,117,SEMINOLE,Seminole,FL,23300,357,637,2619,3388,3237,3589,3548,2908,1431,743,843,0 to 119,47,13058,10032,210,23240,60,0,1027,19502,246,2777,155,6976,16262,1,61,23181,6879,70,27,0,3725,3150,74,6949,122,227,1384,1411,1042,1041,755,477,274,242,1,0 to 104,38,2775,754,864,2556,975,2322,3652,702,5,447,1,0,110,6976,3162,3737,6949,27,0,60083,35,67158,60118,6976,110,2577,2335,893350621.597626,158549.770327082,38,5a9b725e-b5bc-4433-a9c5-f30390148c62
31,31,48,095,ORANGE,Orange,FL,90981,1616,2313,10145,15813,14344,14194,13184,8859,4243,1687,4583,0 to 120,44,48864,41383,734,89628,1352,1,3257,82228,585,9120,525,31026,59510,3,442,89185,30483,151,387,5,15408,14835,391,30634,470,862,5719,7510,5549,4625,3323,1663,870,391,44,0 to 106,36,7188,4136,5166,14144,5216,6892,18526,1743,54,921,42,5,287,31026,15038,15588,30633,392,1,234526,985,266818,235511,31026,287,3359,3131,2601855780.29929,275135.911496092,36,e33d02e5-646c-40c2-b9d7-442237fbb181
32,32,9,017,CITRUS,Citrus,FL,5758,57,138,457,606,569,743,1048,1128,752,245,15,0 to 222,58,3213,2388,157,5747,11,0,331,3955,119,1385,44,1473,4252,1,32,5715,874,596,2,1,761,700,9,1470,13,41,203,179,168,233,273,180,120,57,6,0 to 100,51,1125,100,108,137,78,1202,190,112,0,140,0,0,36,1473,702,762,1470,3,0,16566,8,18058,16574,1473,36,2168,1716,1565249379.23035,242867.273750112,51,3c97198a-a027-4923-a8f8-ce1fafd29127
33,33,27,053,HERNANDO,Hernando,FL,5858,101,140,578,797,732,854,977,767,553,348,11,0 to 102,52,3487,2359,12,5830,28,0,555,4025,66,2130,60,1929,3927,0,2,5828,1625,290,12,2,1062,853,0,1915,24,66,268,313,265,292,264,207,134,89,7,0 to 100,45,1452,214,241,8,352,1550,13,369,2,248,2,1,43,1929,857,1072,1915,14,0,16562,14,18518,16576,1929,43,2208,2157,1259956856.20596,200494.167365377,45,6eb18eb2-9734-45d8-9ba1-42eee8f524af
34,34,52,103,PINELLAS,Pinellas,FL,52583,565,1001,4502,7381,6437,7656,9455,7991,4825,2682,88,0 to 120,53,29864,22650,69,52190,393,0,4684,40598,411,16170,544,17541,35020,1,21,52169,17217,201,116,7,9362,8056,0,17418,237,603,2558,3476,2429,2537,2461,1538,984,709,9,0 to 104,42,8822,2996,1434,4166,1868,10443,5107,2291,29,1650,21,2,481,17541,8122,9419,17418,123,0,151476,274,169431,151750,17541,481,1233,1141,758940582.72230506,356104.408630079,42,9a6ae3e8-4aea-4d85-a26a-0191e0a5371a
35,35,61,121,SUWANNEE,Suwannee,FL,3214,98,153,348,422,431,402,471,380,277,221,11,0 to 118,48,1903,1246,65,3197,17,0,116,2079,110,1213,31,1356,1857,0,1,3196,1183,156,14,3,713,618,8,1339,42,97,197,182,212,180,153,118,100,74,1,0 to 102,42,699,168,239,233,350,704,285,206,2,101,0,0,40,1356,624,724,1339,17,0,5968,0,7337,5968,1356,40,372,368,1792465815.52835,223150.095858967,42,50957d1d-0570-4e74-922c-4ab5f585c01c
36,36,16,031,DUVAL,Duval,FL,69396,1144,2062,7881,12509,10459,10546,11058,7754,3875,1959,149,-6 to 119,45,37770,30786,840,68622,774,0,2159,60326,454,6308,276,22889,46324,13,170,68446,21025,1626,216,22,11905,10592,154,22651,318,933,3729,5290,3792,3367,2683,1588,747,421,21,0 to 103,37,5569,7391,2290,7401,1822,11175,9654,1255,29,672,15,6,177,22889,10719,12014,22651,238,0,182967,551,206624,183518,22889,177,5295,5182,2136692125.83844,339628.979868484,37,e178a8cf-16fc-449e-abf2-a69cfad303d5
37,37,34,067,LAFAYETTE,Lafayette,FL,457,10,6,53,63,49,48,60,63,58,46,1,0 to 119,54,287,165,5,456,1,0,14,352,0,66,1,129,328,0,0,456,119,9,1,0,72,56,0,128,5,6,13,27,11,19,24,17,3,4,0,1 to 98,47,67,27,19,15,15,95,18,25,0,8,0,0,1,129,56,73,128,1,0,787,0,919,787,129,1,67,67,1417838543.00769,193229.836834708,48,ffda6c44-8232-4ba9-a8d7-1995d8fd20d3
38,38,23,045,GULF,Gulf,FL,1288,29,66,115,159,149,219,257,182,85,27,0,0 to 94,50,637,648,3,1226,62,0,83,601,1,499,23,569,719,0,0,1226,557,3,9,0,223,337,0,560,8,27,59,84,83,101,118,64,17,8,0,1 to 94,47,326,204,11,19,24,492,44,86,2,35,2,0,2,569,344,225,560,9,0,3700,55,4329,3755,569,2,540,536,1469866107.27026,258929.917930346,48,35df54b7-4874-405b-8ef3-9e45948ba616
39,39,63,125,UNION,Union,FL,1447,17,37,104,117,159,174,450,295,78,16,0,0 to 118,57,426,1015,6,1447,0,0,78,1135,4,324,5,291,1156,0,0,1447,212,79,0,0,99,192,0,291,6,11,44,47,50,32,65,28,6,2,0,0 to 91,42,199,77,12,3,11,266,14,31,0,23,0,0,4,291,192,99,291,0,0,4539,0,4836,4539,291,4,317,316,646977045.561768,128178.538552252,43,254bd11b-c8fe-4e18-b61d-a60a5658d980
40,40,4,007,BRADFORD,Bradford,FL,1882,32,49,175,240,232,285,377,220,162,104,6,0 to 118,52,1082,779,21,1880,2,0,134,1384,34,515,2,434,1447,0,1,1879,333,101,0,0,178,256,0,434,6,13,52,54,68,72,90,38,28,13,0,0 to 107,47,255,119,19,41,10,365,59,39,0,27,0,0,4,434,256,178,434,0,0,3936,2,4391,3938,434,4,545,513,776744615.959412,167178.838252791,47,588f1d06-056b-4af5-a2e7-a5366c833ba5
41,41,65,129,WAKULLA,Wakulla,FL,2039,30,75,198,286,315,343,359,260,128,44,1,0 to 102,49,1009,1023,7,2031,8,0,74,1273,13,729,35,662,1373,0,4,2027,609,47,5,1,224,432,0,656,7,23,89,134,128,113,105,39,18,6,0,1 to 91,41,417,155,45,39,41,546,69,70,0,31,1,0,4,662,434,228,656,6,0,6923,2,7621,6925,662,4,595,520,1579533632.64177,279225.038340218,41,72742cee-2b13-49f0-be2b-615f9835dd19
