OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1335,37,65,168,192,173,186,187,139,108,80,0,0 to 118,46,749,581,5,1335,0,0,86,779,2,607,17,540,793,1,1,1333,491,49,0,0,276,263,1,540,11,27,77,100,68,71,69,37,37,43,0,0 to 106,42,440,39,31,30,83,421,36,75,0,39,0,0,17,540,263,276,540,0,0,4330,0,4879,4330,540,17,672,655,{CB6285A2-DA2E-4583-AAD5-1221776836AE},0,40,40,0,42,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5850,162,505,750,818,750,821,876,603,366,191,8,0 to 118,44,3408,2394,48,5840,10,0,860,3157,133,2537,32,2262,3568,0,20,5820,1320,940,1,1,1193,1058,9,2260,54,234,372,330,332,306,292,199,95,47,1,0 to 100,39,1356,612,229,63,456,1710,94,396,1,244,0,0,48,2262,1059,1194,2260,2,0,16279,8,18559,16287,2262,48,1391,1327,{CE511C5D-2638-44A3-B2F8-B13847543637},8,151,159,0.050314465408805,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2610,57,125,278,507,482,399,357,250,110,41,4,0 to 118,41,1040,1550,20,2601,9,0,71,1599,3,1286,29,1418,1186,0,6,2595,1354,61,3,0,382,1033,0,1415,6,26,149,340,331,246,171,96,36,17,0,1 to 94,40,733,562,78,42,130,1200,85,115,0,55,0,0,15,1418,1033,385,1415,3,0,5556,6,7006,5562,1418,15,1418,1319,{541BD5A3-4453-499A-9896-F0EDC5353D0B},4,97,101,0.0396039603960396,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,13432,277,706,1771,2121,1967,1730,1880,1293,943,696,48,0 to 119,44,7727,5619,86,13255,176,1,713,7789,137,3288,238,5756,7616,1,59,13196,5496,214,41,5,3085,2580,45,5710,64,220,986,1100,898,762,790,477,271,179,9,0 to 103,40,2952,468,1234,1056,655,3986,1069,508,5,312,5,1,128,5756,2601,3110,5709,46,1,36488,130,42434,36618,5756,128,7151,6725,{EB5D2450-A892-40FD-9BA4-9821A7438525},54,536,590,0.0915254237288136,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1367,24,90,153,198,220,189,187,152,103,51,0,0 to 99,44,684,669,14,1366,1,0,55,558,4,574,19,668,698,0,1,1365,629,38,1,0,281,385,1,667,6,26,75,125,115,95,85,66,46,29,0,0 to 99,43,448,98,47,74,28,541,98,64,1,36,1,0,14,668,386,281,667,1,0,4453,0,5131,4453,668,14,939,878,{3B55AA95-5170-4CAF-82A3-E99AD7459349},4,26,30,0.133333333333333,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,113153,1898,3592,12438,15921,15066,16441,17478,14011,9425,5282,1601,0 to 119,49,61225,51593,335,112081,1070,2,10900,82346,465,36927,1155,48870,63891,153,239,111694,47742,693,426,9,25168,23125,142,48435,770,1911,8006,8878,7723,7472,6240,3553,2376,1891,50,0 to 106,41,19612,7826,8855,12142,13180,21382,13873,5426,65,3922,44,23,1487,48870,23360,25363,48433,435,2,345209,636,395329,345845,48870,1487,15112,14848,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},205,5168,5373,0.0381537316210683,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,19985,435,827,2082,2700,2743,3078,3114,2510,1561,909,26,0 to 119,48,11431,8390,164,19828,157,0,1990,11540,188,7292,274,8562,11163,4,256,19568,8378,155,28,1,4695,3836,2,8533,154,378,1150,1399,1364,1344,1173,809,474,316,1,0 to 104,43,3554,1997,1177,1805,1962,4354,2217,910,4,734,3,1,316,8562,3852,4708,8533,29,0,58971,127,67716,59098,8562,316,8016,8001,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},42,855,897,0.0468227424749164,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25343,507,1222,2993,3442,3584,3925,3885,3104,1854,814,13,0 to 119,47,14156,11110,77,25201,142,0,2150,15531,223,10179,472,10169,15007,4,163,25034,9857,235,75,2,5270,4818,4,10092,151,412,1619,1708,1598,1585,1334,924,556,280,2,0 to 105,42,7277,725,1558,532,2422,6967,703,1262,10,948,5,1,223,10169,4854,5311,10092,77,0,90329,70,100628,90399,10169,223,10685,10136,{83116673-3FAD-423E-B67E-DFE7515F5E81},77,1360,1437,0.0535838552540014,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5838,150,350,664,928,1019,984,841,571,222,106,3,0 to 119,42,3384,2445,9,5815,22,1,658,3189,46,2245,45,3019,2811,1,7,5808,2930,80,9,0,1472,1535,3,3010,74,196,410,488,571,532,406,212,94,35,1,0 to 98,40,889,1259,562,300,570,2000,440,444,0,235,0,0,53,3019,1537,1479,3009,9,1,14685,16,17766,14701,3019,53,1522,1327,{77657EA6-12D6-4645-9915-E7357C9F40D6},5,305,310,0.0161290322580645,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,24913,519,830,7136,3758,3116,2997,3029,2158,864,461,45,0 to 119,35,13449,11351,113,24374,538,1,2587,16615,201,7303,257,11616,13265,4,28,24344,11197,83,331,5,6259,4997,24,11280,204,406,5360,1683,1217,1012,906,458,212,148,10,0 to 105,24,4429,2926,1533,2392,949,6265,4066,674,25,272,12,11,98,11616,5139,6451,11279,336,1,83427,212,95399,83639,11616,98,5484,5072,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},52,1697,1749,0.0297312750142939,24,2.4286163266357628,0.1707040441862682
