OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1638,42,108,243,230,223,224,216,152,117,83,0,0 to 118,43,875,753,10,1638,0,0,113,821,2,854,24,760,874,1,3,1634,676,84,0,0,359,395,6,760,12,44,123,135,109,104,93,48,46,46,0,0 to 106,40,579,54,38,89,91,572,97,90,0,48,0,0,19,760,395,359,760,0,0,4993,0,5764,4993,760,19,975,958,{CB6285A2-DA2E-4583-AAD5-1221776836AE},13,76,89,0.146067415730337,40,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,6535,189,598,861,887,830,904,977,681,396,204,8,0 to 118,43,3765,2727,43,6520,15,0,1015,3137,133,3383,63,2729,3779,0,27,6493,1573,1149,3,4,1438,1274,10,2722,64,272,443,379,393,367,367,259,123,61,1,0 to 100,40,1701,695,265,61,513,2127,82,429,2,286,2,0,58,2729,1279,1440,2722,7,0,19041,8,21790,19049,2729,58,1768,1705,{CE511C5D-2638-44A3-B2F8-B13847543637},8,97,105,0.0761904761904762,40,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2902,66,181,310,536,519,434,404,275,129,44,4,0 to 118,41,1196,1686,20,2892,10,0,83,1641,3,1574,32,1637,1260,0,5,2887,1539,94,4,0,491,1141,1,1633,10,45,167,360,366,281,214,117,56,21,0,0 to 95,41,898,585,82,68,132,1398,103,139,0,66,0,0,21,1637,1142,494,1633,4,0,6269,6,7937,6275,1637,21,1707,1610,{541BD5A3-4453-499A-9896-F0EDC5353D0B},1,39,40,0.025,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,17609,375,1376,2432,2724,2519,2265,2408,1595,1096,768,51,0 to 119,42,9914,7587,108,17385,223,1,928,8322,137,5890,410,8793,8724,1,91,17295,8232,466,82,13,4651,3990,57,8698,102,425,1375,1637,1348,1212,1242,752,423,266,11,0 to 103,40,4394,697,1565,2042,806,5915,1977,611,5,418,6,1,147,8793,4037,4699,8697,95,1,45188,127,54176,45315,8793,147,13024,12600,{EB5D2450-A892-40FD-9BA4-9821A7438525},51,648,699,0.0729613733905579,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1672,37,140,207,234,253,229,215,184,117,56,0,0 to 99,43,842,816,14,1670,2,0,79,560,4,726,19,862,806,0,4,1666,765,95,2,0,381,478,1,860,11,42,98,150,134,130,111,93,59,34,0,0 to 99,44,594,113,63,90,30,706,124,81,1,40,1,0,22,862,479,382,860,2,0,4928,0,5800,4928,862,22,1321,1261,{3B55AA95-5170-4CAF-82A3-E99AD7459349},1,29,30,0.0333333333333333,45,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,132620,2369,5209,15871,19265,17840,19213,19888,15507,10259,5591,1608,0 to 119,47,71136,61002,482,131188,1430,2,14738,88110,465,48038,1616,64670,67413,149,388,130658,63043,902,713,12,32917,30788,240,63945,989,2796,10862,11889,10062,9763,8260,4743,3071,2182,53,0 to 106,40,28495,9219,10817,15414,17075,30079,16791,6292,82,4486,57,24,1678,64670,31165,33236,63943,725,2,438815,705,504823,439520,64670,1678,24867,24604,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},349,5952,6301,0.0553880336454531,40,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,23263,568,1169,2620,3175,3186,3539,3511,2817,1693,955,30,0 to 119,47,13180,9902,181,23097,166,0,2449,11836,188,9705,438,10702,12222,4,335,22758,10496,169,35,2,5838,4818,9,10665,197,469,1445,1735,1690,1694,1478,1058,579,355,2,0 to 104,43,4892,2300,1434,2039,2408,5764,2493,1117,6,881,5,1,367,10702,4836,5856,10665,37,0,71704,128,82590,71832,10702,367,11439,11424,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},73,987,1060,0.0688679245283019,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,31533,642,2095,4104,4075,4302,4783,4600,3763,2242,910,17,0 to 119,46,17457,13938,138,31329,204,0,2533,17219,223,13670,709,14620,16674,4,235,31090,14037,445,135,2,7609,6814,59,14482,216,695,2241,2239,2187,2274,1949,1525,918,371,4,0 to 105,43,10440,920,1917,1205,3126,9828,1528,1643,14,1223,8,2,271,14619,6871,7688,14482,137,0,113947,71,128714,114018,14619,271,17491,16945,{83116673-3FAD-423E-B67E-DFE7515F5E81},131,1489,1620,0.0808641975308642,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,6204,169,402,725,977,1074,1022,880,605,239,108,3,0 to 119,42,3584,2610,10,6179,24,1,709,3229,46,2527,60,3286,2910,1,7,6172,3175,100,11,0,1620,1651,4,3275,83,215,453,533,614,570,436,236,109,36,1,0 to 98,40,992,1393,623,267,635,2239,401,467,1,252,0,0,57,3286,1653,1629,3274,11,1,16580,16,19930,16596,3286,57,1816,1621,{77657EA6-12D6-4645-9915-E7357C9F40D6},21,162,183,0.114754098360656,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,28990,625,1017,8994,4372,3536,3358,3291,2317,933,502,45,0 to 119,33,15664,13216,110,28350,639,1,3425,17510,201,10273,380,14885,14068,5,32,28316,14335,116,428,6,7952,6467,32,14451,237,513,6759,2226,1598,1322,1134,615,281,191,9,0 to 106,24,6041,3975,1865,2570,1348,8949,4154,812,29,330,15,15,139,14885,6647,8203,14450,434,1,105061,211,120325,105272,14885,139,7365,6959,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},108,1764,1872,0.0576923076923077,24,2.4286163266357628,0.1707040441862682
