OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
37,37,34,067,LAFAYETTE,Lafayette,FL,351,6,0,43,43,39,35,38,47,55,44,1,0 to 119,58,225,119,7,351,0,0,12,329,0,19,1,20,331,0,0,351,15,5,0,0,9,11,0,20,1,0,3,5,1,3,3,2,0,2,0,3 to 98,40,18,2,0,0,4,15,1,3,0,2,0,0,0,20,11,9,20,0,0,435,0,456,435,20,0,15,15,46,NA,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,613,11,14,36,57,64,102,123,122,65,19,0,0 to 94,56,361,249,3,557,56,0,17,582,1,53,12,11,602,0,0,557,6,3,2,0,5,4,0,9,0,1,0,1,2,4,0,3,0,0,0,9 to 70,48,7,0,2,0,2,7,0,1,1,0,1,0,0,11,5,6,9,2,0,1221,54,1286,1275,11,0,23,20,48,NA,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1170,11,17,55,76,108,139,401,277,72,14,0,0 to 118,59,317,846,7,1170,0,0,16,1128,4,78,4,42,1128,0,0,1170,39,3,0,0,7,35,0,42,0,0,1,5,1,3,19,11,2,0,0,22 to 80,61,27,13,2,0,2,40,0,9,0,9,0,0,2,42,35,7,42,0,0,2073,0,2115,2073,42,2,39,37,61,NA,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1479,20,26,118,189,169,223,290,189,146,103,6,0 to 118,54,926,528,25,1477,2,0,30,1396,34,157,2,63,1415,0,1,1476,23,40,0,0,47,16,0,63,0,2,5,5,9,8,5,6,12,11,0,8 to 107,57,51,11,1,0,3,60,0,7,0,13,0,0,2,63,16,47,63,0,0,2158,2,2224,2160,63,2,159,127,62,NA,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,1256,13,29,87,138,169,215,245,213,107,39,1,0 to 102,53,710,535,11,1252,4,0,12,1189,13,194,4,40,1216,0,0,1252,22,16,2,0,25,13,0,38,0,0,5,6,6,12,6,3,1,1,0,18 to 86,46,21,13,3,1,1,36,1,7,0,5,0,0,1,40,13,27,38,2,0,1806,2,1848,1808,40,1,106,31,46,NA,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,19707,261,351,1132,1892,2134,2737,4435,3957,2102,557,149,0 to 119,58,11195,8409,103,19689,18,0,203,19023,107,746,87,878,18826,0,3,19686,805,61,10,2,452,413,1,866,14,26,145,141,144,121,139,79,40,29,0,0 to 99,42,572,79,75,140,218,497,151,182,3,92,3,0,16,878,417,460,866,12,0,34176,6,35062,34182,878,16,740,682,42,NA,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,19389,453,525,1459,2451,2515,2777,3139,3007,1922,803,338,0 to 119,52,11206,7995,188,19295,94,0,399,17519,231,1606,142,2225,17151,1,12,19282,1963,247,14,1,1247,958,5,2210,29,79,280,353,360,311,292,217,182,122,0,0 to 103,45,1259,352,237,362,644,1135,431,585,9,410,5,0,78,2225,964,1256,2210,15,0,35398,79,37711,35477,2225,78,1314,744,46,NA,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,13613,174,356,966,1876,1944,2246,2339,1791,886,323,712,0 to 155,50,7611,5930,72,13536,77,0,521,12171,390,1023,212,1080,12483,2,48,13487,994,37,47,2,512,518,1,1031,14,26,128,224,157,188,154,107,63,18,1,0 to 102,44,496,93,412,30,628,328,75,284,8,170,7,2,23,1080,554,525,1031,49,0,19877,27,21001,19904,1080,23,847,334,44,NA,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,3809,57,58,181,391,344,446,609,719,625,359,20,0 to 119,62,2310,1462,37,3744,65,0,59,3556,47,209,24,238,3566,0,5,3739,198,38,2,0,123,113,0,236,5,9,20,32,34,37,48,28,20,5,0,0 to 91,51,146,41,30,19,90,119,27,54,1,49,1,0,10,238,115,123,236,2,0,6349,63,6653,6412,238,10,268,153,51,NA,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,27134,318,414,1928,3154,3334,3823,4606,4827,3216,1453,61,0 to 119,56,15615,11287,232,26174,959,1,597,24065,613,2633,173,3666,23446,1,21,26154,3413,168,79,6,1892,1682,7,3581,50,90,466,600,559,571,481,361,260,228,0,0 to 101,46,2116,503,101,861,1157,1534,890,845,15,539,13,4,149,3666,1728,1929,3580,85,1,42332,873,46882,43205,3666,149,2569,961,46,NA,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,16379,346,598,1438,1858,2018,2125,2459,2720,2093,694,30,0 to 105,54,8814,7489,76,16020,359,0,443,13551,356,2623,164,3206,13093,3,77,15940,2832,294,64,16,1515,1607,4,3126,88,180,504,513,554,451,399,243,187,87,0,0 to 101,40,1772,160,277,917,1634,738,754,433,20,291,11,6,64,3206,1654,1548,3126,80,0,25512,279,29006,25791,3206,64,3048,2059,40,NA,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,162933,1755,2564,12485,25906,25896,29644,27988,19027,10823,6235,610,0 to 225,49,85041,76731,1161,161488,1444,1,3965,146887,2785,16733,995,26239,136448,100,146,161244,24937,826,467,9,12820,12925,18,25763,234,452,2463,4554,4201,4743,4020,2632,1656,1275,9,0 to 108,47,13498,3915,1210,7140,13505,5145,7113,6089,48,3700,31,15,884,26239,13179,13038,25762,476,1,235475,967,262908,236442,26239,884,4273,3532,47,NA,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,3641,29,57,224,439,489,625,794,582,292,108,2,0 to 101,54,1920,1712,9,3565,76,0,1243,2001,83,800,122,165,3412,0,64,3506,133,20,8,4,69,84,0,153,2,6,12,17,21,27,26,25,17,12,0,3 to 100,53,110,6,1,36,37,75,41,22,3,14,2,0,4,165,91,74,153,12,0,4510,58,4733,4568,165,4,558,280,54,NA,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,7029,228,264,571,926,983,1052,1165,1048,544,238,10,0 to 119,50,3855,3147,27,6962,67,0,94,6633,99,296,71,350,6676,1,2,6959,305,40,5,0,127,218,0,345,4,3,62,61,59,61,45,34,12,9,0,0 to 98,41,258,44,8,35,22,267,56,29,0,26,0,0,9,350,219,131,345,5,0,10964,62,11378,11026,350,9,840,296,41,NA,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,1678,53,42,105,176,218,247,294,250,158,132,3,0 to 101,54,933,708,37,1614,64,0,30,1518,15,208,44,186,1492,0,0,1614,139,23,21,3,91,71,0,162,6,11,16,22,34,22,34,22,13,6,0,0 to 101,46,147,10,3,2,48,108,6,28,5,22,2,0,9,186,80,106,162,24,0,2729,40,2959,2769,186,9,145,90,46,NA,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,3041,25,35,247,518,522,529,479,309,231,140,6,0 to 105,48,1367,1580,94,3018,23,0,18,2618,19,318,27,338,2699,1,3,3014,291,38,8,1,76,253,0,329,2,8,32,80,78,63,53,15,6,1,0,0 to 87,40,139,137,19,34,29,192,108,40,2,25,0,0,2,338,257,81,329,9,0,4367,14,4727,4381,338,2,444,244,40,NA,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,905,12,16,54,95,110,142,195,127,99,55,0,0 to 119,56,534,349,22,899,6,0,30,747,9,129,14,96,808,0,1,898,74,20,2,0,49,45,0,94,0,2,4,10,9,10,22,16,16,7,0,9 to 99,59,68,18,1,7,1,85,8,8,0,19,0,0,11,96,45,51,94,2,0,1574,4,1675,1578,96,11,134,77,59,NA,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,3278,46,52,230,334,379,450,628,602,382,171,4,0 to 103,57,1766,1317,195,3169,109,0,45,3146,28,88,33,120,3157,0,1,3168,91,21,6,2,56,56,0,112,2,1,17,21,25,14,14,16,7,3,0,1 to 89,43,81,16,2,13,1,96,15,30,1,16,0,0,1,120,59,61,112,8,0,5674,101,5896,5775,120,1,112,106,43,NA,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,297,2,10,34,63,62,34,32,30,23,6,1,1 to 90,40,121,174,2,297,0,0,24,189,3,141,0,142,155,0,0,297,140,2,0,0,29,113,0,142,1,3,18,44,39,18,12,5,1,1,0,3 to 89,37,115,18,3,6,95,41,6,18,0,13,0,0,1,142,113,29,142,0,0,434,0,576,434,142,1,132,73,37,NA,2.276843366242558,0.23195700955234813
56,56,8,015,CHARLOTTE,Charlotte,FL,5534,61,52,252,462,531,761,1062,1057,740,550,6,0 to 119,61,3267,2201,66,5515,19,0,158,4982,62,573,23,597,4933,1,3,5511,444,150,2,1,362,232,0,594,5,8,25,62,39,69,109,89,86,105,0,0 to 101,63,475,55,15,49,37,494,63,105,1,136,1,0,75,597,234,363,594,3,0,9779,16,10394,9795,597,75,91,72,63,NA,3.8321805931522803,0.16585624394389412
57,57,58,115,SARASOTA,Sarasota,FL,13384,156,180,704,1214,1239,1660,2457,2787,1993,952,42,0 to 119,61,7543,5669,172,13143,241,0,482,12410,190,1115,99,992,12386,2,4,13137,905,62,19,6,527,439,1,967,8,16,87,146,117,116,129,133,137,102,1,0 to 104,55,726,63,79,99,125,690,152,216,13,183,10,1,94,992,454,537,967,25,0,29522,216,30735,29738,992,94,438,332,56,NA,2.5144239533088304,0.13745510082611065
58,58,14,027,DESOTO,Desoto,FL,2479,58,104,210,335,340,438,483,281,154,70,6,0 to 102,49,1007,1330,142,2469,10,0,47,1960,48,471,12,468,2000,0,11,2458,346,122,0,0,222,245,1,468,18,52,69,92,75,60,55,32,7,8,0,0 to 92,35,359,40,10,59,297,105,66,77,0,52,0,0,10,468,245,222,468,0,0,3408,10,3890,3418,468,10,575,449,35,NA,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,3902,42,38,191,372,456,550,775,777,484,211,6,0 to 119,58,2286,1563,53,3863,39,0,90,3695,37,211,38,237,3665,0,0,3863,197,31,9,0,137,91,0,228,0,4,18,29,28,36,56,44,18,4,0,5 to 94,55,134,36,45,13,29,183,16,35,3,25,2,1,5,237,95,142,228,9,0,6966,30,7238,6996,237,5,130,95,56,NA,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,2502,86,97,318,458,397,357,336,203,137,106,7,0 to 119,42,1237,1255,10,2500,2,0,166,1731,32,747,3,763,1738,0,1,2499,720,43,0,0,301,462,0,763,24,30,110,177,153,110,74,40,27,18,0,0 to 101,37,620,72,19,52,568,160,35,128,0,76,0,0,22,763,462,301,763,0,0,3675,2,4441,3677,763,22,1038,608,37,NA,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,5607,63,78,364,515,512,677,909,1093,797,586,13,0 to 119,61,3426,2159,22,5536,71,0,200,4887,77,613,62,409,5170,0,28,5510,384,14,9,2,212,186,0,398,5,20,66,64,53,54,35,47,42,23,0,0 to 99,43,211,23,38,126,80,170,148,96,6,48,3,0,15,409,193,216,398,11,0,11022,58,11493,11080,409,15,992,506,44,NA,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,97871,1256,1671,6767,14321,14980,17184,18488,12728,6774,3509,193,0 to 119,50,53116,43202,1553,96326,1545,0,2397,87240,2336,11552,1039,11327,86504,13,27,96289,9765,1284,254,24,5557,5492,0,11049,117,295,1305,2010,1885,1947,1815,1008,600,345,0,0 to 102,45,5445,3725,976,903,4033,6186,830,3014,69,1831,56,22,373,11327,5675,5652,11049,278,0,152744,1264,165410,154008,11327,373,6063,5693,45,NA,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,17991,453,464,1464,2335,2093,2439,3335,2817,1621,933,37,0 to 119,54,10883,7067,41,15166,2825,0,195,17220,183,851,75,1202,16783,2,4,15160,887,64,251,0,552,399,0,951,21,41,170,167,152,152,169,127,128,75,0,0 to 105,48,434,335,35,147,47,704,200,115,1,75,1,1,41,1202,498,704,951,251,0,24790,2574,28579,27364,1202,41,537,457,48,NA,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,1708,32,57,242,206,187,215,258,186,177,137,11,0 to 119,50,1000,685,23,1698,10,0,72,1426,2,231,10,250,1458,0,0,1698,217,31,2,0,123,123,2,248,10,26,58,37,41,32,31,9,5,1,0,0 to 87,33,168,21,20,39,133,78,37,17,0,21,2,0,0,250,124,124,248,2,0,2608,8,2866,2616,250,0,288,206,33,NA,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,465,2,4,24,34,35,49,105,125,71,16,0,0 to 95,63,260,202,3,461,4,0,8,455,0,6,4,4,461,0,0,461,2,1,1,0,3,0,0,3,0,0,0,1,0,0,1,1,1,0,0,25 to 75,62,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,3,1,0,733,3,740,736,4,0,4,3,42,NA,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,15596,214,209,1752,2877,2256,2238,2577,1913,919,575,66,0 to 119,47,8990,6457,149,15323,273,0,217,15095,61,590,63,738,14852,6,0,15317,660,55,12,11,359,356,0,715,7,8,232,161,71,80,67,71,26,14,1,0 to 103,32,257,164,151,143,162,406,147,147,5,87,4,0,11,738,368,370,715,23,0,34662,250,35659,34912,738,11,120,98,32,NA,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,9958,134,231,749,1018,1455,1654,1788,1648,874,391,16,0 to 119,53,5530,4309,119,9927,31,0,261,9284,208,474,132,496,9431,19,12,9897,425,59,9,3,241,241,2,484,5,6,81,67,58,98,82,66,27,6,0,0 to 97,48,300,26,23,135,25,311,148,78,3,54,3,0,7,496,247,247,484,12,0,16080,18,16617,16098,496,7,490,450,48,NA,3.2463364568121142,0.15487996912821236
68,999,999,999,Unknown,Unknown,FL,1388,0,4,64,154,181,189,177,139,213,265,2,6 to 119,60,948,433,7,130,1258,0,2,1379,0,7,10,119,1268,1,0,129,7,0,110,2,3,4,0,7,0,3,9,32,25,24,12,5,5,4,0,6 to 88,41,1,1,0,5,0,0,7,0,1,0,0,0,0,119,65,53,7,112,0,706,1146,1985,1852,119,0,31,29,41,NA,0.7369088143033444,0.04263711096938869
