OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1336,37,66,168,192,173,186,187,139,108,80,0,0 to 118,46,749,582,5,1336,0,0,86,779,2,608,17,540,794,1,1,1334,491,49,0,0,276,263,1,540,11,27,77,100,68,71,69,37,37,43,0,0 to 106,42,440,39,31,30,83,421,36,75,0,39,0,0,18,540,263,276,540,0,0,4344,0,4893,4344,540,18,672,655,{CB6285A2-DA2E-4583-AAD5-1221776836AE},0,8,8,0,42,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5863,162,506,754,819,751,824,879,603,366,191,8,0 to 118,44,3416,2399,48,5853,10,0,859,3161,133,2549,32,2272,3571,0,20,5833,1327,943,1,1,1199,1062,9,2270,54,235,373,331,333,308,294,199,96,48,1,0 to 100,39,1363,612,232,63,460,1716,94,396,1,244,0,0,48,2272,1063,1200,2270,2,0,16359,8,18649,16367,2272,48,1393,1330,{CE511C5D-2638-44A3-B2F8-B13847543637},3,72,75,0.04,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2615,57,125,278,507,483,399,358,253,110,41,4,0 to 118,41,1044,1551,20,2606,9,0,71,1601,3,1289,29,1424,1185,0,6,2600,1360,61,3,0,386,1035,0,1421,6,26,149,340,332,246,172,100,36,17,0,1 to 94,40,734,563,78,46,130,1202,89,115,0,55,0,0,15,1424,1035,389,1421,3,0,5570,6,7026,5576,1424,15,1419,1320,{541BD5A3-4453-499A-9896-F0EDC5353D0B},3,22,25,0.12,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,13555,277,734,1806,2130,1982,1737,1897,1299,947,698,48,0 to 119,43,7786,5683,86,13377,177,1,725,7796,137,3342,246,5820,7676,1,58,13319,5559,214,42,5,3110,2618,45,5773,64,229,997,1108,907,767,806,480,274,179,9,0 to 103,40,2983,472,1239,1079,658,4018,1097,510,5,314,5,1,129,5820,2640,3135,5772,47,1,36876,130,42887,37006,5820,129,7384,6958,{EB5D2450-A892-40FD-9BA4-9821A7438525},27,242,269,0.100371747211896,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1371,24,91,154,198,220,190,188,152,103,51,0,0 to 99,44,685,672,14,1370,1,0,55,558,4,576,19,670,700,0,1,1369,631,38,1,0,281,387,1,669,6,26,75,125,115,96,86,66,46,29,0,0 to 99,44,449,98,48,74,28,543,98,65,1,36,1,0,14,670,388,281,669,1,0,4457,0,5137,4457,670,14,941,880,{3B55AA95-5170-4CAF-82A3-E99AD7459349},2,16,18,0.111111111111111,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,113430,1903,3604,12487,15964,15109,16481,17514,14038,9441,5288,1601,0 to 119,49,61366,51729,335,112358,1070,2,10974,82383,465,37164,1165,49068,63966,153,243,111967,47938,695,426,9,25264,23227,142,48633,771,1916,8042,8918,7755,7504,6258,3569,2390,1895,50,0 to 106,41,19770,7854,8883,12126,13257,21501,13875,5450,65,3940,44,23,1497,49068,23462,25460,48631,435,2,346904,636,397220,347540,49068,1497,15241,14977,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},66,2343,2409,0.0273972602739726,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,20079,437,836,2098,2716,2747,3098,3126,2519,1565,911,26,0 to 119,48,11472,8444,163,19922,157,0,2005,11538,188,7356,280,8616,11196,4,263,19655,8432,155,28,1,4719,3867,1,8587,154,381,1158,1407,1366,1357,1178,818,477,319,1,0 to 104,43,3593,2007,1185,1802,1977,4392,2218,913,4,735,3,1,318,8616,3883,4732,8587,29,0,59359,127,68157,59486,8616,318,8131,8116,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},18,360,378,0.0476190476190476,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25453,509,1246,3007,3453,3595,3941,3900,3116,1858,814,14,0 to 119,47,14207,11169,77,25311,142,0,2165,15553,223,10271,475,10238,15046,4,165,25142,9926,235,75,2,5308,4849,4,10161,153,417,1627,1716,1608,1596,1346,934,559,280,2,0 to 105,42,7335,731,1566,529,2435,7017,709,1280,10,956,5,1,224,10238,4885,5349,10161,77,0,90924,70,101293,90994,10238,224,10736,10187,{83116673-3FAD-423E-B67E-DFE7515F5E81},27,543,570,0.0473684210526316,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5857,151,354,667,930,1023,984,842,575,222,106,3,0 to 119,42,3392,2457,8,5834,22,1,661,3187,46,2261,46,3031,2819,1,6,5828,2942,80,9,0,1479,1541,2,3022,74,197,411,491,573,532,407,216,94,35,1,0 to 98,40,894,1266,563,299,570,2011,441,445,0,235,0,0,54,3031,1543,1486,3021,9,1,14714,16,17807,14730,3031,54,1540,1345,{77657EA6-12D6-4645-9915-E7357C9F40D6},1,64,65,0.0153846153846154,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,24973,524,830,7163,3765,3118,3005,3033,2162,866,462,45,0 to 119,35,13475,11385,113,24433,539,1,2610,16598,201,7359,260,11646,13295,4,28,24403,11226,83,332,5,6274,5011,24,11309,206,406,5363,1689,1218,1019,911,461,214,149,10,0 to 105,24,4450,2937,1539,2383,951,6303,4055,674,25,272,12,11,99,11646,5154,6466,11308,337,1,83658,212,95662,83870,11646,99,5526,5114,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},9,599,608,0.0148026315789474,24,2.4286163266357628,0.1707040441862682
