OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1265,33,62,155,177,163,180,174,135,107,79,0,0 to 118,48,721,538,6,1265,0,0,78,773,2,553,17,485,778,1,1,1263,446,39,0,0,255,229,1,485,10,25,70,85,58,66,60,33,36,42,0,0 to 106,43,402,30,23,30,73,378,34,69,0,37,0,0,11,485,229,255,485,0,0,3917,0,4411,3917,485,11,633,616,{CB6285A2-DA2E-4583-AAD5-1221776836AE},2,24,26,0.0769230769230769,43,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5105,129,316,605,738,684,738,796,538,351,182,28,0 to 118,46,3015,2035,55,5095,10,0,738,3382,133,1749,30,1889,3207,0,9,5086,1152,735,1,1,991,879,17,1887,46,182,313,280,292,249,239,146,84,41,17,0 to 100,38,1041,512,229,105,397,1334,156,349,1,207,0,0,38,1889,880,992,1887,2,0,13749,8,15658,13757,1889,38,610,542,{CE511C5D-2638-44A3-B2F8-B13847543637},15,210,225,0.0666666666666667,38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2329,47,80,243,465,450,362,319,222,99,38,4,0 to 118,41,929,1379,21,2320,9,0,64,1525,3,1010,29,1233,1090,0,6,2314,1171,59,3,0,307,923,0,1230,4,23,127,309,302,218,139,72,27,12,0,1 to 92,39,617,517,74,22,125,1043,62,94,0,39,0,0,10,1233,923,310,1230,3,0,4950,6,6218,4956,1233,10,1068,970,{541BD5A3-4453-499A-9896-F0EDC5353D0B},0,19,19,0,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,11492,233,386,1348,1869,1703,1539,1601,1182,900,684,47,0 to 119,45,6673,4737,82,11322,169,1,630,7407,137,2305,163,4502,6966,1,23,11299,4255,210,32,5,2428,1992,45,4465,50,152,763,876,712,609,560,378,229,166,7,0 to 103,40,2465,420,834,746,582,3001,882,446,4,270,2,0,94,4502,2009,2448,4464,37,1,29828,132,34511,29960,4502,94,3930,3504,{EB5D2450-A892-40FD-9BA4-9821A7438525},35,403,438,0.0799086757990868,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1241,20,73,131,180,202,172,175,140,99,49,0,0 to 99,45,633,593,15,1240,1,0,40,554,4,516,13,588,652,0,1,1239,567,20,1,0,251,335,1,587,5,22,63,111,103,83,74,57,42,28,0,0 to 99,44,383,92,39,73,25,477,85,59,1,32,1,0,9,588,336,251,587,1,0,4162,0,4760,4162,588,9,846,785,{3B55AA95-5170-4CAF-82A3-E99AD7459349},3,28,31,0.0967741935483871,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,106132,1765,3166,10727,14937,14150,15466,16667,13410,9075,5092,1677,0 to 119,50,57469,48251,412,105101,1029,2,9356,80504,465,30784,874,43532,62147,159,294,104653,42482,658,385,7,22352,20594,194,43140,712,1689,6580,8030,7030,6710,5631,3207,2135,1725,83,0 to 106,41,16373,7000,7939,11828,11846,17612,13682,4756,60,3422,41,19,1187,43532,20805,22526,43138,392,2,293800,644,338599,294444,43532,1187,11522,11257,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},106,2717,2823,0.0375487070492384,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,18081,353,621,1733,2479,2509,2800,2862,2330,1467,855,72,0 to 119,49,10351,7490,240,17925,156,0,1665,11796,188,5547,209,7404,10412,4,261,17660,7233,145,25,1,4028,3287,63,7378,137,325,967,1231,1204,1168,993,666,401,275,37,0 to 104,43,2753,1719,1100,1806,1693,3389,2296,729,2,599,2,1,255,7404,3302,4039,7378,26,0,47287,131,54876,47418,7404,255,5547,5532,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},30,617,647,0.0463678516228748,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,22521,436,769,2374,3094,3209,3596,3586,2911,1730,780,36,0 to 119,48,12689,9751,81,22398,123,0,1995,14902,223,7855,349,8411,13977,3,130,22265,8198,155,56,2,4374,3969,10,8353,124,304,1275,1449,1326,1349,1116,768,443,248,9,0 to 119,42,6012,634,1303,404,2069,5733,551,1095,10,764,5,1,189,8411,3995,4406,8353,58,0,73877,70,82416,73947,8411,189,6454,5903,{83116673-3FAD-423E-B67E-DFE7515F5E81},32,634,666,0.0480480480480481,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5225,115,264,556,856,919,893,762,538,200,103,19,0 to 119,43,3049,2154,22,5203,21,1,492,3244,46,1744,35,2555,2665,0,5,5199,2496,51,8,0,1215,1317,15,2547,56,149,349,427,484,451,336,182,73,31,17,0 to 98,40,737,992,444,374,468,1547,532,365,0,197,0,0,44,2555,1318,1222,2546,8,1,13006,16,15616,13022,2555,44,1088,893,{77657EA6-12D6-4645-9915-E7357C9F40D6},5,391,396,0.0126262626262626,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,21030,369,647,5132,3343,2766,2705,2769,2015,802,428,54,0 to 119,38,11237,9670,123,20589,440,1,1735,15796,201,4704,204,8273,12732,6,19,20566,7975,61,232,5,4462,3548,26,8036,136,288,3619,1312,884,755,676,324,151,108,20,0 to 105,25,2636,2189,1092,2119,584,4097,3355,511,18,192,11,8,44,8273,3653,4594,8035,237,1,69998,211,78617,70209,8273,44,3260,2847,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},133,954,1087,0.122355105795768,25,2.4286163266357628,0.1707040441862682
