OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2349,69,205,363,309,326,327,293,207,157,93,0,0 to 118,41,1289,1048,12,2345,4,0,175,1071,2,1396,31,1389,954,1,5,2339,1190,195,2,2,727,650,8,1385,29,106,219,213,203,199,164,106,92,58,0,0 to 106,40,1073,82,53,177,118,1074,193,117,0,65,0,0,31,1389,652,729,1385,4,0,6145,0,7552,6145,1389,31,1356,1339,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,2,21,23,0.0869565217391304,40
2,2,54,107,PUTNAM,Putnam,FL,9827,322,943,1336,1319,1264,1340,1415,1028,594,256,10,0 to 118,42,5565,4222,40,9802,25,0,1679,3711,133,6875,89,5783,4000,0,44,9758,3448,2318,10,7,3126,2623,17,5766,142,508,864,798,796,785,806,609,335,138,2,0 to 100,42,3846,1292,466,162,770,4730,266,689,2,494,2,1,122,5783,2634,3132,5766,17,0,24516,0,30312,24516,5783,122,2920,2864,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,4,69,73,0.0547945205479452,42
3,3,62,123,TAYLOR,Taylor,FL,4180,126,385,499,702,675,599,557,390,179,62,6,0 to 118,40,1870,2292,18,4169,11,0,132,1986,3,2700,45,2610,1561,0,9,4160,2360,244,6,0,1022,1578,4,2604,30,118,307,493,511,418,356,228,111,37,1,0 to 98,41,1566,796,119,123,147,2259,198,184,0,89,0,0,41,2610,1580,1026,2604,6,0,7697,0,10332,7697,2610,41,2509,2413,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,0,15,15,0,41
4,4,46,091,OKALOOSA,Okaloosa,FL,30170,692,3341,4363,4626,4457,3770,3944,2475,1511,920,71,0 to 119,39,16467,13483,220,29859,310,1,1796,10607,137,13532,938,18404,11652,2,112,29748,16816,1399,172,17,9662,8414,139,18215,221,1148,2725,3344,2935,2503,2637,1570,847,442,32,0 to 103,40,10604,1443,2386,3782,1446,12463,4306,993,14,664,16,4,321,18404,8515,9747,18214,189,1,60692,0,79177,60692,18404,321,26649,26235,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,26,296,322,0.0807453416149068,40
5,5,7,013,CALHOUN,Calhoun,FL,2729,77,342,367,319,371,347,344,286,181,93,2,0 to 99,41,1421,1289,19,2726,3,0,172,592,4,1321,46,1602,1121,0,6,2720,1387,212,3,0,780,813,6,1599,27,111,200,220,223,221,217,187,121,74,1,0 to 99,45,1076,180,210,133,38,1327,234,126,2,56,2,0,39,1602,815,781,1599,3,0,5816,0,7429,5816,1602,39,2223,2165,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,0,3,3,0,46
6,6,50,099,PALM BEACH,Palm Beach,FL,194702,4266,11783,24791,29196,26792,28241,27773,20354,12997,6900,1609,0 to 119,44,103688,90172,842,192043,2657,2,27498,105305,465,88757,3139,117842,76086,135,639,191276,114500,1369,1952,21,60196,55109,564,115869,2087,6876,18225,21197,18080,17808,15509,9100,5461,3441,58,0 to 107,40,57606,16497,19881,21885,30679,58249,26941,8233,133,5928,91,43,2412,117842,56115,61115,115867,1973,2,623748,0,742368,623748,117842,2412,49024,48765,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,279,3883,4162,0.0670350792888035,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,36664,1048,2549,4684,5080,5006,5322,5277,4119,2396,1148,35,0 to 119,44,20463,15981,220,36400,264,0,4288,14503,188,19867,786,21615,14629,6,414,35982,21277,202,134,2,11768,9639,72,21479,400,1153,2922,3455,3304,3281,3051,2246,1223,576,4,0 to 104,43,10627,4374,2775,3703,4881,12009,4589,1810,19,1408,13,1,528,21615,9705,11838,21479,136,0,97385,0,119077,97385,21615,528,21739,21723,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,54,542,596,0.0906040268456376,43
8,8,51,101,PASCO,Pasco,FL,52932,1150,4292,7210,6809,7259,7951,7289,5940,3596,1405,31,0 to 119,44,28948,23725,259,52572,360,0,3401,26097,223,24888,1363,32665,19776,3,488,52081,31042,1328,288,4,17267,14947,156,32370,516,1911,4700,4723,4769,5069,4393,3524,2193,856,8,0 to 105,44,23301,1890,3754,3425,6221,21122,5027,2987,48,2147,35,6,631,32662,15064,17422,32370,292,0,169498,0,202266,169498,32662,631,24592,24053,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,86,770,856,0.100467289719626,44
9,9,20,039,GADSDEN,Gadsden,FL,8606,286,748,1049,1258,1407,1369,1201,799,336,150,3,0 to 119,41,4951,3629,26,8576,29,1,1134,3722,46,4440,98,5382,3210,1,13,8563,4963,403,13,3,2816,2529,21,5366,145,444,726,793,919,898,752,424,203,77,1,0 to 99,41,1529,2639,906,292,873,4049,444,712,1,398,0,0,83,5382,2533,2828,5365,16,1,21141,0,26566,21141,5382,83,2876,2682,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,2,21,23,0.0869565217391304,41
10,10,37,073,LEON,Leon,FL,44488,1364,2531,12979,7065,5605,5038,4756,3142,1321,638,49,0 to 119,32,24250,20040,198,43446,1041,1,6955,20906,201,21519,799,28689,15746,7,46,43395,27575,275,823,16,15383,12345,122,27850,638,1561,10257,4765,3545,2940,2558,1411,668,336,10,0 to 106,28,13115,8698,3321,2716,2583,20915,4352,1362,47,581,36,30,273,28689,12705,15852,27849,839,1,141889,0,170757,141889,28689,273,12656,12255,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,14,200,214,0.0654205607476636,28
11,11,33,065,JEFFERSON,Jefferson,FL,2411,95,227,246,290,310,338,415,290,157,41,2,0 to 101,46,1183,1223,5,2387,24,0,86,1072,41,1606,42,1392,1014,2,3,2383,1196,174,18,4,612,755,3,1370,26,93,139,197,181,225,260,154,90,27,0,0 to 99,47,656,598,82,34,51,1237,82,116,3,67,0,0,23,1392,767,621,1370,22,0,5512,0,6923,5512,1392,23,1289,1252,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,2,5,7,0.285714285714286,48
