OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1386,37,66,174,209,185,196,191,140,108,80,0,0 to 118,46,749,632,5,1386,0,0,86,829,2,608,17,590,794,1,1,1384,541,49,0,0,276,313,1,590,11,27,83,117,80,81,73,38,37,43,0,0 to 106,41,444,40,31,75,83,426,81,75,0,39,0,0,18,590,313,276,590,0,0,4310,0,4909,4310,590,18,672,655,{CB6285A2-DA2E-4583-AAD5-1221776836AE},50,55,105,0.476190476190476,42,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5879,163,509,759,819,750,826,883,605,366,191,8,0 to 118,44,3424,2407,48,5869,10,0,864,3156,133,2571,33,2278,3579,0,22,5847,1332,944,1,1,1202,1065,9,2276,54,235,375,331,334,309,296,199,96,48,1,0 to 100,39,1368,612,233,63,461,1721,94,397,1,245,0,0,48,2278,1066,1203,2276,2,0,16426,8,18722,16434,2278,48,1400,1337,{CE511C5D-2638-44A3-B2F8-B13847543637},5,111,116,0.0431034482758621,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2623,57,125,281,508,485,399,358,254,110,42,4,0 to 118,41,1049,1554,20,2614,9,0,73,1596,3,1300,29,1430,1187,0,6,2608,1366,61,3,0,389,1038,0,1427,6,26,150,340,335,246,172,101,36,18,0,1 to 94,40,745,563,78,41,130,1214,83,115,0,55,0,0,16,1430,1038,392,1427,3,0,5592,6,7054,5598,1430,16,1426,1327,{541BD5A3-4453-499A-9896-F0EDC5353D0B},6,50,56,0.107142857142857,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,13624,276,749,1827,2139,1990,1745,1903,1301,949,698,47,0 to 119,43,7818,5717,89,13446,177,1,730,7813,137,3389,246,5860,7703,1,60,13386,5599,214,42,5,3127,2640,46,5813,64,236,1006,1115,911,772,811,482,276,179,8,0 to 103,40,3007,471,1240,1095,661,4044,1108,516,5,317,5,1,129,5860,2662,3152,5812,47,1,37025,130,43076,37155,5860,129,7441,7015,{EB5D2450-A892-40FD-9BA4-9821A7438525},41,399,440,0.0931818181818182,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1385,26,91,157,199,221,194,189,154,103,51,0,0 to 99,44,688,683,14,1384,1,0,54,567,4,578,19,679,705,0,1,1383,640,38,1,0,281,396,1,678,6,26,76,126,115,100,87,68,46,29,0,0 to 99,44,451,98,51,78,28,549,101,66,1,36,1,0,14,679,397,281,678,1,0,4453,0,5142,4453,679,14,952,891,{3B55AA95-5170-4CAF-82A3-E99AD7459349},10,85,95,0.105263157894737,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,113737,1909,3623,12535,16020,15147,16524,17561,14061,9457,5299,1601,0 to 119,49,61519,51884,334,112662,1073,2,11030,82508,465,37317,1177,49298,64043,154,242,112271,48160,700,429,9,25374,23344,142,48860,774,1924,8087,8964,7788,7536,6288,3583,2399,1905,50,0 to 106,41,19879,7874,8922,12185,13301,21620,13939,5482,65,3967,44,24,1510,49298,23580,25571,48858,438,2,348949,636,399498,349585,49298,1510,15347,15083,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},232,3990,4222,0.0549502605400284,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,20160,438,848,2121,2729,2753,3107,3134,2523,1568,913,26,0 to 119,48,11515,8482,163,20002,158,0,2023,11536,188,7433,283,8663,11228,4,265,19733,8478,155,29,1,4741,3891,1,8633,154,384,1169,1416,1371,1363,1184,821,480,320,1,0 to 104,43,3627,2017,1187,1802,1995,4426,2212,928,4,746,3,1,320,8663,3907,4755,8633,30,0,59727,127,68573,59854,8663,320,8196,8181,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},48,672,720,0.0666666666666667,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25543,510,1262,3029,3466,3603,3958,3905,3121,1862,813,14,0 to 119,47,14251,11215,77,25401,142,0,2186,15543,223,10345,478,10294,15077,4,168,25229,9984,233,75,2,5337,4875,5,10217,153,420,1639,1726,1616,1610,1349,937,563,279,2,0 to 105,42,7389,729,1565,534,2449,7059,709,1296,11,962,5,1,227,10294,4911,5378,10217,77,0,91384,70,101810,91454,10294,227,10920,10371,{83116673-3FAD-423E-B67E-DFE7515F5E81},64,1144,1208,0.0529801324503311,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5865,151,354,669,933,1023,985,842,575,223,107,3,0 to 119,42,3400,2457,8,5842,22,1,662,3185,46,2271,46,3034,2824,1,6,5836,2945,80,9,0,1482,1541,2,3025,74,197,411,492,573,533,407,216,95,35,1,0 to 98,40,897,1268,563,297,571,2016,438,447,0,238,0,0,54,3034,1543,1489,3024,9,1,14742,16,17839,14758,3034,54,1549,1354,{77657EA6-12D6-4645-9915-E7357C9F40D6},3,97,100,0.03,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,25058,526,832,7200,3779,3126,3013,3039,2168,866,464,45,0 to 119,35,13520,11423,115,24517,540,1,2611,16642,201,7418,261,11717,13309,4,28,24487,11296,83,333,5,6312,5041,26,11379,207,408,5388,1704,1226,1024,917,468,215,150,10,0 to 105,24,4490,2951,1547,2391,956,6369,4054,679,25,275,12,11,101,11717,5185,6504,11378,338,1,83824,212,95898,84036,11717,101,5564,5151,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},67,902,969,0.0691434468524252,24,2.4286163266357628,0.1707040441862682
