OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2669,83,238,422,364,360,373,343,228,165,93,0,0 to 118,41,1464,1180,25,2664,5,0,268,1072,2,1689,37,1624,1040,1,4,2659,1393,226,2,3,860,738,21,1619,35,123,256,258,233,232,205,124,99,59,0,0 to 106,40,1277,99,56,187,130,1282,207,129,0,81,0,0,44,1624,741,862,1619,5,0,6843,0,8484,6843,1624,44,1555,1538,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,2,24,26,0.0769230769230769,40
2,2,54,107,PUTNAM,Putnam,FL,10859,380,1111,1463,1450,1386,1470,1546,1120,646,278,9,0 to 118,42,6142,4676,41,10827,32,0,1884,3921,133,7929,92,6625,4191,0,43,10784,4179,2422,16,8,3592,2987,22,6601,174,609,977,916,905,900,926,686,373,157,2,0 to 100,42,4413,1444,553,191,914,5382,305,820,3,584,3,1,154,6625,3001,3602,6601,24,0,27281,0,33918,27281,6625,154,3258,3203,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,10,157,167,0.0598802395209581,42
3,3,62,123,TAYLOR,Taylor,FL,4422,151,427,535,723,707,629,587,404,189,64,6,0 to 118,39,2001,2406,15,4413,9,0,165,2011,3,2921,53,2746,1668,0,8,4405,2472,269,5,0,1097,1641,3,2741,37,124,326,506,535,441,380,237,119,40,1,0 to 98,41,1688,812,120,121,150,2388,203,196,0,100,0,0,47,2746,1643,1100,2741,5,0,8472,0,11245,8472,2746,47,2675,2581,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,1,24,25,0.04,41
4,4,46,091,OKALOOSA,Okaloosa,FL,34040,953,4127,4978,5265,4979,4127,4344,2658,1593,942,74,0 to 119,38,18482,15315,243,33683,356,1,1955,11416,137,15479,1076,20738,13194,1,107,33579,19089,1414,219,16,10856,9506,141,20503,305,1325,3104,3834,3324,2769,2949,1721,911,462,34,0 to 103,40,14759,1959,2162,1623,1813,16449,2241,1119,14,734,18,5,365,20738,9629,10965,20502,235,1,72836,0,93647,72836,20738,365,29739,29327,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,18,376,394,0.0456852791878173,40
5,5,7,013,CALHOUN,Calhoun,FL,2908,93,381,410,336,393,362,355,294,188,94,2,0 to 99,41,1521,1365,22,2905,3,0,196,595,4,1409,46,1700,1201,0,7,2898,1466,231,3,0,833,855,9,1697,33,117,220,234,239,233,228,196,125,74,1,0 to 99,45,1163,187,217,130,38,1430,229,133,2,57,2,0,45,1700,857,834,1697,3,0,6224,0,7935,6224,1700,45,2304,2247,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,1,15,16,0.0625,45
6,6,50,099,PALM BEACH,Palm Beach,FL,230683,5582,16571,30957,35263,32129,33277,31911,22157,13874,7276,1686,0 to 119,43,122182,106969,1532,227320,3361,2,34652,114016,465,114876,3834,147116,82690,132,745,226451,142046,2410,2629,31,74848,68423,1185,144456,2834,9592,23052,26801,22736,22196,19206,10648,6187,3776,88,0 to 107,39,74191,20774,25508,23983,38075,75081,31300,9534,173,6933,129,55,2832,147116,69765,76090,144454,2660,2,747962,0,895877,747962,147116,2832,63261,63004,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,173,4772,4945,0.0349848331648129,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,44831,1544,3783,6055,6245,6098,6353,6185,4579,2678,1262,49,0 to 119,42,24776,19802,253,44494,337,0,5329,15066,188,26657,943,27008,17303,7,513,43976,26583,226,197,2,14642,12073,94,26809,501,1580,3793,4406,4165,4114,3756,2601,1428,654,10,0 to 104,42,13626,5505,3519,4159,6177,15368,5264,2722,26,1904,16,2,644,27008,12173,14741,26809,199,0,120223,0,147314,120223,27008,644,28973,28957,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,49,961,1010,0.0485148514851485,43
8,8,51,101,PASCO,Pasco,FL,65354,1564,6116,9164,8554,9236,9768,8673,6674,4002,1554,49,0 to 119,42,35613,29554,187,64924,430,0,3464,30377,223,33323,1725,42269,22557,6,522,64397,40263,1648,352,5,22394,19409,108,41911,719,2857,6191,6218,6390,6585,5605,4145,2554,990,14,0 to 105,42,31018,2531,4955,3407,8186,28152,5573,4065,75,2839,52,9,777,42268,19563,22576,41911,357,0,204997,0,247391,204997,42268,777,29449,28913,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,66,1585,1651,0.0399757722592368,44
9,9,20,039,GADSDEN,Gadsden,FL,9119,324,848,1137,1340,1467,1436,1253,819,339,152,4,0 to 119,41,5243,3848,28,9088,30,1,1221,3768,46,4988,109,5738,3369,1,11,9077,5280,441,14,3,3008,2690,23,5721,165,489,789,857,975,947,795,437,203,79,2,0 to 98,40,1643,2849,961,268,933,4359,429,758,1,425,0,0,99,5738,2694,3021,5720,17,1,23049,0,28829,23049,5738,99,3241,3045,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,2,108,110,0.0181818181818182,41
10,10,37,073,LEON,Leon,FL,49372,1857,3174,14640,7809,6064,5455,5036,3250,1366,649,72,0 to 119,30,26879,22235,258,48230,1141,1,8023,21637,201,25301,916,32468,16838,9,57,48166,31228,303,917,20,17399,13964,168,31531,874,1893,11670,5418,3922,3293,2814,1509,710,349,16,0 to 106,27,15025,10156,3750,2600,2972,24260,4299,1640,52,710,40,32,324,32468,14373,17918,31530,937,1,154699,0,187323,154699,32468,324,14912,14513,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,46,764,810,0.0567901234567901,28
11,11,33,065,JEFFERSON,Jefferson,FL,2625,125,280,267,305,336,357,441,303,165,44,2,0 to 101,44,1302,1318,5,2597,28,0,100,1077,41,1825,44,1503,1117,2,3,2593,1297,180,22,4,673,801,3,1477,33,107,152,206,201,233,282,167,94,28,0,0 to 99,47,723,633,92,29,54,1347,76,137,3,83,0,0,28,1503,814,685,1477,26,0,6133,0,7653,6133,1503,28,1473,1437,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,2,29,31,0.0645161290322581,47
