OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,MedianAge
40,40,4,007,BRADFORD,Bradford,FL,1948,39,52,182,255,242,298,384,223,163,104,6,0 to 118,51,1096,832,20,1946,2,0,136,1386,34,570,2,494,1453,0,1,1945,389,105,0,0,186,308,0,494,9,15,59,68,78,85,97,41,29,13,0,0 to 107,46,280,146,22,46,12,417,65,39,0,27,0,0,4,494,308,186,494,0,0,4003,2,4520,4005,494,4,561,529,776744615.959412,167178.838252791,588f1d06-056b-4af5-a2e7-a5366c833ba5,47
41,41,65,129,WAKULLA,Wakulla,FL,2072,30,78,205,292,317,349,367,260,129,44,1,0 to 102,49,1023,1043,6,2064,8,0,78,1280,13,755,35,692,1377,0,3,2061,639,47,5,1,235,451,0,686,7,25,96,140,130,118,112,39,19,6,0,1 to 91,41,435,156,49,46,42,563,81,75,0,32,1,0,4,692,453,239,686,6,0,7085,2,7813,7087,692,4,603,528,1579533632.64177,279225.038340218,72742cee-2b13-49f0-be2b-615f9835dd19,41
42,42,5,009,BREVARD,Brevard,FL,24956,310,490,2056,2804,2882,3517,5174,4415,2390,765,153,0 to 119,55,13997,10840,119,24929,27,0,1397,21393,107,4952,158,6064,18879,0,13,24916,5931,112,18,3,3209,2809,25,6043,61,154,1070,1048,885,885,861,521,328,244,7,0 to 105,42,3161,705,521,1656,774,3376,1893,943,6,468,3,0,151,6064,2819,3220,6043,21,0,77536,17,83673,77553,6064,151,1439,1381,2687643838.87906,793218.333609179,943db4a8-472c-444e-b81a-0e7cf9758ca2,42
43,43,53,105,POLK,Polk,FL,31829,759,1261,3352,4826,4689,4670,4575,3914,2385,1039,359,0 to 119,46,17634,13861,334,31707,122,0,2073,24781,231,6557,250,14301,17472,1,55,31651,12809,1447,33,12,7495,6576,185,14256,286,718,2094,2669,2487,2147,1700,1134,670,367,29,0 to 119,40,6703,2476,1349,3728,3606,5729,4921,1834,11,1391,10,1,312,14301,6594,7522,14256,45,0,82505,78,96985,82583,14301,312,4938,4369,5206715917.89822,388118.956177661,233f5cac-222a-4ee3-81fe-76bb2a2139f5,40
44,44,49,097,OSCEOLA,Osceola,FL,22586,323,852,2366,3661,3653,3801,3285,2336,1170,434,705,0 to 155,45,12258,10084,244,22476,110,0,2366,16651,390,4021,239,9696,12775,2,113,22362,9555,59,80,2,4967,4485,162,9614,138,434,1429,1949,1790,1687,1067,672,355,135,40,0 to 104,39,2927,499,2777,3411,4049,1611,3954,782,11,425,8,2,104,9696,4538,4993,9614,82,0,54065,28,63916,54093,9696,104,3350,2840,3899316052.50861,350452.549474464,98fbcdad-181a-4269-a498-787173f6e740,39
45,45,28,055,HIGHLANDS,Highlands,FL,5189,98,140,337,619,532,634,802,848,742,416,21,0 to 119,58,3028,2124,37,5122,67,0,174,4085,47,1192,46,1435,3746,0,8,5114,1308,123,4,0,757,672,2,1431,26,54,156,230,198,215,225,144,127,59,1,0 to 98,48,817,225,202,187,390,787,254,305,2,159,1,0,37,1435,676,757,1431,4,0,14486,63,15996,14549,1435,37,1355,1241,2866885704.30579,296636.719911829,0861b99e-575f-41b4-992b-839b0b3f4f63,48
46,46,36,071,LEE,Lee,FL,40296,580,955,4091,5618,5484,5885,6284,5846,3720,1733,100,0 to 119,50,22505,17452,339,39141,1154,1,1652,33337,613,10433,261,16529,23737,2,28,39112,15539,705,278,7,8476,7585,183,16244,301,590,2570,3022,2649,2613,2096,1337,779,527,45,0 to 102,41,6734,1557,776,7177,3681,5075,7488,1913,20,1067,17,9,334,16529,7735,8605,16243,285,1,96529,928,114040,97457,16529,334,3990,2387,2112333669.17714,583283.842331616,d113537a-ba7a-4d3b-936c-ea742824206c,41
47,47,11,021,COLLIER,Collier,FL,24191,616,1036,2773,3116,3292,3379,3427,3265,2408,843,36,0 to 105,48,12778,11118,295,23771,420,0,1592,16998,356,7043,227,10334,13650,3,204,23564,9782,411,125,16,5164,4908,121,10193,277,534,1736,1696,1732,1635,1266,737,485,234,2,0 to 104,40,5015,625,1049,3504,4138,2509,3546,1160,22,722,12,6,136,10334,4969,5205,10193,141,0,51992,288,62681,52280,10334,136,6037,5058,5197102107.68439,580181.883282756,b407dcd0-fa26-4ba4-bfdb-b31c63c940ba,40
48,48,13,025,DADE,Dade,FL,267220,3588,6610,26756,45718,43560,48266,42285,26613,14846,8084,894,-1 to 225,46,138355,127046,1819,265356,1863,1,11554,225166,2785,31527,1179,132461,134393,93,273,264992,129956,1597,898,10,66599,64117,837,131553,1934,4331,16771,24827,22238,23824,18602,10426,5894,3303,311,-1 to 108,43,47908,11691,12540,59414,54406,15710,61437,12254,69,6235,37,16,1865,132461,64558,67001,131552,908,1,547090,988,682232,548078,132461,1865,11770,11032,5114451079.58835,540836.793924443,aea3ae00-e34e-48c0-8b01-466a26b4b1e0,43
49,49,44,087,MONROE,Monroe,FL,5700,106,151,477,837,845,979,1082,759,351,111,2,0 to 101,49,2919,2742,39,5605,95,0,1560,2583,83,1756,150,1526,4109,0,65,5542,1472,28,21,5,706,785,9,1500,33,56,184,298,272,279,200,128,61,15,0,0 to 100,42,925,89,68,418,505,549,446,227,5,94,4,0,13,1526,801,716,1500,26,0,12106,67,13711,12173,1526,13,2677,2400,2629619857.16548,1399292.97354894,629deeae-bcfa-4ad2-8de1-1d764edd7ac6,42
