OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,1113,29,40,138,148,141,154,162,125,100,76,0,0 to 118,49,638,469,6,1113,0,0,45,754,2,412,13,363,747,0,3,1110,335,28,0,0,194,169,0,363,9,14,57,58,37,43,50,25,31,39,0,0 to 106,45,285,25,20,33,51,273,39,28,0,20,0,0,3,363,169,194,363,0,0,3279,0,3649,3279,363,3,514,497,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,46
2,2,54,107,PUTNAM,Putnam,FL,4625,107,235,537,686,608,687,729,500,339,181,16,0 to 118,47,2760,1812,53,4616,9,0,426,3681,133,1167,25,1508,3115,0,2,4614,930,577,1,0,782,703,22,1507,38,140,262,235,227,201,181,105,74,40,5,0 to 100,38,714,416,187,190,294,974,239,286,1,168,0,0,26,1508,704,782,1507,1,0,11418,8,12945,11426,1508,26,280,212,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,38
3,3,62,123,TAYLOR,Taylor,FL,1975,43,60,196,399,361,314,275,197,92,34,4,0 to 118,42,801,1152,22,1966,9,0,60,1420,3,710,29,961,1007,0,7,1959,911,47,3,0,224,734,0,958,2,17,94,256,229,178,106,49,21,9,0,4 to 92,40,405,332,52,169,89,660,209,71,0,22,0,0,4,961,734,227,958,3,0,4220,6,5214,4226,961,4,803,703,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,40
4,4,46,091,OKALOOSA,Okaloosa,FL,10382,233,307,1157,1702,1531,1391,1451,1078,843,645,44,0 to 119,46,6063,4203,116,10220,161,1,550,7457,137,1529,131,3502,6842,1,37,10183,3299,173,25,5,1869,1548,55,3472,36,120,598,717,567,479,426,282,161,112,4,0 to 103,39,1752,323,629,768,459,2100,913,287,4,158,2,0,41,3502,1560,1887,3471,30,1,25696,133,29374,25829,3502,41,3047,2616,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,39
5,5,7,013,CALHOUN,Calhoun,FL,1024,13,31,99,152,176,142,157,122,86,46,0,0 to 99,47,515,493,16,1024,0,0,30,613,4,325,12,475,548,0,1,1023,459,16,0,0,195,279,1,475,2,14,50,90,86,65,61,45,35,27,0,1 to 99,44,284,45,28,118,17,324,134,47,0,29,0,0,7,475,279,195,475,0,0,3502,0,3993,3502,475,7,519,458,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,44
6,6,50,099,PALM BEACH,Palm Beach,FL,98654,1613,2816,9457,13807,13097,14321,15636,12776,8674,4789,1668,0 to 119,50,53346,44912,396,97628,1024,2,7637,77639,465,24568,672,37020,61199,165,270,97198,36126,508,378,8,18828,17645,161,36634,618,1402,5415,6974,6108,5726,4745,2730,1803,1430,69,0 to 106,41,13654,5867,6166,10947,10167,14148,12319,3872,44,2795,29,16,931,37020,17841,19001,36632,386,2,241868,661,280133,242529,37020,931,9661,9396,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,41
7,7,56,111,ST. LUCIE,St. Lucie,FL,16001,299,470,1458,2171,2186,2480,2579,2131,1366,803,58,0 to 119,50,9215,6511,275,15848,153,0,1236,11635,188,3993,144,5772,9951,5,273,15570,5632,117,23,0,3124,2554,71,5749,111,239,784,984,932,911,768,498,299,223,23,0 to 104,43,1843,1229,838,1839,1168,2247,2334,520,2,367,2,1,166,5772,2565,3136,5749,23,0,37023,132,42981,37155,5772,166,3731,3716,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,43
8,8,51,101,PASCO,Pasco,FL,20775,396,609,2093,2829,2954,3301,3351,2773,1667,739,63,0 to 119,49,11716,8953,106,20673,102,0,1429,15329,223,5602,243,7080,13588,2,105,20566,6904,139,36,1,3640,3360,43,7043,109,236,1070,1236,1118,1114,924,650,381,206,36,0 to 105,42,4415,489,1014,1125,1432,4032,1579,849,9,550,4,1,128,7080,3378,3659,7043,37,0,60396,68,67594,60464,7080,128,4353,3802,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,42
9,9,20,039,GADSDEN,Gadsden,FL,4513,101,212,455,760,790,768,646,484,187,97,13,0 to 119,44,2771,1712,30,4491,21,1,239,3538,46,1075,26,1884,2621,1,7,4484,1824,52,8,0,953,904,19,1876,43,111,254,335,364,327,219,132,62,26,11,0 to 105,39,441,634,248,553,304,786,786,232,0,115,0,0,21,1884,904,961,1875,8,1,11009,16,12947,11025,1884,21,806,611,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,39
10,10,37,073,LEON,Leon,FL,17604,288,540,3101,2996,2511,2501,2575,1919,743,382,48,0 to 119,42,9166,8320,118,17296,307,1,1061,14270,201,3352,160,4965,12618,1,20,17276,4804,55,102,4,2545,2304,10,4859,70,207,1685,967,639,555,489,216,77,44,16,0 to 105,29,1446,1550,488,1375,340,2502,2017,365,14,136,11,7,24,4965,2358,2597,4858,106,1,54461,225,59765,54686,4965,24,2163,1748,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,29
11,11,33,065,JEFFERSON,Jefferson,FL,1051,24,26,84,129,157,167,204,162,77,20,1,0 to 101,51,459,587,5,1043,8,0,26,792,41,362,15,453,596,1,1,1041,399,49,5,0,107,340,1,448,6,8,43,80,77,86,88,45,13,7,0,0 to 95,46,180,239,19,10,23,390,35,37,2,25,0,0,5,453,344,108,448,5,0,2516,4,2987,2520,453,5,277,239,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,46
12,12,40,079,MADISON,Madison,FL,1798,90,114,211,224,239,260,244,230,121,59,6,0 to 99,45,1103,691,4,1767,31,0,93,1022,53,838,53,700,1096,1,1,1765,453,235,11,1,406,282,0,688,35,59,101,98,103,116,88,61,18,21,0,0 to 98,39,176,461,30,21,38,594,56,123,1,31,0,1,8,700,286,414,688,12,0,4366,19,5095,4385,700,8,818,718,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,39
13,13,39,077,LIBERTY,Liberty,FL,2382,9,16,215,692,573,423,295,107,37,7,8,0 to 105,39,295,2081,6,2382,0,0,11,1942,1,237,6,400,1981,0,1,2381,396,4,0,0,83,317,0,400,3,6,62,86,75,83,62,16,6,1,0,0 to 85,40,259,114,12,15,18,281,101,19,0,8,0,0,6,400,317,83,400,0,0,2683,0,3083,2683,400,6,339,314,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,40
14,14,24,047,HAMILTON,Hamilton,FL,2290,36,59,224,584,448,358,266,186,80,46,3,0 to 118,40,619,1654,17,2282,8,0,68,1909,9,605,14,618,1671,0,1,2281,521,92,4,1,231,382,0,613,25,42,96,135,99,96,73,33,14,5,0,0 to 90,36,265,299,41,8,90,369,154,82,1,23,0,0,4,618,385,233,613,5,0,3431,3,4054,3434,618,4,50,48,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,36
15,15,3,005,BAY,Bay,FL,7472,90,115,886,1222,1150,1272,1197,791,440,232,77,0 to 119,47,3855,3480,137,7385,87,0,822,5000,28,3312,144,4440,3022,0,10,7375,4236,137,65,2,2108,2167,98,4373,54,83,696,867,753,765,602,364,173,58,25,0 to 99,41,2306,437,528,1102,314,2600,1459,464,14,196,5,5,51,4440,2207,2134,4373,67,0,22141,38,26678,22179,4440,51,369,362,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,41
16,16,12,023,COLUMBIA,Columbia,FL,5954,133,182,475,892,944,906,1038,768,381,225,10,0 to 119,48,2608,3280,66,5930,24,0,659,3048,63,2839,23,2873,3077,0,4,5926,2625,237,9,2,819,2039,4,2862,56,92,267,547,566,502,421,258,120,43,1,0 to 102,43,1135,475,121,1131,123,1407,1332,48,1,126,2,0,15,2873,2047,822,2862,11,0,10651,13,13592,10664,2873,15,70,69,2068684690.43686,276060.430857214,6958d394-62b5-4f73-a62a-0fa2389d4fb3,43
17,17,2,003,BAKER,Baker,FL,1865,43,45,211,354,351,305,281,148,90,35,2,0 to 99,42,797,1040,28,1806,59,0,149,1341,16,548,16,907,934,0,24,1782,813,94,0,0,245,662,0,907,5,17,96,211,212,154,133,45,27,7,0,1 to 97,39,385,107,39,376,13,463,431,54,0,28,0,0,4,907,662,245,907,0,0,4647,59,5627,4706,907,4,577,576,1520245937.66486,183737.354704368,393e3bc9-079e-4ad6-9162-d77ee72feb59,40
18,18,30,059,HOLMES,Holmes,FL,1342,23,44,138,202,198,223,206,190,85,32,1,0 to 119,48,666,662,14,1322,20,0,35,832,5,428,52,505,833,0,4,1318,427,67,8,3,184,309,1,494,9,16,71,106,97,85,53,42,18,8,0,0 to 96,39,336,81,35,42,25,386,83,31,0,16,0,0,2,505,314,190,494,11,0,3749,9,4270,3758,505,2,526,520,1251550190.83949,175658.620344926,bd5e2bc2-c55e-45e6-8687-0c7528780cd1,39
19,19,43,085,MARTIN,Martin,FL,10156,208,346,969,1181,1271,1341,1653,1556,1112,496,23,0 to 100,53,5102,4655,399,10048,108,0,859,6934,82,3332,111,3825,6277,1,53,9995,3777,20,28,0,1839,1934,24,3797,106,214,609,648,629,580,418,262,209,147,3,0 to 100,39,1684,226,1034,853,1777,1383,637,582,4,333,3,1,94,3825,1950,1851,3797,28,0,21703,77,25642,21780,3825,94,1990,1979,1686613017.08661,308980.48751506,14dc1d1d-ce53-4995-9cf2-039fe1559f59,39
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,82386,1926,2941,9467,14076,12450,12659,12348,8943,4764,2246,566,0 to 119,45,45915,35967,504,81911,475,0,4034,69661,458,10464,485,32587,49585,22,192,81697,31897,555,130,5,17210,15007,235,32452,707,1492,5474,6914,5249,4889,3696,1991,1103,618,454,0 to 104,37,10857,4209,4303,13083,7920,9450,15082,2566,19,1393,13,5,388,32587,15068,17284,32452,135,0,210407,350,243826,210757,32587,388,5849,5502,2746844886.16013,358788.307034344,12be5e4e-9d96-4b8e-8617-77c84f3bc487,37
21,21,41,081,MANATEE,Manatee,FL,23464,456,868,2240,2865,2862,3183,3880,3809,2321,865,115,0 to 119,52,12994,10096,374,23134,330,0,2223,18718,177,5232,83,9288,14165,3,8,23123,9114,79,95,0,4777,4269,147,9193,214,583,1486,1647,1483,1368,1139,704,438,214,12,0 to 101,39,4055,852,1190,3096,2311,3105,3777,489,7,616,6,2,192,9288,4314,4824,9193,95,0,75409,267,85026,75676,9288,192,651,552,1945653927.12581,371198.171414394,0ad77407-ceaa-4c6b-9e84-485e7d0fa9cc,39
22,22,10,019,CLAY,Clay,FL,11388,169,357,1183,1419,1652,1909,1888,1535,887,366,23,0 to 101,49,6454,4788,146,11362,26,0,802,8606,130,2070,125,3282,8092,1,13,11348,3151,123,8,0,1795,1471,8,3274,31,107,531,492,521,570,455,293,184,98,0,0 to 100,44,1629,554,271,820,303,2068,903,475,0,213,0,0,51,3282,1475,1799,3274,8,0,31468,18,34786,31486,3282,51,1999,1966,1667659896.51059,183856.484298748,d8b9952e-371d-460f-96ae-4666bdb4ad84,44
23,23,25,049,HARDEE,Hardee,FL,2013,67,181,326,367,269,275,241,173,82,32,0,0 to 95,37,1035,951,27,2004,9,0,74,779,2,1151,24,963,1049,1,0,2003,687,269,6,1,450,501,5,956,25,86,176,190,143,140,104,65,26,8,0,0 to 93,35,668,85,112,91,597,259,100,133,3,81,3,1,7,963,506,452,956,7,0,4831,2,5808,4833,963,7,1554,1453,1653184151.65315,165534.73009074,30dcfc30-6a6d-4712-9819-f2940d3f56ed,34
24,24,42,083,MARION,Marion,FL,24627,322,609,2131,3348,3356,3615,3941,3859,2444,946,56,0 to 168,52,14972,9570,85,24590,37,0,5733,13484,177,8051,249,6511,17878,1,237,24354,6335,162,13,1,3912,2540,45,6497,84,183,817,1274,1292,1071,859,505,282,113,31,0 to 104,41,3721,1271,506,999,824,4180,1493,786,4,486,0,0,89,6511,2542,3924,6497,14,0,45799,24,52432,45823,6511,89,1681,1516,4305055841.62241,350920.190673371,76cc1b01-df08-469d-a322-71f8d05597d9,41
25,25,64,127,VOLUSIA,Volusia,FL,27776,329,611,2243,3370,3255,4022,5278,4634,2523,1206,305,0 to 119,54,15450,11719,607,27637,139,0,1684,22715,230,5475,303,7876,19831,0,69,27569,7046,774,50,6,4106,3655,59,7820,106,274,1216,1420,1128,1160,1111,746,431,252,32,0 to 103,42,3544,1021,1548,1707,1322,4264,2234,959,7,573,5,0,135,7876,3684,4133,7820,56,0,65742,85,73809,65827,7876,135,2979,2357,3125661534.15881,560414.73783925106,3b926974-437e-4986-9bff-d87d276166f4,42
26,26,15,029,DIXIE,Dixie,FL,1365,26,57,123,182,263,191,212,175,91,44,1,0 to 118,46,667,689,9,1365,0,0,56,914,6,416,8,547,818,0,0,1365,509,38,0,0,182,365,0,547,1,19,48,94,125,88,82,56,27,7,0,3 to 91,43,295,61,7,184,9,324,214,48,0,32,0,0,4,547,365,182,547,0,0,3251,0,3804,3251,547,4,528,473,1823798262.39212,235232.973119088,2691daeb-cc0b-4abc-a209-fe46ce33086c,43
27,27,35,069,LAKE,Lake,FL,20301,337,479,1597,2272,2287,2687,3180,3262,2236,755,1209,0 to 103,54,10747,8644,910,20150,151,0,512,18069,222,1427,120,5161,15059,0,81,20071,5064,67,30,0,2616,2419,96,5131,93,206,796,919,830,805,702,441,258,96,15,0 to 103,41,1508,622,933,2068,714,1937,2480,439,13,274,5,1,68,5161,2435,2629,5131,30,0,59716,124,65089,59840,5161,68,1694,1403,2995995460.71371,331014.242454318,9712f6a1-e709-4877-97e2-3fe2eada2b79,41
28,28,38,075,LEVY,Levy,FL,2438,56,85,288,315,270,358,425,332,220,85,4,0 to 118,50,1383,1037,18,2433,5,0,157,1546,16,913,16,684,1752,0,2,2431,634,46,1,3,333,344,3,680,15,35,128,108,87,116,86,65,32,9,3,0 to 99,40,333,119,153,75,185,388,107,60,0,38,0,0,4,684,347,334,680,4,0,5566,1,6262,5567,684,4,924,874,2900663690.96646,339394.964008615,e8b9fc01-e14c-4049-babc-f4aa93256ea0,40
29,29,60,119,SUMTER,Sumter,FL,5034,34,76,196,269,295,421,681,1706,1097,173,86,0 to 119,68,2564,2322,148,4954,80,0,328,3909,164,1074,125,1303,3708,0,23,4931,1179,116,7,1,628,663,4,1295,6,40,104,92,138,166,186,321,201,48,1,1 to 99,60,711,206,71,307,65,882,348,279,1,176,0,0,41,1303,666,633,1295,8,0,16409,73,17798,16482,1303,41,693,681,1502516062.89801,229328.389599522,a985ccbc-ba3e-4854-acdf-8e9cd885e5aa,61
