OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1396,37,67,179,210,186,197,191,141,108,80,0,0 to 118,45,750,641,5,1396,0,0,86,781,2,664,17,600,794,1,1,1394,551,49,0,0,277,322,1,600,11,28,88,118,81,82,73,39,37,43,0,0 to 106,41,450,40,31,79,83,431,86,77,0,39,0,0,18,600,322,277,600,0,0,4322,0,4931,4322,600,18,673,656,{CB6285A2-DA2E-4583-AAD5-1221776836AE},9,45,54,0.166666666666667,41,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5940,167,515,765,823,764,834,890,613,370,191,8,0 to 118,44,3466,2426,48,5930,10,0,876,3162,133,2632,33,2323,3595,0,22,5908,1352,969,1,1,1234,1078,9,2321,56,238,377,335,345,316,300,207,100,48,1,0 to 100,39,1405,619,232,65,464,1760,97,400,1,246,0,0,50,2323,1079,1235,2321,2,0,16576,8,18917,16584,2323,50,1419,1356,{CE511C5D-2638-44A3-B2F8-B13847543637},27,323,350,0.0771428571428571,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2628,57,126,282,509,487,400,358,252,110,43,4,0 to 118,41,1053,1555,20,2618,10,0,74,1598,3,1308,30,1435,1187,0,6,2612,1370,61,4,0,392,1039,0,1431,6,26,150,341,337,247,172,101,36,19,0,1 to 95,40,751,563,78,39,130,1220,81,118,0,57,0,0,16,1435,1040,395,1431,4,0,5613,6,7080,5619,1435,16,1436,1337,{541BD5A3-4453-499A-9896-F0EDC5353D0B},3,48,51,0.0588235294117647,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,13819,281,795,1853,2158,2013,1772,1931,1312,953,701,50,0 to 119,43,7920,5804,95,13637,181,1,734,7846,137,3474,251,5977,7776,1,65,13572,5710,215,47,5,3180,2694,51,5925,64,244,1020,1131,931,792,834,490,279,182,10,0 to 103,40,3056,479,1252,1138,666,4113,1146,519,5,320,5,1,129,5977,2717,3209,5924,52,1,37418,129,43585,37547,5977,129,7756,7330,{EB5D2450-A892-40FD-9BA4-9821A7438525},79,907,986,0.0801217038539554,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1405,27,95,158,201,223,195,192,159,104,51,0,0 to 99,44,695,696,14,1404,1,0,55,563,4,588,19,697,707,0,1,1403,648,48,1,0,291,404,1,696,7,28,78,128,116,101,90,73,47,29,0,0 to 99,44,462,100,56,78,30,564,102,69,1,37,1,0,14,697,405,291,696,1,0,4467,0,5174,4467,697,14,965,904,{3B55AA95-5170-4CAF-82A3-E99AD7459349},16,227,243,0.065843621399177,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,114336,1935,3671,12637,16111,15230,16605,17642,14105,9487,5312,1601,0 to 119,49,61813,52180,343,113243,1091,2,11112,82762,465,37650,1196,49759,64180,154,243,112851,48592,711,447,9,25573,23579,151,49303,787,1944,8175,9045,7849,7602,6353,3614,2424,1916,50,0 to 106,41,20126,7909,8966,12302,13407,21896,14000,5557,65,4011,45,24,1549,49759,23826,25778,49301,456,2,352500,636,403509,353136,49759,1549,15661,15397,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},364,6162,6526,0.0557768924302789,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,20286,439,852,2139,2757,2771,3128,3148,2539,1574,913,26,0 to 119,48,11580,8539,167,20123,163,0,2043,11545,188,7537,291,8753,11261,4,268,19851,8563,155,34,1,4784,3932,2,8718,154,385,1176,1438,1385,1378,1194,835,487,320,1,0 to 104,43,3681,2029,1193,1815,2003,4491,2224,937,4,755,3,1,323,8753,3951,4800,8718,35,0,60321,127,69255,60448,8753,323,8377,8362,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},53,1025,1078,0.049165120593692,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25711,518,1283,3062,3483,3625,3983,3920,3134,1873,816,14,0 to 119,47,14349,11284,78,25567,144,0,2194,15593,223,10442,488,10406,15133,4,168,25395,10086,241,77,2,5394,4927,6,10327,156,423,1658,1743,1632,1630,1362,948,572,280,2,0 to 105,42,7477,733,1579,538,2467,7141,719,1319,11,995,5,1,227,10406,4963,5437,10327,79,0,92272,70,102810,92342,10406,227,11117,10568,{83116673-3FAD-423E-B67E-DFE7515F5E81},91,1668,1759,0.0517339397384878,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5875,153,355,672,933,1023,987,843,576,223,107,3,0 to 119,42,3404,2463,8,5851,23,1,666,3182,46,2280,47,3038,2830,1,6,5845,2948,80,10,0,1482,1544,2,3028,74,197,413,492,573,534,408,216,95,35,1,0 to 98,40,898,1271,571,288,576,2023,429,448,1,239,0,0,54,3038,1546,1490,3027,10,1,14808,16,17908,14824,3038,54,1556,1361,{77657EA6-12D6-4645-9915-E7357C9F40D6},4,158,162,0.0246913580246914,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,25247,534,845,7284,3805,3148,3027,3045,2177,872,465,45,0 to 119,35,13631,11499,117,24702,544,1,2640,16682,201,7550,265,11854,13358,4,31,24669,11426,86,337,5,6382,5104,26,11512,208,415,5440,1725,1249,1037,922,476,221,151,10,0 to 105,24,4555,2992,1562,2403,978,6470,4064,686,25,278,12,11,101,11854,5248,6578,11511,342,1,84215,212,96424,84427,11854,101,5666,5253,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},80,1761,1841,0.0434546442151005,24,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1309,30,54,118,168,180,206,242,189,93,28,1,0 to 101,50,599,708,2,1294,15,0,38,841,41,611,28,640,665,1,3,1291,542,86,12,0,213,415,0,628,8,20,63,108,93,120,115,68,30,15,0,0 to 98,47,259,315,41,13,30,555,43,61,2,37,0,0,9,640,422,218,628,12,0,3504,1,4159,3505,640,9,466,429,{862C7BAB-C64B-458C-A6FA-56543968D206},7,39,46,0.152173913043478,47,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,2254,114,202,261,289,298,328,297,254,133,70,8,0 to 99,43,1306,944,4,2218,36,0,113,1109,53,1278,76,1068,1184,1,1,2216,713,338,15,2,579,472,0,1051,40,82,128,154,157,183,143,100,42,39,0,0 to 99,42,344,619,56,32,55,904,92,170,1,52,2,2,24,1068,476,592,1051,17,0,5290,19,6388,5309,1068,24,1324,1225,{89851E42-542B-499A-AC7E-D8F5369F3D0B},1,57,58,0.0172413793103448,42,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2562,14,60,253,705,595,442,316,116,43,9,9,0 to 105,38,391,2167,4,2562,0,0,28,1928,1,333,10,530,2032,0,0,2562,493,37,0,0,145,385,0,530,6,18,93,101,93,99,80,24,14,2,0,0 to 86,39,352,126,30,22,30,381,119,38,0,14,0,0,10,530,385,145,530,0,0,3163,0,3693,3163,530,10,577,553,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},1,61,62,0.0161290322580645,39,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2595,48,84,241,622,509,414,315,218,90,51,3,0 to 118,40,720,1860,15,2583,12,0,80,1920,9,906,15,894,1700,0,1,2583,752,134,4,4,309,577,0,886,28,56,109,177,156,149,123,62,24,10,0,0 to 91,40,387,429,59,11,114,639,133,103,1,35,0,0,9,894,581,313,886,8,0,4786,3,5685,4789,894,9,194,192,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},4,44,48,0.0833333333333333,40,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,9904,126,258,1261,1585,1514,1674,1587,1038,550,259,52,0 to 119,46,5145,4695,64,9708,196,0,1387,4699,28,6146,260,6579,3299,1,25,9684,6252,153,172,2,3211,3165,29,6405,72,174,1009,1207,1080,1099,948,591,301,97,1,0 to 99,42,3772,640,868,1125,504,4409,1492,772,21,370,10,6,132,6579,3261,3289,6405,174,0,31272,30,37955,31302,6579,132,1464,1457,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},63,556,619,0.101777059773829,42,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,7325,159,298,725,1069,1130,1106,1221,898,455,254,10,0 to 119,47,3283,3988,54,7298,27,0,988,3055,63,4218,49,4158,3160,0,7,7291,3743,401,11,3,1458,2683,3,4144,71,158,491,719,751,697,605,395,193,77,1,0 to 102,43,2534,1225,182,203,255,3629,260,147,1,247,2,0,71,4158,2692,1463,4144,14,0,14562,13,18789,14575,4158,71,975,974,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},22,171,193,0.113989637305699,43,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,2906,66,131,378,537,508,469,397,242,131,45,2,0 to 103,41,1276,1607,23,2843,63,0,322,1617,16,1190,26,1723,1147,0,36,2807,1426,292,3,2,590,1128,0,1718,9,48,210,361,360,292,228,134,64,17,0,0 to 103,40,906,231,55,526,18,1068,632,126,0,85,0,0,18,1723,1131,592,1718,5,0,7069,55,8875,7124,1723,18,1938,1937,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},11,100,111,0.0990990990990991,40,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1793,32,97,204,253,254,295,261,239,110,47,1,0 to 119,47,929,854,10,1769,24,0,72,888,5,706,111,860,930,0,3,1766,724,121,12,3,387,458,0,845,15,42,115,150,138,141,111,85,42,21,0,0 to 101,42,636,87,54,68,34,696,115,54,0,30,0,0,12,860,462,398,845,15,0,4785,9,5664,4794,860,12,1094,1088,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},8,346,354,0.0225988700564972,42,1.7364459249798063,0.117992933758262
