OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,773,16,16,88,103,110,117,118,99,70,36,0,0 to 118,49,434,328,11,773,0,0,11,674,2,109,2,97,676,0,0,773,77,20,0,0,24,73,0,97,3,4,15,18,19,18,15,3,2,0,0,0 to 83,38,69,10,16,2,26,66,5,5,0,0,0,0,0,97,73,24,97,0,0,2218,0,2318,2218,97,0,164,147,39,38,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3562,75,124,350,511,441,555,601,433,299,162,11,0 to 118,50,2227,1296,39,3554,8,0,92,3226,133,342,22,339,3220,1,2,3551,205,134,0,0,189,149,1,339,7,31,59,52,46,48,42,28,18,8,0,0 to 98,39,162,147,17,13,35,281,23,56,0,36,0,0,6,339,149,189,339,0,0,6129,8,6477,6137,339,6,188,119,40,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,917,33,20,84,140,117,114,166,142,74,23,4,0 to 118,50,505,381,31,910,7,0,19,762,3,168,28,79,836,1,1,908,66,12,1,0,29,49,0,78,0,2,16,26,14,3,8,3,7,0,0,6 to 84,32,47,7,18,6,26,46,6,18,0,7,0,0,0,79,49,30,78,1,0,1334,6,1421,1340,79,0,213,111,32,32,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,7312,165,159,603,1094,1051,951,1103,833,738,575,40,0 to 119,51,4409,2863,40,7165,146,1,191,6552,137,505,82,666,6645,0,1,7165,529,123,9,5,328,324,0,652,7,26,101,150,113,86,82,51,33,17,0,0 to 96,39,455,53,61,83,170,396,86,103,3,59,1,0,6,666,332,334,651,14,1,12415,132,13222,12547,666,6,1078,646,43,39,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,551,5,4,44,53,81,75,93,84,72,39,1,0 to 99,56,331,204,16,551,0,0,6,443,4,60,5,76,474,0,1,550,60,16,0,0,56,20,0,76,0,0,6,8,5,2,4,8,21,21,1,20 to 99,77,54,10,2,10,1,60,15,12,0,8,0,0,6,76,20,56,76,0,0,806,0,884,806,76,6,132,70,78,77,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,73766,1133,1715,5720,9127,8995,10389,12395,10927,7661,4095,1609,0 to 119,54,40255,33219,292,72981,783,2,2834,64972,465,9513,380,14150,59260,188,168,72630,13853,153,138,6,6972,7000,34,14006,238,498,1934,2492,2278,2081,1830,1163,902,722,12,0 to 104,43,5735,2388,2223,3660,4660,5434,3912,2407,37,1776,23,13,510,14150,7087,7029,14004,144,2,129910,636,144928,130546,14150,510,4402,4137,44,43,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,10987,194,237,800,1365,1382,1709,1892,1721,1102,552,33,0 to 119,53,6317,4463,207,10841,146,0,529,9228,188,1560,76,1724,9169,5,89,10747,1632,81,11,0,919,789,5,1713,38,55,220,305,265,302,232,151,88,66,2,0 to 99,43,606,281,155,671,329,606,778,229,1,163,2,0,47,1724,794,925,1713,11,0,20663,135,22531,20798,1724,47,990,975,46,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,15246,293,371,1303,1927,2106,2396,2611,2267,1362,580,30,0 to 119,51,8798,6395,53,15167,79,0,389,13623,223,1358,128,1992,13211,2,41,15124,1920,58,13,1,1010,964,4,1978,36,54,361,388,346,292,234,180,72,29,0,0 to 99,38,1026,146,204,602,341,943,694,246,4,138,3,1,19,1992,972,1016,1978,14,0,33009,65,35076,33074,1992,19,2190,1638,43,38,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,2989,51,101,222,498,504,526,468,390,145,82,2,0 to 119,47,2066,912,11,2971,17,1,41,2693,46,364,16,379,2607,1,2,2969,365,10,4,0,263,112,0,375,4,15,30,75,77,75,40,33,19,11,0,0 to 98,43,145,154,17,59,43,258,74,76,0,60,0,0,7,379,112,267,374,4,1,5441,13,5840,5454,379,7,415,221,43,43,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,13648,192,324,1953,2243,1966,2032,2138,1747,679,342,32,0 to 119,45,7043,6455,150,13407,240,1,248,12638,201,828,102,1114,12395,3,136,13269,1061,15,37,1,537,539,0,1076,5,37,489,213,116,98,86,51,14,4,1,0 to 91,25,311,348,39,378,56,614,406,117,11,49,9,7,8,1114,558,556,1075,38,1,27479,202,28843,27681,1114,8,887,468,30,25,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,592,15,13,28,49,83,81,119,121,65,17,1,0 to 101,57,357,231,4,587,5,0,7,490,41,91,7,49,543,0,0,587,25,22,2,0,30,17,0,47,2,1,5,5,10,4,7,7,4,4,0,0 to 95,52,15,23,7,2,8,36,3,8,2,9,0,0,4,49,19,30,47,2,0,1203,3,1256,1206,49,4,83,45,58,52,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1177,56,48,104,136,153,157,175,183,109,49,7,0 to 99,50,748,423,6,1154,23,0,27,906,53,348,16,195,980,1,1,1152,116,75,4,0,117,74,0,191,14,11,22,24,32,23,37,15,6,11,0,0 to 98,42,43,129,15,4,14,158,19,36,0,6,0,1,3,195,75,120,191,4,0,1764,19,1981,1783,195,3,355,255,50,42,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2218,3,4,158,690,561,398,269,93,28,6,8,0 to 92,39,172,2038,8,2218,0,0,1,2001,1,86,0,222,1996,0,0,2218,219,3,0,0,6,216,0,222,0,0,13,58,55,54,36,5,0,1,0,20 to 85,41,116,97,5,4,7,133,82,6,0,1,0,0,1,222,216,6,222,0,0,2109,0,2333,2109,222,1,55,30,41,41,3.020973914923982,0.20464132709324395
