OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1203,32,54,147,162,154,168,169,132,106,79,0,0 to 118,48,692,506,5,1203,0,0,69,760,2,494,15,434,767,0,2,1201,399,35,0,0,233,201,0,434,10,20,64,71,49,56,56,31,35,42,0,0 to 106,45,358,29,20,27,61,340,33,55,0,28,0,0,9,434,201,233,434,0,0,3542,0,3984,3542,434,9,581,564,{CB6285A2-DA2E-4583-AAD5-1221776836AE},4,51,55,0.0727272727272727,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4833,114,259,574,707,650,705,757,520,344,181,22,0 to 118,46,2866,1919,48,4823,10,0,639,3504,133,1481,28,1709,3122,0,2,4821,1050,657,1,1,885,805,17,1707,43,161,296,258,268,221,206,126,79,40,11,0 to 100,38,878,489,206,134,358,1162,187,322,1,188,0,0,35,1709,806,886,1707,2,0,12496,8,14225,12504,1709,35,329,261,{CE511C5D-2638-44A3-B2F8-B13847543637},20,247,267,0.0749063670411985,38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2200,46,64,222,447,423,345,298,218,97,36,4,0 to 118,42,859,1319,22,2191,9,0,64,1501,3,874,29,1146,1044,0,10,2181,1089,54,3,0,268,875,0,1143,3,17,114,299,278,205,123,70,26,11,0,4 to 92,39,562,497,66,18,123,963,57,84,0,31,0,0,5,1146,875,271,1143,3,0,4443,6,5624,4449,1146,5,918,819,{541BD5A3-4453-499A-9896-F0EDC5353D0B},4,57,61,0.0655737704918033,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,10885,245,342,1229,1774,1602,1464,1519,1124,869,670,47,0 to 119,46,6335,4445,105,10724,160,1,593,7313,137,1827,140,3921,6915,1,48,10676,3689,204,23,5,2102,1745,46,3893,44,137,655,785,619,534,482,320,193,146,6,0 to 103,40,2152,365,681,695,530,2516,847,371,4,222,2,0,71,3921,1756,2119,3892,28,1,27375,132,31474,27507,3921,71,3409,2983,{EB5D2450-A892-40FD-9BA4-9821A7438525},41,370,411,0.0997566909975669,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1105,16,37,108,171,190,154,166,128,89,46,0,0 to 99,46,551,539,15,1105,0,0,36,542,4,468,12,534,570,0,1,1104,517,17,0,0,221,312,1,534,4,14,55,105,98,73,69,51,38,27,0,1 to 99,44,336,86,39,73,23,425,86,56,0,32,0,0,8,534,312,221,534,0,0,3773,0,4317,3773,534,8,584,523,{3B55AA95-5170-4CAF-82A3-E99AD7459349},3,71,74,0.0405405405405405,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,102384,1691,3001,9976,14422,13642,14919,16179,13082,8870,4933,1669,0 to 119,50,55324,46636,424,101355,1027,2,8439,79267,465,27240,746,40387,61565,163,269,100928,39385,612,383,7,20597,19206,194,39997,665,1563,5897,7556,6595,6265,5236,2977,1981,1580,72,0 to 106,41,14878,6452,7153,11514,10954,15848,13195,4318,50,3107,33,16,1059,40387,19411,20765,39995,390,2,264414,644,306049,265058,40387,1059,10354,10089,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},225,5239,5464,0.0411786237188873,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,16946,321,521,1574,2324,2336,2620,2715,2224,1412,830,69,0 to 119,50,9759,6917,270,16792,154,0,1407,11837,188,4599,175,6585,10083,5,273,16514,6427,134,24,0,3591,2889,81,6561,125,272,873,1114,1072,1032,882,576,352,253,34,0 to 104,43,2246,1477,986,1852,1416,2785,2360,593,2,419,2,1,214,6585,2902,3602,6561,24,0,40918,131,47682,41049,6585,214,4311,4296,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},42,1108,1150,0.0365217391304348,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,21582,427,653,2218,2952,3092,3443,3465,2841,1695,756,40,0 to 119,49,12164,9332,86,21469,113,0,1769,14910,223,7033,305,7693,13754,2,133,21334,7497,148,47,1,3976,3649,20,7645,120,258,1161,1331,1228,1227,1016,703,410,225,14,0 to 105,42,5381,579,1227,458,1865,5180,600,1015,10,695,4,1,157,7693,3673,4000,7645,48,0,66335,70,74152,66405,7693,157,5094,4543,{83116673-3FAD-423E-B67E-DFE7515F5E81},50,1826,1876,0.0266524520255864,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4794,108,232,495,798,837,822,693,492,194,102,21,0 to 119,43,2884,1873,37,4772,21,1,362,3290,46,1388,29,2156,2630,1,7,4765,2097,51,8,0,1069,1051,28,2148,52,130,292,371,414,378,262,139,68,31,19,0 to 105,40,602,813,319,414,374,1168,606,310,0,161,0,0,29,2156,1052,1076,2147,8,1,11998,16,14215,12014,2156,29,855,661,{77657EA6-12D6-4645-9915-E7357C9F40D6},47,350,397,0.118387909319899,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,18469,316,587,3329,3142,2630,2591,2671,1965,779,410,49,0 to 119,41,9634,8719,116,18138,330,1,1421,14463,201,3904,181,5808,12641,3,17,18120,5621,59,124,4,2999,2665,16,5680,95,243,1892,1121,747,647,580,271,117,78,17,0 to 105,29,1730,1860,666,1424,409,3070,2201,430,15,159,10,7,28,5808,2730,3062,5679,128,1,62462,212,68604,62674,5808,28,2428,2013,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},100,4235,4335,0.0230680507497116,29,2.4286163266357628,0.1707040441862682
