OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,2165,63,177,332,289,295,298,272,197,152,90,0,0 to 118,42,1185,966,14,2162,3,0,157,991,2,1299,31,1233,926,1,5,2156,1054,176,1,2,632,588,10,1230,26,90,196,194,177,168,144,96,87,55,0,0 to 106,40,973,81,50,126,115,973,142,116,0,63,0,0,28,1233,590,633,1230,3,0,5850,0,7099,5850,1233,28,1288,1271,{CB6285A2-DA2E-4583-AAD5-1221776836AE},6,43,49,0.122448979591837,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,9556,314,919,1299,1294,1221,1298,1365,1005,578,253,10,0 to 118,42,5422,4088,46,9532,24,0,1587,3718,133,6393,88,5521,3991,0,44,9488,3267,2238,9,7,2990,2494,21,5505,136,489,836,768,755,742,759,586,318,130,2,0 to 100,42,3665,1238,434,168,739,4493,273,642,2,465,2,1,103,5521,2505,2995,5505,16,0,23732,0,29265,23732,5521,103,2904,2845,{CE511C5D-2638-44A3-B2F8-B13847543637},15,365,380,0.0394736842105263,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,4049,119,348,482,689,659,585,541,384,175,61,6,0 to 118,40,1798,2232,19,4037,12,0,124,1974,3,2563,44,2523,1518,0,8,4029,2297,219,7,0,970,1541,5,2516,30,112,296,483,492,404,339,222,108,36,1,0 to 98,41,1496,767,117,136,145,2159,212,182,0,87,0,0,35,2523,1544,974,2516,7,0,7344,0,9892,7344,2523,35,2474,2378,{541BD5A3-4453-499A-9896-F0EDC5353D0B},11,93,104,0.105769230769231,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,27964,632,2804,4013,4368,4133,3523,3708,2344,1463,904,72,0 to 119,39,15334,12434,196,27657,306,1,1682,10398,137,12129,890,17050,10810,2,102,27556,15472,1396,165,17,8960,7783,125,16868,205,1016,2510,3129,2701,2325,2442,1461,803,425,33,0 to 103,40,9636,1327,2253,3652,1315,11489,4064,923,13,615,16,3,288,17050,7879,9043,16867,182,1,57322,0,74450,57322,17050,288,23635,23221,{EB5D2450-A892-40FD-9BA4-9821A7438525},165,598,763,0.216251638269987,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,2574,72,296,334,309,356,332,329,277,178,90,1,0 to 99,42,1341,1213,20,2572,2,0,152,588,4,1254,45,1532,1036,0,6,2566,1327,203,2,0,744,780,6,1530,24,98,188,214,215,212,209,181,120,71,0,0 to 99,46,1025,169,206,130,37,1266,227,121,1,54,1,0,36,1532,781,745,1530,2,0,5625,0,7167,5625,1532,36,2095,2037,{3B55AA95-5170-4CAF-82A3-E99AD7459349},0,35,35,0,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,183408,3887,10297,23112,27496,25162,26646,26372,19555,12591,6678,1612,0 to 119,45,97745,84875,788,180869,2537,2,25068,102657,465,80538,2978,108585,74123,138,562,180175,105542,1184,1837,22,55411,50800,515,106726,1871,6041,16915,19638,16672,16441,14244,8382,5090,3231,60,0 to 107,40,52328,14960,18224,21214,28336,52811,25579,7708,122,5561,83,39,2212,108585,51742,56279,106724,1859,2,588846,0,698176,588846,108585,2212,44690,44431,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},397,4786,5183,0.0765965656955431,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,34327,945,2213,4295,4773,4707,5038,4986,3931,2286,1118,35,0 to 119,45,19211,14915,201,34071,256,0,4002,14169,188,18073,760,19856,14083,4,384,33684,19534,193,127,2,10811,8855,61,19727,373,1009,2675,3167,3032,3038,2815,2072,1126,546,3,0 to 104,43,9712,3991,2572,3452,4509,10937,4281,1646,17,1273,12,1,497,19856,8918,10877,19727,129,0,92438,0,112360,92438,19856,497,19853,19837,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},93,861,954,0.0974842767295597,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,49451,1046,3810,6664,6376,6785,7442,6899,5626,3417,1357,29,0 to 119,45,27075,22121,255,49117,334,0,3317,25122,223,22414,1290,30050,18932,4,465,48648,28582,1200,263,4,15879,13753,150,29782,459,1702,4307,4359,4393,4661,4070,3247,2032,811,8,0 to 105,44,21237,1749,3507,3289,5779,19241,4762,2755,37,1993,28,6,560,30049,13862,16021,29782,267,0,159406,0,189557,159406,30049,560,23025,22483,{83116673-3FAD-423E-B67E-DFE7515F5E81},122,1588,1710,0.0713450292397661,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,8317,265,692,1002,1225,1377,1332,1160,785,329,147,3,0 to 119,42,4779,3510,28,8288,28,1,1062,3737,46,4130,88,5144,3159,1,13,8275,4758,371,12,3,2670,2436,23,5129,136,409,686,760,895,866,710,410,197,74,1,0 to 99,41,1458,2512,865,294,834,3852,443,673,1,367,0,0,71,5144,2440,2681,5128,15,1,20431,0,25619,20431,5144,71,2741,2547,{77657EA6-12D6-4645-9915-E7357C9F40D6},13,183,196,0.0663265306122449,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,42189,1229,2258,12185,6734,5338,4802,4601,3074,1291,630,47,0 to 119,32,22911,19078,200,41157,1031,1,6431,20527,201,19661,747,26838,15304,7,40,41112,25750,256,817,15,14313,11571,122,26006,583,1371,9622,4471,3311,2726,2418,1352,644,330,10,0 to 106,28,11995,8166,3084,2761,2326,19300,4380,1270,45,536,34,27,239,26838,11928,14777,26005,832,1,136900,0,163928,136900,26838,239,11832,11430,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},109,1860,1969,0.0553580497714576,2.4286163266357628,0.1707040441862682
