OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1210,31,55,147,162,155,169,170,135,107,79,0,0 to 118,48,696,508,6,1210,0,0,72,762,2,502,15,441,768,0,1,1209,406,35,0,0,237,203,1,441,10,21,64,71,50,57,57,33,36,42,0,0 to 106,45,362,30,20,29,63,344,34,58,0,29,0,0,9,441,203,237,441,0,0,3583,0,4032,3583,441,9,583,566,{CB6285A2-DA2E-4583-AAD5-1221776836AE},1,16,17,0.0588235294117647,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4849,115,262,577,709,655,706,756,522,345,181,21,0 to 118,46,2878,1929,42,4839,10,0,711,3423,133,1590,28,1725,3122,0,2,4837,1059,664,1,1,897,815,11,1723,43,164,299,260,273,222,206,128,80,40,10,0 to 100,38,915,494,205,109,365,1206,152,329,1,193,0,0,35,1725,816,898,1723,2,0,12585,8,14330,12593,1725,35,340,272,{CE511C5D-2638-44A3-B2F8-B13847543637},0,90,90,0,38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2213,46,64,223,451,425,348,300,219,97,36,4,0 to 118,42,865,1326,22,2204,9,0,64,1511,3,882,29,1158,1046,0,9,2195,1100,55,3,0,273,882,0,1155,3,17,115,302,281,208,125,70,26,11,0,4 to 92,39,571,499,67,18,123,974,58,84,0,33,0,0,5,1158,882,276,1155,3,0,4485,6,5678,4491,1158,5,930,831,{541BD5A3-4453-499A-9896-F0EDC5353D0B},4,34,38,0.105263157894737,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,10922,244,344,1230,1777,1606,1474,1528,1126,871,675,47,0 to 119,46,6359,4459,104,10761,160,1,595,7320,137,1852,140,3965,6909,1,47,10714,3729,208,23,5,2130,1762,45,3937,45,138,658,788,624,543,492,323,195,153,6,0 to 103,40,2180,369,686,702,535,2546,856,372,4,223,2,0,71,3965,1773,2147,3936,28,1,27532,132,31675,27664,3965,71,3419,2993,{EB5D2450-A892-40FD-9BA4-9821A7438525},11,143,154,0.0714285714285714,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1112,16,38,108,173,191,155,167,129,89,46,0,0 to 99,46,555,542,15,1112,0,0,36,539,4,474,12,538,573,0,1,1111,521,17,0,0,223,314,1,538,4,14,55,106,99,73,70,52,38,27,0,1 to 99,44,340,89,39,70,23,430,85,57,0,32,0,0,8,538,314,223,538,0,0,3793,0,4341,3793,538,8,637,576,{3B55AA95-5170-4CAF-82A3-E99AD7459349},1,72,73,0.0136986301369863,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,102790,1695,3018,10030,14485,13716,14985,16239,13118,8892,4944,1668,0 to 119,50,55539,46824,427,101766,1022,2,8477,79542,465,27423,751,40746,61614,163,267,101341,39742,619,378,7,20778,19384,199,40361,669,1579,5947,7616,6661,6326,5290,3002,1998,1587,71,0 to 106,41,14973,6501,7333,11554,11022,16033,13306,4326,50,3113,33,16,1061,40746,19586,20946,40359,385,2,267694,644,309689,268338,40746,1061,10397,10132,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},162,2869,3031,0.0534477070273837,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,17019,323,526,1590,2336,2344,2635,2719,2230,1417,830,69,0 to 119,50,9798,6950,271,16863,156,0,1417,11855,188,4641,177,6651,10088,5,275,16583,6489,136,25,1,3630,2913,82,6625,126,274,884,1124,1082,1046,888,582,358,253,34,0 to 104,43,2288,1491,1006,1840,1446,2830,2349,599,2,426,2,1,218,6651,2928,3641,6625,26,0,41366,131,48196,41497,6651,218,4335,4320,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},23,485,508,0.0452755905511811,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,21685,428,656,2242,2972,3104,3457,3481,2852,1699,756,38,0 to 119,49,12222,9378,85,21570,115,0,1791,14896,223,7154,318,7777,13770,3,135,21432,7579,148,49,1,4023,3686,18,7727,120,261,1179,1348,1240,1236,1030,714,412,225,12,0 to 105,42,5440,583,1241,463,1893,5237,597,1029,10,704,4,1,157,7777,3710,4049,7727,50,0,67135,70,75036,67205,7777,157,5159,4608,{83116673-3FAD-423E-B67E-DFE7515F5E81},20,710,730,0.0273972602739726,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4830,108,237,504,807,840,828,697,492,194,102,21,0 to 119,43,2901,1893,36,4808,21,1,365,3302,46,1398,29,2194,2628,1,7,4801,2135,51,8,0,1086,1073,27,2186,52,133,302,379,418,386,266,140,68,31,19,0 to 105,39,612,831,334,409,381,1194,611,310,0,161,0,0,29,2194,1074,1093,2185,8,1,12113,16,14369,12129,2194,29,867,673,{77657EA6-12D6-4645-9915-E7357C9F40D6},10,142,152,0.0657894736842105,39,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,18565,319,593,3359,3158,2635,2601,2682,1971,785,413,49,0 to 119,41,9689,8756,120,18232,332,1,1440,14483,201,3961,182,5908,12636,3,18,18213,5719,59,126,4,3055,2704,19,5778,98,248,1920,1133,751,656,592,278,124,91,17,0 to 105,29,1766,1895,694,1423,417,3130,2231,443,15,168,10,7,29,5908,2771,3118,5777,130,1,63870,210,70111,64080,5908,29,2486,2071,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},57,1041,1098,0.0519125683060109,29,2.4286163266357628,0.1707040441862682
