OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1619,42,108,236,229,219,224,213,150,115,83,0,0 to 118,43,863,747,9,1619,0,0,110,821,2,841,23,742,873,1,3,1615,665,77,0,0,349,388,5,742,12,44,117,134,106,104,90,45,44,46,0,0 to 106,40,566,48,37,91,91,556,95,88,0,46,0,0,19,742,388,349,742,0,0,4964,0,5717,4964,742,19,963,946,{CB6285A2-DA2E-4583-AAD5-1221776836AE},6,75,81,0.0740740740740741,40,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,6482,184,592,852,879,824,902,967,678,393,203,8,0 to 118,43,3738,2700,44,6467,15,0,1010,3118,133,3346,63,2680,3774,0,28,6439,1547,1126,3,4,1411,1252,10,2673,62,270,434,371,385,365,357,255,120,60,1,0 to 100,40,1669,684,261,59,507,2084,82,428,2,285,2,0,58,2680,1257,1413,2673,7,0,18838,8,21538,18846,2680,58,1757,1694,{CE511C5D-2638-44A3-B2F8-B13847543637},16,137,153,0.104575163398693,40,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2896,65,181,309,534,519,434,404,275,128,43,4,0 to 118,41,1193,1683,20,2886,10,0,83,1638,3,1571,32,1629,1261,0,6,2880,1532,93,4,0,485,1139,1,1625,9,45,167,358,364,280,214,117,55,20,0,0 to 95,41,889,584,82,70,131,1391,103,139,0,66,0,0,20,1629,1140,488,1625,4,0,6214,6,7873,6220,1629,20,1707,1610,{541BD5A3-4453-499A-9896-F0EDC5353D0B},8,50,58,0.137931034482759,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,17300,370,1325,2385,2689,2465,2227,2366,1575,1085,762,51,0 to 119,42,9757,7437,106,17078,221,1,910,8273,137,5670,399,8556,8651,1,92,16987,8024,440,80,12,4534,3876,54,8464,101,406,1347,1604,1301,1179,1203,732,412,260,11,0 to 103,40,4261,675,1546,1982,792,5753,1919,606,5,406,6,1,145,8556,3920,4582,8463,92,1,44647,128,53398,44775,8556,145,12573,12149,{EB5D2450-A892-40FD-9BA4-9821A7438525},102,545,647,0.157650695517774,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1656,37,136,204,231,252,227,213,184,117,55,0,0 to 99,44,833,808,15,1654,2,0,79,560,4,720,19,854,798,0,4,1650,760,92,2,0,374,476,2,852,11,42,95,148,134,129,110,93,59,33,0,0 to 99,44,587,113,61,91,30,696,126,81,1,40,1,0,21,854,477,375,852,2,0,4898,0,5762,4898,854,21,1285,1225,{3B55AA95-5170-4CAF-82A3-E99AD7459349},11,66,77,0.142857142857143,45,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,130802,2331,5067,15576,18956,17575,18948,19642,15359,10178,5564,1606,0 to 119,47,70209,60127,466,129430,1370,2,14456,87328,465,47383,1595,63146,67119,150,387,128900,61571,901,662,12,32185,30044,243,62472,968,2718,10609,11612,9837,9520,8048,4620,3006,2157,51,0 to 106,40,27627,9072,10613,15160,16705,29288,16479,6244,79,4446,56,24,1670,63146,30405,32484,62470,674,2,431063,696,495532,431759,63146,1670,23980,23717,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},442,5787,6229,0.0709584202921817,40,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,22936,557,1125,2564,3127,3144,3489,3486,2787,1678,952,27,0 to 119,47,13015,9749,172,22778,158,0,2412,11762,188,9513,427,10473,12134,4,325,22449,10275,169,27,2,5726,4713,5,10444,192,457,1415,1698,1655,1653,1451,1035,563,352,2,0 to 104,43,4760,2275,1414,1995,2347,5646,2451,1106,6,878,5,1,362,10473,4727,5740,10444,29,0,70497,128,81153,70625,10473,362,11177,11162,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},83,715,798,0.104010025062657,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,30962,638,2055,4025,4000,4244,4696,4504,3683,2204,897,16,0 to 119,46,17146,13694,122,30763,199,0,2510,16979,223,13315,697,14132,16597,4,229,30530,13572,425,132,2,7336,6618,43,13997,214,676,2179,2177,2134,2195,1860,1454,880,359,3,0 to 105,43,10121,901,1884,1091,3047,9540,1410,1599,14,1201,8,2,270,14131,6673,7414,13997,134,0,111896,69,126170,111965,14131,270,17274,16728,{83116673-3FAD-423E-B67E-DFE7515F5E81},148,1356,1504,0.0984042553191489,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,6147,165,396,718,970,1063,1019,874,598,234,107,3,0 to 119,42,3548,2589,10,6122,24,1,705,3214,46,2483,58,3239,2901,1,6,6116,3131,97,11,0,1588,1636,4,3228,82,210,446,527,604,565,433,231,105,35,1,0 to 98,40,981,1371,611,265,620,2209,399,465,1,252,0,0,57,3239,1638,1597,3227,11,1,16446,16,19750,16462,3239,57,1785,1590,{77657EA6-12D6-4645-9915-E7357C9F40D6},11,167,178,0.0617977528089888,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,28662,614,987,8894,4307,3510,3322,3260,2292,930,501,45,0 to 119,33,15485,13065,112,28028,633,1,3340,17463,201,10034,377,14605,14019,6,32,27993,14065,112,422,6,7808,6336,33,14177,230,495,6680,2166,1572,1292,1106,588,277,190,9,0 to 106,24,5911,3862,1839,2565,1321,8699,4157,797,29,326,15,15,137,14605,6512,8057,14176,428,1,103722,211,118702,103933,14605,137,7202,6795,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},133,2803,2936,0.045299727520436,24,2.4286163266357628,0.1707040441862682
