OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,2078,56,157,318,282,284,286,267,192,147,89,0,0 to 118,42,1131,936,11,2075,3,0,147,964,2,1229,29,1160,911,1,6,2068,1003,154,1,2,594,556,7,1157,23,78,181,185,168,158,139,92,82,54,0,0 to 106,41,912,81,49,115,114,914,129,114,0,63,0,0,28,1160,558,595,1157,3,0,5686,0,6862,5686,1160,28,1227,1210,{CB6285A2-DA2E-4583-AAD5-1221776836AE},8,110,118,0.0677966101694915,40,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,9260,305,881,1255,1251,1183,1275,1322,975,553,249,11,0 to 118,42,5271,3938,51,9238,22,0,1428,3802,133,5830,82,5224,3995,0,41,9197,3050,2160,8,6,2824,2363,23,5210,133,458,794,727,717,718,715,557,284,119,2,0 to 100,42,3457,1173,413,167,704,4202,304,601,2,435,2,1,96,5224,2372,2829,5210,14,0,23166,0,28402,23166,5224,96,2829,2768,{CE511C5D-2638-44A3-B2F8-B13847543637},22,471,493,0.0446247464503043,40,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,3832,97,292,450,663,630,563,525,376,169,61,6,0 to 118,41,1685,2128,19,3821,11,0,110,1919,3,2366,41,2368,1456,0,8,3813,2168,194,6,0,888,1470,4,2362,22,87,269,465,465,385,321,215,102,36,1,0 to 98,41,1426,695,110,131,145,2008,209,179,0,86,0,0,32,2368,1473,891,2362,6,0,7089,0,9482,7089,2368,32,2337,2241,{541BD5A3-4453-499A-9896-F0EDC5353D0B},16,132,148,0.108108108108108,41,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,26302,589,2504,3782,4127,3891,3318,3506,2218,1414,883,70,0 to 119,40,14458,11683,161,26000,301,1,1623,10014,137,11191,822,15827,10379,1,95,25907,14277,1374,159,17,8296,7254,101,15651,194,894,2367,2910,2518,2143,2274,1341,754,401,31,0 to 103,40,8839,1231,2148,3433,1254,10679,3718,874,11,582,14,3,276,15827,7347,8376,15650,176,1,55547,0,71447,55547,15827,276,21982,21567,{EB5D2450-A892-40FD-9BA4-9821A7438525},101,705,806,0.12531017369727,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,2464,68,262,315,301,340,321,321,271,174,90,1,0 to 99,43,1281,1165,18,2462,2,0,146,580,4,1214,44,1485,973,0,6,2456,1289,194,2,0,721,757,5,1483,23,94,178,210,206,205,202,178,118,71,0,0 to 99,46,991,163,205,124,36,1226,221,117,1,53,1,0,36,1485,758,722,1483,2,0,5462,0,6956,5462,1485,36,2007,1949,{3B55AA95-5170-4CAF-82A3-E99AD7459349},3,78,81,0.037037037037037,47,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,175377,3641,9356,21980,26271,24043,25453,25330,18924,12267,6502,1610,0 to 119,45,93666,80973,738,173019,2356,2,23373,100796,465,74534,2855,101830,72905,141,501,172384,99084,1068,1662,17,52029,47646,477,100152,1728,5489,16069,18493,15675,15385,13278,7804,4792,3060,58,0 to 107,40,48832,13905,17032,20383,26573,49210,24369,7489,117,5398,76,30,2093,101831,48497,52806,100150,1679,2,567784,0,670351,567784,101831,2093,41447,41188,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},793,12693,13486,0.058801720302536,40,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,32589,869,1989,3998,4566,4479,4804,4797,3760,2204,1089,34,0 to 119,45,18310,14090,189,32337,252,0,3790,13916,188,16703,739,18525,13711,4,349,31985,18210,191,122,2,10109,8245,47,18401,352,894,2468,2998,2837,2836,2641,1925,1053,518,3,0 to 104,43,8995,3705,2405,3296,4217,10129,4055,1547,17,1198,11,1,470,18525,8305,10173,18401,124,0,89124,0,107714,89124,18525,470,18177,18161,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},158,1612,1770,0.0892655367231638,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,47005,984,3529,6297,6074,6467,7099,6591,5346,3282,1307,29,0 to 119,45,25739,20993,273,46684,321,0,3219,24305,223,20843,1201,28077,18492,4,432,46248,26693,1129,250,4,14822,12828,172,27822,427,1543,4033,4108,4122,4368,3801,3004,1899,763,8,0 to 105,44,19756,1634,3297,3135,5412,17897,4513,2558,35,1853,26,6,494,28076,12931,14957,27822,254,0,152597,0,180773,152597,28076,494,22305,21763,{83116673-3FAD-423E-B67E-DFE7515F5E81},215,3342,3557,0.0604441945459657,43,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,8082,250,656,972,1207,1339,1295,1129,764,322,145,3,0 to 119,42,4654,3402,26,8053,28,1,1015,3690,46,3891,85,4934,3132,1,15,8038,4553,366,12,3,2559,2339,21,4919,130,383,658,746,857,832,675,389,190,73,1,0 to 99,41,1405,2386,832,296,803,3674,442,634,1,338,0,0,67,4934,2343,2570,4918,15,1,19958,0,24937,19958,4934,67,2658,2464,{77657EA6-12D6-4645-9915-E7357C9F40D6},18,311,329,0.0547112462006079,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,40142,1097,2059,11576,6358,5087,4618,4426,3000,1253,621,47,0 to 119,33,21723,18227,192,39146,995,1,5931,20088,201,17900,720,24991,15100,7,44,39097,23945,251,784,11,13255,10828,113,24196,520,1233,9045,4114,3073,2542,2245,1283,606,320,10,0 to 106,28,11026,7547,2872,2751,2124,17717,4355,1185,42,498,31,25,209,24991,11168,13700,24195,795,1,133358,0,158539,133358,24991,209,11241,10839,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},244,3478,3722,0.0655561526061257,25,2.4286163266357628,0.1707040441862682
