OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1987,55,148,301,271,271,269,260,186,137,89,0,0 to 118,42,1075,902,10,1986,1,0,137,946,2,1133,28,1085,897,1,4,1981,951,133,1,0,551,527,6,1084,22,70,174,176,155,146,134,84,70,54,0,0 to 106,40,849,78,48,109,110,853,121,107,0,56,0,0,25,1085,528,551,1084,1,0,5502,0,6601,5502,1085,25,1165,1148,{CB6285A2-DA2E-4583-AAD5-1221776836AE},3,30,33,0.0909090909090909,40,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,8473,268,801,1158,1129,1064,1172,1238,903,501,230,9,0 to 118,43,4883,3536,54,8450,23,0,1278,3673,133,5210,80,4491,3951,0,31,8419,2528,1948,9,6,2464,1988,24,4476,111,406,705,606,610,620,633,481,228,89,2,0 to 100,42,2944,1002,374,156,661,3571,244,541,2,386,2,1,85,4491,1998,2469,4476,15,0,21919,8,26430,21927,4491,85,2553,2491,{CE511C5D-2638-44A3-B2F8-B13847543637},43,117,160,0.26875,40,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,3542,87,249,406,617,597,524,492,347,159,58,6,0 to 118,41,1537,1987,18,3532,10,0,98,1830,3,2124,41,2148,1386,0,8,3524,1992,151,5,0,763,1377,3,2143,18,74,236,432,435,355,293,183,89,32,1,0 to 95,41,1284,638,104,117,141,1822,180,174,0,83,0,0,28,2148,1379,766,2143,5,0,6824,5,9002,6829,2148,28,2171,2075,{541BD5A3-4453-499A-9896-F0EDC5353D0B},18,66,84,0.214285714285714,41,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,24300,553,2246,3452,3815,3593,3055,3274,2079,1324,855,54,0 to 119,40,13410,10747,143,24023,276,1,1449,9659,137,9825,699,14131,10074,1,94,23930,12698,1282,136,15,7407,6485,88,13980,177,774,2117,2614,2262,1903,2054,1198,649,368,15,0 to 103,40,7751,1090,1977,3162,1142,9527,3311,796,9,529,13,2,248,14131,6566,7476,13979,151,1,53051,124,67380,53175,14131,248,20222,19803,{EB5D2450-A892-40FD-9BA4-9821A7438525},179,496,675,0.265185185185185,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,2321,61,238,281,287,330,309,303,255,173,84,0,0 to 99,43,1202,1102,17,2319,2,0,122,569,4,1123,42,1382,934,0,5,2314,1208,172,2,0,667,709,4,1380,20,82,152,197,197,195,189,167,117,66,0,0 to 99,47,908,154,199,119,33,1134,213,112,1,52,1,0,29,1382,710,668,1380,2,0,5248,0,6640,5248,1382,29,1889,1830,{3B55AA95-5170-4CAF-82A3-E99AD7459349},14,75,89,0.157303370786517,47,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,162885,3219,8035,20133,24192,22268,23686,23775,18051,11693,6221,1612,0 to 119,46,87044,75159,682,160833,2050,2,20502,98059,465,65536,2428,91049,71279,144,413,160284,88660,1015,1359,15,46493,42761,421,89675,1487,4655,14537,16552,14114,13806,11835,6980,4256,2770,57,0 to 106,40,43003,12282,15152,19238,23782,43478,22415,7162,108,5158,70,29,1955,91049,43453,47117,89673,1374,2,535058,669,627491,535727,91049,1955,37265,37005,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},952,8959,9911,0.0960548885077187,40,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,29722,771,1718,3556,4155,4092,4442,4421,3458,2029,1049,31,0 to 119,46,16752,12809,161,29502,220,0,3447,13221,188,14743,657,16149,13252,4,317,29182,15871,186,90,2,8826,7208,23,16057,299,761,2134,2620,2510,2512,2301,1639,895,476,2,0 to 104,43,7771,3226,2117,2943,3701,8766,3590,1415,14,1093,9,1,430,16149,7255,8871,16057,92,0,84369,127,100706,84496,16149,430,16206,16190,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},194,1151,1345,0.144237918215613,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,43089,900,3160,5717,5596,5916,6519,6087,4951,3025,1189,29,0 to 119,45,23577,19231,281,42792,297,0,3107,22556,223,18881,999,24664,18051,4,370,42418,23484,949,228,2,12932,11316,185,24433,373,1314,3558,3658,3630,3846,3322,2634,1669,650,9,0 to 105,44,17297,1416,2932,2788,4781,15776,3876,2258,27,1649,20,4,405,24663,11415,13051,24433,230,0,142928,69,167756,142997,24663,405,21362,20819,{83116673-3FAD-423E-B67E-DFE7515F5E81},300,2064,2364,0.126903553299492,43,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,7533,232,577,901,1148,1256,1226,1054,712,293,131,3,0 to 119,42,4358,3152,23,7504,28,1,894,3614,46,3350,82,4464,3056,1,12,7492,4174,275,12,3,2309,2123,17,4449,118,340,604,692,779,766,610,336,163,55,1,0 to 99,41,1283,2107,754,305,745,3257,447,589,1,315,0,0,61,4464,2127,2320,4448,15,1,18920,15,23445,18935,4464,61,2444,2249,{77657EA6-12D6-4645-9915-E7357C9F40D6},39,284,323,0.120743034055728,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,36873,942,1763,10717,5846,4662,4262,4083,2815,1161,575,47,0 to 119,33,19963,16737,173,35994,878,1,5145,19301,201,15666,618,21970,14849,6,48,35942,21085,209,666,10,11667,9532,95,21294,436,1007,8254,3615,2671,2193,1909,1101,507,267,10,0 to 106,27,9471,6588,2543,2692,1879,15148,4267,1047,37,429,26,22,184,21970,9817,12049,21293,676,1,125684,210,148061,125894,21970,184,10451,10048,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},253,3129,3382,0.0748078060319338,25,2.4286163266357628,0.1707040441862682
