OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1138,31,44,139,151,147,157,165,126,102,76,0,0 to 118,49,654,478,6,1138,0,0,53,757,2,438,13,380,754,0,4,1134,348,32,0,0,204,176,0,380,9,15,58,60,42,46,52,26,33,39,0,0 to 106,45,307,26,21,26,52,293,35,34,0,21,0,0,6,380,176,204,380,0,0,3341,0,3728,3341,380,6,537,520,{CB6285A2-DA2E-4583-AAD5-1221776836AE},46,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4668,109,242,544,687,617,692,737,502,340,181,17,0 to 118,47,2780,1840,48,4659,9,0,569,3548,133,1330,26,1550,3116,0,2,4657,957,592,1,0,802,730,17,1549,40,147,269,236,236,206,188,107,75,40,6,0 to 100,38,783,445,190,131,325,1050,174,298,1,174,0,0,28,1550,731,802,1549,1,0,11665,8,13239,11673,1550,28,281,213,{CE511C5D-2638-44A3-B2F8-B13847543637},38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2033,44,62,204,418,372,323,280,199,92,35,4,0 to 118,42,815,1196,22,2024,9,0,61,1424,3,748,29,1000,1025,0,8,2016,950,47,3,0,231,766,0,997,2,17,99,269,236,186,108,52,21,10,0,4 to 92,39,444,391,52,110,101,749,147,76,0,27,0,0,5,1000,766,234,997,3,0,4274,6,5307,4280,1000,5,819,719,{541BD5A3-4453-499A-9896-F0EDC5353D0B},40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,10530,238,321,1180,1722,1552,1407,1467,1093,850,655,45,0 to 119,46,6141,4273,116,10367,162,1,577,7398,137,1606,134,3608,6879,1,42,10325,3398,180,25,5,1928,1600,50,3578,36,126,617,734,579,490,437,292,169,123,5,0 to 103,39,1872,339,635,732,484,2217,877,308,5,173,3,0,49,3608,1612,1946,3577,30,1,26195,134,29981,26329,3608,49,3161,2730,{EB5D2450-A892-40FD-9BA4-9821A7438525},39,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1036,13,33,100,153,180,144,157,123,87,46,0,0 to 99,47,521,499,16,1036,0,0,30,613,4,361,12,482,553,0,1,1035,466,16,0,0,199,282,1,482,2,14,50,91,88,67,61,46,36,27,0,1 to 99,44,299,61,27,95,19,353,110,51,0,31,0,0,8,482,282,199,482,0,0,3640,0,4138,3640,482,8,531,470,{3B55AA95-5170-4CAF-82A3-E99AD7459349},44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,99687,1634,2870,9598,13964,13256,14491,15784,12873,8718,4832,1667,0 to 119,50,53915,45376,396,98696,989,2,7880,78074,465,25298,702,37934,61318,163,272,98266,37033,550,343,8,19349,18064,170,37583,627,1451,5545,7127,6250,5874,4882,2798,1842,1470,68,0 to 106,41,13984,6016,6407,11176,10384,14599,12600,4000,45,2877,30,16,954,37934,18246,19510,37581,351,2,247568,661,286752,248229,37934,954,9829,9565,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,16235,304,482,1491,2210,2216,2503,2612,2159,1383,817,58,0 to 119,50,9344,6617,274,16083,152,0,1282,11691,188,4132,149,5968,9982,5,280,15798,5827,119,22,0,3231,2643,72,5946,114,247,811,1017,962,931,794,518,313,238,23,0 to 104,43,1930,1297,861,1858,1217,2366,2363,534,2,381,2,1,183,5968,2654,3242,5946,22,0,37822,132,43975,37954,5968,183,3868,3853,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,20948,404,621,2114,2848,2986,3327,3376,2789,1674,742,67,0 to 119,49,11796,9038,114,20845,103,0,1495,15228,223,5905,258,7213,13617,2,116,20727,7036,139,37,1,3701,3426,48,7175,110,245,1082,1252,1141,1135,946,661,389,212,40,0 to 105,42,4698,509,1063,905,1560,4380,1235,888,9,585,4,1,136,7213,3444,3721,7175,38,0,61667,68,68995,61735,7213,136,4496,3945,{83116673-3FAD-423E-B67E-DFE7515F5E81},42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4595,103,220,461,775,805,784,658,487,189,98,15,0 to 119,44,2792,1773,30,4572,22,1,293,3495,46,1165,28,1964,2624,1,6,4566,1904,51,9,0,974,959,22,1955,46,117,259,349,381,343,230,135,64,27,13,0 to 105,40,466,672,266,551,324,848,783,255,0,131,0,0,21,1964,960,982,1954,9,1,11250,16,13271,11266,1964,21,811,617,{77657EA6-12D6-4645-9915-E7357C9F40D6},40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,17815,292,547,3178,3032,2540,2532,2588,1923,747,385,51,0 to 119,42,9292,8402,121,17495,319,1,1190,14288,201,3521,166,5150,12637,2,26,17469,4977,57,112,4,2652,2370,12,5034,72,213,1753,1003,667,578,497,220,80,48,19,0 to 105,29,1512,1594,537,1391,354,2631,2049,383,14,145,10,7,26,5150,2432,2706,5033,116,1,55963,225,61455,56188,5150,26,2242,1826,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},29,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1065,23,26,86,135,157,168,206,165,77,21,1,0 to 101,51,465,596,4,1056,9,0,27,793,41,375,16,462,600,1,2,1053,407,49,6,0,111,345,0,456,5,8,45,84,77,87,90,45,13,8,0,0 to 95,46,184,243,20,9,23,401,32,41,2,26,0,0,5,462,350,112,456,6,0,2560,4,3041,2564,462,5,287,249,{862C7BAB-C64B-458C-A6FA-56543968D206},46,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1828,91,115,214,230,245,269,247,230,121,60,6,0 to 99,45,1119,705,4,1797,31,0,93,1035,53,866,55,732,1094,1,1,1795,482,238,11,1,421,299,0,720,35,59,102,103,111,123,95,62,19,23,0,0 to 98,40,187,481,32,20,40,626,54,128,1,32,0,1,8,732,303,429,720,12,0,4414,19,5175,4433,732,8,832,732,{89851E42-542B-499A-AC7E-D8F5369F3D0B},40,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2390,10,16,216,696,572,423,296,109,37,7,8,0 to 105,39,302,2082,6,2390,0,0,12,1938,1,245,7,407,1983,0,0,2390,403,4,0,0,88,319,0,407,4,6,64,88,75,83,63,17,6,1,0,0 to 85,40,266,114,12,15,18,289,100,20,0,8,0,0,7,407,319,88,407,0,0,2703,0,3110,2703,407,7,355,330,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},40,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2297,35,59,224,584,450,360,266,189,80,47,3,0 to 118,40,622,1658,17,2289,8,0,69,1909,9,613,14,625,1671,0,1,2288,528,92,4,1,233,387,0,620,24,42,96,135,102,98,73,35,14,6,0,0 to 90,36,270,300,42,8,92,374,154,82,1,23,0,0,4,625,390,235,620,5,0,4028,3,4658,4031,625,4,50,48,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},36,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,7598,92,119,907,1242,1168,1298,1218,800,449,234,71,0 to 119,47,3935,3557,106,7508,90,0,904,4952,28,3506,153,4551,3035,0,12,7496,4343,138,68,2,2180,2234,67,4481,55,87,714,885,767,789,621,372,182,60,19,0 to 99,41,2426,449,538,1068,325,2746,1410,496,14,210,5,5,52,4551,2276,2207,4481,70,0,22703,38,27347,22741,4551,52,374,367,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},41,5.422685209627352,0.1810274207185009
