FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,667,11,10,71,82,90,99,106,93,69,36,0,0 to 118,52,407,250,10,667,0,0,7,643,2,36,1,19,646,2,0,665,18,1,0,0,8,11,0,19,0,0,4,2,3,4,4,1,1,0,0,17 to 79,45,14,1,2,2,2,16,1,1,0,0,0,0,0,19,11,8,19,0,0,1154,0,1175,1154,19,0,36,19,50,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3388,68,104,310,484,418,537,575,424,297,160,11,0 to 118,50,2144,1200,44,3380,8,0,72,3115,133,245,19,174,3210,2,2,3376,109,65,0,0,108,66,0,174,1,17,17,24,27,28,17,20,16,7,0,3 to 98,46,94,72,8,0,7,165,2,38,0,21,0,0,6,174,66,108,174,0,0,4144,8,4328,4152,174,6,132,63,42,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,861,33,19,78,124,107,111,155,138,69,23,4,0 to 118,51,481,349,31,853,8,0,15,757,3,123,5,48,812,1,0,852,39,8,1,0,17,30,0,47,0,1,13,15,7,2,6,2,2,0,0,6 to 83,30,28,3,13,3,14,30,3,6,0,3,0,0,0,48,30,18,47,1,0,1077,7,1133,1084,48,0,136,46,47,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,6859,161,139,512,981,972,899,1053,806,728,569,39,0 to 119,52,4184,2631,44,6718,140,1,120,6396,137,275,66,271,6582,6,0,6713,178,85,4,4,142,121,0,263,5,14,18,40,42,38,42,33,25,14,0,0 to 96,47,204,35,19,5,71,187,5,67,2,41,1,0,6,271,126,145,262,8,1,8913,132,9322,9045,271,6,598,211,58,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,532,5,4,40,47,79,75,90,83,73,35,1,0 to 99,56,317,197,18,532,0,0,4,442,4,54,3,66,465,1,0,531,49,17,0,0,50,16,0,66,0,0,5,4,5,2,2,7,22,19,0,20 to 99,78,46,11,0,9,0,52,14,12,0,6,0,0,4,66,16,50,66,0,0,609,0,677,609,66,4,88,27,52,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,66276,957,1368,4460,7758,7788,9311,11505,10413,7317,3804,1595,0 to 119,55,36517,29481,278,65522,752,2,1797,61290,465,5570,325,7329,58591,221,135,65171,7081,137,105,6,3575,3639,4,7218,85,207,763,1183,1135,1132,1031,731,621,438,3,0 to 104,47,3244,1381,1116,1477,2350,3292,1576,1741,30,1298,22,13,373,7329,3701,3624,7216,111,2,84633,638,92835,85271,7329,373,1109,844,55,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,9707,161,186,613,1139,1196,1484,1740,1618,1046,494,30,0 to 119,55,5597,3901,209,9560,147,0,381,8640,188,964,73,654,8967,5,81,9474,585,58,11,0,350,293,0,643,12,18,52,107,98,110,97,74,50,36,0,0 to 97,49,273,145,63,162,106,353,184,164,1,114,2,0,31,654,298,356,643,11,0,13929,136,14726,14065,654,31,88,73,58,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,13326,259,313,908,1552,1794,2111,2383,2127,1295,556,28,0 to 119,53,7809,5473,44,13251,75,0,169,12721,223,529,99,434,12868,7,17,13227,377,46,10,1,229,194,0,423,8,13,35,55,84,82,57,64,20,16,0,0 to 94,48,269,59,57,38,90,284,49,104,4,82,3,1,15,434,200,234,423,11,0,19286,64,19795,19350,434,15,749,215,48,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,2881,48,90,204,483,493,503,456,383,139,80,2,0 to 119,47,2011,857,13,2863,17,1,30,2653,46,284,15,294,2586,1,0,2863,281,9,4,0,218,72,0,290,3,6,15,64,67,59,30,27,13,10,0,0 to 98,43,114,123,13,40,28,207,55,50,0,47,0,0,4,294,72,222,289,4,1,4380,13,4694,4393,294,4,362,167,45,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,12751,187,294,1462,2087,1887,1967,2102,1721,673,340,31,0 to 119,47,6603,6014,134,12519,231,1,150,12066,201,471,87,443,12292,4,12,12504,403,10,29,1,222,191,0,413,2,13,122,82,58,57,66,31,9,3,0,0 to 87,35,146,235,9,23,22,362,29,77,11,39,9,6,7,443,207,236,412,30,1,18046,201,18695,18247,443,7,614,222,43,2.4286163266357628,0.1707040441862682
