OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1066,30,34,129,140,144,150,157,119,99,64,0,0 to 118,49,608,450,8,1066,0,0,46,754,2,353,9,334,728,0,4,1062,302,32,0,0,172,161,1,334,11,13,52,49,41,44,44,23,30,27,0,0 to 100,45,255,21,22,36,47,238,49,25,0,11,0,0,2,334,161,172,334,0,0,3019,0,3359,3019,334,2,472,455,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4353,96,196,504,653,564,655,690,482,328,173,12,0 to 118,47,2617,1677,59,4345,8,0,210,3761,133,872,22,1223,3127,1,2,4342,700,523,0,0,633,566,24,1223,26,103,230,200,179,165,141,87,61,30,1,0 to 100,37,571,330,150,172,233,782,208,227,0,137,0,0,15,1223,566,633,1223,0,0,9935,8,11174,9943,1223,15,262,193,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1257,39,49,140,201,173,176,199,162,86,28,4,0 to 118,46,711,523,23,1248,9,0,48,819,3,510,29,288,966,0,3,1245,245,40,3,0,157,128,0,285,0,13,46,65,48,45,35,16,15,5,0,5 to 91,39,149,95,26,15,31,229,25,52,0,17,0,0,3,288,128,160,285,3,0,2516,6,2813,2522,288,3,660,560,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,9330,225,259,1005,1512,1360,1227,1307,981,798,611,45,0 to 119,47,5466,3761,103,9172,157,1,423,7283,137,1240,115,2577,6705,0,48,9125,2412,139,21,5,1359,1155,37,2551,31,92,476,544,403,343,293,199,114,77,5,0 to 103,38,1271,230,348,702,369,1340,842,212,3,119,1,0,22,2577,1166,1374,2550,26,1,22335,131,25078,22466,2577,22,2374,1943,38,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,816,13,21,83,93,120,114,136,111,83,42,0,0 to 99,52,479,322,15,816,0,0,29,475,4,237,11,271,544,0,1,815,255,16,0,0,162,109,0,271,2,7,32,34,29,36,40,34,33,24,0,1 to 99,54,214,20,17,20,14,230,27,38,0,25,0,0,7,271,109,162,271,0,0,1844,0,2120,1844,271,7,462,400,54,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,93260,1498,2565,8680,12881,12190,13463,14892,12380,8451,4635,1625,0 to 119,51,50517,42388,355,92324,934,2,6381,75457,465,20550,578,32171,60692,168,229,91932,31596,280,289,6,16321,15431,124,31876,527,1203,4701,6111,5276,4934,4099,2400,1613,1278,29,0 to 106,41,11798,4945,5020,10113,8870,11751,11255,3456,42,2521,27,15,795,32171,15583,16459,31874,295,2,216668,635,250023,217303,32171,795,8659,8394,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,14907,263,421,1290,2001,2021,2329,2424,2056,1314,749,39,0 to 119,51,8614,6020,273,14756,151,0,1007,11322,188,3334,114,4805,9856,5,241,14510,4675,110,20,0,2595,2130,60,4785,92,199,643,831,782,778,626,426,248,174,6,0 to 104,43,1480,977,593,1735,932,1727,2126,416,2,307,2,1,114,4805,2140,2605,4785,20,0,33223,131,38209,33354,4805,114,3049,3034,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,19649,371,537,1951,2667,2792,3120,3201,2665,1608,702,35,0 to 119,49,11121,8449,79,19555,94,0,1202,15210,223,4524,203,6101,13478,2,68,19485,5943,129,28,1,3139,2905,28,6072,95,187,945,1090,976,964,784,556,322,175,7,0 to 105,42,3621,397,768,1286,1124,3219,1729,699,9,448,4,1,68,6101,2920,3153,6072,29,0,53999,65,60208,54064,6101,68,3957,3406,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,3914,84,181,387,656,668,654,569,444,175,93,3,0 to 119,44,2542,1354,18,3893,20,1,161,3113,46,818,26,1267,2638,1,8,3885,1208,52,7,0,722,529,9,1260,30,81,186,228,234,207,143,88,47,22,1,0 to 98,39,329,436,133,362,219,593,448,199,0,103,0,0,14,1267,529,729,1259,7,1,9044,13,10356,9057,1267,14,786,592,39,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,16530,255,476,2801,2823,2353,2368,2452,1866,726,366,44,0 to 119,42,8609,7778,143,16255,274,1,741,13931,201,2406,139,4004,12491,2,33,16221,3884,47,70,3,2067,1838,26,3931,51,160,1416,803,498,436,374,167,59,28,12,0 to 105,28,1166,1201,320,1244,277,1876,1778,279,14,109,11,7,14,4004,1876,2102,3930,73,1,47990,200,52303,48190,4004,14,1838,1422,28,2.4286163266357628,0.1707040441862682
