OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
58,58,14,027,DESOTO,Desoto,FL,3633,99,227,390,543,562,612,599,342,180,75,4,0 to 102,44,1493,2023,117,3620,13,0,180,2282,48,1378,24,1398,2229,1,5,3614,1262,133,3,0,572,820,3,1395,43,121,201,268,262,213,164,83,31,12,0,0 to 97,36,859,142,90,304,671,385,339,204,1,104,1,0,19,1398,821,574,1395,3,0,8350,13,9768,8363,1398,19,1384,1250,{0D73423D-03C5-4BA5-9BFD-C106F87EB222},37,5,71,76,0.0657894736842105,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,5056,77,107,374,527,612,729,935,903,548,237,7,0 to 119,56,2928,2077,51,5015,41,0,388,3825,37,948,64,1127,3924,0,5,5010,988,128,11,0,613,498,5,1116,18,49,155,157,148,181,178,143,74,23,1,0 to 94,47,631,176,219,90,178,822,116,154,5,92,3,1,14,1127,504,618,1116,11,0,14399,30,15574,14429,1127,14,1306,1271,{0E4D3C2D-FB56-4A06-8B04-3AD9BFF072BC},47,14,296,310,0.0451612903225806,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,3833,137,228,559,687,627,549,483,275,164,117,7,0 to 104,39,1886,1935,12,3830,3,0,435,1775,32,1730,29,1852,1980,1,0,3829,1799,52,1,0,837,1010,4,1851,58,123,301,372,333,274,198,109,53,31,0,0 to 101,37,1468,209,73,101,1256,509,86,290,0,156,0,0,38,1852,1011,837,1851,1,0,6763,2,8636,6765,1852,38,2426,1999,{71664F0E-3199-410F-AD8C-5269FFA55669},37,14,82,96,0.145833333333333,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,8350,127,244,783,906,910,1078,1271,1317,961,737,16,0 to 119,56,4956,3345,49,8278,72,0,427,5928,77,2536,107,2618,5677,1,54,8225,2585,18,13,2,1404,1172,27,2603,48,136,405,402,363,372,312,225,195,158,2,0 to 101,43,1139,303,310,851,513,1050,1040,364,7,210,3,0,62,2618,1181,1410,2603,15,0,25257,56,27944,25313,2618,62,2270,1788,{193731CA-A50A-4707-8EB3-D6585D669C9C},43,35,451,486,0.0720164609053498,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,158383,3837,6360,15921,25440,25177,26581,25854,16341,8369,4271,232,0 to 119,45,85205,71847,1331,156630,1753,0,10257,111814,2336,48356,1417,65369,92836,30,148,156455,60398,4444,494,33,33771,30892,179,64842,1391,3515,9488,12596,11303,10659,8706,4366,2156,1151,38,0 to 119,39,25227,17050,7256,15309,23196,26816,14830,7963,88,4277,68,26,914,65369,31234,33954,64842,527,0,386820,1309,454317,388129,65369,914,27844,27475,{4AC0D3A0-87B8-4126-9CF4-96DC2D84D1C4},39,655,8000,8655,0.0756787983824379,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,26356,555,794,2998,4078,3421,3548,4336,3468,1965,1092,101,0 to 119,48,14928,11295,133,22899,3457,0,1499,21290,183,4064,252,10122,16226,1,7,22891,9123,90,909,0,4629,4490,94,9213,125,367,1766,1989,1573,1335,1280,857,528,295,7,0 to 105,39,3445,2199,764,2805,323,5716,3174,1005,10,601,8,10,147,10122,4877,5151,9213,909,0,62157,2645,74976,64802,10122,147,1212,1132,{3780C858-9510-4A33-A345-0ACD39C89BB6},38,87,1018,1105,0.0787330316742081,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2643,63,146,408,368,345,331,384,233,205,148,12,0 to 119,44,1446,1177,20,2631,12,0,309,1477,2,986,18,1093,1548,0,2,2629,1026,63,4,0,531,555,3,1089,32,96,208,175,177,139,148,49,50,18,1,0 to 94,37,746,113,141,89,527,460,102,155,1,107,3,0,12,1093,556,534,1089,4,0,5674,8,6789,5682,1093,12,1057,976,{DD469486-5BA8-475C-9DDC-A21CC360CAEC},36,7,209,216,0.0324074074074074,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,1015,6,23,81,169,146,138,194,157,83,18,0,0 to 95,50,411,602,2,1009,6,0,27,535,0,446,20,449,562,0,4,1005,438,8,3,0,83,363,0,446,0,9,40,128,99,66,71,25,9,2,0,6 to 85,39,246,191,4,5,40,351,55,14,0,6,0,0,3,449,364,85,446,3,0,3589,3,4046,3592,449,3,173,172,{9F12DFF3-9143-493B-867B-127F2B6BFF20},38,1,60,61,0.0163934426229508,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,19107,285,394,2689,3663,2723,2643,2915,2104,1000,619,72,0 to 119,43,10930,8028,149,18803,304,0,1173,16662,61,2357,134,4483,14615,5,4,18794,4263,163,45,12,2417,1990,19,4426,73,191,1195,1004,567,527,456,286,118,59,7,0 to 103,32,1479,1354,532,1061,536,2652,1238,391,13,208,15,1,27,4483,2023,2440,4426,57,0,69165,257,73930,69422,4483,27,244,222,{9EDDB8FB-00DD-45F1-A09D-8E689049E28A},31,92,1173,1265,0.0727272727272727,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,14192,190,465,1651,1603,2070,2350,2381,1945,1031,488,18,0 to 119,49,7666,6328,198,14128,64,0,941,10652,208,2913,314,3883,10251,10,48,14071,3518,320,41,4,1955,1842,41,3838,37,130,855,537,566,617,571,305,170,94,1,0 to 101,41,2537,304,240,757,290,2659,889,327,5,210,5,0,42,3883,1860,1978,3838,45,0,38587,18,42520,38605,3883,42,3115,3075,{8C0A9F2C-C490-4BBC-9E26-85B6F4AEFEB1},41,65,913,978,0.0664621676891615,3.2463364568121142,0.15487996912821236
69,68,999,999,Unknown,Unknown,FL,2106,14,26,209,304,297,310,274,180,225,257,10,0 to 119,51,1291,785,30,496,1610,0,5,1856,0,30,20,735,1369,0,2,495,220,1,508,6,102,107,12,221,13,20,129,152,127,116,97,43,23,8,7,0 to 94,36,53,30,33,105,69,37,115,0,5,0,3,1,0,735,353,358,221,514,0,4406,1092,6263,5498,735,0,6027,6025,{D1373507-E2BB-431D-A2F9-63F6067C627A},36,8,266,274,0.0291970802919708,0,0
70,69,998,998,A State,State,FL,1419166,24821,42551,146497,218664,207365,222423,225718,170720,98628,48645,13134,0 to 225,48,765023,641026,13117,1400985,18173,8,90864,1106351,0,297173,11112,563285,851786,377,3718,1396936,537858,19479,5735,213,283965,269256,4116,557337,9411,22317,84728,107902,93014,90403,73263,42368,24219,14113,1547,0 to 119,40,223785,84803,66510,182239,151798,198347,207192,56049,620,33155,413,135,9141,563285,272242,286763,557329,5948,8,3584565,12715,4167081,3597280,563285,9141,167715,154775,{E2D719EF-85BC-44E7-84ED-AF74AD1EC87D},40,6218,71133,77351,0.0803868081860609,0,0
