OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
32,32,9,017,CITRUS,Citrus,FL,6081,64,168,489,646,604,775,1117,1167,775,253,23,0 to 222,57,3409,2513,159,6068,13,0,378,4018,119,1623,45,1708,4331,1,41,6027,1025,678,4,1,894,798,11,1703,16,58,225,211,190,256,326,213,136,63,14,0 to 100,51,1324,108,127,144,91,1401,211,125,0,156,0,0,38,1708,802,895,1703,5,0,17584,8,19310,17592,1708,38,2308,1857,{3C97198A-A027-4923-A8F8-CE1FAFD29127},51,45,337,382,0.117801047120419,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,6131,108,152,610,829,759,885,1022,794,576,369,27,0 to 102,51,3639,2474,18,6103,28,0,598,4088,66,2374,60,2160,3968,0,3,6100,1835,311,12,2,1191,949,6,2146,29,74,291,339,288,323,304,227,154,108,23,0 to 101,46,1613,241,275,17,396,1714,36,406,2,283,2,1,56,2160,953,1201,2146,14,0,17666,14,19852,17680,2160,56,2454,2403,{6EB18EB2-9734-45D8-9BA1-42EEE8F524AF},46,38,270,308,0.123376623376623,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,53522,576,1026,4599,7548,6588,7789,9612,8081,4888,2728,87,0 to 120,53,30373,23079,70,53123,399,0,4953,40773,411,17138,553,18466,35038,1,17,53106,18063,274,122,7,9850,8483,4,18337,248,627,2653,3642,2564,2663,2611,1631,1054,765,8,0 to 104,42,9567,3212,1572,3986,2032,11179,5126,2503,29,1810,22,2,541,18466,8550,9911,18337,129,0,159311,277,178198,159588,18466,541,1270,1178,{9A6AE3E8-4AEA-4D85-A26A-0191E0A5371A},42,144,3323,3467,0.0415344678396308,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,4064,98,161,472,597,596,561,607,441,294,226,11,0 to 118,46,1966,2033,65,4047,17,0,124,2413,110,1636,38,2203,1859,0,2,4045,2019,167,14,3,783,1395,8,2186,42,103,319,355,380,341,284,179,118,81,1,0 to 102,42,1019,347,279,541,406,1130,650,241,2,111,0,0,46,2203,1401,794,2186,17,0,7094,0,9345,7094,2203,46,438,434,{50957D1D-0570-4E74-922C-4AB5F585C01C},42,48,130,178,0.269662921348315,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,71077,1199,2163,8070,12800,10710,10808,11321,7913,3939,1993,161,0 to 119,45,38657,31456,964,70291,786,0,2658,60719,454,6992,291,24300,46576,12,189,70097,22346,1704,228,22,12649,11178,223,24050,350,1001,3881,5527,4004,3586,2920,1735,809,459,28,0 to 103,38,6052,7975,2494,7529,1959,12203,9888,1436,31,765,17,8,214,24300,11311,12764,24050,250,0,191925,552,216997,192477,24300,214,5666,5552,{E178A8CF-16FC-449E-ABF2-A69CFAD303D5},37,145,2381,2526,0.057403008709422,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,1106,10,6,112,287,241,142,117,80,63,47,1,0 to 119,40,301,800,5,1106,0,0,16,962,0,260,2,777,326,0,3,1103,768,9,0,0,89,688,0,777,5,6,68,250,200,114,82,36,11,5,0,1 to 98,36,255,111,24,387,49,289,439,28,0,10,0,0,2,777,688,89,777,0,0,1028,0,1810,1028,777,2,116,116,{FFDA6C44-8232-4BA9-A8D7-1995D8FD20D3},39,307,75,382,0.803664921465969,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,1476,33,79,130,202,181,252,288,192,90,29,0,0 to 94,49,704,769,3,1413,63,0,88,610,1,623,27,720,754,0,2,1411,706,4,10,0,268,442,0,710,12,34,68,120,107,129,147,70,23,10,0,0 to 94,46,432,246,14,18,35,629,46,104,3,44,2,0,4,720,449,271,710,10,0,4274,55,5054,4329,720,4,594,590,{35DF54B7-4874-405B-8EF3-9E45948BA616},46,8,61,69,0.115942028985507,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1619,18,41,112,159,219,208,467,298,81,16,0,0 to 118,56,445,1169,5,1619,0,0,84,1137,4,487,5,459,1160,0,0,1619,369,90,0,0,115,344,0,459,7,13,51,88,111,66,82,31,8,2,0,0 to 91,40,309,128,16,6,15,428,16,35,0,25,0,0,5,459,344,115,459,0,0,7630,0,8108,7630,459,5,345,344,{254BD11B-C8FE-4E18-B61D-A60A5658D980},40,3,69,72,0.0416666666666667,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,2020,39,57,191,270,257,314,390,226,166,104,6,0 to 118,50,1128,874,18,2018,2,0,156,1381,34,634,2,554,1465,0,1,2017,441,113,0,0,210,344,0,554,9,18,63,80,91,101,104,43,32,13,0,0 to 107,46,316,169,23,46,16,473,65,47,0,30,0,0,4,554,344,210,554,0,0,4184,2,4762,4186,554,4,603,572,{588F1D06-056B-4AF5-A2E7-A5366C833BA5},46,9,132,141,0.0638297872340425,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,2149,30,80,218,304,332,366,377,267,129,45,1,0 to 102,48,1052,1091,6,2141,8,0,83,1283,13,837,41,753,1393,0,3,2138,698,49,5,1,254,493,0,747,7,26,107,152,143,129,117,46,19,7,0,1 to 91,40,475,165,53,54,45,612,90,81,0,34,1,0,5,753,495,258,747,6,0,7287,2,8077,7289,753,5,653,578,{72742CEE-2B13-49F0-BE2B-615F9835DD19},41,4,47,51,0.0784313725490196,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,25289,314,495,2086,2839,2921,3573,5231,4451,2426,804,149,0 to 119,55,14177,10988,124,25262,27,0,1468,21490,107,5275,168,6392,18879,0,18,25244,6253,118,18,3,3392,2952,27,6371,65,159,1099,1081,925,930,915,559,361,283,15,0 to 105,43,3333,782,560,1696,807,3606,1958,1013,6,520,3,1,168,6392,2962,3403,6371,21,0,79648,17,86113,79665,6392,168,1462,1404,{943DB4A8-472C-444E-B81A-0E7CF9758CA2},42,80,1850,1930,0.0414507772020725,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,32734,783,1334,3491,4969,4838,4809,4681,3986,2419,1049,375,0 to 119,46,18092,14294,348,32605,129,0,2357,24802,231,7361,266,15108,17561,1,64,32540,13521,1534,41,12,7896,6958,201,15055,308,767,2214,2800,2619,2275,1791,1203,707,379,45,0 to 103,40,7253,2670,1440,3692,3918,6246,4891,2014,13,1645,13,2,353,15108,6981,7926,15055,53,0,86424,77,101715,86501,15108,353,5507,4938,{233F5CAC-222A-4EE3-81FE-76BB2A2139F5},40,119,1604,1723,0.0690655832849681,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,23171,328,919,2455,3739,3774,3889,3346,2366,1192,449,714,0 to 155,45,12563,10365,243,23061,110,0,2560,16558,390,4540,246,10146,12877,2,146,22914,10004,60,80,2,5204,4706,154,10064,138,465,1489,2015,1889,1758,1122,695,373,152,50,0 to 104,39,3203,553,3006,3302,4489,1759,3816,831,11,458,8,2,109,10146,4759,5230,10064,82,0,56125,29,66426,56154,10146,109,3663,3154,{98FBCDAD-181A-4269-A498-787173F6E740},39,109,1107,1216,0.0896381578947369,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,5325,99,148,362,646,547,651,823,864,746,419,20,0 to 119,57,3106,2183,36,5257,68,0,186,4105,47,1330,52,1548,3769,0,8,5249,1414,128,6,0,821,720,1,1542,28,61,174,255,207,231,240,159,132,61,0,0 to 98,47,907,240,208,187,429,858,255,336,2,171,1,0,40,1548,724,823,1542,6,0,15032,62,16653,15094,1548,40,1459,1345,{0861B99E-575F-41B4-992B-839B0B3F4F63},47,25,286,311,0.0803858520900322,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,41007,592,971,4179,5727,5600,6000,6384,5929,3761,1764,100,0 to 119,50,22871,17788,348,39841,1165,1,1756,33600,613,11150,269,17178,23796,2,31,39809,16128,754,288,8,8799,7891,192,16882,312,604,2655,3126,2750,2713,2184,1415,816,558,45,0 to 103,41,7056,1644,861,7321,3827,5393,7662,2062,22,1166,19,8,371,17178,8048,8932,16881,296,1,99359,928,117519,100287,17178,371,4170,2567,{D113537A-BA7A-4D3B-936C-EA742824206C},41,139,2291,2430,0.057201646090535,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,24631,626,1057,2839,3172,3358,3460,3482,3302,2434,865,36,0 to 105,48,13008,11342,281,24209,422,0,1661,17121,356,7399,235,10734,13705,3,189,24017,10174,417,127,16,5364,5109,118,10591,291,552,1793,1743,1796,1710,1314,770,509,254,2,0 to 104,40,5233,646,1118,3594,4277,2629,3685,1234,25,766,15,6,151,10734,5174,5406,10591,143,0,53500,290,64597,53790,10734,151,6221,5241,{B407DCD0-FA26-4BA4-BFDB-B31C63C940BA},40,95,686,781,0.121638924455826,5.510854340882748,0.4690246460042334
