OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1222,32,57,149,166,156,172,170,135,106,79,0,0 to 118,48,704,512,6,1222,0,0,75,764,2,512,15,451,770,0,1,1221,415,36,0,0,243,207,1,451,10,23,65,75,51,60,57,33,35,42,0,0 to 106,45,374,30,21,26,67,354,30,61,0,31,0,0,9,451,207,243,451,0,0,3652,0,4111,3652,451,9,592,575,{CB6285A2-DA2E-4583-AAD5-1221776836AE},4,30,34,0.117647058823529,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4896,116,273,579,715,659,715,768,523,345,181,22,0 to 118,46,2901,1953,42,4886,10,0,716,3414,133,1628,29,1757,3136,0,3,4883,1068,687,1,1,916,828,11,1755,43,169,300,264,277,228,216,129,80,40,11,0 to 100,38,936,504,211,104,371,1235,149,331,1,196,0,0,36,1757,829,917,1755,2,0,12853,8,14630,12861,1757,36,373,305,{CE511C5D-2638-44A3-B2F8-B13847543637},7,142,149,0.0469798657718121,38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2250,47,68,229,456,432,352,307,219,97,39,4,0 to 118,42,882,1346,22,2241,9,0,64,1514,3,928,29,1185,1059,0,6,2235,1126,56,3,0,284,898,0,1182,4,19,119,304,286,213,130,71,26,13,0,1 to 92,39,589,506,69,18,123,1002,57,86,0,34,0,0,5,1185,898,287,1182,3,0,4533,6,5753,4539,1185,5,975,877,{541BD5A3-4453-499A-9896-F0EDC5353D0B},4,46,50,0.08,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,11042,247,353,1248,1791,1621,1494,1542,1138,879,682,47,0 to 119,46,6430,4511,101,10881,160,1,608,7303,137,1964,149,4094,6899,1,48,10833,3857,209,23,5,2210,1813,43,4066,46,145,678,802,638,563,509,336,207,164,6,0 to 103,40,2260,389,725,692,553,2665,848,399,4,239,2,0,76,4094,1824,2227,4065,28,1,27998,132,32271,28130,4094,76,3524,3098,{EB5D2450-A892-40FD-9BA4-9821A7438525},40,339,379,0.105540897097625,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1153,17,52,109,175,191,162,170,134,95,48,0,0 to 99,47,582,556,15,1152,1,0,38,544,4,491,13,554,598,0,1,1151,537,16,1,0,233,319,1,553,4,16,56,108,99,79,72,52,40,28,0,1 to 99,44,358,89,38,68,24,448,81,57,1,32,1,0,8,554,320,233,553,1,0,3926,0,4490,3926,554,8,726,665,{3B55AA95-5170-4CAF-82A3-E99AD7459349},7,58,65,0.107692307692308,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,103767,1724,3060,10163,14608,13845,15129,16348,13203,8946,4974,1767,0 to 119,50,56090,47270,407,102770,995,2,8766,79710,465,28659,796,41558,61765,161,283,102331,40567,634,350,7,21242,19774,185,41201,688,1609,6059,7723,6771,6441,5376,3064,2040,1617,170,0 to 106,41,15344,6651,7470,11736,11279,16445,13477,4531,51,3264,34,17,1099,41558,19965,21399,41199,357,2,274987,645,317813,275632,41558,1099,10739,10474,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},364,5380,5744,0.0633704735376045,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,17365,328,554,1628,2380,2392,2682,2771,2266,1426,832,106,0 to 119,50,9973,7125,267,17209,156,0,1513,11841,188,4935,186,6896,10170,6,293,16910,6733,137,25,1,3754,3039,77,6870,127,290,905,1155,1117,1084,917,608,367,255,71,0 to 104,43,2421,1566,1038,1845,1536,2993,2341,641,2,461,2,1,235,6896,3054,3765,6870,26,0,42939,131,50023,43070,6896,235,4610,4595,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},77,796,873,0.0882016036655212,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,21901,430,663,2275,3010,3140,3497,3510,2869,1708,762,37,0 to 119,49,12336,9489,76,21785,116,0,1843,14891,223,7369,322,7949,13810,3,139,21643,7749,149,50,1,4107,3777,14,7898,120,266,1207,1376,1269,1271,1053,727,419,231,10,0 to 105,42,5598,596,1276,428,1960,5384,554,1041,10,719,4,1,173,7949,3801,4134,7898,51,0,68691,70,76765,68761,7949,173,5347,4796,{83116673-3FAD-423E-B67E-DFE7515F5E81},34,1001,1035,0.0328502415458937,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4920,111,243,519,819,859,841,709,503,194,103,19,0 to 119,43,2940,1952,28,4898,21,1,410,3196,46,1534,31,2268,2646,1,5,4893,2209,51,8,0,1113,1126,21,2260,52,136,311,389,432,396,286,150,68,31,17,0 to 105,40,669,880,377,334,420,1336,504,328,0,175,0,0,31,2268,1127,1120,2259,8,1,12331,16,14658,12347,2268,31,965,771,{77657EA6-12D6-4645-9915-E7357C9F40D6},19,262,281,0.0676156583629893,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,18823,333,611,3441,3186,2675,2627,2709,1986,788,417,50,0 to 119,41,9854,8850,119,18476,346,1,1474,14557,201,4093,186,6145,12655,4,19,18455,5941,60,140,4,3196,2786,19,6001,107,262,1993,1162,786,680,619,293,130,95,18,0 to 105,29,1841,1952,760,1448,428,3287,2286,470,15,176,10,7,31,6145,2858,3268,6000,144,1,65312,209,71789,65521,6145,31,2598,2183,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},68,1214,1282,0.053042121684867397,29,2.4286163266357628,0.1707040441862682
