OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1400,37,68,179,210,188,197,192,141,108,80,0,0 to 118,45,751,644,5,1400,0,0,87,781,2,668,17,601,797,1,1,1398,552,49,0,0,277,323,1,601,11,28,88,118,81,82,74,39,37,43,0,0 to 106,41,450,40,31,80,83,432,86,77,0,39,0,0,18,601,323,277,601,0,0,4394,0,5004,4394,601,18,676,659,{CB6285A2-DA2E-4583-AAD5-1221776836AE},1,70,71,0.0140845070422535,41,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5973,167,521,769,826,770,836,895,617,372,192,8,0 to 118,44,3479,2447,47,5963,10,0,891,3155,133,2677,33,2348,3603,0,22,5941,1362,984,1,1,1244,1093,9,2346,56,242,381,337,346,318,304,211,103,49,1,0 to 100,39,1419,633,235,59,464,1791,91,402,1,248,0,0,50,2348,1094,1245,2346,2,0,16863,8,19230,16871,2348,50,1442,1379,{CE511C5D-2638-44A3-B2F8-B13847543637},4,256,260,0.0153846153846154,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2648,58,132,284,509,489,404,361,254,110,43,4,0 to 118,41,1064,1564,20,2638,10,0,74,1604,3,1326,30,1446,1196,0,6,2632,1381,61,4,0,397,1045,0,1442,6,29,151,341,338,249,174,102,37,19,0,1 to 95,40,758,565,78,41,130,1229,83,121,0,59,0,0,16,1446,1046,400,1442,4,0,5684,6,7161,5690,1446,16,1459,1360,{541BD5A3-4453-499A-9896-F0EDC5353D0B},9,119,128,0.0703125,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,14001,287,826,1896,2178,2029,1789,1954,1331,961,702,48,0 to 119,43,8024,5883,94,13817,183,1,746,7850,137,3571,262,6098,7835,1,67,13750,5829,215,49,5,3247,2750,47,6044,66,258,1037,1150,944,808,852,505,286,184,8,0 to 103,40,3113,491,1275,1165,671,4198,1175,521,5,321,5,1,130,6098,2776,3275,6043,54,1,38133,129,44422,38262,6098,130,8052,7626,{EB5D2450-A892-40FD-9BA4-9821A7438525},65,655,720,0.0902777777777778,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1425,28,101,167,201,223,196,192,161,105,51,0,0 to 99,44,704,707,14,1424,1,0,57,554,4,599,19,701,723,0,1,1423,649,51,1,0,294,405,1,700,7,28,80,128,116,102,90,74,47,29,0,0 to 99,44,467,101,55,77,29,572,99,69,1,37,1,0,14,701,406,294,700,1,0,4529,0,5240,4529,701,14,1022,961,{3B55AA95-5170-4CAF-82A3-E99AD7459349},1,104,105,0.00952380952380952,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,115080,1957,3726,12806,16237,15337,16708,17721,14148,9514,5326,1600,0 to 119,49,62185,52552,343,113981,1097,2,11310,82885,465,38286,1217,50316,64358,154,252,113580,49133,720,454,9,25841,23863,149,49853,793,1962,8311,9149,7939,7676,6424,3643,2441,1928,50,0 to 106,41,20486,7965,9046,12356,13558,22235,14060,5597,67,4037,46,24,1561,50316,24115,26048,49851,463,2,362922,635,414488,363557,50316,1561,16114,15850,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},322,11728,12050,0.0267219917012448,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,20423,450,862,2168,2775,2788,3144,3165,2553,1577,915,26,0 to 119,48,11656,8600,167,20259,164,0,2061,11571,188,7635,295,8857,11295,4,267,19988,8665,156,35,1,4845,3973,3,8821,157,388,1197,1458,1398,1391,1207,849,490,321,1,0 to 104,43,3744,2045,1204,1828,2025,4546,2250,948,4,764,3,1,329,8857,3992,4862,8821,36,0,61083,127,70121,61210,8857,329,8538,8523,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},61,984,1045,0.0583732057416268,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25900,523,1318,3094,3515,3651,4006,3936,3144,1882,816,15,0 to 119,47,14458,11367,75,25755,145,0,2201,15658,223,10547,493,10539,15189,4,168,25583,10209,250,78,2,5466,4989,4,10459,159,433,1677,1771,1654,1648,1376,959,579,280,3,0 to 105,42,7563,738,1592,566,2499,7207,753,1326,11,1005,5,1,236,10539,5025,5510,10459,80,0,94507,70,105178,94577,10539,236,11289,10740,{83116673-3FAD-423E-B67E-DFE7515F5E81},75,2121,2196,0.0341530054644809,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5887,154,358,672,934,1024,992,843,577,223,107,3,0 to 119,42,3411,2468,8,5863,23,1,665,3180,46,2290,47,3049,2831,1,6,5857,2959,80,10,0,1489,1548,2,3039,75,198,413,494,574,539,408,217,95,35,1,0 to 98,40,901,1276,574,288,578,2032,429,448,1,240,0,0,54,3049,1550,1497,3038,10,1,15099,16,18210,15115,3049,54,1567,1372,{77657EA6-12D6-4645-9915-E7357C9F40D6},11,411,422,0.0260663507109005,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,25398,537,852,7367,3819,3160,3041,3056,2181,872,468,45,0 to 119,35,13714,11571,113,24850,547,1,2665,16706,201,7688,272,11958,13404,5,31,24816,11527,86,340,5,6436,5153,24,11613,209,417,5491,1737,1260,1046,933,480,221,154,10,0 to 105,24,4619,3011,1576,2407,988,6564,4061,695,25,282,12,11,112,11958,5298,6634,11612,345,1,87394,212,99707,87606,11958,112,5750,5337,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},51,3214,3265,0.0156202143950995,24,2.4286163266357628,0.1707040441862682
