OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2483,76,218,381,335,339,349,315,217,161,92,0,0 to 118,41,1366,1106,11,2479,4,0,225,1064,2,1548,33,1483,994,1,5,2473,1273,206,2,2,781,691,7,1479,31,113,232,233,214,214,178,115,95,58,0,0 to 106,40,1156,86,55,182,122,1155,202,119,0,69,0,0,37,1483,693,783,1479,4,0,6448,0,7948,6448,1483,37,1432,1415,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,0,23,23,0,40
2,2,54,107,PUTNAM,Putnam,FL,10075,335,970,1371,1352,1282,1377,1459,1055,607,258,9,0 to 118,42,5703,4336,36,10047,28,0,1763,3733,133,7175,91,6016,4018,0,41,10006,3638,2358,13,7,3253,2727,16,5996,152,528,899,830,816,816,847,638,347,141,2,0 to 100,42,4014,1338,479,165,798,4930,268,728,3,523,3,1,135,6016,2738,3262,5996,20,0,25715,0,31742,25715,6016,135,2957,2903,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,6,110,116,0.0517241379310345,42
3,3,62,123,TAYLOR,Taylor,FL,4321,146,407,514,707,694,618,576,402,187,64,6,0 to 118,40,1943,2363,15,4311,10,0,152,2002,3,2841,48,2694,1619,0,8,4303,2421,267,6,0,1068,1617,3,2688,35,119,318,498,526,433,371,235,118,40,1,0 to 98,41,1638,807,120,123,149,2333,206,189,0,96,0,0,45,2694,1619,1072,2688,6,0,8100,0,10821,8100,2694,45,2567,2473,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,0,22,22,0,41
4,4,46,091,OKALOOSA,Okaloosa,FL,32216,800,3767,4691,4919,4720,3968,4201,2579,1565,936,70,0 to 119,38,17514,14470,232,31886,329,1,1878,11079,137,14604,1008,19719,12383,2,112,31775,18100,1410,193,16,10316,9049,145,19510,259,1260,2932,3574,3150,2655,2845,1663,892,458,31,0 to 103,40,13093,1767,2092,2558,1678,14502,3330,1043,13,689,17,5,351,19719,9160,10412,19509,209,1,65986,0,85783,65986,19719,351,28414,28001,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,15,233,248,0.0604838709677419,40
5,5,7,013,CALHOUN,Calhoun,FL,2821,87,364,387,324,379,358,349,292,186,93,2,0 to 99,41,1473,1328,20,2818,3,0,188,593,4,1368,46,1655,1158,0,8,2810,1432,220,3,0,810,836,6,1652,30,113,210,225,230,231,223,194,124,74,1,0 to 99,45,1128,184,211,129,38,1385,229,131,2,57,2,0,42,1655,838,811,1652,3,0,6015,0,7681,6015,1655,42,2251,2195,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,2,9,11,0.181818181818182,45
6,6,50,099,PALM BEACH,Palm Beach,FL,210612,4796,13774,27518,31744,29075,30562,29801,21224,13411,7095,1612,0 to 119,44,111848,97745,1019,207615,2995,2,30705,109120,465,100120,3425,130727,79056,134,695,206793,126888,1540,2279,20,66646,61049,733,128428,2373,7962,20339,23530,20060,19816,17309,9856,5813,3610,59,0 to 107,40,64964,18216,22369,22879,33729,65410,29289,8786,150,6341,112,52,2635,130727,62236,67707,128426,2299,2,677752,0,809257,677752,130727,2635,55528,55270,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,365,5480,5845,0.0624465355004277,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,39980,1175,3034,5247,5545,5400,5782,5691,4346,2528,1195,37,0 to 119,44,22210,17532,238,39672,308,0,4807,14650,188,22666,867,23868,15661,7,444,39223,23487,208,171,2,12943,10661,91,23695,428,1325,3280,3834,3619,3656,3381,2418,1318,604,5,0 to 104,43,11915,4847,3057,3876,5417,13461,4817,2213,22,1625,14,1,584,23868,10746,13031,23695,173,0,105848,0,129791,105848,23868,584,24655,24639,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,50,596,646,0.0773993808049536,43
8,8,51,101,PASCO,Pasco,FL,57375,1258,4907,7885,7459,7913,8610,7837,6221,3792,1460,33,0 to 119,44,31404,25862,109,56986,389,0,3450,27498,223,28012,1521,36076,20847,3,449,56534,34307,1449,313,5,19119,16589,48,35756,565,2242,5179,5270,5289,5610,4877,3762,2371,901,8,0 to 105,43,26349,2114,4166,3127,6953,23800,5003,3306,59,2372,44,8,687,36074,16716,19288,35756,318,0,184190,0,220371,184190,36074,687,26558,26021,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,85,1189,1274,0.0667189952904239,44
9,9,20,039,GADSDEN,Gadsden,FL,8813,298,791,1079,1292,1428,1397,1228,810,337,150,3,0 to 119,41,5071,3718,24,8783,29,1,1167,3758,46,4705,99,5532,3267,1,13,8770,5091,425,13,3,2895,2602,19,5516,152,463,746,819,941,924,777,429,203,77,1,0 to 98,41,1588,2717,931,280,908,4178,430,727,1,415,0,0,89,5532,2606,2907,5515,16,1,21992,0,27567,21992,5532,89,2998,2804,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,3,64,67,0.0447761194029851,41
10,10,37,073,LEON,Leon,FL,46515,1539,2741,13738,7352,5801,5216,4899,3197,1342,642,48,0 to 119,31,25341,20955,219,45435,1079,1,7358,21213,201,23152,842,30242,16220,7,46,45384,29080,286,858,18,16214,13014,138,29366,695,1664,10883,5004,3704,3093,2697,1460,690,342,10,0 to 106,28,14122,9087,3487,2670,2786,22257,4323,1484,47,649,35,31,301,30242,13391,16702,29365,876,1,148021,0,178430,148021,30242,301,13583,13182,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,27,773,800,0.03375,28
11,11,33,065,JEFFERSON,Jefferson,FL,2473,102,240,252,295,316,343,425,296,160,42,2,0 to 101,46,1213,1256,4,2449,24,0,93,1075,41,1678,42,1426,1042,2,3,2445,1228,176,18,4,630,772,2,1404,26,95,142,199,187,229,269,160,91,28,0,0 to 99,48,682,605,85,32,52,1275,77,125,3,75,0,0,24,1426,784,639,1404,22,0,5761,0,7206,5761,1426,24,1319,1282,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,1,26,27,0.037037037037037,47
12,12,40,079,MADISON,Madison,FL,3861,203,567,542,457,463,512,445,376,200,87,9,0 to 101,38,2183,1666,12,3819,42,0,225,1284,53,2824,131,2030,1816,0,15,3804,1437,567,24,2,1139,861,4,2004,68,169,276,285,260,331,269,209,105,57,1,0 to 101,43,854,988,92,70,101,1719,184,277,3,88,2,2,43,2030,869,1154,2004,26,0,7387,0,9427,7387,2030,43,3010,2914,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,0,67,67,0,43
13,13,39,077,LIBERTY,Liberty,FL,3367,74,244,390,776,685,528,406,167,71,17,9,0 to 105,37,837,2518,12,3366,1,0,105,1931,1,754,14,1052,2312,0,3,3363,889,162,1,0,414,630,7,1051,24,79,170,170,162,172,159,66,42,8,0,0 to 89,39,782,173,53,43,41,857,153,58,0,22,0,0,16,1052,630,415,1051,1,0,4078,0,5131,4078,1052,16,1375,1351,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,1,7,8,0.125,39
14,14,24,047,HAMILTON,Hamilton,FL,3543,112,269,379,711,613,533,420,299,138,63,6,0 to 118,39,1235,2286,22,3520,23,0,96,2033,9,1780,48,1586,1955,0,2,3519,1247,320,10,9,672,885,10,1567,58,140,206,258,237,240,214,139,69,23,2,0 to 93,41,771,647,92,57,161,1219,187,205,2,80,0,0,23,1586,895,681,1567,19,0,6407,0,7998,6407,1586,23,1100,1098,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,0,10,10,0,41
15,15,3,005,BAY,Bay,FL,23957,342,1401,3189,3722,3678,3783,3730,2370,1192,489,61,0 to 119,43,12596,11099,262,23179,778,0,2449,10518,28,15269,517,19473,4409,2,73,23108,18395,332,736,10,9798,8712,217,18727,218,975,2758,3217,3098,3088,2975,1865,933,341,5,0 to 101,43,11970,1725,1886,3146,1197,13872,3658,1396,55,795,27,18,373,19473,9103,10143,18727,746,0,67526,0,87069,67526,19473,373,4949,4941,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,3,253,256,0.01171875,43
16,16,12,023,COLUMBIA,Columbia,FL,11900,333,874,1492,1654,1763,1691,1793,1303,666,319,12,0 to 119,43,5797,6036,67,11850,50,0,1352,3675,63,7523,102,7826,4062,1,11,11838,7172,617,33,4,3472,4286,31,7789,136,406,1008,1243,1261,1239,1147,800,421,161,4,0 to 102,43,5084,1918,343,444,432,6656,701,343,2,452,4,0,162,7826,4309,3486,7789,37,0,23980,0,31864,23980,7826,162,4775,4774,2068684690.43686,276060.430857214,6958d394-62b5-4f73-a62a-0fa2389d4fb3,11,81,92,0.119565217391304,43
17,17,2,003,BAKER,Baker,FL,5320,156,420,801,880,853,805,682,433,209,79,2,0 to 103,39,2594,2707,19,5257,63,0,730,1725,16,2685,104,3352,1924,1,43,5213,2837,500,10,5,1477,1856,4,3337,33,127,435,617,625,556,473,299,134,53,0,0 to 103,42,2146,419,128,644,41,2296,1000,308,1,177,0,1,59,3352,1863,1485,3337,15,0,11447,0,14830,11447,3352,59,4403,4402,1520245937.66486,183737.354704368,393e3bc9-079e-4ad6-9162-d77ee72feb59,2,51,53,0.0377358490566038,42
18,18,30,059,HOLMES,Holmes,FL,3532,65,341,491,480,462,558,473,380,198,84,0,0 to 119,43,1913,1597,22,3493,39,0,224,1178,5,1808,247,2210,1318,0,4,3489,1855,324,22,9,1151,1021,7,2179,23,140,302,349,311,368,303,229,125,60,0,0 to 101,44,1739,123,110,207,58,1774,347,132,0,88,0,0,46,2210,1032,1171,2179,31,0,6591,0,8813,6591,2210,46,2911,2905,1251550190.83949,175658.620344926,bd5e2bc2-c55e-45e6-8687-0c7528780cd1,0,7,7,0,44
19,19,43,085,MARTIN,Martin,FL,20798,572,1645,2656,2334,2407,2760,3150,2639,1814,793,28,0 to 106,48,10771,9695,332,20508,290,0,2220,9411,82,9060,363,11299,9347,2,150,20359,11035,57,205,2,5690,5330,72,11092,178,618,1592,1618,1525,1653,1634,1186,848,445,2,0 to 106,45,6140,488,1607,2857,2396,5443,3253,1240,13,731,9,4,302,11299,5441,5786,11092,207,0,66996,0,78348,66996,11299,302,11929,11918,1686613017.08661,308980.48751506,14dc1d1d-ce53-4995-9cf2-039fe1559f59,24,423,447,0.0536912751677852,45
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,187002,5412,15730,30108,31107,27382,26803,23285,15050,7862,3673,590,0 to 119,38,101019,83943,2040,185618,1384,0,15515,121724,458,53834,1499,120680,64861,14,1447,184160,118284,1384,1003,9,63494,54950,1224,119668,2658,7620,20902,23159,19150,18152,14173,7984,4288,2141,453,0 to 110,37,56372,14595,21542,27159,34437,51702,33529,5464,53,2947,29,21,1602,120680,55405,64014,119668,1012,0,586067,0,707402,586067,120680,1602,65820,65475,2746844886.16013,358788.307034344,12be5e4e-9d96-4b8e-8617-77c84f3bc487,395,3624,4019,0.098283155013685,37
21,21,41,081,MANATEE,Manatee,FL,51783,1230,3538,6269,6735,6676,7126,7791,6886,3910,1499,123,0 to 119,47,27984,23268,531,50748,1035,0,9279,25360,177,26090,760,34567,17036,2,178,50570,33641,133,790,3,17770,15629,375,33774,793,2528,5016,5209,4956,4950,4745,3572,1944,837,17,0 to 103,42,20952,2772,5537,4513,7492,18430,7852,1427,47,1423,41,12,633,34567,16024,18147,33774,793,0,190786,0,225451,190786,34567,633,8412,8314,1945653927.12581,371198.171414394,0ad77407-ceaa-4c6b-9e84-485e7d0fa9cc,78,1150,1228,0.0635179153094463,42
22,22,10,019,CLAY,Clay,FL,28526,529,2266,4187,3594,4214,4516,4120,2871,1574,628,27,0 to 104,43,15465,12601,460,28461,65,0,3112,13320,130,8396,444,17315,11159,5,47,28409,16586,682,45,2,9217,7783,268,17268,209,976,2548,2467,2788,2920,2553,1586,885,383,0,0 to 104,43,11142,2191,1281,2654,1501,11562,4205,2266,12,891,9,4,325,17315,7808,9239,17268,47,0,82574,0,99960,82574,17315,325,13513,13480,1667659896.51059,183856.484298748,d8b9952e-371d-460f-96ae-4666bdb4ad84,23,504,527,0.0436432637571158,43
23,23,25,049,HARDEE,Hardee,FL,4832,241,732,836,710,626,596,493,343,200,55,0,0 to 97,33,2469,2328,35,4816,16,0,136,1048,2,3731,76,2893,1934,1,4,4811,2043,836,11,3,1429,1433,17,2879,84,263,521,470,439,404,326,218,139,29,0,0 to 97,37,2024,190,413,252,1479,1070,330,349,4,216,5,1,37,2893,1441,1435,2879,14,0,10536,0,13437,10536,2893,37,4227,4127,1653184151.65315,165534.73009074,30dcfc30-6a6d-4712-9819-f2940d3f56ed,2,54,56,0.0357142857142857,37
24,24,42,083,MARION,Marion,FL,51144,811,4296,6063,6554,6692,6883,7262,6605,4251,1706,21,0 to 168,46,29467,21493,184,50967,177,0,6485,18897,177,25857,445,28926,22083,1,134,50832,26798,1985,132,11,16321,12320,142,28783,407,1551,3603,4333,4337,4186,4130,3294,2126,954,5,0 to 106,45,19833,3948,2045,2957,4265,20544,3974,2922,21,1946,12,5,916,28926,12390,16392,28783,143,0,122967,0,152043,122967,28926,916,18146,17987,4305055841.62241,350920.190673371,76cc1b01-df08-469d-a322-71f8d05597d9,41,507,548,0.0748175182481752,45
25,25,64,127,VOLUSIA,Volusia,FL,62192,1220,3318,7788,8189,7693,8849,10337,8412,4389,1905,92,0 to 119,48,33710,27603,879,61473,719,0,5511,36052,230,21967,1137,37763,24171,0,258,61216,35744,1386,626,7,19582,17041,507,37130,602,1980,5874,5840,4994,5496,5681,4125,2198,960,13,0 to 105,44,22567,3872,5982,4709,5225,21108,10797,3194,65,1932,38,11,711,37763,17372,19870,37130,633,0,195749,0,233674,195749,37763,711,16228,15626,3125661534.15881,560414.73783925106,3b926974-437e-4986-9bff-d87d276166f4,138,1289,1427,0.0967063770147162,44
26,26,15,029,DIXIE,Dixie,FL,2620,68,229,331,310,447,331,368,304,166,64,2,0 to 118,43,1317,1299,4,2617,3,0,254,754,6,1836,42,1549,1069,0,2,2615,1296,250,1,2,715,829,2,1546,28,81,190,201,285,223,222,179,102,37,1,0 to 101,44,1189,254,42,61,70,1385,91,148,0,107,0,0,23,1549,830,717,1546,3,0,6183,0,7742,6183,1549,23,1682,1630,1823798262.39212,235232.973119088,2691daeb-cc0b-4abc-a209-fe46ce33086c,1,19,20,0.05,44
27,27,35,069,LAKE,Lake,FL,44576,957,3208,5140,5359,5479,5889,6275,6053,4179,1633,404,0 to 104,48,23852,19533,1191,44022,554,0,4084,28383,222,14152,513,26470,17977,1,128,43897,25699,335,432,4,13790,11628,616,26034,463,1497,3448,3839,3728,3815,3601,3044,2116,907,12,0 to 104,45,13804,2548,4121,5561,4588,15239,6207,2179,58,1369,36,11,600,26470,11821,13993,26034,436,0,149971,0,176573,149971,26470,600,14037,13751,2995995460.71371,331014.242454318,9712f6a1-e709-4877-97e2-3fe2eada2b79,50,800,850,0.0588235294117647,45
28,28,38,075,LEVY,Levy,FL,5725,172,633,852,702,656,731,849,620,380,126,4,0 to 118,42,3166,2526,33,5717,8,0,625,1901,16,3803,96,3070,2653,0,2,5715,2583,480,4,3,1668,1374,21,3063,59,254,458,432,380,447,468,331,187,53,1,0 to 99,43,2050,449,276,288,417,2302,344,249,0,199,0,0,43,3070,1379,1670,3063,7,0,13714,0,16797,13714,3070,43,4150,4101,2900663690.96646,339394.964008615,e8b9fc01-e14c-4049-babc-f4aa93256ea0,3,47,50,0.06,43
29,29,60,119,SUMTER,Sumter,FL,13348,121,390,661,899,1030,1145,1937,4094,2520,491,60,0 to 119,66,6681,6450,217,13175,173,0,1378,6613,164,6288,449,8751,4488,0,109,13066,8109,542,90,10,4179,4365,107,8651,48,206,497,669,788,839,1312,2500,1514,358,20,0 to 102,65,5406,686,386,2173,401,5580,2670,857,3,548,1,1,244,8751,4414,4228,8651,100,0,48388,0,57183,48388,8751,244,3525,3513,1502516062.89801,229328.389599522,a985ccbc-ba3e-4854-acdf-8e9cd885e5aa,21,204,225,0.0933333333333333,65
30,30,59,117,SEMINOLE,Seminole,FL,51626,1323,4371,8119,7777,7433,7506,6714,4527,2280,1359,217,0 to 119,40,28036,23004,586,51366,260,0,3481,30893,246,14256,488,29751,21496,2,377,50990,29262,262,226,1,15571,13549,404,29524,508,1709,5485,5421,4679,4492,3670,1976,1051,748,12,0 to 108,38,18806,3203,4239,3276,7389,17761,4374,1867,13,1188,7,4,463,29751,13649,15687,29524,227,0,156273,0,186115,156273,29751,463,22499,22260,893350621.597626,158549.770327082,5a9b725e-b5bc-4433-a9c5-f30390148c62,97,913,1010,0.096039603960396,38
31,31,48,095,ORANGE,Orange,FL,180779,4093,9911,27037,33884,30544,27979,23094,14025,6567,2730,915,0 to 120,39,95725,82941,2113,178171,2607,1,14066,119672,585,40149,1687,122800,57804,5,170,177998,120502,531,1759,8,62721,56504,1808,121033,2486,7596,22141,25557,21615,18373,13340,6908,3248,1478,58,0 to 110,36,53778,17287,28428,21540,43388,49605,28040,4443,60,2569,46,21,1175,122800,57389,63541,121032,1767,1,704871,0,828019,704871,122800,1175,18910,18683,2601855780.29929,275135.911496092,e33d02e5-646c-40c2-b9d7-442237fbb181,385,4642,5027,0.0765864332603939,36
