OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1320,37,65,166,190,167,186,183,139,107,80,0,0 to 118,47,746,569,5,1320,0,0,85,778,2,601,17,526,792,1,1,1318,479,47,0,0,273,252,1,526,11,27,75,98,63,71,65,37,36,43,0,0 to 106,42,432,33,31,30,81,411,34,75,0,39,0,0,16,526,252,273,526,0,0,4277,0,4812,4277,526,16,666,649,{CB6285A2-DA2E-4583-AAD5-1221776836AE},3,85,88,0.0340909090909091,42,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5762,158,488,738,810,736,812,863,597,362,190,8,0 to 118,44,3363,2350,49,5752,10,0,836,3205,133,2394,32,2209,3534,0,19,5733,1294,913,1,1,1167,1031,9,2207,53,228,362,325,323,302,281,194,93,47,1,0 to 100,39,1295,595,241,76,441,1655,111,386,1,240,0,0,44,2209,1032,1168,2207,2,0,15933,8,18160,15941,2209,44,1333,1268,{CE511C5D-2638-44A3-B2F8-B13847543637},14,325,339,0.0412979351032448,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2569,54,115,276,503,473,396,353,248,108,39,4,0 to 118,41,1022,1527,20,2560,9,0,70,1588,3,1249,29,1397,1166,0,6,2554,1333,61,3,0,374,1020,0,1394,6,26,149,338,324,244,167,93,35,15,0,1 to 94,40,716,560,78,40,130,1181,83,110,0,49,0,0,14,1397,1020,377,1394,3,0,5436,6,6866,5442,1397,14,1329,1230,{541BD5A3-4453-499A-9896-F0EDC5353D0B},9,73,82,0.109756097560976,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,12899,268,630,1635,2054,1885,1671,1811,1274,933,692,46,0 to 119,44,7425,5388,86,12725,173,1,693,7627,137,3081,230,5380,7459,1,59,12666,5124,213,38,5,2867,2423,47,5337,62,197,913,1041,830,714,728,458,257,173,7,0 to 103,40,2855,455,1045,982,648,3667,1022,495,4,309,4,1,122,5380,2444,2889,5336,43,1,34609,130,40176,34739,5380,122,6306,5880,{EB5D2450-A892-40FD-9BA4-9821A7438525},35,595,630,0.0555555555555556,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1345,22,88,149,194,219,188,183,149,102,51,0,0 to 99,45,679,653,13,1344,1,0,54,557,4,560,17,648,696,0,1,1343,613,34,1,0,275,371,1,647,5,25,73,121,113,94,81,63,44,29,0,0 to 99,43,429,94,45,79,26,519,102,60,1,32,1,0,14,648,372,275,647,1,0,4406,0,5064,4406,648,14,934,873,{3B55AA95-5170-4CAF-82A3-E99AD7459349},6,36,42,0.142857142857143,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,111939,1864,3529,12188,15689,14934,16248,17315,13925,9382,5263,1602,0 to 119,49,60614,50989,336,110885,1052,2,10610,82130,465,35925,1098,47955,63600,156,228,110506,46858,680,409,8,24722,22674,142,47538,762,1888,7792,8673,7616,7330,6121,3504,2343,1876,50,0 to 106,41,18995,7716,8670,12157,12901,20741,13896,5263,65,3814,43,22,1446,47955,22900,24909,47536,417,2,336438,636,385646,337074,47955,1446,14358,14094,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},201,8474,8675,0.0231700288184438,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,19664,417,795,2006,2654,2717,3022,3083,2485,1551,908,26,0 to 119,49,11250,8245,169,19506,158,0,1940,11649,188,6886,268,8381,11036,4,243,19259,8198,153,28,2,4590,3758,3,8351,152,368,1112,1373,1349,1309,1146,788,467,316,1,0 to 104,43,3424,1938,1165,1824,1919,4181,2251,875,4,713,3,1,303,8381,3775,4603,8351,30,0,57320,127,65881,57447,8381,303,7567,7552,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},29,1457,1486,0.0195154777927322,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,24802,494,1137,2887,3364,3507,3848,3836,3075,1834,806,14,0 to 119,47,13874,10847,81,24668,134,0,2117,15427,223,9331,426,9831,14816,3,152,24513,9541,221,67,2,5093,4664,5,9762,147,393,1552,1648,1551,1526,1299,903,538,271,3,0 to 105,42,6989,712,1520,541,2345,6712,705,1231,10,898,5,1,216,9831,4696,5130,9762,69,0,87591,70,97548,87661,9831,216,10078,9529,{83116673-3FAD-423E-B67E-DFE7515F5E81},78,2069,2147,0.0363297624592455,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5784,148,341,659,916,1013,975,835,568,221,105,3,0 to 119,42,3361,2415,8,5761,22,1,649,3183,46,2206,43,2979,2800,1,4,5757,2893,77,9,0,1452,1516,2,2970,74,190,404,480,566,524,403,210,93,34,1,0 to 98,40,878,1235,560,297,565,1965,440,438,0,229,0,0,50,2979,1518,1459,2969,9,1,14439,16,17477,14455,2979,50,1490,1295,{77657EA6-12D6-4645-9915-E7357C9F40D6},19,396,415,0.0457831325301205,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,24473,507,800,6998,3688,3039,2957,2989,2132,861,458,44,0 to 119,35,13222,11136,115,23940,532,1,2491,16548,201,6934,250,11250,13193,4,26,23912,10840,80,325,5,6087,4808,25,10920,200,385,5260,1623,1141,975,868,435,209,143,11,0 to 105,24,4236,2824,1502,2358,913,5957,4050,650,23,265,12,10,92,11250,4949,6274,10919,330,1,81779,212,93385,81991,11250,92,5274,4862,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},78,2396,2474,0.0315278900565885,23,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1260,29,47,113,159,176,198,237,185,90,25,1,0 to 101,50,572,686,2,1245,15,0,33,836,41,562,27,601,657,1,1,1244,515,74,12,0,189,400,0,589,8,17,59,102,90,111,110,64,27,13,0,0 to 98,47,241,297,39,12,29,519,41,57,2,36,0,0,9,601,407,194,589,12,0,3414,1,4031,3415,601,9,425,388,{862C7BAB-C64B-458C-A6FA-56543968D206},13,134,147,0.0884353741496599,47,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,2211,109,196,256,282,296,320,290,254,132,69,7,0 to 99,43,1282,925,4,2175,36,0,111,1107,53,1242,75,1041,1168,1,1,2173,697,327,15,2,563,461,0,1024,39,79,126,146,157,178,138,99,41,38,0,0 to 99,42,326,615,55,28,54,880,90,168,1,51,2,2,24,1041,465,576,1024,17,0,5184,19,6255,5203,1041,24,1289,1190,{89851E42-542B-499A-AC7E-D8F5369F3D0B},5,125,130,0.0384615384615385,42,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2544,14,51,253,704,592,443,313,115,42,9,8,0 to 105,38,384,2156,4,2544,0,0,28,1925,1,326,10,520,2024,0,0,2544,484,36,0,0,140,380,0,520,6,16,92,100,90,99,79,23,13,2,0,0 to 86,39,346,126,28,20,28,376,116,37,0,12,0,0,10,520,380,140,520,0,0,3113,0,3633,3113,520,10,547,523,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},0,16,16,0,39,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2575,46,80,237,619,508,412,314,216,89,51,3,0 to 118,41,703,1857,15,2564,11,0,80,1918,9,888,15,885,1689,0,1,2563,743,134,4,4,303,574,0,877,28,55,109,175,155,147,122,60,24,10,0,0 to 91,40,381,428,57,11,114,632,131,102,1,34,0,0,9,885,578,307,877,8,0,4718,3,5608,4721,885,9,171,169,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},0,47,47,0,40,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,9545,121,232,1194,1541,1460,1611,1520,1017,538,259,52,0 to 119,46,4966,4515,64,9387,158,0,1375,4636,28,5832,234,6301,3222,1,21,9366,6015,149,135,2,3088,3047,29,6164,71,161,958,1164,1031,1056,899,574,289,97,1,0 to 99,42,3575,633,854,1102,482,4199,1483,753,20,360,9,6,120,6301,3123,3149,6164,137,0,29945,30,36350,29975,6301,120,1246,1239,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},25,184,209,0.119617224880383,42,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,7132,154,274,696,1044,1113,1082,1196,876,437,250,10,0 to 119,47,3172,3907,53,7106,26,0,958,3044,63,4039,45,3993,3133,0,6,7100,3588,392,10,3,1360,2618,2,3980,69,151,472,694,734,676,579,371,175,71,1,0 to 102,43,2432,1188,171,189,250,3487,243,123,1,220,2,0,63,3993,2626,1365,3980,13,0,14131,13,18193,14144,3993,63,754,753,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},16,408,424,0.0377358490566038,43,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,2753,61,115,341,516,489,448,383,233,124,41,2,0 to 103,41,1185,1539,29,2694,59,0,293,1607,16,1049,24,1620,1096,0,37,2657,1343,276,0,1,529,1090,0,1619,7,44,189,348,345,276,217,125,56,13,0,0 to 103,40,838,220,52,509,18,996,605,113,0,78,0,0,16,1620,1090,530,1619,1,0,6789,55,8491,6844,1620,16,1631,1630,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},10,156,166,0.0602409638554217,41,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1700,32,80,186,243,245,284,243,234,107,45,1,0 to 119,47,880,810,10,1677,23,0,62,879,5,664,92,790,908,0,2,1675,661,115,11,3,349,427,0,776,15,34,107,140,130,132,95,81,37,19,0,0 to 101,42,575,86,53,62,33,633,110,53,0,30,0,0,10,790,431,359,776,14,0,4658,9,5467,4667,790,10,902,896,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},2,43,45,0.0444444444444444,41,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,11787,241,479,1320,1353,1431,1581,1875,1698,1233,557,19,0 to 100,51,6000,5426,361,11674,113,0,1045,7561,82,4058,137,5072,6659,2,54,11619,5012,26,34,0,2487,2527,24,5038,111,272,850,797,763,766,601,380,323,207,2,0 to 100,41,2406,270,1171,1191,1877,2149,1012,691,4,405,3,1,147,5072,2547,2501,5038,34,0,33979,77,39175,34056,5072,147,3971,3960,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},11,468,479,0.022964509394572,40,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,95824,2279,3995,12787,16108,14318,14566,13752,9756,5222,2506,535,0 to 119,43,52986,42134,704,95257,567,0,6173,74843,458,17994,728,44138,51151,20,515,94722,43206,700,226,6,23279,20298,329,43906,926,2067,8121,8784,6923,6613,4985,2793,1592,905,429,0 to 110,37,16212,5690,6377,15627,11232,14643,18031,3591,29,1943,20,5,706,44138,20402,23401,43906,232,0,292498,342,337502,292840,44138,706,14241,13895,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},231,5872,6103,0.0378502375880714,37,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,26619,531,1138,2781,3335,3329,3623,4268,4082,2469,951,112,0 to 119,51,14666,11621,332,26249,370,0,3860,18527,177,9108,167,12143,14458,3,15,26231,11927,87,129,0,6290,5598,126,12014,274,788,1984,2077,1912,1765,1496,962,578,299,8,0 to 101,39,6403,1214,2092,2305,3548,5612,2854,790,9,837,8,2,303,12143,5662,6350,12014,129,0,99801,271,112294,100072,12143,303,1442,1342,{0AD77407-CEAA-4C6B-9E84-485E7D0FA9CC},105,2265,2370,0.0443037974683544,39,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,14309,225,595,1704,1813,2150,2385,2228,1759,1021,403,26,0 to 101,47,7832,6240,237,14274,35,0,1556,8546,130,3866,215,5485,8795,1,28,14245,5285,182,17,0,2827,2591,49,5467,57,206,854,811,921,960,742,485,309,138,1,0 to 100,43,3214,833,475,945,500,3875,1092,895,2,378,3,0,110,5484,2601,2834,5467,17,0,45901,18,51433,45919,5484,110,4695,4660,{D8B9952E-371D-460F-96AE-4666BDB4AD84},56,1024,1080,0.0518518518518519,43,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,2709,98,284,474,479,364,389,292,199,96,34,0,0 to 95,35,1369,1314,26,2700,9,0,97,878,2,1882,26,1455,1247,1,6,2693,1036,412,6,1,693,749,6,1448,37,124,276,282,220,235,145,86,41,9,0,0 to 93,35,1032,122,207,87,869,479,100,191,3,134,4,1,11,1455,754,695,1448,7,0,6778,2,8244,6780,1455,11,2308,2207,{30DCFC30-6A6D-4712-9819-F2940D3F56ED},14,100,114,0.12280701754386,35,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,28889,403,1060,2737,3897,3926,4189,4500,4293,2746,1121,17,0 to 168,50,17387,11460,42,28847,42,0,5875,12473,177,12720,313,10152,18710,1,26,28820,9806,326,19,1,5996,4129,7,10132,132,389,1273,1786,1783,1610,1355,933,579,309,3,0 to 106,43,6471,1945,932,784,1400,7441,1291,1562,5,1005,0,1,322,10152,4135,6009,10132,20,0,67553,22,77836,67575,10152,322,4597,4434,{76CC1B01-DF08-469D-A322-71F8D05597D9},29,1383,1412,0.0205382436260623,43,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,31812,381,838,2914,3987,3793,4625,5918,5122,2792,1356,86,0 to 119,53,17631,13697,484,31653,159,0,2333,23384,230,9285,443,11493,20210,0,109,31544,10459,957,71,6,6007,5388,21,11416,145,412,1776,1972,1593,1691,1649,1173,673,404,5,0 to 103,43,5584,1516,2300,2016,1889,6889,2638,1527,20,881,11,1,286,11493,5426,6046,11416,77,0,88710,84,100410,88794,11493,286,5201,4581,{3B926974-437E-4986-9BFF-D87D276166F4},74,2550,2624,0.0282012195121951,43,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,1724,35,94,168,232,332,235,262,208,110,47,1,0 to 118,45,821,899,4,1723,1,0,107,715,6,974,11,849,875,0,0,1723,770,78,1,0,307,541,0,848,7,37,87,138,180,131,128,87,44,10,0,0 to 91,43,613,187,28,20,54,756,38,82,0,55,0,0,11,849,541,308,848,1,0,4579,0,5440,4579,849,11,823,768,{2691DAEB-CC0B-4ABC-A209-FE46CE33086C},1,73,74,0.0135135135135135,43,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,23110,427,734,2090,2698,2730,3156,3637,3736,2556,926,420,0 to 103,53,12302,10015,793,22937,173,0,1607,17852,222,4581,185,7917,14995,3,195,22741,7744,120,52,1,4105,3654,105,7864,141,329,1176,1265,1168,1182,1062,820,523,244,7,0 to 103,43,3200,985,1595,2084,1328,4093,2443,1007,15,652,8,2,205,7917,3683,4126,7864,53,0,81430,122,89572,81552,7917,205,3750,3461,{9712F6A1-E709-4877-97E2-3FE2EADA2B79},25,1463,1488,0.0168010752688172,43,3.1372177658296403,0.2767939666036923
