OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,1067,23,26,87,136,158,168,205,165,77,21,1,0 to 101,51,465,598,4,1058,9,0,27,792,41,378,16,462,602,1,2,1055,407,49,6,0,110,346,0,456,5,8,45,85,77,87,89,45,13,8,0,0 to 95,46,184,244,20,8,23,401,32,41,2,26,0,0,5,462,351,111,456,6,0,2568,4,3049,2572,462,5,290,252,{862C7BAB-C64B-458C-A6FA-56543968D206},46,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1835,92,115,215,232,246,269,248,231,121,60,6,0 to 99,45,1122,709,4,1803,32,0,93,1031,53,875,56,738,1095,1,1,1801,485,240,12,1,422,303,0,725,36,59,103,104,113,123,96,62,19,23,0,0 to 98,40,189,487,32,17,41,633,51,129,1,32,0,1,9,738,307,431,725,13,0,4426,19,5193,4445,738,9,848,748,{89851E42-542B-499A-AC7E-D8F5369F3D0B},40,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2390,10,16,217,695,572,423,296,109,37,7,8,0 to 105,39,304,2080,6,2390,0,0,12,1937,1,246,7,407,1983,0,0,2390,403,4,0,0,89,318,0,407,4,6,64,88,75,83,63,17,6,1,0,0 to 85,40,266,114,12,15,18,289,100,20,0,8,0,0,7,407,318,89,407,0,0,2707,0,3114,2707,407,7,355,330,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},40,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2297,35,59,224,584,450,360,266,189,80,47,3,0 to 118,40,622,1658,17,2289,8,0,69,1909,9,613,14,625,1671,0,1,2288,528,92,4,1,233,387,0,620,24,42,96,135,102,98,73,35,14,6,0,0 to 90,36,270,300,42,8,92,374,154,82,1,23,0,0,4,625,390,235,620,5,0,4034,3,4664,4037,625,4,50,48,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},36,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,7694,94,119,923,1254,1186,1314,1238,808,454,235,69,0 to 119,47,3989,3609,96,7601,93,0,951,4947,28,3635,154,4644,3034,0,16,7585,4433,138,71,2,2230,2284,57,4571,56,87,729,895,785,803,641,381,189,61,17,0 to 99,41,2497,462,538,1074,335,2828,1408,509,14,215,5,5,52,4644,2328,2258,4571,73,0,23004,38,27744,23042,4644,52,376,369,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},41,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,6040,134,188,488,904,957,918,1053,773,387,228,10,0 to 119,48,2650,3325,65,6016,24,0,705,2993,63,2974,26,2958,3079,0,3,6013,2702,245,9,2,857,2087,3,2947,57,98,281,559,579,513,435,263,126,46,1,0 to 102,43,1211,494,126,1116,132,1509,1306,56,1,138,2,0,21,2958,2095,860,2947,11,0,10877,13,13904,10890,2958,21,72,71,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},43,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,2025,48,47,222,395,392,333,303,155,92,36,2,0 to 99,42,819,1168,38,1966,59,0,159,1463,16,565,17,1052,937,0,36,1930,955,97,0,0,263,789,0,1052,5,17,105,250,253,180,152,52,29,9,0,1 to 97,40,433,137,41,441,14,520,518,64,0,38,0,0,4,1052,789,263,1052,0,0,4921,59,6057,4980,1052,4,628,627,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},40,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1361,26,45,139,203,206,223,209,192,85,32,1,0 to 119,48,679,668,14,1342,19,0,35,824,5,448,59,518,840,0,3,1339,441,67,7,3,192,315,1,508,11,17,71,107,101,85,56,44,18,8,0,0 to 96,39,356,81,35,36,25,405,78,33,0,16,0,0,4,518,319,198,508,10,0,3785,9,4319,3794,518,4,540,534,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},39,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,10221,208,349,976,1191,1275,1354,1663,1561,1120,501,23,0 to 100,53,5138,4689,394,10116,105,0,884,6934,82,3410,113,3883,6289,1,48,10068,3838,20,25,0,1868,1970,20,3858,106,218,617,655,631,592,426,265,216,154,3,0 to 100,39,1730,234,1048,846,1804,1432,622,590,4,339,3,1,101,3883,1985,1878,3858,25,0,22170,77,26167,22247,3883,101,2048,2037,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},39,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,83264,1950,2989,9587,14228,12613,12807,12454,9007,4790,2266,573,0 to 119,44,46381,36382,501,82790,474,0,4228,70011,458,10988,497,33428,49618,22,196,82572,32724,570,129,5,17659,15400,235,33294,726,1536,5586,7062,5404,5034,3792,2057,1132,638,461,0 to 119,37,11264,4325,4472,13233,8230,9787,15277,2657,20,1447,14,5,427,33428,15460,17733,33294,134,0,216123,351,250378,216474,33428,427,6047,5700,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},37,3.452361349671768,0.2518380530212434
