OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
37,37,34,067,LAFAYETTE,Lafayette,FL,800,10,6,89,190,145,95,85,72,61,46,1,0 to 119,41,302,493,5,800,0,0,15,674,0,197,1,469,327,0,4,796,460,9,0,0,88,381,0,469,5,6,45,153,102,67,50,28,9,4,0,1 to 98,36,171,85,22,191,34,224,211,28,0,10,0,0,2,469,381,88,469,0,0,959,0,1432,959,469,2,100,100,{FFDA6C44-8232-4BA9-A8D7-1995D8FD20D3},39,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,1465,33,78,129,201,179,252,284,191,90,28,0,0 to 94,49,696,766,3,1402,63,0,88,609,1,612,27,712,750,0,3,1399,698,4,10,0,262,440,0,702,12,33,68,119,106,129,143,70,23,9,0,0 to 94,46,424,246,14,18,35,623,44,103,2,44,2,0,2,712,447,265,702,10,0,4246,55,5018,4301,712,2,592,588,{35DF54B7-4874-405B-8EF3-9E45948BA616},46,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1615,18,39,112,158,220,208,467,298,79,16,0,0 to 118,56,445,1165,5,1615,0,0,85,1137,4,486,5,456,1159,0,0,1615,366,90,0,0,115,341,0,456,7,12,51,87,111,66,82,31,7,2,0,0 to 91,40,310,128,14,4,15,428,13,34,0,24,0,0,5,456,341,115,456,0,0,7583,0,8058,7583,456,5,340,339,{254BD11B-C8FE-4E18-B61D-A60A5658D980},40,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,2006,39,54,190,267,254,312,388,226,166,104,6,0 to 118,51,1118,869,19,2004,2,0,152,1377,34,629,2,545,1460,0,1,2003,432,113,0,0,205,340,0,545,9,17,62,78,90,99,102,43,32,13,0,0 to 107,46,310,168,23,44,16,466,63,45,0,30,0,0,4,545,340,205,545,0,0,4141,2,4710,4143,545,4,601,570,{588F1D06-056B-4AF5-A2E7-A5366C833BA5},46,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,2141,30,80,213,304,332,364,377,266,129,45,1,0 to 102,48,1047,1088,6,2133,8,0,83,1285,13,830,36,747,1391,0,3,2130,692,49,5,1,252,489,0,741,7,26,103,151,143,129,117,45,19,7,0,1 to 91,41,466,165,55,55,45,602,94,81,0,34,1,0,5,747,491,256,741,6,0,7268,2,8052,7270,747,5,633,558,{72742CEE-2B13-49F0-BE2B-615F9835DD19},41,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,25207,313,493,2079,2832,2911,3563,5214,4443,2419,793,147,0 to 119,55,14132,10955,120,25180,27,0,1456,21460,107,5198,162,6313,18878,0,16,25164,6175,117,18,3,3346,2922,24,6292,64,157,1092,1074,914,922,900,550,355,272,13,0 to 105,43,3295,759,546,1692,802,3548,1942,1002,6,510,3,1,163,6313,2932,3357,6292,21,0,79160,17,85547,79177,6313,163,1458,1400,{943DB4A8-472C-444E-B81A-0E7CF9758CA2},42,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,32593,781,1320,3465,4939,4819,4787,4661,3982,2420,1050,369,0 to 119,46,18023,14227,343,32464,129,0,2300,24813,231,7234,261,14992,17534,1,66,32397,13415,1524,41,12,7834,6910,195,14939,306,762,2196,2770,2605,2258,1774,1197,706,379,39,0 to 103,40,7192,2656,1416,3675,3873,6192,4874,1991,13,1595,13,1,343,14992,6933,7864,14939,53,0,85623,77,100796,85700,14992,343,5376,4807,{233F5CAC-222A-4EE3-81FE-76BB2A2139F5},40,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,23022,328,901,2430,3723,3742,3866,3331,2357,1185,448,711,0 to 155,45,12483,10302,237,22912,110,0,2524,16559,390,4439,243,10037,12857,2,126,22785,9895,60,80,2,5147,4654,154,9955,139,456,1471,2003,1863,1737,1111,691,368,151,47,0 to 104,39,3162,545,2949,3299,4409,1727,3819,818,11,445,8,2,107,10037,4707,5173,9955,82,0,55626,29,65817,55655,10037,107,3610,3101,{98FBCDAD-181A-4269-A498-787173F6E740},39,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,5293,99,147,354,639,542,649,818,861,745,419,20,0 to 119,57,3091,2166,36,5226,67,0,184,4096,47,1309,52,1523,3762,0,8,5218,1393,125,5,0,810,707,1,1518,28,61,169,248,204,229,238,155,130,61,0,0 to 98,47,889,237,204,188,422,845,251,332,2,170,1,0,40,1523,711,811,1518,5,0,14902,62,16498,14964,1523,40,1445,1331,{0861B99E-575F-41B4-992B-839B0B3F4F63},47,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,40821,585,966,4162,5703,5573,5972,6357,5906,3751,1749,97,0 to 119,50,22786,17698,337,39656,1164,1,1741,33532,613,11023,269,17039,23748,2,32,39623,16001,743,287,8,8743,7820,181,16744,305,601,2638,3110,2728,2694,2168,1398,809,546,42,0 to 103,41,6978,1635,848,7283,3792,5330,7622,2020,21,1140,18,8,368,17039,7977,8875,16743,295,1,98473,928,116495,99401,17039,368,4097,2494,{D113537A-BA7A-4D3B-936C-EA742824206C},41,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,24523,621,1050,2828,3157,3344,3441,3474,3294,2425,854,35,0 to 105,48,12943,11299,281,24102,421,0,1635,17113,356,7316,232,10640,13693,3,187,23912,10081,417,126,16,5306,5072,120,10498,287,547,1784,1731,1783,1694,1306,764,500,243,1,0 to 104,40,5181,645,1099,3573,4242,2592,3664,1209,24,751,14,6,148,10640,5136,5348,10498,142,0,53204,290,64206,53494,10640,148,6182,5202,{B407DCD0-FA26-4BA4-BFDB-B31C63C940BA},40,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,276038,3783,6976,28131,47191,44999,49958,43510,27208,15147,8221,914,0 to 225,46,142790,131262,1986,274135,1902,1,12691,230051,2785,33131,1190,140984,134585,96,373,273668,138357,1680,937,10,70915,68202,920,140037,2041,4672,18092,26260,23653,25458,19814,11022,6195,3446,331,0 to 108,43,50874,12122,14185,62856,58128,16573,65336,12692,70,6494,38,16,1954,140984,68661,71334,140036,947,1,574643,987,718449,575630,140984,1954,13180,12442,{AEA3AE00-E34E-48C0-8B01-466A26B4B1E0},43,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,5793,108,161,493,858,856,988,1099,763,354,111,2,0 to 101,49,2969,2785,39,5697,96,0,1576,2553,83,1927,156,1577,4151,0,65,5634,1522,28,22,5,733,808,9,1550,35,61,193,309,282,283,207,130,62,15,0,0 to 100,41,1022,102,68,358,549,602,399,238,5,99,4,0,13,1577,824,744,1550,27,0,12559,67,14215,12626,1577,13,2795,2518,{629DEEAE-BCFA-4AD2-8DE1-1D764EDD7AC6},42,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,11203,308,466,1329,1650,1664,1750,1733,1311,689,292,11,0 to 119,46,5705,5460,38,11109,94,0,622,7190,99,3273,201,4088,7094,0,21,11088,3963,90,35,0,1715,2329,9,4053,58,133,744,741,670,662,563,280,157,79,1,0 to 105,39,2428,514,216,895,163,2878,1012,156,1,202,2,1,44,4088,2341,1738,4053,35,0,25254,59,29438,25313,4088,44,3637,3092,{EDF59BBC-47AF-4B2F-BD97-6DAB59DD7B4C},39,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,3135,71,110,436,417,458,464,500,336,196,142,5,0 to 101,46,1623,1474,38,2964,171,0,201,2366,15,1419,159,1450,1684,0,1,2963,1303,27,117,3,632,696,2,1330,19,62,324,230,242,206,202,91,55,17,2,0 to 101,39,1034,83,58,155,268,918,144,185,17,70,3,0,18,1450,753,695,1330,120,0,8496,54,10036,8550,1450,18,795,740,{31CA379B-FB64-4C77-9456-056BCF505A65},39,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,4868,61,117,444,885,862,839,716,444,297,201,2,0 to 105,45,1978,2819,71,4837,31,0,48,2885,19,1870,46,1996,2867,0,5,4832,1925,55,15,1,596,1373,11,1980,21,53,184,420,398,356,270,141,85,68,0,0 to 100,43,841,388,95,656,74,818,1088,152,2,104,0,0,46,1996,1382,602,1980,16,0,10194,18,12220,10212,1996,46,1194,995,{BAF89079-8026-4E6B-B424-2DD9BC8AF99D},42,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,1863,37,59,166,301,294,308,325,185,130,58,0,0 to 119,47,901,919,43,1850,13,0,48,1240,9,949,16,896,954,0,13,1837,797,89,9,1,301,564,21,886,12,27,90,195,168,154,127,66,46,11,0,0 to 99,42,472,210,24,180,22,499,365,52,2,42,1,0,14,896,568,307,886,10,0,5422,4,6343,5426,896,14,577,521,{ED919630-6DB9-4E1B-B6B4-EAFA4D161468},42,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,4698,70,116,508,526,576,674,858,730,443,192,5,0 to 103,53,2595,2014,89,4522,176,0,244,3426,28,830,140,1280,3384,0,34,4489,1171,31,76,2,609,592,1,1202,18,38,257,173,192,201,200,122,55,24,0,0 to 95,43,805,123,61,213,64,889,249,168,6,76,1,0,11,1280,625,654,1202,78,0,13960,98,15356,14058,1280,11,1308,1302,{4D22D524-13F7-4497-919B-BC6894006209},43,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,593,9,26,62,123,145,86,68,37,30,6,1,0 to 90,39,220,372,1,593,0,0,59,343,3,398,1,410,183,0,0,593,408,2,0,0,116,294,0,410,6,11,43,99,119,67,48,10,5,2,0,0 to 89,38,294,78,22,16,170,215,25,46,0,30,0,0,3,410,294,116,410,0,0,741,0,1152,741,410,3,236,177,{DB14356A-7E77-445A-A524-193DAC2519E8},38,2.276843366242558,0.23195700955234813
56,56,8,015,CHARLOTTE,Charlotte,FL,7294,84,93,468,676,741,1043,1375,1319,885,603,7,0 to 119,58,4153,3071,70,7272,22,0,761,5422,62,1829,45,2321,4959,1,13,7258,2089,226,5,1,1201,1095,19,2315,23,49,248,267,249,339,416,332,229,168,1,0 to 101,54,1753,133,144,285,181,1760,374,238,1,252,1,0,97,2321,1097,1204,2315,6,0,24517,16,26886,24533,2321,97,294,275,{2C59A1CC-D054-4DF6-BEF0-43EEC4A23784},54,3.8321805931522803,0.16585624394389412
57,57,58,115,SARASOTA,Sarasota,FL,19094,221,413,1639,2189,2087,2520,3210,3316,2298,1137,64,0 to 119,56,10493,8324,277,18821,273,0,851,16823,190,2800,118,6479,12598,1,16,18806,6342,83,47,7,3324,2939,162,6425,71,225,1018,1100,946,932,825,615,430,294,23,0 to 104,43,2542,383,537,2963,605,2237,3583,414,18,380,12,2,167,6479,2970,3347,6425,54,0,68958,224,75709,69182,6479,167,1088,983,{63CF7F11-0E2E-4C45-8079-812F07405F88},43,2.5144239533088304,0.13745510082611065
58,58,14,027,DESOTO,Desoto,FL,3623,98,223,387,544,561,610,599,342,180,75,4,0 to 102,44,1491,2014,118,3610,13,0,179,2281,48,1370,24,1393,2224,1,5,3604,1257,133,3,0,571,815,4,1390,42,121,198,268,262,212,164,83,31,12,0,0 to 97,36,855,142,89,304,668,384,338,204,1,104,1,0,18,1393,816,573,1390,3,0,8320,13,9733,8333,1393,18,1378,1244,{0D73423D-03C5-4BA5-9BFD-C106F87EB222},37,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,5039,77,107,372,525,609,726,931,902,547,236,7,0 to 119,56,2920,2067,52,4998,41,0,384,3818,37,938,64,1107,3926,0,6,4992,968,128,11,0,603,487,6,1096,18,49,153,155,143,178,174,141,73,22,1,0 to 94,47,626,175,212,83,174,815,107,152,5,90,3,1,13,1107,493,608,1096,11,0,14287,30,15442,14317,1107,13,1299,1264,{0E4D3C2D-FB56-4A06-8B04-3AD9BFF072BC},47,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,3815,136,226,559,682,619,547,482,275,165,117,7,0 to 104,39,1878,1925,12,3812,3,0,431,1781,32,1714,29,1839,1976,0,0,3812,1786,52,1,0,829,1005,4,1838,58,121,302,368,330,273,195,108,53,31,0,0 to 101,37,1453,208,72,105,1243,506,89,288,0,155,0,0,38,1839,1006,829,1838,1,0,6718,2,8577,6720,1839,38,2413,1986,{71664F0E-3199-410F-AD8C-5269FFA55669},37,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,8315,124,244,777,904,903,1077,1265,1311,959,736,15,0 to 119,56,4935,3330,50,8243,72,0,420,5931,77,2479,105,2584,5676,1,54,8190,2551,18,13,2,1384,1157,28,2569,45,137,399,400,357,371,304,220,193,157,1,0 to 101,43,1115,294,303,857,502,1017,1050,352,7,204,3,0,58,2584,1166,1390,2569,15,0,25013,56,27666,25069,2584,58,2271,1788,{193731CA-A50A-4707-8EB3-D6585D669C9C},43,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,157613,3817,6269,15795,25306,25067,26462,25774,16289,8340,4260,234,0 to 119,46,84794,71474,1345,155863,1750,0,10001,112228,2336,47040,1396,64741,92682,29,161,155676,59816,4401,491,33,33440,30599,178,64217,1381,3449,9396,12476,11214,10560,8631,4319,2135,1141,39,0 to 104,39,24726,16842,7034,15615,22784,26278,15155,7799,88,4191,68,26,883,64741,30941,33620,64217,524,0,383193,1309,450047,384502,64741,883,27451,27082,{4AC0D3A0-87B8-4126-9CF4-96DC2D84D1C4},39,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,26271,553,793,2989,4060,3408,3534,4319,3462,1962,1090,101,0 to 119,48,14878,11245,148,22817,3454,0,1484,21298,183,3969,248,10035,16228,1,7,22809,9039,90,906,0,4579,4442,108,9129,122,366,1757,1972,1560,1320,1264,850,525,293,6,0 to 105,38,3402,2184,745,2798,322,5637,3170,990,10,593,8,10,141,10035,4828,5099,9129,906,0,61578,2636,74303,64214,10035,141,1210,1130,{3780C858-9510-4A33-A345-0ACD39C89BB6},38,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2635,62,145,409,367,344,328,382,232,205,149,12,0 to 119,44,1442,1173,20,2623,12,0,307,1479,2,985,18,1087,1546,0,2,2621,1020,63,4,0,530,550,3,1083,32,95,208,175,177,135,147,48,50,19,1,0 to 94,37,740,113,140,90,522,456,105,153,1,105,3,0,12,1087,551,533,1083,4,0,5620,8,6729,5628,1087,12,1060,979,{DD469486-5BA8-475C-9DDC-A21CC360CAEC},36,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,1011,6,21,81,169,146,138,192,157,83,18,0,0 to 95,50,409,600,2,1005,6,0,27,538,0,444,18,448,559,0,4,1001,437,8,3,0,83,362,0,445,0,9,40,128,99,66,70,25,9,2,0,6 to 85,38,245,191,4,5,40,349,56,14,0,6,0,0,2,448,363,85,445,3,0,3548,3,4005,3551,448,2,169,168,{9F12DFF3-9143-493B-867B-127F2B6BFF20},38,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,19022,283,393,2671,3652,2709,2632,2904,2096,998,616,68,0 to 119,44,10889,7990,143,18720,302,0,1154,16623,61,2314,134,4391,14621,6,4,18710,4173,163,43,12,2372,1951,13,4336,71,190,1176,989,552,516,445,278,115,56,3,0 to 103,31,1457,1321,527,1031,532,2604,1200,369,13,194,15,1,26,4391,1982,2395,4336,55,0,68655,257,73329,68912,4391,26,243,221,{9EDDB8FB-00DD-45F1-A09D-8E689049E28A},31,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,14105,189,458,1639,1595,2055,2338,2366,1936,1027,484,18,0 to 119,49,7623,6294,188,14044,61,0,920,10637,208,2878,312,3817,10231,10,47,13988,3455,320,38,4,1922,1817,36,3775,37,128,846,531,558,607,559,296,165,89,1,0 to 101,41,2498,297,233,747,284,2610,881,319,5,205,5,0,42,3817,1835,1945,3775,42,0,38215,18,42082,38233,3817,42,3053,3013,{8C0A9F2C-C490-4BBC-9E26-85B6F4AEFEB1},41,3.2463364568121142,0.15487996912821236
69,68,999,999,Unknown,Unknown,FL,2071,13,26,203,297,294,299,271,179,224,255,10,0 to 119,51,1274,767,30,468,1603,0,5,1841,0,30,20,720,1349,0,2,467,213,2,499,6,100,103,12,215,12,20,128,149,125,112,96,42,23,6,7,0 to 94,36,53,30,30,102,69,35,111,0,5,0,3,1,0,720,344,352,215,505,0,4377,1094,6221,5471,720,0,6029,6027,{D1373507-E2BB-431D-A2F9-63F6067C627A},36,0,0
70,69,998,998,A State,State,FL,1412239,24659,42121,145596,217528,206234,221248,224814,170202,98332,48474,13031,0 to 225,48,761770,637510,12959,1394099,18132,8,89274,1105454,0,291818,11010,557137,851106,378,3618,1390148,531903,19329,5692,213,281080,266132,4020,551232,9310,22003,83966,106849,91997,89361,72454,41892,23931,13933,1441,0 to 119,40,220237,83789,64981,182225,149227,195102,206903,55085,616,32537,410,134,8913,557137,269097,283859,551224,5905,8,3552275,12706,4128584,3564981,557137,8913,165788,152845,{E2D719EF-85BC-44E7-84ED-AF74AD1EC87D},40,0,0
