OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1335,37,65,168,192,173,186,187,139,108,80,0,0 to 118,46,749,581,5,1335,0,0,86,780,2,607,17,540,793,1,1,1333,493,47,0,0,276,263,1,540,11,27,77,100,68,71,69,37,37,43,0,0 to 106,42,440,39,31,30,83,420,37,75,0,39,0,0,17,540,263,276,540,0,0,4319,0,4868,4319,540,17,672,655,{CB6285A2-DA2E-4583-AAD5-1221776836AE},2,35,37,0.0540540540540541,NA,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5832,161,502,746,817,747,819,873,602,366,191,8,0 to 118,44,3395,2387,50,5822,10,0,855,3165,133,2512,32,2253,3558,0,21,5801,1314,937,1,1,1187,1055,9,2251,54,233,369,329,331,305,290,199,95,47,1,0 to 100,39,1345,612,230,64,455,1701,95,390,1,242,0,0,47,2253,1056,1188,2251,2,0,16219,8,18490,16227,2253,47,1372,1309,{CE511C5D-2638-44A3-B2F8-B13847543637},8,293,301,0.026578073089701,NA,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2597,56,120,277,505,480,399,357,249,110,40,4,0 to 118,41,1034,1543,20,2588,9,0,71,1597,3,1277,29,1414,1177,0,6,2582,1350,61,3,0,379,1032,0,1411,6,26,149,339,330,246,171,95,36,16,0,1 to 94,40,728,562,78,43,130,1195,86,115,0,55,0,0,15,1414,1032,382,1411,3,0,5509,6,6955,5515,1414,15,1410,1311,{541BD5A3-4453-499A-9896-F0EDC5353D0B},6,111,117,0.0512820512820513,NA,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,13355,276,695,1750,2114,1955,1725,1865,1289,942,696,48,0 to 119,44,7676,5594,85,13178,176,1,711,7776,137,3255,237,5706,7588,1,60,13118,5446,214,41,5,3053,2562,45,5660,64,217,977,1094,889,757,779,471,270,179,9,0 to 103,40,2925,465,1233,1037,652,3952,1056,505,4,312,4,1,127,5706,2583,3078,5659,46,1,36266,130,42159,36396,5706,127,6990,6564,{EB5D2450-A892-40FD-9BA4-9821A7438525},61,355,416,0.146634615384615,NA,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1363,24,89,153,197,220,189,187,151,102,51,0,0 to 99,44,683,667,13,1362,1,0,54,556,4,572,18,663,699,0,1,1361,625,37,1,0,278,383,1,662,6,26,75,124,114,95,85,65,44,29,0,0 to 99,43,444,97,46,75,28,536,98,64,1,36,1,0,14,663,384,278,662,1,0,4446,0,5119,4446,663,14,940,879,{3B55AA95-5170-4CAF-82A3-E99AD7459349},6,25,31,0.193548387096774,NA,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,112902,1894,3573,12375,15862,15045,16407,17453,13996,9417,5279,1601,0 to 119,49,61103,51464,335,111828,1072,2,10850,82282,465,36743,1150,48674,63839,153,236,111444,47545,692,428,9,25072,23023,142,48237,771,1902,7950,8826,7703,7445,6224,3547,2370,1886,50,0 to 106,41,19482,7805,8820,12130,13120,21233,13884,5407,65,3903,44,23,1478,48674,23261,25266,48235,437,2,343605,636,393527,344241,48674,1478,14986,14722,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},169,4850,5019,0.0336720462243475,NA,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,19908,431,822,2055,2689,2735,3065,3110,2506,1560,909,26,0 to 119,48,11395,8349,164,19751,157,0,1983,11529,188,7232,273,8521,11130,4,253,19494,8337,155,28,1,4674,3816,2,8492,154,377,1136,1391,1360,1337,1169,806,474,316,1,0 to 104,43,3529,1987,1172,1804,1956,4319,2217,903,4,732,3,1,315,8521,3832,4687,8492,29,0,58655,127,67359,58782,8521,315,7955,7940,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},35,902,937,0.0373532550693703,NA,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25216,505,1202,2966,3425,3568,3899,3873,3099,1852,814,13,0 to 119,47,14091,11049,76,25074,142,0,2150,15486,223,10119,465,10089,14960,4,163,24907,9783,229,75,2,5231,4778,3,10012,151,406,1600,1697,1590,1567,1326,919,552,279,2,0 to 105,42,7206,721,1553,532,2408,6902,702,1257,10,947,5,1,222,10089,4814,5272,10012,77,0,89712,70,99930,89782,10089,222,10570,10021,{83116673-3FAD-423E-B67E-DFE7515F5E81},38,1205,1243,0.0305711987127916,NA,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5833,150,350,664,925,1018,984,840,571,222,106,3,0 to 119,42,3381,2444,8,5810,22,1,656,3190,46,2240,45,3015,2809,1,8,5802,2926,80,9,0,1471,1533,2,3006,74,196,410,487,569,532,405,212,94,35,1,0 to 98,40,887,1257,560,302,568,1996,442,444,0,235,0,0,51,3015,1535,1478,3005,9,1,14623,16,17699,14639,3015,51,1520,1325,{77657EA6-12D6-4645-9915-E7357C9F40D6},10,163,173,0.0578034682080925,NA,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,24841,516,823,7105,3749,3109,2988,3026,2155,864,461,45,0 to 119,35,13416,11315,110,24302,538,1,2561,16611,201,7241,256,11564,13247,4,26,24274,11145,83,331,5,6236,4971,21,11228,204,402,5343,1676,1207,1005,904,454,211,148,10,0 to 105,24,4383,2912,1526,2407,936,6201,4091,669,24,272,12,11,97,11564,5113,6428,11227,336,1,83200,212,95122,83412,11564,97,5454,5042,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},82,1343,1425,0.0575438596491228,NA,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1275,30,49,115,160,177,204,238,185,90,26,1,0 to 101,50,582,691,2,1260,15,0,33,835,41,578,28,611,662,1,1,1259,524,75,12,0,194,405,0,599,8,18,61,102,90,116,111,65,27,13,0,0 to 98,47,250,298,39,12,30,529,40,58,2,36,0,0,9,611,412,199,599,12,0,3480,1,4107,3481,611,9,449,412,{862C7BAB-C64B-458C-A6FA-56543968D206},3,65,68,0.0441176470588235,NA,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,2231,110,197,259,284,298,322,297,254,133,70,7,0 to 99,43,1295,932,4,2195,36,0,113,1109,53,1259,75,1052,1177,1,1,2193,703,332,15,2,572,463,0,1035,39,79,127,147,157,179,143,100,42,39,0,0 to 99,43,335,616,56,28,55,890,90,168,1,51,2,2,24,1052,467,585,1035,17,0,5237,19,6319,5256,1052,24,1306,1207,{89851E42-542B-499A-AC7E-D8F5369F3D0B},3,34,37,0.0810810810810811,NA,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2548,14,53,253,705,592,442,314,115,42,9,9,0 to 105,38,386,2158,4,2548,0,0,28,1924,1,327,10,521,2027,0,0,2548,485,36,0,0,141,380,0,521,6,16,92,101,90,99,79,23,13,2,0,0 to 86,39,347,126,28,20,28,377,116,37,0,12,0,0,10,521,380,141,521,0,0,3135,0,3656,3135,521,10,551,527,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},1,19,20,0.05,NA,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2585,47,81,240,622,509,412,314,217,89,51,3,0 to 118,40,712,1858,15,2573,12,0,80,1919,9,896,15,888,1696,0,1,2573,746,134,4,4,306,574,0,880,28,55,109,177,155,147,122,61,24,10,0,0 to 91,40,383,427,59,11,114,635,131,103,1,35,0,0,9,888,578,310,880,8,0,4751,3,5644,4754,888,9,179,177,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},0,31,31,0,NA,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,9691,122,246,1221,1558,1484,1634,1548,1023,544,259,52,0 to 119,46,5043,4584,64,9516,175,0,1381,4648,28,5965,248,6408,3258,1,24,9492,6105,149,152,2,3137,3088,29,6254,71,168,979,1180,1053,1070,916,578,295,97,1,0 to 99,42,3651,636,862,1105,490,4281,1483,765,21,367,10,6,125,6408,3172,3207,6254,154,0,30537,30,37049,30567,6408,125,1365,1358,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},11,558,569,0.0193321616871705,NA,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,7235,157,286,708,1062,1124,1094,1209,889,446,250,10,0 to 119,47,3230,3951,54,7209,26,0,973,3056,63,4120,47,4083,3146,0,6,7203,3673,397,10,3,1414,2653,3,4070,70,155,480,712,743,685,594,387,185,71,1,0 to 102,43,2484,1208,179,199,253,3564,253,136,1,234,2,0,70,4083,2661,1419,4070,13,0,14345,13,18497,14358,4083,70,875,874,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},34,293,327,0.103975535168196,NA,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,2817,62,123,354,528,495,459,388,237,128,41,2,0 to 103,41,1227,1562,28,2757,60,0,301,1615,16,1139,26,1672,1110,0,35,2722,1390,280,0,2,563,1107,0,1670,8,48,200,354,351,286,222,129,61,13,0,0 to 103,40,876,227,54,513,18,1036,616,118,0,83,0,0,17,1672,1107,565,1670,2,0,6935,55,8689,6990,1672,17,1812,1811,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},17,160,177,0.096045197740113,NA,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1735,32,85,191,247,250,289,252,235,108,45,1,0 to 119,47,899,826,10,1711,24,0,67,883,5,683,98,818,915,0,2,1709,685,118,12,3,365,438,0,803,15,35,111,145,134,136,103,82,38,19,0,0 to 101,42,596,87,54,66,34,656,113,53,0,30,0,0,10,818,442,376,803,15,0,4705,9,5542,4714,818,10,958,952,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},7,26,33,0.212121212121212,NA,1.7364459249798063,0.117992933758262
