OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1052,29,34,123,139,144,150,152,119,99,63,0,0 to 118,49,598,446,8,1052,0,0,45,749,2,326,8,324,725,0,3,1049,292,32,0,0,163,160,1,324,11,13,46,48,41,44,42,23,30,26,0,0 to 100,45,244,20,22,38,43,230,51,23,0,10,0,0,1,324,160,163,324,0,0,3005,0,3335,3005,324,1,454,437,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4323,95,189,498,648,563,653,685,480,328,172,12,0 to 118,47,2600,1664,59,4315,8,0,207,3736,133,868,22,1191,3128,1,3,4311,692,499,0,0,615,552,24,1191,25,96,224,196,176,162,137,84,61,29,1,0 to 100,37,562,321,144,164,225,766,200,225,0,137,0,0,15,1191,552,615,1191,0,0,9759,8,10967,9767,1191,15,260,191,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1260,39,49,140,201,174,176,199,164,86,28,4,0 to 118,46,713,524,23,1251,9,0,48,825,3,505,29,291,966,0,3,1248,248,40,3,0,159,129,0,288,0,13,46,65,49,45,35,18,15,5,0,5 to 91,40,150,94,26,18,31,227,30,52,0,17,0,0,3,291,129,162,288,3,0,2504,6,2803,2510,291,3,658,558,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,9217,215,253,987,1492,1344,1206,1299,972,794,611,44,0 to 119,47,5409,3718,90,9059,157,1,411,7256,137,1198,112,2482,6701,0,34,9026,2317,139,21,5,1311,1111,34,2456,31,87,460,524,386,322,289,191,111,77,4,0 to 103,38,1238,222,318,678,363,1280,813,205,3,113,1,0,20,2482,1123,1325,2455,26,1,21905,131,24549,22036,2482,20,2307,1876,38,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,806,13,20,81,91,118,114,134,109,83,42,1,0 to 99,52,476,315,15,806,0,0,29,475,4,231,10,265,540,0,1,805,249,16,0,0,160,105,0,265,2,6,31,34,26,36,39,32,34,24,1,1 to 99,54,209,20,17,19,14,226,25,37,0,25,0,0,7,265,105,160,265,0,0,1814,0,2084,1814,265,7,451,389,54,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,92602,1487,2546,8584,12760,12088,13343,14804,12324,8428,4612,1626,0 to 119,51,50161,42075,366,91667,933,2,6191,75263,465,19873,562,31598,60613,169,222,91281,31033,271,288,6,16017,15153,134,31304,519,1191,4617,6005,5189,4825,4018,2360,1592,1254,28,0 to 106,41,11526,4828,4873,10077,8680,11445,11179,3416,42,2489,27,15,779,31598,15303,16155,31302,294,2,213542,635,246318,214177,31598,779,8502,8237,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,14799,258,418,1279,1981,2007,2312,2410,2046,1304,745,39,0 to 119,51,8557,5972,270,14649,150,0,960,11323,188,3231,111,4714,9846,5,234,14410,4585,110,19,0,2552,2086,57,4695,90,197,635,816,770,761,613,417,240,169,6,0 to 104,43,1437,942,578,1738,898,1672,2125,403,2,298,2,1,109,4714,2096,2561,4695,19,0,32949,131,37844,33080,4714,109,2953,2938,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,19530,367,525,1941,2651,2776,3103,3184,2648,1604,699,32,0 to 119,49,11057,8394,79,19436,94,0,1185,15181,223,4352,202,5992,13473,2,63,19371,5839,124,28,1,3082,2853,28,5963,91,179,937,1078,959,949,768,538,318,171,4,0 to 105,42,3523,392,725,1323,1096,3120,1747,680,9,441,4,1,68,5992,2868,3096,5963,29,0,53445,65,59543,53510,5992,68,3888,3337,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,3873,84,178,380,649,661,647,567,439,173,92,3,0 to 119,44,2523,1331,19,3852,20,1,154,3093,46,800,26,1224,2640,1,8,3844,1165,52,7,0,701,507,9,1217,30,78,180,221,227,199,140,82,45,21,1,0 to 98,39,322,431,100,364,217,577,423,198,0,103,0,0,13,1224,507,708,1216,7,1,8787,13,10057,8800,1224,13,782,587,39,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,16460,254,472,2789,2806,2337,2361,2446,1863,723,365,44,0 to 119,42,8570,7744,146,16188,271,1,721,13919,201,2320,135,3949,12477,2,32,16155,3832,47,67,3,2037,1814,28,3879,50,158,1405,791,486,430,369,165,56,27,12,0 to 105,28,1144,1195,272,1268,272,1825,1782,274,14,106,11,7,14,3949,1851,2070,3878,70,1,47500,200,51752,47700,3949,14,1804,1388,28,2.4286163266357628,0.1707040441862682
