OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,770,16,16,88,102,109,116,118,99,70,36,0,0 to 118,49,433,326,11,770,0,0,10,673,2,103,2,94,676,0,0,770,76,18,0,0,22,72,0,94,3,4,15,17,19,16,15,3,2,0,0,0 to 83,38,65,10,15,4,25,62,7,4,0,0,0,0,0,94,72,22,94,0,0,2187,0,2284,2187,94,0,157,140,39,38,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3528,72,122,344,505,435,550,598,431,299,161,11,0 to 118,50,2211,1277,40,3520,8,0,86,3198,133,327,22,297,3228,1,2,3517,191,106,0,0,169,128,0,297,4,29,52,43,39,41,38,26,18,7,0,2 to 98,39,140,127,11,19,22,254,21,48,0,33,0,0,6,297,128,169,297,0,0,5931,8,6237,5939,297,6,188,119,40,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,901,33,20,81,134,115,112,164,142,73,23,4,0 to 118,50,496,374,31,893,8,0,17,763,3,151,28,73,826,1,1,891,61,11,1,0,24,48,0,72,0,2,15,23,14,2,8,3,6,0,0,6 to 84,32,45,5,18,4,26,42,4,17,0,6,0,0,0,73,48,25,72,1,0,1312,7,1394,1319,73,0,188,86,32,32,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,7216,164,156,582,1067,1035,942,1092,828,736,573,41,0 to 119,51,4361,2815,40,7070,145,1,168,6513,137,455,77,563,6652,0,1,7070,441,109,8,5,274,276,0,550,6,24,78,123,95,75,72,44,30,15,1,0 to 96,40,394,48,51,57,150,340,60,99,2,58,1,0,6,563,284,279,549,13,1,11968,132,12672,12100,563,6,1030,598,43,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,545,5,4,43,51,81,75,93,83,71,38,1,0 to 99,56,324,203,18,545,0,0,5,443,4,58,5,72,472,0,1,544,56,16,0,0,53,19,0,72,0,0,6,7,5,2,4,7,20,21,0,20 to 99,78,52,10,2,8,1,58,13,11,0,7,0,0,6,72,19,53,72,0,0,715,0,789,715,72,6,127,65,78,78,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,72459,1087,1675,5515,8862,8788,10216,12240,10844,7597,4026,1609,0 to 119,54,39588,32579,292,71675,782,2,2656,64206,465,8997,371,12928,59179,190,162,71328,12637,148,137,6,6342,6412,31,12785,195,464,1732,2247,2074,1934,1682,1095,842,650,13,0 to 104,43,5266,2177,2067,3275,4338,5020,3427,2324,37,1714,23,13,492,12928,6499,6398,12783,143,2,123340,636,137138,123976,12928,492,3999,3734,44,43,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,10789,187,221,770,1332,1346,1672,1872,1709,1099,548,33,0 to 119,54,6197,4380,212,10642,147,0,480,9213,188,1423,74,1576,9121,5,87,10550,1489,75,12,0,837,722,5,1564,33,44,199,279,234,279,218,140,86,62,2,0 to 99,44,530,259,133,642,271,554,739,223,1,156,2,0,45,1576,727,844,1564,12,0,20012,135,21731,20147,1576,45,705,690,46,44,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,14819,286,352,1220,1840,2029,2333,2567,2234,1349,576,33,0 to 119,52,8562,6209,48,14742,77,0,329,13453,223,1139,127,1630,13149,2,38,14702,1565,53,11,1,812,804,2,1618,31,41,289,310,276,248,193,151,63,25,3,0 to 99,39,836,122,173,487,287,767,564,210,4,120,3,1,17,1630,810,818,1618,12,0,31224,65,32931,31289,1630,17,1970,1418,43,39,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,2978,51,100,219,496,504,524,468,389,144,81,2,0 to 119,47,2058,908,12,2960,17,1,42,2686,46,361,16,365,2609,1,3,2957,352,9,4,0,253,108,0,361,4,14,27,72,77,71,39,33,18,10,0,0 to 98,43,138,152,17,54,41,252,68,76,0,60,0,0,7,365,108,257,360,4,1,5295,13,5679,5308,365,7,415,221,43,43,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,13314,190,317,1787,2169,1932,2004,2126,1738,677,342,32,0 to 119,46,6876,6287,151,13075,238,1,224,12367,201,745,96,775,12397,3,139,12934,728,11,35,1,371,368,0,739,3,30,319,135,82,76,74,39,12,4,1,0 to 91,26,250,310,29,150,52,519,168,104,11,46,9,7,8,775,388,387,738,36,1,25005,202,25987,25207,775,8,855,436,30,26,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,584,15,13,23,49,81,81,118,121,65,17,1,0 to 101,57,349,229,6,579,5,0,7,491,41,87,7,45,537,0,2,577,22,21,2,0,26,17,0,43,2,1,3,5,8,4,7,7,4,4,0,0 to 95,55,13,20,7,3,7,32,4,8,2,9,0,0,4,45,19,26,43,2,0,1106,3,1155,1109,45,4,79,41,58,55,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1156,53,47,100,132,148,156,174,181,109,49,7,0 to 99,50,736,413,7,1133,23,0,27,906,53,323,16,179,975,1,1,1131,119,56,4,0,108,67,0,175,11,10,20,20,28,23,36,14,6,11,0,0 to 98,44,38,119,14,4,13,145,17,33,0,6,0,1,3,179,68,111,175,4,0,1675,19,1875,1694,179,3,337,237,50,44,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2216,3,4,158,690,561,398,268,93,28,5,8,0 to 92,38,170,2038,8,2216,0,0,1,2000,1,84,0,221,1995,0,0,2216,218,3,0,0,5,216,0,221,0,0,13,58,55,54,36,5,0,0,0,20 to 73,41,115,97,5,4,7,132,82,5,0,1,0,0,1,221,216,5,221,0,0,2102,0,2325,2102,221,1,46,21,41,41,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2011,18,27,160,539,416,323,245,168,69,42,4,0 to 118,41,457,1527,27,2005,6,0,36,1876,9,323,6,322,1688,0,1,2004,311,8,2,1,63,256,0,319,7,10,30,88,66,58,49,11,3,0,0,0 to 84,39,140,145,30,4,51,120,148,36,1,10,0,0,2,322,258,64,319,3,0,2305,3,2631,2308,322,2,20,18,39,39,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,3409,38,34,241,436,464,562,645,454,293,187,55,0 to 119,53,1905,1450,54,3362,47,0,123,3099,28,354,62,305,3038,0,66,3305,252,36,16,1,152,136,0,288,4,3,41,63,53,61,39,23,16,2,0,1 to 93,42,224,32,15,17,80,180,28,86,6,33,2,2,4,305,144,161,288,17,0,7045,21,7378,7066,305,4,96,88,44,42,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,3473,89,107,241,426,435,452,671,552,289,202,9,0 to 119,54,1961,1412,100,3458,15,0,219,3067,63,351,16,261,3209,0,3,3455,222,37,2,0,132,127,0,259,8,16,26,61,41,40,36,19,8,6,0,0 to 97,39,118,105,29,7,32,216,11,9,0,21,0,0,3,261,129,132,259,2,0,5405,13,5684,5418,261,3,30,28,40,39,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,910,30,16,100,134,125,149,151,105,66,32,2,0 to 99,48,506,353,51,850,60,0,25,844,16,84,3,51,858,0,1,849,29,22,0,0,29,22,0,51,0,2,7,6,7,5,9,7,5,3,0,10 to 97,53,36,13,2,0,1,49,1,14,0,12,0,0,4,51,22,29,51,0,0,1576,60,1687,1636,51,4,55,54,48,53,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,910,12,13,72,134,129,147,161,157,63,21,1,0 to 119,52,444,451,15,899,11,0,6,758,5,167,6,161,749,0,0,899,143,16,0,2,21,138,0,159,1,0,16,49,45,26,13,10,1,0,0,1 to 79,38,92,57,5,5,11,123,25,7,0,5,0,0,0,161,139,22,159,2,0,2093,9,2265,2102,161,0,74,68,43,38,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,7924,163,196,623,838,938,1023,1388,1383,959,391,22,0 to 100,56,3895,3571,458,7829,95,0,415,6558,82,1393,79,1850,6047,1,26,7803,1822,13,15,0,833,996,6,1835,69,101,298,335,339,301,194,101,67,43,2,0 to 99,37,643,77,615,500,1020,419,396,286,2,164,1,1,25,1850,1005,839,1835,15,0,14054,78,15993,14132,1850,25,204,193,38,37,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,58737,1346,1653,5708,9436,8521,8950,9528,7519,4035,1862,179,0 to 119,48,33422,25036,279,58308,429,0,883,55304,458,3000,319,9130,49484,23,100,58186,8856,191,80,3,4771,4254,22,9047,179,309,1804,2296,1391,1172,861,526,317,209,66,0 to 104,34,2663,1311,1216,3857,1769,2844,4434,930,11,599,8,3,132,9130,4291,4817,9047,83,0,107021,345,116583,107366,9130,132,2245,1898,37,34,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,16823,290,399,1106,1686,1810,2192,3077,3333,2061,766,103,0 to 119,58,9528,6999,296,16570,253,0,884,14997,177,1823,48,2642,14176,4,1,16565,2565,60,17,0,1369,1252,4,2625,55,134,359,457,429,373,328,223,175,109,0,0 to 101,41,1417,268,242,698,807,1031,787,184,3,255,3,2,129,2642,1260,1378,2625,17,0,35484,236,38381,35720,2642,129,363,265,45,41,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,8420,121,211,660,985,1169,1374,1494,1315,761,309,21,0 to 101,52,4859,3458,103,8399,21,0,161,7829,130,610,55,616,7798,1,5,8393,547,66,3,0,345,268,0,613,1,13,71,86,79,95,94,86,55,36,0,0 to 100,51,321,116,60,116,58,421,134,151,0,102,0,0,34,616,269,347,613,3,0,15674,18,16313,15692,616,34,403,370,55,51,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,1187,34,84,164,222,156,150,153,130,68,26,0,0 to 94,40,654,517,16,1180,7,0,64,663,2,444,7,403,784,0,0,1180,383,15,5,0,200,197,1,398,12,37,64,91,65,52,33,30,14,5,0,0 to 86,34,284,56,36,22,273,104,21,61,3,36,3,1,3,403,200,202,398,5,0,1954,2,2361,1956,403,3,615,516,35,34,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,15322,166,224,1014,1761,1752,2197,2617,2871,1909,784,27,0 to 168,57,9379,5891,52,15294,28,0,4345,10295,177,3431,148,598,14396,0,328,14967,568,24,5,1,326,264,2,592,9,15,95,120,93,86,86,54,30,10,0,0 to 97,42,385,98,35,74,97,416,79,105,3,64,0,0,10,598,266,330,592,6,0,22155,21,22780,22176,598,10,737,572,45,42,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,21149,177,307,1238,2214,2303,3041,4329,4016,2190,1045,289,0 to 119,57,11828,8625,696,21052,97,0,394,19769,230,1278,145,1745,19401,0,3,21049,1579,151,14,1,883,842,5,1730,10,31,281,306,229,268,246,193,99,78,4,0 to 102,45,856,281,296,297,213,1088,429,312,6,208,5,0,54,1745,849,891,1730,15,0,35675,82,37523,35757,1745,54,1286,672,49,45,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,812,21,27,65,90,134,107,138,121,68,40,1,0 to 118,52,479,316,17,812,0,0,11,697,6,80,1,65,747,0,0,812,49,16,0,0,30,35,0,65,0,3,12,4,12,11,11,4,5,3,0,6 to 91,48,48,14,1,2,1,61,3,14,0,11,0,0,4,65,35,30,65,0,0,1291,0,1356,1291,65,4,122,67,48,48,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,15876,232,257,928,1516,1580,1973,2563,2867,2037,669,1254,0 to 103,58,8310,6513,1053,15737,139,0,198,15009,222,702,100,1098,14754,0,24,15715,1065,16,17,0,516,560,5,1081,16,24,179,205,162,167,145,97,81,20,2,0 to 103,41,462,139,197,283,178,573,330,173,12,103,5,1,22,1098,570,523,1081,17,0,30465,120,31699,30585,1098,22,774,482,44,41,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,1765,26,29,171,230,194,236,342,268,189,79,1,0 to 118,54,1022,726,17,1761,4,0,27,1471,16,327,7,168,1597,0,0,1761,144,21,3,0,57,108,0,165,1,2,36,41,28,17,22,12,6,3,0,3 to 99,35,68,9,82,6,90,69,6,15,0,11,0,0,1,168,110,58,165,3,0,2968,1,3139,2969,168,1,281,231,35,35,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,3894,28,28,96,176,188,298,519,1437,906,132,86,0 to 119,69,1912,1787,195,3818,76,0,127,3498,164,311,60,319,3552,0,23,3795,267,49,2,1,99,217,0,316,1,3,13,11,38,44,44,104,52,9,0,4 to 92,65,246,40,10,20,23,270,23,70,0,48,0,0,17,319,219,100,316,3,0,6656,73,7053,6729,319,17,100,88,65,65,2.170222363613529,0.1387390006306793
