OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2576,83,231,401,348,350,360,323,224,163,93,0,0 to 118,41,1414,1147,15,2571,5,0,244,1066,2,1620,36,1558,1012,1,5,2565,1335,218,2,3,827,715,11,1553,35,119,246,247,224,224,186,120,98,59,0,0 to 106,40,1217,94,56,186,128,1222,203,126,0,77,0,0,41,1558,718,829,1553,5,0,6579,0,8154,6579,1558,41,1495,1478,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,4,94,98,0.0408163265306122,40
2,2,54,107,PUTNAM,Putnam,FL,10383,347,1016,1407,1383,1321,1416,1493,1090,630,271,9,0 to 118,42,5873,4472,38,10354,29,0,1818,3818,133,7436,91,6230,4111,0,42,10312,3829,2380,13,8,3363,2828,18,6209,157,552,933,854,847,844,874,660,358,149,2,0 to 100,42,4152,1375,510,172,842,5086,281,764,2,549,2,1,138,6230,2840,3372,6209,21,0,26285,0,32526,26285,6230,138,3065,3011,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,17,177,194,0.0876288659793814,42
3,3,62,123,TAYLOR,Taylor,FL,4350,148,415,520,709,695,622,579,403,189,64,6,0 to 118,40,1962,2373,15,4341,9,0,155,2005,3,2865,49,2705,1637,0,8,4333,2432,268,5,0,1076,1621,3,2700,35,123,319,499,526,435,372,236,119,40,1,0 to 98,41,1653,806,120,121,150,2347,203,190,0,97,0,0,45,2705,1623,1079,2700,5,0,8260,0,10992,8260,2705,45,2580,2486,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,0,85,85,0,41
4,4,46,091,OKALOOSA,Okaloosa,FL,32895,862,3902,4792,5066,4808,4032,4247,2604,1576,937,69,0 to 119,38,17882,14780,233,32552,342,1,1909,11215,137,14941,1035,20103,12680,1,111,32443,18470,1411,206,16,10522,9219,140,19881,282,1285,2995,3684,3211,2696,2877,1683,900,459,31,0 to 103,40,13847,1851,2099,2084,1731,15345,2805,1067,14,706,17,5,357,20103,9335,10626,19880,222,1,68623,0,88802,68623,20103,357,28907,28494,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,34,505,539,0.0630797773654917,40
5,5,7,013,CALHOUN,Calhoun,FL,2849,90,374,391,330,382,358,350,292,187,93,2,0 to 99,41,1489,1340,20,2846,3,0,191,591,4,1385,46,1671,1171,0,7,2839,1445,223,3,0,818,843,7,1668,31,117,211,230,233,232,224,194,124,74,1,0 to 99,45,1143,184,213,128,38,1402,228,132,2,57,2,0,43,1671,845,819,1668,3,0,6096,0,7778,6096,1671,43,2281,2224,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,3,56,59,0.0508474576271186,45
6,6,50,099,PALM BEACH,Palm Beach,FL,219536,5133,14907,29125,33365,30400,31807,30780,21619,13599,7159,1642,0 to 119,43,116473,101799,1264,216348,3186,2,32459,111406,465,106481,3647,138063,80604,133,736,215487,133930,1648,2464,21,70298,64330,950,135578,2580,8625,21646,25028,21211,20907,18194,10174,5964,3665,69,0 to 107,40,69163,19185,23716,23514,35573,69748,30257,9092,160,6585,119,52,2715,138063,65605,71450,135576,2485,2,704804,0,843663,704804,138063,2715,58841,58583,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,510,7824,8334,0.0611951043916487,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,41740,1278,3260,5555,5817,5632,5997,5892,4454,2595,1221,39,0 to 119,43,23162,18376,202,41421,319,0,5013,14784,188,24112,892,25065,16186,7,482,40934,24674,209,181,2,13603,11227,53,24883,460,1414,3485,4066,3797,3826,3527,2496,1365,624,6,0 to 104,43,12563,5110,3237,3973,5728,14199,4956,2408,23,1738,14,2,609,25066,11318,13695,24883,183,0,110025,0,135169,110025,25066,609,26240,26224,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,73,1001,1074,0.0679702048417132,43
8,8,51,101,PASCO,Pasco,FL,60623,1362,5342,8439,7927,8420,9095,8217,6415,3872,1493,41,0 to 119,43,33103,27354,166,60215,408,0,3468,28910,223,29928,1612,38722,21426,4,471,59741,36856,1529,331,5,20493,17790,102,38385,625,2468,5626,5693,5732,6045,5220,3923,2444,932,13,0 to 105,43,28256,2277,4457,3395,7394,25618,5373,3507,68,2511,49,8,717,38721,17932,20666,38385,336,0,191588,0,230424,191588,38721,717,27577,27041,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,199,1994,2193,0.0907432740538076,44
9,9,20,039,GADSDEN,Gadsden,FL,8897,305,810,1086,1306,1442,1406,1237,813,338,151,3,0 to 119,41,5117,3757,23,8866,30,1,1173,3770,46,4773,104,5584,3300,1,12,8854,5137,430,14,3,2920,2629,18,5567,157,473,750,827,953,929,783,430,203,78,1,0 to 98,41,1601,2749,939,278,915,4224,428,737,1,419,0,0,93,5584,2633,2933,5566,17,1,22427,0,28054,22427,5584,93,3070,2876,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,2,139,141,0.0141843971631206,41
10,10,37,073,LEON,Leon,FL,47333,1618,2831,14005,7487,5899,5294,4934,3219,1352,643,51,0 to 119,31,25766,21342,225,46224,1108,1,7543,21355,201,23783,873,30882,16394,8,49,46169,29686,290,888,18,16522,13310,144,29976,742,1716,11102,5125,3784,3158,2724,1477,699,343,12,0 to 106,27,14480,9289,3570,2637,2867,22819,4290,1535,51,676,38,32,308,30882,13702,17026,29975,906,1,150528,0,181573,150528,30882,308,13899,13498,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,54,960,1014,0.0532544378698225,28
