OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1252,33,60,154,174,162,175,172,135,108,79,0,0 to 118,48,713,533,6,1252,0,0,77,772,2,540,17,474,775,1,2,1249,437,37,0,0,250,223,1,474,10,24,69,83,56,62,59,33,36,42,0,0 to 106,43,392,30,22,30,72,369,33,67,0,34,0,0,10,474,223,250,474,0,0,3815,0,4298,3815,474,10,622,605,{CB6285A2-DA2E-4583-AAD5-1221776836AE},4,45,49,0.0816326530612245,43,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5009,121,300,589,730,673,729,785,530,349,182,21,0 to 118,46,2961,2002,46,4999,10,0,722,3394,133,1684,30,1829,3173,0,7,4992,1115,712,1,1,951,865,11,1827,46,178,305,272,287,241,229,138,82,41,10,0 to 100,38,978,509,226,114,387,1279,161,341,1,202,0,0,38,1829,866,952,1827,2,0,13353,8,15203,13361,1829,38,505,437,{CE511C5D-2638-44A3-B2F8-B13847543637},13,210,223,0.0582959641255605,38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2306,47,79,241,461,446,357,314,220,99,38,4,0 to 118,41,914,1371,21,2297,9,0,64,1518,3,986,29,1217,1083,0,6,2291,1155,59,3,0,298,916,0,1214,4,22,126,306,299,216,134,71,27,12,0,1 to 92,39,608,511,73,22,124,1028,62,94,0,39,0,0,10,1217,916,301,1214,3,0,4875,6,6127,4881,1217,10,1033,935,{541BD5A3-4453-499A-9896-F0EDC5353D0B},8,64,72,0.111111111111111,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,11306,248,372,1296,1831,1672,1529,1570,1166,894,682,46,0 to 119,46,6569,4638,99,11142,163,1,621,7343,137,2152,155,4328,6933,1,44,11098,4088,209,26,5,2342,1909,46,4297,48,151,718,835,683,602,532,362,226,165,6,0 to 103,40,2388,408,779,722,567,2852,878,423,4,252,2,0,83,4328,1923,2359,4296,31,1,29045,132,33552,29177,4328,83,3686,3260,{EB5D2450-A892-40FD-9BA4-9821A7438525},35,466,501,0.0698602794411178,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1228,19,70,128,179,200,171,174,139,98,50,0,0 to 99,46,625,587,16,1227,1,0,40,554,4,514,13,583,644,0,1,1226,565,17,1,0,249,331,2,582,5,21,60,111,102,83,75,56,41,29,0,0 to 99,44,375,92,41,74,25,468,89,58,1,32,1,0,10,583,332,249,582,1,0,4077,0,4670,4077,583,10,841,780,{3B55AA95-5170-4CAF-82A3-E99AD7459349},2,157,159,0.0125786163522013,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,105214,1746,3119,10468,14843,14052,15349,16569,13330,9021,5035,1682,0 to 119,50,56929,47894,391,104201,1011,2,9152,80209,465,30150,833,42762,62006,160,286,103760,41735,653,367,7,21911,20303,174,42388,701,1652,6348,7940,6943,6626,5553,3148,2094,1672,85,0 to 106,41,15941,6862,7783,11802,11653,17103,13632,4682,59,3369,40,18,1160,42762,20506,22073,42386,374,2,288416,643,332470,289059,42762,1160,11165,10900,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},151,3306,3457,0.0436794908880532,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,17808,337,594,1685,2451,2467,2757,2834,2304,1447,849,83,0 to 119,49,10213,7353,242,17652,156,0,1589,11852,188,5279,199,7234,10315,5,254,17393,7065,143,25,1,3935,3208,65,7208,130,311,945,1214,1172,1139,975,645,387,268,48,0 to 104,43,2613,1657,1084,1854,1631,3228,2349,683,2,496,2,1,243,7234,3223,3946,7208,26,0,45941,131,53369,46072,7234,243,5183,5168,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},42,974,1016,0.0413385826771654,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,22302,438,728,2335,3060,3183,3567,3558,2899,1727,773,34,0 to 119,48,12559,9644,99,22184,118,0,1963,14878,223,7654,341,8230,13897,3,172,22009,8027,150,51,2,4275,3894,8,8177,123,289,1247,1412,1302,1323,1092,757,438,240,7,0 to 105,42,5839,622,1287,429,2021,5567,589,1075,10,748,4,1,183,8230,3918,4304,8177,53,0,71953,70,80309,72023,8230,183,5850,5299,{83116673-3FAD-423E-B67E-DFE7515F5E81},34,1004,1038,0.0327552986512524,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5076,111,260,548,836,884,864,730,523,198,103,19,0 to 119,43,3013,2041,22,5054,21,1,476,3174,46,1702,32,2414,2657,1,4,5050,2355,51,8,0,1182,1209,15,2406,52,146,342,406,453,419,305,171,72,31,17,0 to 98,40,722,959,423,302,458,1488,460,351,0,189,0,0,31,2414,1210,1189,2405,8,1,12660,16,15130,12676,2414,31,1030,835,{77657EA6-12D6-4645-9915-E7357C9F40D6},20,89,109,0.18348623853211,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,19870,353,630,4214,3262,2725,2674,2737,2009,792,425,49,0 to 119,40,10534,9215,121,19479,390,1,1589,15186,201,4399,195,7149,12696,5,20,19456,6901,60,183,5,3811,3128,22,6961,119,277,2735,1230,840,722,648,318,140,103,17,0 to 105,27,2150,2072,887,1852,492,3616,2853,492,18,189,11,7,38,7149,3214,3913,6960,188,1,67827,209,75320,68036,7149,38,2828,2415,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},256,1259,1515,0.168976897689769,28,2.4286163266357628,0.1707040441862682
