OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2435,73,214,377,323,339,339,307,213,158,92,0,0 to 118,41,1339,1085,11,2431,4,0,215,1067,2,1496,33,1447,982,1,5,2425,1242,201,2,2,761,675,7,1443,30,112,226,224,214,207,172,111,93,58,0,0 to 106,40,1125,85,54,179,122,1123,198,119,0,66,0,0,37,1447,677,763,1443,4,0,6328,0,7793,6328,1447,37,1407,1390,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,3,41,44,0.0681818181818182,40
2,2,54,107,PUTNAM,Putnam,FL,9968,329,960,1357,1337,1275,1358,1444,1043,600,256,9,0 to 118,42,5645,4286,37,9941,27,0,1719,3722,133,7064,90,5919,4007,0,42,9899,3548,2352,12,7,3203,2681,16,5900,147,522,886,816,808,800,834,625,340,139,2,0 to 100,42,3936,1325,475,164,782,4849,269,707,2,509,2,1,131,5919,2692,3211,5900,19,0,25182,0,31113,25182,5919,131,2938,2884,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,3,169,172,0.0174418604651163,42
3,3,62,123,TAYLOR,Taylor,FL,4288,141,402,514,707,688,616,572,396,184,62,6,0 to 118,40,1925,2346,17,4278,10,0,142,2003,3,2801,47,2673,1607,0,8,4270,2404,263,6,0,1055,1607,5,2667,34,118,318,498,519,432,367,232,116,38,1,0 to 98,41,1622,801,119,125,148,2315,204,186,0,92,0,0,42,2673,1609,1059,2667,6,0,7897,0,10597,7897,2673,42,2560,2464,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,7,86,93,0.0752688172043011,41
4,4,46,091,OKALOOSA,Okaloosa,FL,31583,748,3612,4586,4836,4650,3911,4130,2554,1552,933,71,0 to 119,38,17192,14166,225,31260,322,1,1854,10965,137,14290,975,19370,12100,2,111,31150,17761,1407,185,17,10142,8885,141,19168,236,1229,2879,3520,3096,2610,2787,1645,882,454,32,0 to 103,40,11505,1549,2401,3713,1556,13274,4338,1026,14,677,16,4,337,19370,8991,10235,19167,202,1,63711,0,83160,63711,19370,337,27801,27388,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,31,443,474,0.0654008438818565,40
5,5,7,013,CALHOUN,Calhoun,FL,2791,82,356,380,320,378,357,347,292,184,93,2,0 to 99,41,1450,1321,20,2788,3,0,183,587,4,1351,46,1636,1149,0,6,2782,1415,218,3,0,794,833,6,1633,27,112,204,221,228,231,221,194,123,74,1,0 to 99,46,1110,182,210,131,39,1364,230,127,2,57,2,0,42,1636,835,795,1633,3,0,5941,0,7588,5941,1636,42,2245,2188,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,4,37,41,0.0975609756097561,45
6,6,50,099,PALM BEACH,Palm Beach,FL,203248,4555,12902,26174,30566,28003,29457,28861,20839,13264,7015,1612,0 to 119,44,108054,94307,887,200424,2822,2,29182,107282,465,94894,3251,124636,77797,134,681,199617,121054,1455,2106,21,63592,58316,601,122509,2240,7443,19256,22440,19121,18847,16472,9525,5691,3541,60,0 to 107,40,61568,17494,21146,22301,32353,62220,27936,8541,139,6152,97,46,2535,124636,59412,64575,122507,2127,2,652675,0,778080,652675,124636,2535,52748,52489,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,400,7612,8012,0.0499251123315027,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,38557,1105,2833,4988,5339,5231,5599,5533,4248,2469,1176,36,0 to 119,44,21457,16875,225,38264,293,0,4585,14603,188,21452,830,22923,15185,7,442,37817,22559,205,157,2,12445,10243,76,22764,414,1259,3129,3665,3484,3507,3255,2341,1272,593,4,0 to 104,43,11345,4671,2951,3797,5190,12867,4707,2053,22,1531,14,1,553,22923,10321,12526,22764,159,0,101921,0,124920,101921,22923,553,23357,23341,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,110,1030,1140,0.0964912280701754,43
8,8,51,101,PASCO,Pasco,FL,55154,1201,4604,7508,7166,7599,8279,7552,6077,3704,1432,32,0 to 119,44,30182,24852,120,54780,374,0,3447,26683,223,26528,1441,34393,20331,3,427,54350,32681,1404,301,5,18215,15812,58,34085,542,2097,4905,5022,5035,5346,4622,3647,2292,875,8,0 to 105,44,24857,1994,3940,3294,6644,22559,4882,3153,53,2258,40,6,668,34391,15935,18377,34085,306,0,177398,0,211894,177398,34391,668,25668,25130,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,127,1749,1876,0.0676972281449893,44
9,9,20,039,GADSDEN,Gadsden,FL,8767,294,781,1074,1283,1420,1394,1220,808,338,152,3,0 to 119,41,5052,3693,22,8737,29,1,1162,3739,46,4646,99,5495,3258,1,13,8724,5056,423,13,3,2881,2581,17,5479,148,456,743,811,933,922,770,427,205,79,1,0 to 99,41,1566,2709,919,285,894,4153,432,729,1,418,0,0,90,5495,2585,2893,5478,16,1,21664,0,27202,21664,5495,90,2946,2753,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,7,174,181,0.0386740331491713,41
10,10,37,073,LEON,Leon,FL,45788,1486,2668,13446,7261,5721,5158,4851,3174,1333,642,48,0 to 119,31,24945,20636,207,44723,1064,1,7211,21085,201,22556,822,29660,16075,7,46,44672,28515,283,845,17,15901,12765,132,28798,671,1620,10633,4929,3641,3051,2645,1440,679,341,10,0 to 106,28,13729,8947,3419,2703,2695,21745,4358,1444,48,624,36,30,291,29660,13134,16384,28797,862,1,145386,0,175220,145386,29660,291,13284,12883,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,36,1471,1507,0.0238885202388852,28
11,11,33,065,JEFFERSON,Jefferson,FL,2446,99,235,250,292,315,339,422,292,159,41,2,0 to 101,46,1199,1243,4,2422,24,0,92,1071,41,1653,42,1409,1032,2,3,2418,1211,176,18,4,622,763,2,1387,26,93,141,199,184,225,266,157,91,27,0,0 to 99,47,671,601,83,32,51,1256,80,120,3,70,0,0,24,1409,775,631,1387,22,0,5660,0,7088,5660,1409,24,1304,1267,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,0,28,28,0,47
12,12,40,079,MADISON,Madison,FL,3835,200,558,537,453,460,510,445,375,200,88,9,0 to 101,38,2169,1652,14,3792,43,0,225,1282,53,2800,128,2021,1798,0,16,3776,1429,566,24,2,1131,859,5,1995,68,169,275,282,258,329,269,207,105,58,1,0 to 101,43,848,984,92,71,101,1707,187,274,3,88,2,2,43,2021,867,1145,1995,26,0,7245,0,9276,7245,2021,43,3008,2912,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,3,144,147,0.0204081632653061,43
13,13,39,077,LIBERTY,Liberty,FL,3355,72,237,390,775,684,527,406,167,71,17,9,0 to 105,37,834,2510,11,3354,1,0,104,1931,1,749,14,1049,2303,0,3,3351,886,162,1,0,412,628,8,1048,24,78,170,170,161,171,159,66,42,8,0,0 to 89,39,777,173,53,45,41,851,156,57,0,22,0,0,15,1049,628,413,1048,1,0,4048,0,5098,4048,1049,15,1372,1348,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,0,21,21,0,39
14,14,24,047,HAMILTON,Hamilton,FL,3520,111,267,377,709,612,529,413,296,137,63,6,0 to 118,39,1223,2274,23,3497,23,0,95,2026,9,1758,48,1573,1945,0,2,3496,1234,320,10,9,667,877,10,1554,58,140,205,257,237,238,209,136,68,23,2,0 to 93,41,762,644,92,56,160,1208,186,201,2,77,0,0,23,1573,887,676,1554,19,0,6319,0,7897,6319,1573,23,1093,1091,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,0,37,37,0,41
15,15,3,005,BAY,Bay,FL,23470,307,1318,3120,3652,3609,3716,3679,2341,1181,486,61,0 to 119,44,12330,10879,261,22714,756,0,2381,10675,28,14709,494,19127,4268,2,73,22643,18072,331,714,10,9619,8566,218,18403,195,926,2703,3170,3042,3034,2939,1848,926,339,5,0 to 101,43,11656,1679,1861,3207,1175,13506,3722,1366,54,778,27,17,358,19127,8949,9950,18403,724,0,65556,0,84752,65556,19127,358,4756,4748,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,33,532,565,0.0584070796460177,43
16,16,12,023,COLUMBIA,Columbia,FL,11764,326,853,1479,1634,1741,1665,1778,1293,663,320,12,0 to 119,43,5730,5969,65,11714,50,0,1342,3649,63,7449,102,7737,4015,1,11,11702,7081,619,33,4,3427,4245,28,7700,136,400,1003,1227,1247,1219,1132,788,419,162,4,0 to 102,43,5014,1910,337,439,425,6578,697,340,2,451,4,0,160,7737,4268,3441,7700,37,0,23187,0,30982,23187,7737,160,4681,4680,2068684690.43686,276060.430857214,6958d394-62b5-4f73-a62a-0fa2389d4fb3,5,142,147,0.0340136054421769,43
