OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2399,72,212,370,320,333,333,299,209,158,93,0,0 to 118,41,1319,1067,13,2395,4,0,205,1065,2,1458,32,1424,969,1,5,2389,1220,200,2,2,747,664,9,1420,30,111,221,221,209,204,169,108,93,58,0,0 to 106,40,1102,84,54,180,120,1103,197,117,0,65,0,0,36,1424,666,749,1420,4,0,6268,0,7710,6268,1424,36,1379,1362,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,4,81,85,0.0470588235294118,40
2,2,54,107,PUTNAM,Putnam,FL,9923,324,954,1352,1330,1274,1352,1435,1039,598,256,9,0 to 118,42,5623,4262,38,9896,27,0,1705,3715,133,7007,90,5874,4006,0,43,9853,3514,2341,12,7,3181,2658,16,5855,143,518,880,810,807,794,823,620,338,139,2,0 to 100,42,3907,1314,469,165,775,4811,269,700,2,503,2,1,128,5874,2669,3189,5855,19,0,24915,0,30802,24915,5874,128,2929,2875,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,7,367,374,0.018716577540107,42
3,3,62,123,TAYLOR,Taylor,FL,4254,135,396,509,705,684,611,569,395,182,62,6,0 to 118,40,1904,2332,18,4243,11,0,137,1995,3,2767,47,2651,1593,0,10,4233,2391,254,6,0,1040,1600,5,2645,33,118,314,496,516,427,363,231,114,38,1,0 to 98,41,1604,797,119,125,148,2294,203,186,0,92,0,0,42,2651,1602,1044,2645,6,0,7821,0,10499,7821,2651,42,2539,2443,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,5,49,54,0.0925925925925926,41
4,4,46,091,OKALOOSA,Okaloosa,FL,31201,741,3536,4517,4767,4594,3881,4086,2533,1545,930,71,0 to 119,39,16989,13985,227,30880,320,1,1837,10860,137,14045,963,19125,11963,2,111,30770,17523,1402,183,17,10022,8759,144,18925,235,1215,2825,3463,3052,2589,2759,1626,877,452,32,0 to 103,40,11091,1486,2480,3868,1512,12967,4446,1013,15,670,17,4,328,19125,8866,10112,18924,200,1,62660,0,81864,62660,19125,328,27428,27015,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,43,608,651,0.0660522273425499,40
5,5,7,013,CALHOUN,Calhoun,FL,2764,81,352,375,319,374,354,345,288,181,93,2,0 to 99,41,1436,1308,20,2761,3,0,177,588,4,1334,46,1621,1137,0,6,2755,1402,216,3,0,788,824,6,1618,27,111,204,220,226,228,219,190,121,74,1,0 to 99,45,1095,182,209,132,39,1348,231,126,2,56,2,0,46,1621,826,789,1618,3,0,5898,0,7530,5898,1621,46,2229,2172,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,3,34,37,0.0810810810810811,45
6,6,50,099,PALM BEACH,Palm Beach,FL,200163,4437,12498,25711,30063,27552,29016,28447,20683,13170,6975,1611,0 to 119,44,106475,92819,869,197400,2761,2,28587,106528,465,92701,3208,122226,77147,134,656,196617,118731,1421,2053,21,62397,57173,582,120152,2189,7239,18907,21987,18741,18468,16118,9396,5611,3510,60,0 to 107,40,60184,17180,20675,22113,31782,60839,27531,8422,135,6069,92,45,2498,122226,58237,63359,120150,2074,2,641561,0,764560,641561,122226,2498,51489,51230,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,561,8742,9303,0.0603031280232183,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,37824,1084,2729,4868,5229,5139,5497,5429,4198,2451,1165,35,0 to 119,44,21068,16534,222,37543,281,0,4466,14554,188,20852,816,22445,14944,7,428,37110,22087,205,151,2,12195,10024,73,22292,408,1228,3046,3584,3416,3425,3175,2312,1262,585,4,0 to 104,43,11088,4543,2887,3774,5075,12537,4680,1972,22,1491,14,1,551,22445,10100,12272,22292,153,0,100174,0,122694,100174,22445,551,22762,22746,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,110,1236,1346,0.0817236255572065,43
8,8,51,101,PASCO,Pasco,FL,54316,1177,4488,7381,7025,7477,8156,7459,6033,3669,1418,33,0 to 119,44,29695,24442,179,53947,369,0,3451,26403,223,25971,1415,33780,20123,3,410,53534,32101,1376,296,5,17861,15504,112,33477,531,2040,4818,4902,4939,5259,4543,3609,2263,866,8,0 to 105,44,24252,1957,3869,3399,6501,22004,4972,3091,52,2217,39,6,664,33778,15626,18019,33477,301,0,174371,0,208253,174371,33778,664,25262,24724,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,137,1899,2036,0.0672888015717092,44
9,9,20,039,GADSDEN,Gadsden,FL,8719,294,767,1068,1274,1414,1386,1218,806,338,151,3,0 to 119,41,5025,3670,24,8689,29,1,1153,3738,46,4582,99,5472,3234,1,12,8677,5037,419,13,3,2870,2567,19,5456,149,452,742,805,927,916,768,428,206,78,1,0 to 99,41,1551,2699,918,288,886,4134,436,726,1,413,0,0,87,5472,2571,2882,5455,16,1,21442,0,26957,21442,5472,87,2908,2714,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,7,161,168,0.0416666666666667,41
10,10,37,073,LEON,Leon,FL,45333,1430,2610,13288,7199,5680,5129,4816,3163,1329,641,48,0 to 119,31,24712,20419,202,44278,1054,1,7118,21062,201,22210,809,29367,15913,7,46,44227,28234,281,836,16,15748,12640,127,28515,660,1596,10525,4879,3613,3024,2615,1428,676,341,10,0 to 106,28,13541,8874,3381,2719,2660,21487,4368,1416,47,605,36,30,287,29367,13005,16225,28514,852,1,144027,0,173570,144027,29367,287,12982,12581,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,48,1743,1791,0.0268006700167504,28
11,11,33,065,JEFFERSON,Jefferson,FL,2436,98,231,249,292,314,338,421,292,158,41,2,0 to 101,46,1194,1237,5,2412,24,0,91,1072,41,1633,42,1409,1022,2,3,2408,1211,176,18,4,620,764,3,1387,26,93,141,199,184,225,266,157,91,27,0,0 to 99,47,670,601,83,33,51,1255,81,118,3,68,0,0,24,1409,776,629,1387,22,0,5604,0,7032,5604,1409,24,1300,1263,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,2,30,32,0.0625,47
12,12,40,079,MADISON,Madison,FL,3795,196,538,531,451,461,507,444,373,199,86,9,0 to 101,38,2151,1630,14,3752,43,0,222,1282,53,2751,126,2008,1771,0,16,3736,1418,564,24,2,1125,852,5,1982,66,168,273,281,257,327,267,206,105,57,1,0 to 101,43,842,978,90,72,100,1695,187,271,3,88,2,2,43,2008,860,1139,1982,26,0,7178,0,9196,7178,2008,43,2975,2880,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,5,66,71,0.0704225352112676,43
13,13,39,077,LIBERTY,Liberty,FL,3348,72,235,389,775,682,526,406,166,71,17,9,0 to 105,37,831,2506,11,3347,1,0,104,1931,1,748,14,1045,2300,0,3,3344,882,162,1,0,410,626,8,1044,24,78,170,170,159,169,159,66,42,8,0,0 to 89,39,775,172,53,44,41,848,155,57,0,22,0,0,16,1045,626,411,1044,1,0,4031,0,5077,4031,1045,16,1368,1344,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,2,14,16,0.125,39
14,14,24,047,HAMILTON,Hamilton,FL,3518,111,265,376,710,611,529,414,296,137,63,6,0 to 118,39,1223,2272,23,3496,22,0,94,2026,9,1755,48,1571,1945,0,2,3495,1233,320,9,9,668,875,10,1553,58,139,203,258,236,238,210,136,68,23,2,0 to 93,41,761,643,93,56,160,1207,186,201,2,77,0,0,22,1571,884,677,1553,18,0,6282,0,7858,6282,1571,22,1092,1090,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,0,44,44,0,41
15,15,3,005,BAY,Bay,FL,23201,295,1284,3061,3622,3571,3675,3649,2331,1169,483,61,0 to 119,44,12191,10755,255,22457,744,0,2338,10657,28,14419,489,18888,4239,2,72,22387,17851,326,701,10,9503,8462,212,18177,185,902,2647,3143,3006,3001,2912,1837,914,336,5,0 to 101,43,11466,1672,1836,3203,1152,13304,3721,1355,51,773,26,17,348,18888,8837,9829,18177,711,0,64400,0,83359,64400,18888,348,4696,4688,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,73,594,667,0.109445277361319,43
16,16,12,023,COLUMBIA,Columbia,FL,11716,325,845,1470,1632,1733,1656,1772,1291,660,320,12,0 to 119,44,5706,5944,66,11666,50,0,1342,3642,63,7416,102,7706,3998,1,11,11654,7051,618,33,4,3413,4228,28,7669,137,397,998,1223,1241,1210,1131,786,417,162,4,0 to 102,43,4992,1904,336,437,425,6549,695,335,2,445,4,0,160,7706,4251,3427,7669,37,0,22960,0,30724,22960,7706,160,4656,4655,2068684690.43686,276060.430857214,6958d394-62b5-4f73-a62a-0fa2389d4fb3,12,191,203,0.0591133004926108,43
17,17,2,003,BAKER,Baker,FL,5242,143,412,785,870,847,798,671,427,208,79,2,0 to 103,39,2554,2669,19,5179,63,0,714,1721,16,2654,102,3312,1885,1,44,5134,2796,501,10,5,1455,1838,4,3297,30,126,427,613,622,548,462,297,134,53,0,0 to 103,42,2110,405,127,655,39,2260,998,301,1,173,0,1,56,3312,1845,1463,3297,15,0,11017,0,14359,11017,3312,56,4352,4351,1520245937.66486,183737.354704368,393e3bc9-079e-4ad6-9162-d77ee72feb59,1,153,154,0.00649350649350649,42
18,18,30,059,HOLMES,Holmes,FL,3504,63,332,489,475,459,555,470,379,198,84,0,0 to 119,43,1903,1578,23,3465,39,0,218,1178,5,1786,245,2193,1307,0,4,3461,1840,322,22,9,1144,1010,8,2162,22,138,301,346,308,366,299,228,125,60,0,0 to 101,44,1725,124,110,203,56,1755,351,126,0,81,0,0,44,2193,1021,1164,2162,31,0,6450,0,8655,6450,2193,44,2897,2891,1251550190.83949,175658.620344926,bd5e2bc2-c55e-45e6-8687-0c7528780cd1,3,49,52,0.0576923076923077,44
19,19,43,085,MARTIN,Martin,FL,19820,517,1464,2506,2237,2301,2646,3019,2562,1767,774,27,0 to 106,48,10264,9232,324,19547,273,0,2056,9299,82,8521,346,10718,8954,2,146,19402,10475,53,189,1,5391,5073,64,10528,171,570,1519,1541,1449,1582,1525,1126,807,426,2,0 to 106,45,5789,468,1546,2725,2328,5157,3043,1177,12,695,8,4,293,10718,5175,5479,10528,190,0,63083,0,73859,63083,10718,293,11129,11118,1686613017.08661,308980.48751506,14dc1d1d-ce53-4995-9cf2-039fe1559f59,46,667,713,0.0645161290322581,45
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,176629,4966,13968,28038,29462,25924,25454,22287,14646,7696,3608,580,0 to 119,39,95533,79232,1864,175315,1314,0,14620,117210,458,48830,1423,112672,62555,13,1389,173915,110386,1344,930,12,59291,51352,1087,111730,2437,6863,19548,21635,17802,16897,13221,7605,4131,2083,450,0 to 110,37,52075,13585,19556,26514,32188,47561,31981,5270,53,2822,29,20,1523,112672,51775,59776,111730,942,0,557023,0,670354,557023,112672,1523,58407,58062,2746844886.16013,358788.307034344,12be5e4e-9d96-4b8e-8617-77c84f3bc487,399,6025,6424,0.0621108343711083,37
21,21,41,081,MANATEE,Manatee,FL,48965,1127,3185,5810,6360,6287,6732,7386,6665,3822,1469,122,0 to 119,47,26531,21932,502,48041,924,0,8833,24753,177,23954,711,32309,16494,2,160,47880,31498,128,680,3,16665,14615,346,31626,728,2308,4657,4898,4631,4624,4387,3385,1867,808,16,0 to 103,42,19439,2642,5153,4392,7207,17179,7240,1358,38,1375,36,9,608,32309,14947,16992,31626,683,0,181847,0,214253,181847,32309,608,7354,7256,1945653927.12581,371198.171414394,0ad77407-ceaa-4c6b-9e84-485e7d0fa9cc,131,2281,2412,0.0543117744610282,42
22,22,10,019,CLAY,Clay,FL,27724,504,2110,4021,3498,4105,4413,4028,2840,1558,620,27,0 to 104,44,15038,12232,454,27664,60,0,3013,13289,130,7957,416,16805,10870,5,44,27615,16083,680,40,2,8944,7549,270,16763,201,939,2464,2386,2692,2837,2477,1561,871,376,1,0 to 104,43,10705,2107,1240,2711,1422,11081,4260,2205,11,856,8,3,315,16805,7573,8962,16763,42,0,79093,0,95968,79093,16805,315,12928,12895,1667659896.51059,183856.484298748,d8b9952e-371d-460f-96ae-4666bdb4ad84,29,798,827,0.0350665054413543,43
23,23,25,049,HARDEE,Hardee,FL,4699,222,708,822,699,609,586,470,333,196,54,0,0 to 97,33,2396,2271,32,4683,16,0,134,1031,2,3613,75,2809,1886,1,3,4679,1976,819,11,3,1389,1392,14,2795,79,254,513,459,425,394,308,213,135,29,0,0 to 97,37,1969,187,396,243,1441,1035,319,335,4,207,5,1,31,2809,1400,1395,2795,14,0,10240,0,13057,10240,2809,31,4131,4031,1653184151.65315,165534.73009074,30dcfc30-6a6d-4712-9819-f2940d3f56ed,2,110,112,0.0178571428571429,37
24,24,42,083,MARION,Marion,FL,49556,779,3914,5800,6388,6484,6709,7079,6494,4196,1694,19,0 to 168,47,28605,20782,169,49403,153,0,6497,18741,177,24532,431,27879,21545,1,131,49271,25825,1930,113,11,15751,11875,129,27755,390,1487,3439,4183,4173,4026,3962,3191,2080,943,5,0 to 106,45,19037,3846,1972,2900,4027,19799,3929,2696,18,1765,9,5,827,27879,11934,15814,27755,124,0,117041,0,145066,117041,27879,827,16919,16760,4305055841.62241,350920.190673371,76cc1b01-df08-469d-a322-71f8d05597d9,60,1320,1380,0.0434782608695652,45
25,25,64,127,VOLUSIA,Volusia,FL,58668,1053,3032,7116,7622,7236,8355,9835,8188,4272,1868,91,0 to 119,49,31867,26009,792,58012,656,0,4877,35300,230,19868,1015,34891,23568,0,209,57804,32952,1368,564,7,18087,15800,433,34320,540,1823,5342,5342,4594,5065,5237,3924,2085,925,14,0 to 105,44,20543,3579,5560,4638,4776,19414,10130,2913,62,1779,36,8,671,34891,16092,18355,34320,571,0,185291,0,220340,185291,34891,671,14899,14290,3125661534.15881,560414.73783925106,3b926974-437e-4986-9bff-d87d276166f4,102,2175,2277,0.0447957839262187,44
26,26,15,029,DIXIE,Dixie,FL,2549,68,216,319,305,432,327,356,297,163,64,2,0 to 118,43,1275,1267,7,2546,3,0,231,761,6,1754,42,1504,1043,0,2,2544,1261,240,1,2,684,813,4,1501,28,77,185,197,274,219,214,172,100,37,1,0 to 101,44,1148,250,42,61,68,1341,92,137,0,100,0,0,21,1504,814,686,1501,3,0,6041,0,7556,6041,1504,21,1587,1535,1823798262.39212,235232.973119088,2691daeb-cc0b-4abc-a209-fe46ce33086c,9,46,55,0.163636363636364,44
27,27,35,069,LAKE,Lake,FL,42585,867,2894,4813,5086,5219,5657,6067,5887,4082,1611,402,0 to 104,49,22797,18641,1147,42094,491,0,3820,27676,222,12951,477,24928,17530,1,126,41970,24221,333,371,3,13005,10975,574,24554,427,1376,3227,3589,3490,3597,3405,2895,2023,888,11,0 to 104,45,12824,2411,3901,5418,4279,14238,6037,2018,40,1275,27,11,574,24928,11139,13184,24554,374,0,142701,0,167758,142701,24928,574,12918,12632,2995995460.71371,331014.242454318,9712f6a1-e709-4877-97e2-3fe2eada2b79,85,1264,1349,0.0630096367679763,45
28,28,38,075,LEVY,Levy,FL,5477,164,583,807,680,621,697,821,601,373,126,4,0 to 118,42,3035,2414,28,5467,10,0,595,1895,16,3561,91,2905,2570,0,2,5465,2427,469,4,5,1576,1301,19,2896,55,234,435,413,361,421,442,312,180,51,1,0 to 99,43,1922,439,269,266,397,2176,323,233,0,183,0,0,39,2905,1307,1579,2896,9,0,13107,0,16025,13107,2905,39,3853,3804,2900663690.96646,339394.964008615,e8b9fc01-e14c-4049-babc-f4aa93256ea0,10,121,131,0.0763358778625954,43
29,29,60,119,SUMTER,Sumter,FL,12635,109,347,604,846,957,1072,1800,3942,2424,475,59,0 to 119,66,6295,6150,190,12474,161,0,1268,6332,164,5833,435,8125,4413,0,97,12377,7511,526,78,10,3847,4107,83,8037,42,180,447,619,727,769,1189,2359,1431,343,19,0 to 102,65,5001,664,361,2011,367,5183,2487,809,3,509,1,0,243,8125,4150,3890,8037,88,0,45888,0,54059,45888,8125,243,3275,3263,1502516062.89801,229328.389599522,a985ccbc-ba3e-4854-acdf-8e9cd885e5aa,30,330,360,0.0833333333333333,65
30,30,59,117,SEMINOLE,Seminole,FL,48342,1186,3829,7469,7300,6950,7091,6390,4408,2210,1292,217,0 to 119,41,26279,21526,537,48102,240,0,3344,29873,246,12926,440,27554,20437,1,350,47753,27089,257,207,1,14423,12561,362,27346,462,1537,5063,5018,4281,4149,3387,1890,1021,734,12,0 to 108,38,16829,2959,3886,3672,6744,16012,4590,1784,12,1138,6,3,437,27554,12650,14531,27346,208,0,148203,0,175842,148203,27554,437,20075,19836,893350621.597626,158549.770327082,5a9b725e-b5bc-4433-a9c5-f30390148c62,87,1573,1660,0.0524096385542169,38
31,31,48,095,ORANGE,Orange,FL,173154,3824,9151,25562,32382,29207,26876,22322,13733,6479,2694,924,0 to 120,40,91767,79424,1963,170724,2429,1,13151,116430,585,37145,1556,115475,57509,5,165,170556,113364,524,1581,6,58997,53230,1661,113888,2308,6984,20715,24056,20294,17275,12568,6617,3162,1440,56,0 to 110,36,49694,16347,26462,21385,40786,45893,27209,4224,60,2426,46,16,1116,115475,54029,59727,113887,1587,1,666699,0,782528,666699,115475,1116,17665,17438,2601855780.29929,275135.911496092,e33d02e5-646c-40c2-b9d7-442237fbb181,381,7637,8018,0.0475180843103018,36
32,32,9,017,CITRUS,Citrus,FL,16880,308,1017,1680,1779,1709,2017,2708,2814,1993,847,8,0 to 222,54,9500,7229,151,16791,89,0,1849,6575,119,10408,193,9836,6901,1,142,16650,7742,2015,51,28,5367,4326,64,9757,96,377,995,1083,1022,1233,1648,1643,1199,535,5,0 to 103,55,7652,385,585,1135,530,7666,1561,508,2,645,6,3,406,9836,4366,5404,9757,79,0,45212,0,55074,45212,9836,406,9821,9419,1565249379.23035,242867.273750112,3c97198a-a027-4923-a8f8-ce1fafd29127,19,465,484,0.0392561983471074,55
33,33,27,053,HERNANDO,Hernando,FL,18757,348,1466,2550,2195,2159,2503,2762,2312,1583,876,3,0 to 106,48,10454,8283,20,18655,102,0,1599,6253,66,12274,102,11464,7271,3,19,18633,9287,2089,72,16,6151,5218,7,11376,119,554,1435,1449,1396,1651,1752,1539,1042,527,0,0 to 104,49,9169,641,1415,151,2018,9052,306,1142,19,951,14,5,403,11464,5257,6199,11376,88,0,58040,0,69548,58040,11464,403,14500,14449,1259956856.20596,200494.167365377,6eb18eb2-9734-45d8-9ba1-42eee8f524af,44,482,526,0.0836501901140684,50
34,34,52,103,PINELLAS,Pinellas,FL,102914,1404,3938,11024,15819,13330,15154,17229,13187,7499,4253,77,0 to 120,49,56621,46192,101,101012,1902,0,14763,59063,411,59268,2128,67359,35187,2,366,100646,64430,1284,1619,26,35046,30621,47,65714,969,3278,8969,11937,9254,9951,10162,6695,3746,2394,4,0 to 105,43,45155,8604,5641,6314,7209,44952,13553,6326,79,4287,54,14,1465,67359,31319,35991,65714,1645,0,375938,0,443561,375938,67359,1465,5199,5109,758940582.72230506,356104.408630079,9a6ae3e8-4aea-4d85-a26a-0191e0a5371a,296,5802,6098,0.048540505083634,43
35,35,61,121,SUWANNEE,Suwannee,FL,7553,212,547,1064,958,1043,1048,1138,767,479,286,11,0 to 118,44,3793,3701,59,7526,27,0,272,1863,110,4850,114,5130,2415,0,8,7518,4698,405,18,9,2330,2753,20,5103,101,277,741,710,781,784,795,483,301,156,1,0 to 102,44,3451,797,619,236,738,3958,407,585,2,302,0,0,133,5130,2762,2348,5103,27,0,13602,0,18783,13602,5130,133,2983,2979,1792465815.52835,223150.095858967,50957d1d-0570-4e74-922c-4ab5f585c01c,5,213,218,0.0229357798165138,44
36,36,16,031,DUVAL,Duval,FL,140936,3286,9574,19891,25336,20802,20086,19694,12871,6262,2960,174,0 to 119,40,76259,63279,1398,138953,1983,0,9804,99966,454,32168,817,89337,51401,13,185,138755,83898,3976,1410,53,47198,39927,749,87874,1762,5635,14142,17944,13816,12838,11470,6876,3284,1529,41,0 to 106,38,37021,24861,10113,15879,6774,50434,30666,3391,50,1957,28,66,1188,89337,40665,47890,87874,1463,0,448404,0,538167,448404,89337,1188,28888,28779,2136692125.83844,339628.979868484,e178a8cf-16fc-449e-abf2-a69cfad303d5,160,4349,4509,0.03548458638279,38
