OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1065,28,33,129,138,138,149,159,119,98,74,0,0 to 118,49,612,446,7,1065,0,0,44,739,2,363,10,329,731,0,5,1060,301,28,0,0,173,156,0,329,9,12,51,46,36,41,47,21,29,37,0,0 to 106,47,258,19,24,28,47,234,48,22,0,19,0,0,3,329,156,173,329,0,0,3080,0,3415,3080,329,3,483,466,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4440,96,212,511,667,574,670,702,487,333,176,12,0 to 118,47,2659,1725,56,4432,8,0,284,3753,133,962,22,1317,3121,0,2,4430,784,533,0,0,677,618,22,1317,27,119,238,215,191,180,155,91,66,34,1,0 to 100,37,605,351,170,191,249,831,237,244,0,147,0,0,16,1317,618,677,1317,0,0,10367,8,11699,10375,1317,16,263,194,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1338,40,49,148,219,192,190,210,170,87,29,4,0 to 118,45,735,580,23,1329,9,0,54,871,3,586,29,360,975,0,3,1326,315,42,3,0,179,178,0,357,1,13,54,81,65,57,44,24,16,5,0,4 to 91,40,181,127,29,20,37,289,31,57,0,19,0,0,3,360,178,182,357,3,0,2623,6,2992,2629,360,3,695,595,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,9640,228,270,1057,1567,1421,1276,1338,1008,810,620,45,0 to 119,46,5631,3899,110,9480,159,1,445,7410,137,1308,120,2850,6746,0,44,9437,2678,144,23,5,1501,1274,47,2822,34,98,516,593,458,391,322,222,126,85,5,0 to 103,38,1381,253,430,758,387,1512,923,232,3,135,1,0,30,2850,1285,1518,2821,28,1,23310,132,26330,23442,2850,30,2525,2094,38,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,827,13,23,83,95,122,115,137,112,84,43,0,0 to 99,52,485,327,15,827,0,0,29,470,4,255,12,287,539,0,1,826,271,16,0,0,171,116,0,287,2,8,33,37,33,38,42,36,33,25,0,1 to 99,53,229,21,19,18,15,246,26,40,0,26,0,0,7,287,116,171,287,0,0,1921,0,2212,1921,287,7,467,405,54,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,95118,1541,2622,8964,13223,12509,13756,15157,12515,8519,4683,1629,0 to 119,50,51504,43260,354,94176,940,2,6751,76406,465,21841,602,33854,60856,168,240,93773,33267,284,297,6,17206,16218,127,33551,565,1248,4963,6424,5572,5208,4328,2512,1674,1328,32,0 to 106,41,12392,5242,5523,10394,9289,12494,11768,3539,42,2585,27,15,833,33854,16373,17350,33549,303,2,225706,651,260787,226357,33854,833,8949,8684,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,15275,275,438,1344,2051,2075,2377,2478,2085,1335,777,40,0 to 119,51,8811,6195,269,15124,151,0,1080,11424,188,3559,124,5106,9906,5,258,14861,4973,113,20,0,2755,2275,56,5086,98,214,690,872,831,817,672,452,264,190,6,0 to 104,43,1609,1043,668,1766,1009,1870,2207,441,2,321,2,1,125,5106,2285,2765,5086,20,0,34504,133,39795,34637,5106,125,3275,3260,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,19969,381,556,1986,2725,2849,3171,3243,2695,1616,712,35,0 to 119,49,11296,8595,78,19872,97,0,1271,15241,223,4855,221,6394,13499,2,74,19796,6231,131,31,1,3296,3039,27,6362,102,198,977,1144,1027,1011,828,585,332,182,8,0 to 105,42,3876,428,866,1192,1219,3462,1681,740,9,474,4,1,96,6394,3056,3311,6362,32,0,56039,68,62546,56107,6394,96,4057,3506,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4071,93,198,406,676,693,683,596,451,179,93,3,0 to 119,44,2627,1425,19,4050,20,1,178,3224,46,867,26,1437,2628,1,5,4045,1377,53,7,0,811,609,10,1430,39,99,205,251,266,237,170,96,51,22,1,0 to 98,39,344,494,174,418,246,638,546,214,0,111,0,0,19,1437,609,818,1429,7,1,9899,16,11384,9915,1437,19,796,601,39,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,16857,263,499,2885,2878,2403,2403,2502,1882,731,367,44,0 to 119,42,8778,7938,141,16575,281,1,849,14016,201,2726,150,4294,12522,1,40,16535,4165,49,76,4,2215,1973,26,4214,53,178,1491,852,546,466,420,184,63,29,12,0 to 105,28,1227,1291,365,1331,301,2014,1899,293,14,115,11,7,14,4294,2017,2251,4213,80,1,49833,214,54450,50047,4294,14,1922,1506,28,2.4286163266357628,0.1707040441862682
