OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
48,48,13,025,DADE,Dade,FL,338280,5359,11788,38610,58054,54545,59897,51182,31423,17364,9234,824,0 to 225,45,175393,160962,1925,335643,2636,1,20645,255978,2785,55731,1756,197197,140458,85,540,335019,193535,1978,1662,21,99599,94956,958,195513,3281,8232,27422,36496,32489,34568,26863,14898,8269,4382,296,0 to 108,42,86730,16722,27501,64560,100583,29812,65118,16370,114,8319,50,22,3701,197196,95846,100321,195512,1683,1,937771,974,1137907,938745,197196,3701,40459,39727,{AEA3AE00-E34E-48C0-8B01-466A26B4B1E0},1199,11770,12969,0.09245122985581,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,7601,188,298,744,1193,1145,1280,1312,905,400,134,2,0 to 101,47,3877,3689,35,7466,135,0,1762,2893,83,3116,245,2701,4835,0,65,7404,2592,44,60,5,1280,1352,4,2636,60,99,331,550,479,474,339,233,101,35,0,0 to 100,41,1970,187,100,379,909,1293,434,361,7,155,4,0,25,2701,1391,1306,2636,65,0,20543,66,23320,20609,2701,25,4266,3992,{629DEEAE-BCFA-4AD2-8DE1-1D764EDD7AC6},50,368,418,0.119617224880383,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,14223,396,825,1783,2018,2129,2234,2142,1567,788,328,13,0 to 119,44,7287,6899,37,14088,135,0,1002,7500,99,5373,371,6423,7740,0,60,14029,6242,103,78,0,2915,3423,7,6345,99,312,1086,1045,1034,1070,895,502,261,117,2,0 to 105,41,4443,622,393,887,280,5054,1011,350,1,394,3,2,90,6423,3450,2966,6345,78,0,37046,58,43566,37104,6423,90,5728,5187,{EDF59BBC-47AF-4B2F-BD97-6DAB59DD7B4C},51,341,392,0.130102040816327,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,5158,100,216,708,747,815,807,820,521,266,153,5,0 to 101,44,2556,2552,50,4763,395,0,402,3498,15,3132,418,3143,2012,0,3,4760,2745,96,297,5,1275,1551,15,2841,35,119,541,521,557,510,464,250,120,25,1,0 to 101,41,1875,252,120,594,365,1887,589,395,31,133,6,4,33,3143,1687,1439,2841,302,0,15080,96,18357,15176,3143,33,1471,1416,{31CA379B-FB64-4C77-9456-056BCF505A65},34,191,225,0.151111111111111,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,6400,109,240,695,1105,1092,1065,919,578,374,221,2,0 to 105,44,2714,3617,69,6337,63,0,142,3506,19,3196,51,3469,2894,0,37,6300,3247,172,46,4,1302,2109,8,3419,37,122,408,634,627,576,468,289,192,116,0,0 to 100,43,1648,665,169,937,118,1888,1413,250,5,196,3,0,85,3469,2130,1330,3419,50,0,15771,13,19265,15784,3469,85,2387,2196,{BAF89079-8026-4E6B-B424-2DD9BC8AF99D},40,279,319,0.125391849529781,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,2358,51,115,233,360,356,392,389,228,166,68,0,0 to 119,46,1152,1187,19,2344,14,0,81,1183,9,1482,20,1320,1022,0,16,2328,1193,116,9,2,521,786,2,1309,16,56,143,254,226,226,187,106,84,22,0,0 to 99,43,815,283,55,156,40,875,394,86,3,83,2,0,24,1320,790,528,1309,11,0,6296,4,7643,6300,1320,24,1298,1241,{ED919630-6DB9-4E1B-B6B4-EAFA4D161468},2,30,32,0.0625,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,6518,121,301,799,792,819,980,1063,896,519,225,3,0 to 103,49,3561,2887,70,6209,309,0,499,3480,28,1940,345,2678,3786,0,54,6156,2366,103,206,3,1275,1193,1,2469,34,111,431,382,376,458,382,267,155,82,0,0 to 103,45,1991,233,112,133,106,2196,167,309,12,168,3,1,52,2678,1274,1403,2469,209,0,22941,100,25736,23041,2678,52,3217,3212,{4D22D524-13F7-4497-919B-BC6894006209},9,180,189,0.0476190476190476,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,875,15,63,104,181,185,124,90,57,48,7,1,0 to 90,38,338,536,1,875,0,0,86,404,3,596,9,630,244,0,1,874,623,7,0,0,197,433,0,630,9,27,70,154,150,95,69,28,24,4,0,0 to 89,38,452,116,34,28,240,358,32,71,0,52,0,0,7,630,433,197,630,0,0,1128,0,1759,1128,630,7,626,566,{DB14356A-7E77-445A-A524-193DAC2519E8},0,8,8,0,2.276843366242558,0.23195700955234813
56,56,8,015,CHARLOTTE,Charlotte,FL,9201,94,180,661,842,921,1280,1747,1673,1102,695,6,0 to 119,58,5236,3917,48,9159,42,0,1538,5444,62,3805,113,4152,5033,1,15,9143,3765,361,25,1,2227,1890,9,4126,31,112,425,428,421,567,764,676,442,286,0,0 to 101,56,3123,254,349,400,312,3233,581,515,3,470,2,0,172,4152,1900,2243,4126,26,0,40303,17,44513,40320,4152,172,682,663,{2C59A1CC-D054-4DF6-BEF0-43EEC4A23784},44,601,645,0.0682170542635659,3.8321805931522803,0.16585624394389412
57,57,58,115,SARASOTA,Sarasota,FL,24828,288,839,2646,2791,2695,3315,4058,4046,2721,1391,38,0 to 119,54,13707,10950,171,24472,356,0,2264,17137,190,8201,255,10857,13940,0,31,24442,10585,132,133,7,5688,4957,72,10717,106,425,1622,1598,1437,1593,1515,1216,809,531,5,0 to 104,46,6277,749,1136,2555,1479,6186,3052,858,27,835,24,3,356,10857,5030,5755,10717,140,0,106902,217,118048,107119,10857,356,5784,5679,{63CF7F11-0E2E-4C45-8079-812F07405F88},49,1411,1460,0.0335616438356164,2.5144239533088304,0.13745510082611065
