OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1471,38,84,195,214,192,207,202,145,113,81,0,0 to 118,45,784,682,5,1471,0,0,93,794,2,721,18,649,819,1,2,1468,587,62,0,0,299,349,1,649,11,34,98,120,86,92,83,39,42,44,0,0 to 106,41,492,44,32,81,84,477,88,82,0,43,0,0,19,649,349,299,649,0,0,4714,0,5374,4714,649,19,736,719,{CB6285A2-DA2E-4583-AAD5-1221776836AE},4,32,36,0.111111111111111,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,6263,174,558,815,853,801,877,941,653,384,199,8,0 to 118,44,3631,2588,44,6250,13,0,943,3123,133,2962,54,2520,3718,0,25,6225,1448,1067,3,2,1334,1173,8,2515,58,255,404,351,366,345,332,239,113,56,1,0 to 100,40,1546,670,242,57,477,1949,89,416,2,268,2,0,54,2520,1177,1335,2515,5,0,18114,8,20654,18122,2520,54,1646,1583,{CE511C5D-2638-44A3-B2F8-B13847543637},11,256,267,0.0411985018726592,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2802,65,163,298,527,512,419,384,264,123,43,4,0 to 118,41,1147,1635,20,2792,10,0,82,1611,3,1479,30,1552,1243,0,7,2785,1470,78,4,0,447,1101,0,1548,8,40,157,350,356,268,194,110,50,19,0,1 to 95,40,839,574,80,55,131,1325,92,132,0,62,0,0,20,1552,1102,450,1548,4,0,5980,6,7563,5986,1552,20,1641,1542,{541BD5A3-4453-499A-9896-F0EDC5353D0B},5,43,48,0.104166666666667,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,15737,324,1112,2145,2439,2237,2001,2202,1463,1025,737,52,0 to 119,42,8938,6695,104,15529,207,1,807,8028,137,4668,342,7353,8293,1,90,15439,7012,263,72,6,3892,3331,52,7275,81,329,1189,1369,1122,987,1060,630,352,224,10,0 to 103,40,3684,589,1438,1564,727,4979,1569,573,5,369,6,1,139,7353,3369,3932,7274,78,1,41835,129,49382,41964,7353,139,10676,10251,{EB5D2450-A892-40FD-9BA4-9821A7438525},74,617,691,0.107091172214182,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1544,33,119,187,218,230,214,205,173,112,53,0,0 to 99,44,771,759,14,1542,2,0,65,557,4,660,19,781,759,0,4,1538,704,75,2,0,333,445,1,779,9,35,90,137,120,119,103,83,54,31,0,0 to 99,44,528,109,57,85,30,638,111,75,1,39,1,0,19,781,446,334,779,2,0,4735,0,5526,4735,781,19,1167,1106,{3B55AA95-5170-4CAF-82A3-E99AD7459349},5,73,78,0.0641025641025641,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,123223,2143,4382,14345,17681,16514,17876,18698,14713,9825,5443,1603,0 to 119,48,66332,56512,379,122031,1190,2,12987,85044,465,43393,1447,56907,65843,151,322,121564,55499,859,539,10,29089,27091,178,56358,879,2313,9607,10448,8924,8618,7225,4093,2704,2045,51,0 to 106,40,24246,8529,9891,13692,15248,26077,15033,5947,73,4255,52,24,1619,56907,27385,29331,56356,549,2,400248,642,458414,400890,56907,1619,20192,19928,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},388,4969,5357,0.0724285980959492,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,21777,510,1002,2400,2968,2980,3314,3332,2681,1634,930,26,0 to 119,48,12389,9221,167,21625,152,0,2238,11635,188,8653,363,9690,11785,4,298,21323,9505,162,22,1,5289,4374,4,9667,173,424,1326,1585,1527,1508,1334,949,529,334,1,0 to 104,43,4262,2175,1309,1921,2186,5123,2358,1034,4,825,4,1,345,9690,4385,5301,9667,23,0,66571,128,76446,66699,9690,345,10025,10010,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},63,815,878,0.071753986332574,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,28452,585,1774,3603,3754,3951,4368,4192,3356,1997,858,14,0 to 119,46,15807,12563,82,28284,168,0,2348,16179,223,11959,622,12199,16051,4,198,28082,11756,339,102,2,6329,5759,7,12095,192,567,1943,1967,1884,1920,1579,1144,686,315,2,0 to 105,42,8766,829,1744,756,2800,8307,988,1456,12,1105,7,1,251,12199,5806,6386,12095,104,0,104725,69,117060,104794,12199,251,15336,14787,{83116673-3FAD-423E-B67E-DFE7515F5E81},112,1225,1337,0.0837696335078534,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5986,159,379,688,947,1036,998,851,586,232,107,3,0 to 119,42,3466,2510,10,5962,23,1,678,3194,46,2374,50,3113,2865,2,6,5955,3018,85,10,0,1520,1579,4,3103,79,202,424,506,582,546,413,222,103,35,1,0 to 98,40,942,1309,588,264,589,2118,396,453,1,246,0,0,56,3113,1581,1528,3102,10,1,15899,16,19075,15915,3113,56,1648,1453,{77657EA6-12D6-4645-9915-E7357C9F40D6},7,113,120,0.0583333333333333,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,27071,581,910,8107,4083,3352,3180,3165,2242,909,495,47,0 to 119,34,14578,12370,123,26473,597,1,2937,17218,201,8932,318,13326,13710,4,31,26440,12833,97,390,6,7105,5790,35,12930,220,451,6072,1969,1430,1169,1027,536,259,182,11,0 to 106,24,5292,3308,1719,2611,1147,7525,4258,754,28,312,15,12,120,13326,5954,7332,12929,396,1,96386,211,110065,96597,13326,120,6419,6008,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},98,1899,1997,0.0490736104156234,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1411,32,72,129,176,188,217,261,200,99,36,1,0 to 101,50,657,752,2,1395,16,0,50,859,41,707,29,715,693,1,2,1393,599,103,13,0,257,445,0,702,8,30,67,115,97,130,132,77,36,23,0,0 to 99,48,292,351,43,16,33,621,48,67,2,40,0,0,11,715,452,263,702,13,0,3839,1,4568,3840,715,11,552,514,{862C7BAB-C64B-458C-A6FA-56543968D206},0,56,56,0,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,2393,121,229,278,299,311,346,310,270,146,75,8,0 to 101,43,1388,1001,4,2358,35,0,133,1135,53,1418,77,1158,1233,1,1,2356,779,362,15,2,637,504,0,1141,43,87,137,158,169,197,155,114,54,44,0,0 to 101,44,380,670,57,34,55,991,95,182,1,58,2,2,25,1158,508,650,1141,17,0,5551,18,6738,5569,1158,25,1455,1358,{89851E42-542B-499A-AC7E-D8F5369F3D0B},16,37,53,0.30188679245283,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2604,23,66,257,705,604,446,320,118,46,10,9,0 to 105,38,418,2182,4,2603,1,0,31,1927,1,351,12,552,2049,0,3,2600,508,43,1,0,157,394,0,551,6,18,95,102,97,102,84,27,18,3,0,0 to 88,40,370,126,29,26,30,402,119,40,0,15,0,0,12,552,394,158,551,1,0,3379,0,3931,3379,552,12,631,607,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},1,17,18,0.0555555555555556,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2652,52,88,246,629,515,419,325,229,92,54,3,0 to 118,41,750,1887,15,2640,12,0,79,1919,9,965,16,934,1717,0,1,2640,772,154,4,4,327,599,0,926,29,57,112,184,160,150,129,74,26,13,0,0 to 91,41,417,434,63,12,119,674,133,109,1,38,0,0,11,934,603,331,926,8,0,5028,3,5967,5031,934,11,265,263,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},0,28,28,0,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,10900,138,326,1393,1730,1666,1854,1740,1138,589,274,52,0 to 119,46,5694,5141,65,10637,263,0,1448,4852,28,6991,324,7389,3481,1,29,10609,6973,175,238,3,3614,3503,31,7148,76,205,1108,1332,1203,1252,1079,683,337,113,1,0 to 99,42,4301,696,913,1238,558,4969,1621,815,25,397,13,6,145,7389,3628,3730,7148,241,0,37790,30,45280,37820,7389,145,1945,1938,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},36,551,587,0.0613287904599659,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,7659,168,357,771,1115,1163,1142,1265,934,475,260,9,0 to 119,47,3472,4136,51,7630,29,0,1040,3058,63,4533,56,4452,3200,0,7,7623,4005,431,13,3,1625,2810,1,4436,72,179,523,762,786,733,653,436,220,87,1,0 to 102,43,2743,1281,195,217,267,3886,283,148,1,268,3,0,83,4452,2820,1631,4436,16,0,16055,13,20578,16068,4452,83,1331,1330,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},32,203,235,0.136170212765957,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,3129,71,151,421,561,547,508,426,256,138,48,2,0 to 103,41,1411,1703,15,3065,64,0,356,1632,16,1336,28,1880,1215,0,34,3031,1520,352,4,4,670,1202,0,1872,11,56,232,380,385,322,257,146,71,20,0,0 to 103,41,1019,250,63,540,21,1173,678,151,0,97,0,0,28,1880,1206,674,1872,8,0,7714,53,9674,7767,1880,28,2185,2184,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},8,74,82,0.0975609756097561,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1994,34,126,226,277,276,329,293,256,121,55,1,0 to 119,47,1044,937,13,1966,28,0,88,924,5,819,135,1011,978,0,5,1961,856,136,16,3,478,514,0,992,15,54,129,173,157,167,139,101,48,28,0,0 to 101,43,769,88,56,79,35,829,128,59,0,39,0,0,13,1011,519,492,992,19,0,5042,9,6072,5051,1011,13,1334,1328,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},9,125,134,0.0671641791044776,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,12726,270,615,1503,1454,1529,1699,1995,1774,1288,580,19,0 to 101,51,6511,5883,332,12598,128,0,1105,7786,82,4574,155,5653,7017,2,54,12543,5577,27,49,0,2796,2786,22,5604,121,311,940,884,831,842,686,436,372,228,2,0 to 101,41,2705,287,1207,1405,1920,2457,1227,740,5,432,3,1,170,5653,2810,2821,5604,49,0,39734,77,45511,39811,5653,170,5305,5294,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},23,370,393,0.0585241730279898,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,105982,2532,5214,15264,17824,15583,15800,14740,10289,5525,2666,545,0 to 119,42,58167,46893,922,105327,655,0,7977,78473,458,24667,904,52015,53143,19,805,104503,50777,919,312,6,27272,24023,401,51696,1031,2466,9811,10379,8059,7715,5869,3303,1891,1057,433,0 to 110,37,20339,6624,7445,17288,13446,19042,19208,4006,33,2146,21,5,855,52014,24161,27444,51696,318,0,340251,344,393172,340595,52014,855,24240,23895,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},374,4704,5078,0.0736510437179992,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,29254,586,1324,3159,3761,3662,4010,4661,4358,2616,1001,116,0 to 119,50,16082,12831,341,28849,405,0,4667,18973,177,11194,295,14480,14738,3,33,28813,14228,90,162,0,7517,6646,155,14318,307,920,2311,2471,2216,2115,1854,1207,721,346,12,0 to 101,40,7910,1348,2313,2747,4008,7236,3074,899,13,920,11,2,340,14480,6727,7595,14318,162,0,114365,273,129207,114638,14480,340,2284,2184,{0AD77407-CEAA-4C6B-9E84-485E7D0FA9CC},73,1379,1452,0.0502754820936639,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,15988,257,821,2015,1986,2420,2622,2456,1881,1074,430,26,0 to 102,46,8680,7022,286,15954,34,0,1852,8867,130,4681,255,6738,9215,1,34,15919,6442,278,17,0,3473,3167,80,6720,71,276,1040,972,1146,1159,948,598,360,166,1,0 to 102,43,4059,944,535,1182,610,4807,1303,1052,2,438,4,0,136,6737,3177,3480,6720,17,0,53222,17,60008,53239,6737,136,6093,6058,{D8B9952E-371D-460F-96AE-4666BDB4AD84},55,394,449,0.122494432071269,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,3105,124,395,552,523,406,436,320,211,101,37,0,0 to 95,34,1588,1494,23,3096,9,0,108,897,2,2247,36,1678,1422,1,4,3091,1154,517,6,1,814,852,5,1671,44,147,334,308,256,270,170,93,45,11,0,0 to 93,35,1197,132,234,108,981,566,124,209,3,143,4,1,17,1678,857,816,1671,7,0,7460,2,9149,7462,1678,17,2800,2699,{30DCFC30-6A6D-4712-9819-F2940D3F56ED},9,126,135,0.0666666666666667,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,30711,438,1283,3052,4134,4127,4427,4709,4492,2868,1164,17,0 to 168,50,18376,12294,41,30660,51,0,5862,12527,177,14436,366,11508,19162,1,40,30620,11066,413,28,1,6747,4726,6,11479,142,451,1427,1998,1956,1801,1559,1134,684,353,3,0 to 106,43,7638,2077,999,765,1553,8767,1159,1708,8,1104,2,0,362,11508,4737,6764,11479,29,0,77217,21,88859,77238,11508,362,6260,6098,{76CC1B01-DF08-469D-A322-71F8D05597D9},52,911,963,0.0539979231568017,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,34902,430,1078,3568,4313,4152,5060,6367,5474,2956,1418,86,0 to 119,52,19205,15161,536,34710,192,0,2691,24232,230,10774,546,13986,20823,0,93,34617,12846,1032,101,7,7231,6519,128,13878,172,553,2292,2260,1878,2036,2028,1475,823,463,6,0 to 103,44,6996,1707,2690,2485,2242,8486,3150,1745,24,1014,11,1,333,13986,6572,7285,13878,108,0,100999,86,115201,101085,13986,333,7817,7198,{3B926974-437E-4986-9BFF-D87D276166F4},51,1055,1106,0.0461121157323689,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,1830,37,109,184,236,348,245,271,230,119,50,1,0 to 118,45,881,945,4,1827,3,0,112,715,6,1071,15,929,901,0,0,1827,825,101,1,2,356,570,0,926,7,42,96,141,191,140,136,111,51,14,0,0 to 91,44,684,188,31,23,55,833,38,96,0,62,0,0,11,929,571,358,926,3,0,4980,0,5921,4980,929,11,961,906,{2691DAEB-CC0B-4ABC-A209-FE46CE33086C},3,87,90,0.0333333333333333,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,25021,478,964,2362,2935,2969,3405,3878,3967,2671,978,414,0 to 103,52,13343,10901,777,24833,188,0,2034,18345,222,6114,228,9424,15404,3,190,24642,9216,140,67,1,4897,4336,123,9356,168,427,1362,1475,1364,1404,1270,1022,629,296,7,0 to 103,44,4084,1097,1777,2398,1556,5104,2696,1194,18,765,13,2,241,9424,4372,4926,9356,68,0,91146,122,100795,91268,9424,241,5334,5045,{9712F6A1-E709-4877-97E2-3FE2EADA2B79},62,755,817,0.0758873929008568,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,3287,93,248,447,407,359,448,531,399,258,93,4,0 to 118,47,1845,1432,10,3279,8,0,297,1576,16,1690,46,1229,2058,0,0,3279,1085,137,4,3,636,585,1,1222,27,86,221,176,152,194,167,123,66,15,2,0 to 99,41,752,189,188,93,233,869,120,129,0,92,0,0,12,1229,590,638,1222,7,0,9083,1,10321,9084,1229,12,2164,2114,{E8B9FC01-E14C-4049-BABC-F4AA93256EA0},2,110,112,0.0178571428571429,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,7047,52,158,327,538,625,682,943,2091,1344,219,68,0 to 119,66,3398,3520,129,6963,84,0,488,4301,164,2740,231,3114,3904,0,29,6934,2835,265,11,3,1317,1766,17,3100,12,86,214,350,434,409,426,647,410,97,29,0 to 99,55,1630,509,159,802,151,1853,1096,459,2,301,0,0,89,3114,1771,1326,3100,14,0,26483,69,29696,26552,3114,89,1520,1508,{A985CCBC-BA3E-4854-ACDF-8E9CD885E5AA},6,226,232,0.0258620689655172,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,28391,521,1240,3840,4225,4011,4334,4179,3253,1621,959,208,0 to 119,45,15781,12383,227,28304,87,0,2339,19878,246,6987,281,11234,16921,1,235,28071,11080,99,54,1,5912,5196,71,11179,179,467,2286,2123,1636,1620,1267,780,442,431,3,0 to 108,38,7335,1374,1553,917,2905,7346,928,1244,9,776,4,1,255,11234,5220,5940,11179,55,0,89615,33,100953,89648,11234,255,8418,8178,{5A9B725E-B5BC-4433-A9C5-F30390148C62},86,1232,1318,0.0652503793626707,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,107941,2116,3589,14925,19618,17647,16969,15302,9993,4834,2006,942,0 to 120,42,57661,49347,933,106698,1242,1,7764,78183,585,21342,993,50135,57462,4,340,106356,49516,224,389,6,25374,23832,534,49740,824,1944,10176,11168,8591,7171,5323,2720,1445,725,48,0 to 110,35,18307,7814,10555,13064,14339,17540,17861,3054,60,1657,46,6,600,50135,24031,25561,49739,395,1,379249,847,430567,380096,50135,600,9180,8950,{E33D02E5-646C-40C2-B9D7-442237FBB181},375,4616,4991,0.0751352434381887,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,9248,137,398,865,987,909,1175,1558,1605,1147,463,4,0 to 222,56,5295,3844,109,9221,27,0,681,4329,119,4537,99,3741,5459,1,47,9175,2515,1208,7,11,2038,1680,5,3723,38,121,438,429,396,527,625,550,420,196,1,0 to 100,53,3017,209,261,236,199,3168,356,319,1,359,2,1,143,3741,1693,2043,3723,18,0,28787,7,32545,28794,3741,143,5562,5124,{3C97198A-A027-4923-A8F8-CE1FAFD29127},46,300,346,0.132947976878613,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,9147,153,430,1031,1153,1086,1285,1465,1143,833,567,1,0 to 106,50,5306,3829,12,9106,41,0,753,4629,66,4818,72,4167,4976,0,4,9102,3382,758,24,3,2272,1865,3,4140,41,160,521,566,523,624,632,502,363,235,0,0 to 101,49,3202,337,554,47,729,3319,92,629,4,493,3,1,181,4167,1872,2291,4140,27,0,33877,14,38083,33891,4167,181,5666,5615,{6EB18EB2-9734-45D8-9BA1-42EEE8F524AF},40,459,499,0.0801603206412826,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,63832,720,1529,6001,9299,7959,9357,11267,9192,5381,3052,75,0 to 120,52,35913,27831,88,63336,496,0,7347,43257,411,26427,906,28486,35293,1,52,63284,27540,709,226,11,15177,13044,28,28249,383,1082,4017,5374,3898,4162,4202,2692,1565,1107,4,0 to 105,43,18263,4554,2648,2784,3288,19729,5232,3702,42,2643,28,4,849,28486,13164,15292,28249,237,0,243309,274,272249,243583,28486,849,1974,1884,{9A6AE3E8-4AEA-4D85-A26A-0191E0A5371A},246,3091,3337,0.0737189091998801,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,5161,130,295,646,715,759,732,759,545,337,232,11,0 to 118,45,2548,2564,49,5143,18,0,155,1815,110,2935,58,3093,2064,0,4,5139,2841,234,15,3,1240,1827,8,3075,60,164,430,477,527,482,432,267,159,94,1,0 to 102,42,1897,608,435,135,537,2329,209,356,2,166,0,0,82,3093,1833,1252,3075,18,0,9960,0,13101,9960,3093,82,1534,1530,{50957D1D-0570-4E74-922C-4AB5F585C01C},9,246,255,0.0352941176470588,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,86377,1661,3576,10872,15484,12776,12888,13141,9031,4523,2261,164,0 to 119,43,46789,38291,1297,85353,1024,0,5623,65729,454,15182,466,37657,48412,13,295,85049,34734,2428,467,28,19691,17053,418,37162,618,1752,6173,8038,5868,5520,4672,2830,1412,749,25,0 to 103,38,11843,11427,4300,9592,3208,22581,11373,2424,44,1312,25,25,547,37657,17302,19917,37162,495,0,296760,545,335228,297305,37657,547,12814,12702,{E178A8CF-16FC-449E-ABF2-A69CFAD303D5},162,2919,3081,0.0525803310613437,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,1622,13,25,165,429,377,211,164,113,71,53,1,0 to 119,39,422,1195,5,1622,0,0,19,913,0,1266,5,1287,332,0,3,1619,1237,50,0,0,209,1078,0,1287,7,16,111,394,333,178,124,74,30,20,0,1 to 98,37,880,347,40,20,156,1048,83,53,0,29,0,0,19,1287,1078,209,1287,0,0,1602,0,2902,1602,1287,19,421,421,{FFDA6C44-8232-4BA9-A8D7-1995D8FD20D3},0,9,9,0,1.8705463026895663,0.13254267235577655
