OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1190,31,52,145,160,153,167,167,130,106,79,0,0 to 118,48,682,502,6,1190,0,0,65,767,2,479,14,420,767,0,3,1187,386,34,0,0,223,197,0,420,10,20,61,68,47,54,54,29,35,42,0,0 to 106,45,343,27,20,30,61,324,35,48,0,27,0,0,9,420,197,223,420,0,0,3491,0,3919,3491,420,9,567,550,{CB6285A2-DA2E-4583-AAD5-1221776836AE},8,31,39,0.205128205128205,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4771,113,253,563,699,638,701,745,514,342,181,22,0 to 118,46,2833,1890,48,4761,10,0,641,3466,133,1458,27,1640,3129,0,2,4759,1013,625,1,1,847,774,17,1638,42,155,285,247,255,215,194,119,77,40,11,0 to 100,38,848,471,199,120,349,1123,166,318,1,186,0,0,33,1640,775,848,1638,2,0,12089,8,13749,12097,1640,33,326,258,{CE511C5D-2638-44A3-B2F8-B13847543637},12,336,348,0.0344827586206897,38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2160,46,64,222,438,412,340,295,207,96,36,4,0 to 118,42,844,1294,22,2151,9,0,62,1494,3,831,29,1114,1041,0,5,2146,1060,51,3,0,257,854,0,1111,3,17,113,291,271,200,120,63,25,11,0,4 to 92,39,540,491,63,17,121,933,57,81,0,29,0,0,5,1114,854,260,1111,3,0,4396,6,5546,4402,1114,5,881,781,{541BD5A3-4453-499A-9896-F0EDC5353D0B},4,26,30,0.133333333333333,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,10769,241,337,1213,1760,1589,1450,1494,1114,859,664,48,0 to 119,46,6275,4388,106,10608,160,1,584,7326,137,1743,138,3803,6921,1,44,10564,3581,194,23,5,2036,1692,47,3775,41,134,643,771,606,521,459,309,178,134,7,0 to 103,39,2052,356,664,703,508,2422,845,356,4,205,2,0,64,3803,1703,2053,3774,28,1,27037,132,31018,27169,3803,64,3337,2911,{EB5D2450-A892-40FD-9BA4-9821A7438525},32,341,373,0.0857908847184987,39,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1073,16,34,104,162,187,150,164,122,89,45,0,0 to 99,47,536,521,16,1073,0,0,35,544,4,452,12,511,561,0,1,1072,495,16,0,0,210,299,2,511,4,14,53,98,95,71,67,46,37,26,0,1 to 99,44,319,83,35,74,22,403,86,54,0,31,0,0,8,511,299,210,511,0,0,3709,0,4235,3709,511,8,559,498,{3B55AA95-5170-4CAF-82A3-E99AD7459349},6,99,105,0.0571428571428571,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,101573,1669,2952,9876,14284,13515,14790,16064,13026,8829,4901,1667,0 to 119,50,54911,46263,399,100583,988,2,8287,78847,465,26623,734,39662,61474,163,274,100151,38711,600,344,7,20241,18892,178,39311,650,1521,5807,7428,6485,6144,5136,2934,1940,1546,71,0 to 106,41,14598,6308,6945,11460,10784,15434,13093,4253,46,3052,31,16,1022,39662,19079,20397,39309,351,2,259285,644,300192,259929,39662,1022,10222,9958,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},206,3334,3540,0.0581920903954802,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,16707,314,507,1546,2281,2299,2576,2679,2203,1402,827,73,0 to 119,50,9612,6819,276,16555,152,0,1357,11808,188,4421,166,6380,10039,5,283,16267,6235,123,22,0,3467,2806,85,6358,120,262,849,1075,1039,993,851,560,343,250,38,0 to 104,43,2158,1427,959,1814,1358,2652,2348,561,2,402,2,1,208,6380,2817,3478,6358,22,0,39879,131,46440,40010,6380,208,4137,4122,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},60,814,874,0.068649885583524,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,21394,421,644,2179,2924,3063,3409,3436,2823,1687,755,53,0 to 119,49,12055,9232,107,21283,111,0,1710,14959,223,6757,289,7560,13700,2,132,21149,7367,147,45,1,3902,3575,37,7514,118,254,1137,1308,1201,1204,993,691,403,224,27,0 to 105,42,5206,556,1193,559,1803,4961,750,992,10,682,4,1,155,7560,3598,3925,7514,46,0,64901,70,72582,64971,7560,155,4863,4312,{83116673-3FAD-423E-B67E-DFE7515F5E81},39,814,853,0.0457209847596717,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4704,107,226,475,784,825,804,680,488,192,101,22,0 to 119,44,2839,1824,41,4682,21,1,354,3279,46,1326,29,2068,2627,1,8,4674,2009,51,8,0,1024,1004,32,2060,51,123,272,358,401,362,248,136,67,30,20,0 to 105,40,566,776,306,412,364,1103,593,288,0,154,0,0,29,2068,1005,1031,2059,8,1,11690,16,13815,11706,2068,29,840,646,{77657EA6-12D6-4645-9915-E7357C9F40D6},8,144,152,0.0526315789473684,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,18252,313,562,3294,3106,2600,2582,2639,1951,760,393,52,0 to 119,41,9524,8606,122,17928,323,1,1388,14336,201,3823,176,5561,12646,2,43,17885,5383,57,117,4,2876,2549,15,5440,84,223,1857,1077,719,630,547,250,95,59,20,0 to 105,29,1655,1743,644,1398,392,2921,2127,419,14,154,10,7,27,5561,2613,2933,5439,121,1,58510,215,64401,58725,5561,27,2373,1958,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},41,383,424,0.0966981132075472,29,2.4286163266357628,0.1707040441862682
