OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1044,28,34,122,138,143,149,151,119,97,63,0,0 to 118,49,594,443,7,1044,0,0,46,743,2,317,8,315,726,0,3,1041,283,32,0,0,157,158,0,315,10,13,44,47,41,43,41,23,28,25,0,0 to 100,45,241,20,22,32,43,225,47,20,0,6,0,0,1,315,158,157,315,0,0,2980,0,3301,2980,315,1,452,435,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4308,94,189,495,648,559,651,683,478,327,172,12,0 to 118,47,2592,1657,59,4300,8,0,205,3726,133,845,22,1176,3129,1,2,4297,681,495,0,0,606,546,24,1176,24,96,220,196,173,160,135,82,60,29,1,0 to 100,37,554,319,141,162,223,757,196,219,0,132,0,0,13,1176,546,606,1176,0,0,9698,8,10892,9706,1176,13,258,189,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1233,39,48,137,192,172,170,197,159,86,28,5,0 to 118,46,699,511,23,1224,9,0,43,813,3,479,29,272,956,0,5,1219,233,36,3,0,149,120,0,269,0,13,45,59,47,39,35,13,15,5,1,5 to 91,39,138,90,25,16,29,213,27,47,0,14,0,0,3,272,120,152,269,3,0,2441,6,2721,2447,272,3,644,544,38,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,9138,214,244,968,1476,1332,1200,1290,968,793,610,43,0 to 119,47,5368,3673,97,8982,155,1,394,7277,137,1169,109,2411,6692,0,35,8948,2248,139,19,5,1276,1071,40,2387,30,82,441,508,376,316,281,188,110,76,3,0 to 103,38,1197,210,302,678,352,1221,814,199,3,111,1,0,20,2411,1082,1289,2386,24,1,21485,131,24056,21616,2411,20,2239,1808,38,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,798,11,19,81,89,117,114,133,109,83,42,0,0 to 99,52,470,314,14,798,0,0,27,481,4,223,9,261,537,0,0,798,245,16,0,0,156,105,0,261,2,6,31,33,25,36,38,32,34,24,0,1 to 99,54,200,18,18,25,14,214,33,37,0,25,0,0,7,261,105,156,261,0,0,1805,0,2071,1805,261,7,440,378,54,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,91916,1474,2506,8495,12625,11974,13239,14702,12281,8408,4585,1627,0 to 119,51,49802,41771,343,90993,921,2,6019,75012,465,19333,557,30958,60572,169,217,90612,30409,267,276,6,15681,14881,114,30676,509,1157,4534,5873,5086,4728,3921,2323,1570,1228,29,0 to 106,41,11253,4724,4737,9962,8532,11133,11011,3370,42,2459,27,15,758,30958,15024,15815,30674,282,2,210837,635,242961,211472,30958,758,8328,8063,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,14610,252,411,1249,1959,1983,2281,2385,2035,1292,724,39,0 to 119,51,8438,5897,275,14459,151,0,933,11255,188,3126,105,4546,9824,5,235,14219,4416,110,20,0,2453,2020,53,4526,86,193,608,796,747,730,587,403,230,160,6,0 to 104,42,1384,890,534,1718,841,1605,2080,389,2,290,2,1,103,4546,2031,2462,4526,20,0,32385,131,37111,32516,4546,103,2843,2828,42,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,19442,363,521,1929,2636,2759,3089,3171,2646,1601,697,30,0 to 119,49,11005,8351,86,19349,93,0,1158,15211,223,4205,196,5911,13470,2,59,19288,5759,124,27,1,3035,2813,35,5883,90,177,925,1066,944,934,754,537,313,169,2,0 to 105,42,3434,380,708,1361,1063,3022,1798,661,9,431,4,1,68,5911,2827,3049,5883,28,0,52827,65,58844,52892,5911,68,3832,3281,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,3840,84,175,372,646,652,643,562,438,173,92,3,0 to 119,44,2502,1320,18,3819,20,1,123,3122,46,745,26,1197,2636,1,6,3813,1138,52,7,0,682,499,9,1190,30,77,173,218,221,196,134,81,45,21,1,0 to 98,39,316,409,87,378,201,546,443,184,0,100,0,0,13,1197,499,689,1189,7,1,8674,13,9919,8687,1197,13,750,555,39,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,16364,251,469,2766,2791,2321,2348,2432,1856,722,364,44,0 to 119,42,8526,7692,146,16093,270,1,692,13956,201,2120,133,3868,12465,2,29,16063,3751,48,66,3,1999,1772,28,3799,48,156,1388,777,472,417,356,160,55,27,12,0 to 105,28,1102,1164,273,1260,265,1766,1768,268,14,102,11,7,14,3868,1808,2032,3798,69,1,46692,200,50864,46892,3868,14,1760,1344,28,2.4286163266357628,0.1707040441862682
