OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1069,28,34,131,138,139,148,159,119,99,74,0,0 to 118,49,613,449,7,1069,0,0,44,741,2,366,10,334,731,0,4,1065,306,28,0,0,175,159,0,334,9,13,53,47,37,40,47,21,30,37,0,0 to 106,46,261,19,24,30,48,235,51,22,0,19,0,0,3,334,159,175,334,0,0,3106,0,3446,3106,334,3,482,465,47,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4485,102,215,519,673,582,674,706,491,334,177,12,0 to 118,47,2688,1745,52,4477,8,0,309,3747,133,992,23,1368,3115,0,2,4475,807,561,0,0,709,638,21,1368,33,122,246,221,201,186,158,96,68,36,1,0 to 100,37,638,370,172,188,255,880,233,248,0,149,0,0,19,1368,638,709,1368,0,0,10612,8,11994,10620,1368,19,263,194,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1358,40,49,151,223,196,192,215,171,88,29,4,0 to 118,45,748,587,23,1349,9,0,54,877,3,608,29,372,981,0,5,1344,327,42,3,0,188,181,0,369,1,13,57,82,67,58,47,25,17,5,0,4 to 91,40,189,132,29,19,37,303,29,58,0,19,0,0,3,372,181,191,369,3,0,2744,6,3126,2750,372,3,714,614,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,9727,230,274,1067,1591,1426,1292,1352,1016,812,622,45,0 to 119,46,5677,3937,113,9566,160,1,448,7425,137,1342,122,2931,6749,0,47,9520,2758,144,24,5,1547,1308,47,2902,34,100,525,615,464,407,337,229,128,87,5,0 to 103,38,1423,259,455,765,389,1600,913,235,3,138,1,0,30,2931,1320,1564,2901,29,1,23596,132,26698,23728,2931,30,2580,2149,38,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,860,13,25,87,105,129,119,143,112,84,43,0,0 to 99,51,488,356,16,860,0,0,29,502,4,255,12,319,540,0,1,859,303,16,0,0,174,144,1,319,2,9,37,47,40,42,48,36,33,25,0,1 to 99,51,232,24,20,43,15,248,56,40,0,26,0,0,7,319,144,174,319,0,0,1967,0,2290,1967,319,7,467,405,53,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,95506,1548,2652,9015,13289,12570,13813,15222,12535,8534,4698,1630,0 to 119,50,51709,43449,348,94565,939,2,6842,76557,465,22100,611,34226,60871,168,241,94161,33563,361,296,6,17400,16400,124,33924,569,1272,5015,6487,5633,5263,4389,2536,1687,1342,33,0 to 106,41,12582,5333,5577,10432,9397,12718,11809,3553,42,2594,27,15,833,34226,16555,17543,33922,302,2,227657,651,263113,228308,34226,833,9003,8738,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,15388,281,443,1361,2065,2091,2394,2499,2094,1342,778,40,0 to 119,50,8877,6244,267,15237,151,0,1093,11477,188,3608,126,5210,9910,5,263,14969,5077,113,20,0,2818,2317,55,5190,100,217,703,886,848,837,689,460,272,192,6,0 to 104,43,1639,1077,698,1776,1037,1937,2216,449,2,320,2,1,124,5210,2327,2828,5190,20,0,34881,133,40275,35014,5210,124,3337,3322,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,20083,382,568,2006,2741,2860,3191,3258,2709,1621,712,35,0 to 119,49,11362,8644,77,19984,99,0,1292,15268,223,4922,223,6479,13517,2,85,19897,6314,131,33,1,3339,3081,25,6445,102,203,990,1160,1034,1025,841,595,338,183,8,0 to 105,42,3933,434,893,1185,1233,3525,1687,750,9,482,4,1,97,6479,3099,3355,6445,34,0,56645,68,63236,56713,6479,97,4107,3556,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4183,94,204,416,684,706,707,613,478,183,96,2,0 to 119,44,2684,1481,18,4162,20,1,177,3333,46,869,26,1552,2626,1,4,4158,1492,53,7,0,867,668,10,1545,40,105,215,261,279,261,186,124,56,25,0,0 to 105,40,387,523,189,446,258,654,633,214,0,111,0,0,20,1552,668,874,1544,7,1,10199,16,11801,10215,1552,20,797,602,39,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,16950,266,507,2901,2897,2414,2417,2511,1890,735,368,44,0 to 119,42,8825,7984,141,16666,283,1,864,14053,201,2778,150,4387,12521,1,41,16625,4251,54,78,4,2261,2019,25,4305,56,186,1505,876,556,479,428,192,67,30,12,0 to 105,28,1250,1330,384,1341,309,2063,1933,299,14,116,11,7,14,4387,2065,2297,4304,82,1,50565,214,55275,50779,4387,14,1953,1537,28,2.4286163266357628,0.1707040441862682
