OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1797,51,124,273,249,242,246,232,169,125,86,0,0 to 118,43,959,829,9,1797,0,0,125,861,2,987,26,914,879,1,3,1793,805,109,0,0,445,464,5,914,19,56,150,153,127,124,109,68,57,51,0,0 to 106,40,705,71,42,96,97,707,110,99,0,53,0,0,20,914,464,445,914,0,0,5347,0,6272,5347,914,20,1075,1058,{CB6285A2-DA2E-4583-AAD5-1221776836AE},3,23,26,0.115384615384615,40,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,7463,232,724,1014,1006,934,1029,1073,780,451,213,7,0 to 118,43,4286,3127,50,7447,16,0,1197,3275,133,4205,78,3536,3893,0,34,7413,1944,1584,4,4,1893,1618,17,3528,90,356,580,487,483,478,461,355,174,71,1,0 to 100,40,2250,858,320,100,580,2821,127,474,2,326,2,1,64,3536,1623,1896,3528,8,0,20910,8,24466,20918,3536,64,2147,2085,{CE511C5D-2638-44A3-B2F8-B13847543637},43,180,223,0.192825112107623,40,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,3169,70,215,363,571,546,472,439,297,143,48,5,0 to 118,41,1326,1822,21,3158,11,0,90,1690,3,1826,33,1822,1340,0,7,3151,1693,125,4,0,584,1230,4,1818,10,58,200,385,389,308,243,135,70,23,1,0 to 95,41,1032,611,84,91,135,1543,140,166,0,77,0,0,25,1822,1231,587,1818,4,0,6592,7,8446,6599,1822,25,1958,1861,{541BD5A3-4453-499A-9896-F0EDC5353D0B},3,12,15,0.2,41,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,21201,471,1952,3008,3269,3063,2677,2859,1832,1214,805,51,0 to 119,40,11803,9268,130,20954,246,1,1197,8944,137,7973,541,11456,9643,1,101,20854,10424,913,107,12,6038,5230,69,11337,141,626,1765,2106,1768,1550,1661,974,541,313,11,0 to 103,40,5973,885,1779,2700,976,7695,2666,696,8,474,11,1,211,11456,5295,6092,11336,119,1,49578,126,61234,49704,11456,211,17915,17492,{EB5D2450-A892-40FD-9BA4-9821A7438525},76,466,542,0.140221402214022,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1942,44,183,231,249,282,254,251,221,155,72,0,0 to 99,44,999,928,15,1940,2,0,98,550,4,900,19,1062,876,0,4,1936,946,114,2,0,498,560,2,1060,14,52,111,165,151,146,141,130,98,54,0,0 to 99,48,687,118,154,101,31,854,175,91,1,48,1,0,26,1062,561,499,1060,2,0,5036,0,6108,5036,1062,26,1582,1522,{3B55AA95-5170-4CAF-82A3-E99AD7459349},2,20,22,0.0909090909090909,47,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,146927,2831,6623,17858,21556,19908,21314,21730,16700,10937,5860,1610,0 to 119,47,78585,67766,576,145103,1822,2,17412,92586,465,56004,1936,76602,69667,147,511,144454,74601,958,1028,15,38963,36282,314,75559,1236,3635,12496,13993,11867,11620,9915,5760,3597,2428,55,0 to 106,40,35198,10642,12757,16962,20079,36285,19195,6678,91,4782,63,28,1819,76602,36818,39430,75557,1043,2,489241,765,567274,490006,76602,1819,31661,31400,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},439,6257,6696,0.0655615292712067,40,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,26094,693,1461,2997,3617,3560,3951,3908,3064,1801,1011,31,0 to 119,46,14750,11173,171,25905,189,0,2830,12216,188,11693,559,12894,12793,4,403,25499,12659,181,52,2,7047,5786,7,12840,249,601,1698,2111,1998,2053,1823,1277,669,413,2,0 to 104,43,6072,2686,1717,2365,2961,6987,2892,1239,8,966,7,1,381,12894,5815,7072,12840,54,0,78495,134,91582,78629,12894,381,14021,14006,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},113,696,809,0.139678615574784,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,37409,771,2722,4975,4789,5093,5682,5360,4341,2612,1039,25,0 to 119,45,20467,16702,240,37156,253,0,2904,19550,223,16456,852,19497,17596,4,312,36840,18594,722,178,2,10089,9074,153,19316,285,1032,2907,2889,2869,3064,2642,2040,1264,496,8,0 to 105,44,13738,1167,2434,1977,3916,12755,2645,1957,18,1446,12,3,339,19496,9156,10179,19316,180,0,131226,75,150879,131301,19496,339,19826,19282,{83116673-3FAD-423E-B67E-DFE7515F5E81},200,1508,1708,0.117096018735363,43,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,6655,192,471,784,1040,1143,1095,923,635,253,116,3,0 to 119,42,3861,2782,12,6629,25,1,761,3310,46,2820,73,3656,2990,1,8,6621,3476,168,11,1,1854,1784,6,3644,94,254,495,592,677,636,480,261,123,43,1,0 to 98,40,1084,1624,666,270,677,2564,403,508,1,280,0,0,59,3656,1786,1864,3643,12,1,17767,16,21488,17783,3656,59,2117,1922,{77657EA6-12D6-4645-9915-E7357C9F40D6},17,176,193,0.0880829015544042,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,32409,758,1378,9841,5020,4002,3707,3616,2498,1023,521,45,0 to 119,33,17547,14741,121,31684,724,1,4188,18083,201,12713,483,17774,14590,6,39,31641,17113,144,507,10,9485,7725,47,17257,299,713,7436,2831,2023,1651,1449,785,368,210,9,0 to 106,26,7361,5175,2170,2551,1591,11579,4087,913,33,366,21,18,171,17774,7941,9780,17256,517,1,116342,213,134519,116555,17774,171,9030,8625,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},82,2101,2183,0.0375629867155291,25,2.4286163266357628,0.1707040441862682
