OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1073,27,34,130,139,139,147,160,122,100,75,0,0 to 118,49,616,451,6,1073,0,0,44,741,2,367,10,334,735,0,4,1069,305,29,0,0,177,157,0,334,8,13,51,48,37,39,47,22,31,38,0,0 to 106,47,261,20,22,31,47,234,53,23,0,19,0,0,3,334,157,177,334,0,0,3149,0,3489,3149,334,3,492,475,47,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4517,104,221,525,675,588,679,708,492,336,177,12,0 to 118,47,2707,1758,52,4509,8,0,376,3700,133,1060,23,1397,3118,0,2,4507,835,562,0,0,725,651,21,1397,35,127,251,223,207,190,160,97,70,36,1,0 to 100,37,661,382,181,173,274,908,215,258,0,155,0,0,20,1397,651,725,1397,0,0,10835,8,12247,10843,1397,20,267,198,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1541,39,50,164,277,249,220,233,186,88,31,4,0 to 118,44,757,761,23,1532,9,0,58,1044,3,634,29,551,985,0,5,1527,506,42,3,0,195,353,0,548,1,14,70,136,121,86,64,36,17,6,0,4 to 91,39,216,140,30,162,38,328,182,62,0,19,0,0,4,551,353,198,548,3,0,2885,6,3451,2891,551,4,736,636,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,9945,233,286,1104,1624,1460,1325,1382,1030,824,632,45,0 to 119,46,5806,4033,106,9783,161,1,475,7473,137,1388,124,3106,6785,1,53,9730,2930,146,25,5,1647,1391,38,3076,35,108,550,646,494,427,363,242,139,97,5,0 to 103,39,1531,274,487,784,409,1732,935,244,3,142,1,0,34,3106,1403,1665,3075,30,1,24262,132,27544,24394,3106,34,2720,2289,39,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,881,13,26,90,111,131,121,145,115,84,45,0,0 to 99,51,497,368,16,881,0,0,29,509,4,265,12,333,547,0,1,880,317,16,0,0,177,155,1,333,2,10,39,51,42,43,49,38,33,26,0,1 to 99,50,237,27,20,49,16,255,62,42,0,27,0,0,7,333,155,177,333,0,0,2007,0,2344,2007,333,7,501,439,50,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,96280,1568,2688,9122,13417,12704,13933,15319,12584,8570,4716,1659,0 to 119,50,52054,43820,406,95289,989,2,7079,76752,465,22792,629,34929,60938,167,246,94881,34200,377,346,6,17706,16713,158,34577,585,1301,5108,6609,5750,5375,4482,2579,1719,1360,61,0 to 106,41,12864,5484,5678,10551,9588,13053,11936,3642,42,2644,27,15,861,34929,16882,17859,34575,352,2,231032,652,267192,231684,34929,861,9212,8947,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,15519,286,450,1380,2083,2110,2413,2515,2105,1345,785,47,0 to 119,50,8951,6297,271,15368,151,0,1119,11527,188,3689,132,5329,9916,5,269,15094,5195,114,20,0,2891,2359,59,5309,102,222,718,902,864,853,706,472,277,201,12,0 to 104,43,1691,1100,722,1796,1060,2001,2248,468,2,333,2,1,130,5329,2369,2901,5309,20,0,35376,133,40890,35509,5329,130,3402,3387,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,20260,387,581,2022,2770,2890,3216,3287,2722,1631,715,39,0 to 119,49,11456,8729,75,20160,100,0,1308,15316,223,5089,230,6636,13527,2,95,20063,6469,132,34,1,3425,3157,19,6601,104,213,1003,1183,1064,1051,867,607,346,186,12,0 to 105,42,4078,453,923,1147,1279,3664,1658,784,9,504,4,1,101,6636,3175,3442,6601,35,0,57671,68,64420,57739,6636,101,4159,3608,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4234,96,206,422,693,717,717,618,479,185,97,4,0 to 119,44,2706,1509,19,4212,21,1,207,3326,46,924,26,1600,2627,1,6,4206,1539,53,8,0,888,693,11,1592,40,106,221,269,290,272,191,125,58,26,2,0 to 105,40,395,560,210,427,272,705,615,221,0,111,0,0,21,1600,693,896,1591,8,1,10329,16,11978,10345,1600,21,800,605,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,17072,275,513,2930,2912,2428,2437,2528,1899,734,372,44,0 to 119,42,8893,8037,142,16787,284,1,931,14026,201,3018,154,4489,12538,1,44,16743,4351,55,79,4,2313,2067,26,4406,59,189,1531,889,569,496,446,198,66,34,12,0 to 105,28,1296,1364,411,1335,313,2174,1919,317,14,117,11,7,15,4489,2112,2351,4405,83,1,51487,213,56303,51700,4489,15,2030,1614,28,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,997,23,21,68,126,148,159,198,158,75,20,1,0 to 101,52,442,550,5,989,8,0,26,773,41,245,15,417,579,0,1,988,363,49,5,0,97,315,0,412,6,5,38,78,70,78,82,41,12,7,0,0 to 95,46,119,142,16,135,18,238,156,34,2,23,0,0,5,417,319,98,412,5,0,2344,4,2776,2348,417,5,233,195,46,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1759,89,112,205,218,234,252,237,226,121,59,6,0 to 99,45,1085,670,4,1729,30,0,91,1015,53,803,50,661,1095,1,2,1726,421,229,10,1,388,262,0,650,34,56,95,94,96,110,82,55,18,21,0,0 to 98,39,167,440,30,13,38,562,50,119,0,30,0,1,8,661,265,396,650,11,0,4314,19,5004,4333,661,8,796,696,39,2.169691637311982,0.1740263300452793
