OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1794,50,124,274,248,241,246,232,168,125,86,0,0 to 118,43,960,824,10,1794,0,0,124,860,2,986,26,911,879,1,3,1790,804,107,0,0,445,460,6,911,18,56,150,152,127,124,109,67,57,51,0,0 to 106,40,702,71,41,97,96,704,111,99,0,53,0,0,20,911,460,445,911,0,0,5330,0,6252,5330,911,20,1075,1058,{CB6285A2-DA2E-4583-AAD5-1221776836AE},10,66,76,0.131578947368421,40,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,7416,233,715,1007,1001,932,1021,1067,770,450,213,7,0 to 118,43,4263,3105,48,7400,16,0,1196,3250,133,4165,78,3495,3887,0,34,7366,1926,1561,4,4,1873,1599,15,3487,91,349,574,481,481,473,455,346,173,71,1,0 to 100,40,2228,851,314,94,575,2791,121,473,2,324,2,1,63,3495,1604,1876,3487,8,0,20887,8,24402,20895,3495,63,2138,2076,{CE511C5D-2638-44A3-B2F8-B13847543637},64,479,543,0.117863720073665,40,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,3164,70,215,361,571,545,471,438,297,143,48,5,0 to 118,41,1324,1819,21,3153,11,0,90,1688,3,1822,33,1819,1338,0,7,3146,1690,125,4,0,582,1229,4,1815,10,58,200,385,389,307,241,135,70,23,1,0 to 95,41,1030,611,83,91,135,1540,140,166,0,77,0,0,25,1819,1230,585,1815,4,0,6594,7,8445,6601,1819,25,1955,1858,{541BD5A3-4453-499A-9896-F0EDC5353D0B},9,41,50,0.18,41,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,21087,469,1928,2991,3256,3043,2659,2849,1826,1210,805,51,0 to 119,40,11752,9205,130,20840,246,1,1190,8918,137,7907,541,11380,9605,1,101,20740,10364,897,107,12,6008,5184,69,11261,140,622,1755,2094,1750,1536,1653,968,538,313,11,0 to 103,40,5927,879,1767,2688,970,7620,2671,693,8,470,11,1,203,11380,5249,6062,11260,119,1,49407,126,60987,49533,11380,203,17730,17307,{EB5D2450-A892-40FD-9BA4-9821A7438525},119,535,654,0.181957186544343,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1940,44,182,231,249,282,253,251,221,155,72,0,0 to 99,44,998,926,16,1938,2,0,98,548,4,900,19,1061,875,0,4,1934,945,114,2,0,498,559,2,1059,14,52,111,165,151,145,141,130,98,54,0,0 to 99,48,686,118,154,101,31,854,174,91,1,48,1,0,26,1061,560,499,1059,2,0,5034,0,6105,5034,1061,26,1585,1525,{3B55AA95-5170-4CAF-82A3-E99AD7459349},3,48,51,0.0588235294117647,47,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,146363,2809,6573,17776,21447,19835,21242,21660,16660,10911,5840,1610,0 to 119,47,78286,67512,565,144566,1795,2,17265,92465,465,55676,1924,76143,69572,147,501,143927,74169,955,1004,15,38738,36082,304,75124,1230,3603,12423,13901,11805,11552,9858,5729,3576,2411,55,0 to 106,40,34908,10588,12665,16963,19952,36041,19131,6663,91,4772,61,28,1816,76143,36609,39193,75122,1019,2,487075,764,564650,487839,76143,1816,31418,31157,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},554,7468,8022,0.069060084766891,40,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,25967,688,1453,2977,3589,3542,3933,3891,3058,1797,1008,31,0 to 119,46,14678,11115,174,25779,188,0,2823,12228,188,11628,556,12778,12780,4,405,25371,12548,177,51,2,6983,5734,8,12725,245,598,1683,2084,1978,2038,1805,1269,666,410,2,0 to 104,43,6019,2660,1699,2347,2938,6928,2859,1235,8,965,7,1,381,12778,5762,7008,12725,53,0,78253,134,91224,78387,12778,381,13955,13940,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},131,906,1037,0.12632594021215,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,37185,764,2694,4937,4762,5061,5649,5342,4319,2598,1034,25,0 to 119,45,20356,16598,231,36934,251,0,2868,19491,223,16347,845,19292,17578,4,311,36619,18408,705,176,2,9989,8982,142,19113,280,1014,2877,2863,2838,3031,2619,2019,1250,492,8,0 to 105,44,13603,1157,2415,1938,3884,12622,2607,1941,18,1438,12,3,338,19291,9061,10079,19113,178,0,130673,75,150120,130748,19291,338,19733,19189,{83116673-3FAD-423E-B67E-DFE7515F5E81},275,2222,2497,0.110132158590308,43,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,6634,192,469,783,1037,1138,1092,920,632,252,116,3,0 to 119,42,3849,2772,13,6608,25,1,760,3299,46,2804,72,3638,2988,1,7,6601,3458,168,11,1,1844,1775,7,3626,94,253,494,589,674,633,477,258,122,43,1,0 to 98,40,1081,1612,663,270,676,2546,404,504,1,276,0,0,58,3638,1777,1854,3625,12,1,17725,16,21429,17741,3638,58,2113,1918,{77657EA6-12D6-4645-9915-E7357C9F40D6},31,245,276,0.11231884057971,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,32301,755,1371,9819,5003,3989,3696,3599,2485,1021,518,45,0 to 119,33,17485,14695,121,31583,717,1,4146,18076,201,12629,482,17685,14572,6,38,31541,17031,144,500,10,9437,7690,48,17175,298,708,7418,2816,2011,1643,1432,777,366,207,9,0 to 106,26,7329,5131,2160,2555,1586,11493,4096,912,33,365,21,18,167,17685,7905,9727,17174,510,1,115808,213,133898,116021,17685,167,8995,8590,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},161,2713,2874,0.0560194850382742,25,2.4286163266357628,0.1707040441862682
