OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1321,37,65,166,191,167,186,183,139,107,80,0,0 to 118,47,746,570,5,1321,0,0,85,778,2,602,17,527,792,1,1,1319,480,47,0,0,273,253,1,527,11,27,75,99,63,71,65,37,36,43,0,0 to 106,42,433,33,31,30,81,412,34,75,0,39,0,0,17,527,253,273,527,0,0,4284,0,4820,4284,527,17,666,649,{CB6285A2-DA2E-4583-AAD5-1221776836AE},1,22,23,0.0434782608695652,42,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5763,158,489,739,810,735,812,863,597,362,190,8,0 to 118,44,3363,2351,49,5753,10,0,835,3205,133,2397,32,2211,3533,0,19,5734,1296,913,1,1,1168,1032,9,2209,53,229,363,325,323,302,281,194,93,47,1,0 to 100,39,1295,597,241,76,441,1657,111,386,1,240,0,0,45,2211,1033,1169,2209,2,0,15954,8,18183,15962,2211,45,1331,1266,{CE511C5D-2638-44A3-B2F8-B13847543637},2,82,84,0.0238095238095238,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2573,54,117,276,503,473,397,353,248,109,39,4,0 to 118,41,1024,1529,20,2564,9,0,70,1589,3,1252,29,1398,1169,0,6,2558,1334,61,3,0,374,1021,0,1395,6,26,149,338,324,245,167,93,35,15,0,1 to 94,40,718,561,78,38,130,1182,83,110,0,49,0,0,14,1398,1021,377,1395,3,0,5450,6,6881,5456,1398,14,1329,1230,{541BD5A3-4453-499A-9896-F0EDC5353D0B},1,35,36,0.0277777777777778,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,12956,270,640,1650,2064,1890,1679,1817,1274,934,692,46,0 to 119,44,7454,5415,87,12782,173,1,695,7646,137,3106,231,5411,7483,1,61,12721,5155,213,38,5,2883,2439,46,5368,63,197,920,1050,834,718,732,458,259,173,7,0 to 103,40,2863,457,1049,999,650,3685,1033,496,4,309,4,1,122,5411,2460,2905,5367,43,1,34784,130,40384,34914,5411,122,6328,5902,{EB5D2450-A892-40FD-9BA4-9821A7438525},31,301,332,0.0933734939759036,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1347,22,88,149,194,219,188,184,150,102,51,0,0 to 99,45,679,655,13,1346,1,0,53,559,4,561,18,651,695,0,1,1345,616,34,1,0,276,373,1,650,5,25,73,122,113,94,82,64,44,29,0,0 to 99,44,430,95,45,80,26,520,104,62,1,34,1,0,14,651,374,276,650,1,0,4408,0,5069,4408,651,14,933,872,{3B55AA95-5170-4CAF-82A3-E99AD7459349},3,9,12,0.25,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,112013,1868,3531,12196,15706,14944,16260,17327,13929,9384,5266,1602,0 to 119,49,60660,51018,335,110959,1052,2,10648,82109,465,36018,1102,48004,63625,156,228,110580,46907,680,409,8,24747,22698,142,47587,763,1889,7800,8688,7622,7335,6128,3506,2344,1879,50,0 to 106,41,19032,7727,8674,12154,12914,20785,13888,5279,65,3822,43,22,1449,48004,22924,24934,47585,417,2,337507,636,386765,338143,48004,1449,14407,14143,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},56,2822,2878,0.019457956914524,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,19691,417,800,2013,2658,2721,3024,3087,2486,1551,908,26,0 to 119,49,11265,8258,168,19533,158,0,1951,11629,188,6929,270,8395,11045,4,247,19282,8212,153,28,2,4600,3762,3,8365,153,369,1113,1375,1350,1311,1150,790,467,316,1,0 to 104,43,3436,1941,1167,1821,1923,4196,2246,878,4,714,3,1,304,8395,3779,4613,8365,30,0,57514,127,66089,57641,8395,304,7602,7587,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},15,479,494,0.0303643724696356,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,24861,495,1143,2899,3371,3519,3856,3840,3081,1836,808,13,0 to 119,47,13900,10880,81,24726,135,0,2131,15436,223,9363,431,9871,14833,3,154,24569,9580,221,68,2,5111,4685,5,9801,147,394,1560,1654,1561,1532,1302,906,540,273,2,0 to 105,42,7015,715,1525,546,2355,6732,714,1225,10,917,5,1,219,9871,4718,5148,9801,70,0,87866,70,97864,87936,9871,219,10096,9547,{83116673-3FAD-423E-B67E-DFE7515F5E81},38,663,701,0.0542082738944365,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5795,148,344,661,918,1013,977,836,569,221,105,3,0 to 119,42,3365,2422,8,5772,22,1,651,3183,46,2216,44,2984,2805,1,5,5767,2898,77,9,0,1454,1519,2,2975,74,190,406,480,566,525,404,211,93,34,1,0 to 98,40,879,1238,561,297,566,1969,440,438,0,229,0,0,50,2984,1521,1461,2974,9,1,14450,16,17494,14466,2984,50,1502,1307,{77657EA6-12D6-4645-9915-E7357C9F40D6},5,77,82,0.0609756097560976,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,24547,508,801,7003,3712,3058,2967,2996,2136,864,458,44,0 to 119,35,13246,11188,113,24014,532,1,2501,16578,201,6995,250,11316,13201,4,26,23986,10906,80,325,5,6105,4858,23,10986,201,386,5264,1643,1159,984,875,438,211,144,11,0 to 105,24,4256,2834,1501,2395,913,5987,4086,650,23,266,12,10,92,11316,4999,6292,10985,330,1,81999,212,93671,82211,11316,92,5291,4879,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},66,856,922,0.0715835140997831,23,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1260,29,47,113,159,176,198,237,185,90,25,1,0 to 101,50,572,686,2,1245,15,0,33,835,41,565,27,601,657,1,1,1244,515,74,12,0,189,400,0,589,8,17,59,102,90,111,110,64,27,13,0,0 to 98,47,242,297,39,11,30,520,39,57,2,36,0,0,9,601,407,194,589,12,0,3417,1,4034,3418,601,9,427,390,{862C7BAB-C64B-458C-A6FA-56543968D206},0,15,15,0,47,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,2212,109,196,256,281,296,320,291,255,132,69,7,0 to 99,43,1282,926,4,2176,36,0,111,1108,53,1242,75,1042,1168,1,1,2174,699,326,15,2,563,462,0,1025,39,79,126,145,157,178,139,100,41,38,0,0 to 99,42,327,614,55,29,54,880,91,168,1,51,2,2,24,1042,466,576,1025,17,0,5189,19,6261,5208,1042,24,1288,1189,{89851E42-542B-499A-AC7E-D8F5369F3D0B},2,17,19,0.105263157894737,42,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2543,14,51,253,704,592,442,313,115,42,9,8,0 to 105,38,384,2155,4,2543,0,0,28,1924,1,326,10,520,2023,0,0,2543,484,36,0,0,140,380,0,520,6,16,92,100,90,99,79,23,13,2,0,0 to 86,39,346,126,28,20,28,376,116,37,0,12,0,0,10,520,380,140,520,0,0,3111,0,3631,3111,520,10,546,522,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},0,8,8,0,39,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2575,46,80,237,619,508,412,314,216,89,51,3,0 to 118,41,703,1857,15,2564,11,0,80,1918,9,888,15,885,1689,0,1,2563,743,134,4,4,303,574,0,877,28,55,109,175,155,147,122,60,24,10,0,0 to 91,40,381,428,57,11,114,632,131,102,1,34,0,0,9,885,578,307,877,8,0,4723,3,5613,4726,885,9,171,169,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},0,12,12,0,40,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,9547,121,232,1195,1541,1460,1612,1520,1017,538,259,52,0 to 119,46,4967,4516,64,9389,158,0,1375,4638,28,5839,234,6303,3222,1,21,9368,6017,149,135,2,3089,3048,29,6166,71,161,959,1164,1031,1057,899,574,289,97,1,0 to 99,42,3575,634,854,1103,482,4201,1483,753,20,360,9,6,122,6303,3124,3150,6166,137,0,29974,30,36381,30004,6303,122,1246,1239,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},2,187,189,0.0105820105820106,42,5.422685209627352,0.1810274207185009
