OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1234,33,61,151,168,159,172,170,135,106,79,0,0 to 118,48,708,520,6,1234,0,0,75,772,2,515,15,460,773,0,1,1233,422,38,0,0,246,213,1,460,10,25,67,77,54,60,57,33,35,42,0,0 to 106,44,379,30,21,30,67,356,37,62,0,31,0,0,10,460,213,246,460,0,0,3691,0,4159,3691,460,10,598,581,{CB6285A2-DA2E-4583-AAD5-1221776836AE},3,32,35,0.0857142857142857,44,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4919,116,281,582,717,660,719,773,524,345,181,21,0 to 118,46,2915,1961,43,4909,10,0,725,3383,133,1648,29,1774,3140,0,5,4904,1074,698,1,1,927,834,11,1772,43,173,302,265,278,232,220,131,80,40,10,0 to 100,38,947,509,216,100,375,1253,144,332,1,195,0,0,37,1774,835,928,1772,2,0,12998,8,14792,13006,1774,37,403,335,{CE511C5D-2638-44A3-B2F8-B13847543637},12,234,246,0.0487804878048781,38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2274,47,73,235,457,439,354,310,220,97,38,4,0 to 118,42,895,1357,22,2265,9,0,64,1514,3,954,29,1199,1069,0,6,2259,1139,57,3,0,291,905,0,1196,4,20,122,305,293,214,131,72,26,12,0,1 to 92,39,597,510,71,18,124,1015,57,89,0,35,0,0,5,1199,905,294,1196,3,0,4579,6,5813,4585,1199,5,993,895,{541BD5A3-4453-499A-9896-F0EDC5353D0B},5,49,54,0.0925925925925926,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,11085,250,356,1258,1796,1623,1501,1544,1147,882,682,46,0 to 119,46,6451,4534,100,10924,160,1,610,7302,137,2006,149,4134,6904,1,46,10878,3897,209,23,5,2235,1828,43,4106,48,147,686,805,639,571,511,343,213,165,6,0 to 103,40,2287,391,740,688,557,2701,848,404,4,242,2,0,77,4134,1839,2252,4105,28,1,28178,132,32491,28310,4134,77,3543,3117,{EB5D2450-A892-40FD-9BA4-9821A7438525},10,138,148,0.0675675675675676,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1187,17,59,117,175,194,167,173,138,98,49,0,0 to 99,46,601,571,15,1186,1,0,39,547,4,503,13,568,618,0,1,1185,551,16,1,0,242,324,1,567,4,18,59,108,101,80,73,56,41,28,0,1 to 99,44,369,89,39,70,24,460,83,58,1,32,1,0,8,568,325,242,567,1,0,3987,0,4565,3987,568,8,765,704,{3B55AA95-5170-4CAF-82A3-E99AD7459349},9,58,67,0.134328358208955,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,104123,1727,3079,10252,14651,13900,15183,16402,13234,8966,4992,1737,0 to 119,50,56309,47407,407,103120,1001,2,8827,79882,465,28958,806,41865,61813,161,284,102680,40861,641,356,7,21425,19892,185,41502,689,1623,6142,7765,6819,6486,5422,3090,2055,1634,140,0 to 106,41,15468,6712,7548,11774,11355,16576,13571,4574,54,3296,36,17,1117,41865,20086,21582,41500,363,2,278793,644,321944,279437,41865,1117,10835,10570,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},213,4316,4529,0.0470302495032016,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,17484,333,567,1637,2395,2407,2706,2779,2275,1434,840,111,0 to 119,49,10047,7178,259,17328,156,0,1552,11821,188,5039,190,6975,10220,5,284,17039,6807,142,25,1,3801,3076,72,6949,128,295,910,1163,1126,1098,928,617,373,261,76,0 to 104,43,2464,1587,1053,1845,1553,3043,2353,649,2,462,2,1,235,6975,3091,3812,6949,26,0,43802,131,50966,43933,6975,235,4735,4720,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},38,919,957,0.0397074190177638,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,22012,434,671,2290,3021,3154,3519,3522,2876,1719,765,41,0 to 119,49,12407,9528,77,21896,116,0,1895,14871,223,7461,330,8028,13839,3,142,21751,7828,149,49,2,4160,3804,13,7977,122,271,1212,1384,1280,1283,1063,735,431,233,14,0 to 105,42,5662,602,1285,428,1979,5432,566,1050,10,729,4,1,174,8028,3828,4187,7977,51,0,69747,70,77901,69817,8028,174,5463,4912,{83116673-3FAD-423E-B67E-DFE7515F5E81},38,939,977,0.0388945752302968,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4967,111,252,530,823,869,843,714,508,195,103,19,0 to 119,43,2962,1978,27,4945,21,1,418,3216,46,1540,31,2317,2644,1,5,4940,2258,51,8,0,1136,1153,20,2309,52,143,324,393,440,400,291,156,69,32,17,0 to 105,40,680,898,388,343,434,1364,511,331,0,175,0,0,31,2317,1154,1143,2308,8,1,12512,16,14886,12528,2317,31,986,792,{77657EA6-12D6-4645-9915-E7357C9F40D6},27,222,249,0.108433734939759,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,18975,343,617,3502,3208,2690,2639,2715,2001,790,420,50,0 to 119,41,9943,8912,120,18622,352,1,1494,14636,201,4141,187,6294,12657,4,20,18600,6084,60,146,4,3270,2854,20,6144,113,266,2052,1181,803,692,625,311,136,97,18,0 to 105,29,1884,2006,779,1475,438,3356,2350,474,16,180,10,7,33,6294,2928,3346,6143,150,1,66111,209,72740,66320,6294,33,2655,2241,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},96,1248,1344,0.0714285714285714,29,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1107,24,32,88,143,162,172,215,169,80,21,1,0 to 101,51,488,617,2,1097,10,0,28,799,41,418,19,498,607,1,1,1095,438,52,8,0,133,357,0,490,6,11,48,91,79,92,96,51,16,8,0,0 to 95,46,191,264,27,8,24,432,34,46,2,29,0,0,6,498,363,135,490,8,0,2869,2,3384,2871,498,6,312,275,{862C7BAB-C64B-458C-A6FA-56543968D206},3,63,66,0.0454545454545455,46,2.2049309352502724,0.14849665622997743
