OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1067,27,34,130,138,139,147,158,119,100,75,0,0 to 118,49,613,448,6,1067,0,0,43,742,2,358,10,331,732,0,4,1063,303,28,0,0,175,156,0,331,8,13,51,47,37,39,46,21,31,38,0,0 to 106,46,258,20,22,31,47,231,53,23,0,19,0,0,3,331,156,175,331,0,0,3126,0,3463,3126,331,3,478,461,46,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4498,102,219,520,674,585,676,706,492,335,177,12,0 to 118,47,2696,1750,52,4490,8,0,360,3700,133,1042,23,1379,3117,0,2,4488,818,561,0,0,715,643,21,1379,33,125,247,222,204,188,158,96,69,36,1,0 to 100,37,655,378,177,169,268,900,211,252,0,151,0,0,19,1379,643,715,1379,0,0,10667,8,12061,10675,1379,19,265,196,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1384,40,49,153,227,204,196,217,177,88,29,4,0 to 118,45,752,609,23,1375,9,0,55,895,3,621,29,396,983,0,5,1370,351,42,3,0,192,201,0,393,1,13,59,86,75,62,49,29,17,5,0,4 to 91,40,200,134,29,30,37,314,42,59,0,19,0,0,3,396,201,195,393,3,0,2782,6,3188,2788,396,3,719,619,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,9849,230,279,1091,1610,1443,1307,1370,1024,820,630,45,0 to 119,46,5750,3995,104,9688,160,1,468,7459,137,1368,123,3031,6769,1,48,9640,2858,144,24,5,1606,1358,38,3002,34,102,538,634,482,416,352,237,136,95,5,0 to 103,39,1475,270,475,782,398,1672,932,242,3,140,1,0,30,3031,1370,1623,3001,29,1,23961,132,27166,24093,3031,30,2653,2222,39,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,870,13,26,88,110,131,120,143,112,84,43,0,0 to 99,50,489,365,16,870,0,0,29,509,4,257,12,328,541,0,1,869,312,16,0,0,175,152,1,328,2,10,38,51,42,43,48,36,33,25,0,1 to 99,50,232,25,20,51,16,249,63,40,0,26,0,0,7,328,152,175,328,0,0,1986,0,2318,1986,328,7,477,415,50,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,95858,1555,2668,9073,13352,12632,13871,15266,12561,8547,4703,1630,0 to 119,50,51890,43621,347,94916,940,2,6915,76724,465,22334,619,34550,60897,168,243,94510,33876,371,297,6,17565,16559,123,34247,575,1287,5069,6548,5688,5321,4430,2556,1698,1346,32,0 to 106,41,12694,5396,5616,10541,9478,12853,11916,3571,42,2602,27,15,845,34550,16715,17708,34245,303,2,229339,652,265127,229991,34550,845,9069,8804,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,15433,283,445,1369,2070,2099,2399,2507,2098,1345,778,40,0 to 119,50,8905,6262,266,15282,151,0,1096,11509,188,3624,126,5256,9909,5,263,15014,5123,113,20,0,2846,2336,54,5236,102,219,710,891,855,844,697,464,275,193,6,0 to 104,43,1656,1082,702,1796,1040,1957,2239,456,2,327,2,1,125,5256,2346,2856,5236,20,0,35132,133,40573,35265,5256,125,3337,3322,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,20171,385,574,2011,2749,2880,3207,3272,2718,1626,714,35,0 to 119,49,11411,8686,74,20071,100,0,1296,15291,223,4999,226,6548,13525,2,96,19973,6381,132,34,1,3381,3114,18,6513,103,206,992,1163,1052,1040,855,603,341,185,8,0 to 105,42,4018,443,912,1140,1250,3607,1656,764,9,490,4,1,99,6548,3132,3398,6513,35,0,57078,68,63739,57146,6548,99,4135,3584,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4210,96,205,418,689,713,711,616,479,184,97,2,0 to 119,44,2698,1495,17,4189,20,1,188,3327,46,893,26,1576,2627,1,6,4183,1516,53,7,0,881,679,9,1569,40,106,217,265,286,265,189,125,57,26,0,0 to 105,40,391,541,205,432,264,683,622,218,0,111,0,0,20,1576,679,888,1568,7,1,10262,16,11887,10278,1576,20,798,603,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,17022,271,510,2921,2905,2421,2434,2517,1894,734,371,44,0 to 119,42,8871,8008,143,16739,282,1,888,14058,201,2835,150,4448,12529,1,44,16695,4312,55,77,4,2298,2043,26,4367,58,189,1522,881,563,494,435,195,66,33,12,0 to 105,28,1269,1357,406,1335,314,2111,1942,306,14,117,11,7,15,4448,2088,2334,4366,81,1,51102,213,55873,51315,4448,15,1980,1564,28,2.4286163266357628,0.1707040441862682
