OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1298,33,63,162,185,165,186,179,138,107,80,0,0 to 118,47,740,553,5,1298,0,0,83,778,2,584,17,512,784,1,1,1296,467,45,0,0,270,241,1,512,10,25,74,93,61,71,63,36,36,43,0,0 to 106,43,423,31,29,29,80,400,32,71,0,38,0,0,12,512,241,270,512,0,0,4171,0,4692,4171,512,12,660,643,{CB6285A2-DA2E-4583-AAD5-1221776836AE},1,24,25,0.04,43,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5542,150,425,681,793,716,792,833,577,361,187,27,0 to 118,44,3236,2248,58,5532,10,0,787,3278,133,2114,31,2139,3386,0,17,5515,1279,858,1,1,1124,997,16,2137,52,214,347,319,314,287,264,180,95,47,20,0 to 100,39,1230,578,241,88,429,1574,134,376,1,233,0,0,39,2139,998,1125,2137,2,0,15288,8,17446,15296,2139,39,1054,988,{CE511C5D-2638-44A3-B2F8-B13847543637},10,98,108,0.0925925925925926,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2463,51,98,264,489,465,378,339,234,102,39,4,0 to 118,41,974,1468,21,2454,9,0,67,1569,3,1143,29,1327,1130,0,6,2448,1265,59,3,0,341,983,0,1324,5,25,141,327,315,231,158,82,30,13,0,1 to 92,39,668,551,78,27,131,1122,71,102,0,43,0,0,13,1327,983,344,1324,3,0,5243,6,6604,5249,1327,13,1199,1101,{541BD5A3-4453-499A-9896-F0EDC5353D0B},4,39,43,0.0930232558139535,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,12230,250,489,1496,1983,1796,1617,1716,1232,916,688,47,0 to 119,45,7075,5074,81,12056,173,1,661,7585,137,2720,206,5010,7174,1,45,12011,4758,211,36,5,2680,2244,45,4969,58,173,858,981,781,666,655,417,244,169,8,0 to 103,40,2668,443,967,891,634,3365,970,477,4,294,3,0,113,5010,2264,2701,4968,41,1,32669,132,37861,32801,5010,113,4840,4414,{EB5D2450-A892-40FD-9BA4-9821A7438525},39,693,732,0.0532786885245902,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1293,21,86,142,184,211,176,177,146,100,50,0,0 to 99,45,658,622,13,1292,1,0,50,558,4,538,13,616,676,0,1,1291,588,27,1,0,263,351,1,615,5,25,71,114,107,86,76,60,43,29,0,0 to 99,43,410,92,41,72,26,498,91,60,1,33,1,0,11,616,352,263,615,1,0,4353,0,4979,4353,616,11,901,840,{3B55AA95-5170-4CAF-82A3-E99AD7459349},1,18,19,0.0526315789473684,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,109929,1841,3377,11808,15397,14636,15954,17072,13718,9288,5202,1636,0 to 119,49,59530,50020,379,108890,1037,2,10228,81479,465,34398,1004,46485,63010,156,278,108461,45408,676,394,7,23958,21968,158,46084,749,1812,7484,8428,7400,7101,5940,3390,2274,1827,80,0 to 106,41,18133,7500,8394,12057,12548,19803,13733,5009,61,3610,40,21,1350,46485,22186,24137,46082,401,2,320781,642,368531,321423,46485,1350,13363,13098,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},175,4048,4223,0.0414397347856974,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,19057,399,733,1900,2601,2645,2941,2998,2421,1517,874,28,0 to 119,49,10899,7941,217,18901,156,0,1822,11759,188,6276,248,8054,10739,4,260,18637,7874,152,27,1,4388,3595,43,8026,145,353,1063,1339,1304,1264,1092,741,447,303,3,0 to 104,43,3180,1853,1150,1843,1833,3907,2286,795,4,664,2,1,280,8054,3611,4400,8026,28,0,53809,129,62043,53938,8054,280,6700,6685,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},47,1039,1086,0.043278084714548803,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,23866,466,976,2687,3255,3389,3739,3735,3011,1793,793,22,0 to 119,48,13360,10430,76,23739,127,0,2102,15155,223,8760,393,9279,14444,3,140,23596,9022,195,60,2,4803,4409,5,9217,140,365,1443,1574,1458,1455,1227,848,499,260,10,0 to 105,42,6684,665,1397,471,2233,6348,636,1169,10,830,5,1,208,9279,4438,4836,9217,62,0,82678,70,92084,82748,9279,208,9002,8453,{83116673-3FAD-423E-B67E-DFE7515F5E81},47,1097,1144,0.0410839160839161,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5583,135,307,622,894,976,947,808,558,210,105,21,0 to 119,43,3236,2328,19,5561,21,1,612,3209,46,2019,43,2828,2750,1,4,5557,2762,58,8,0,1356,1451,13,2820,64,169,387,461,533,501,377,201,83,33,19,0 to 98,40,823,1161,512,324,523,1814,483,411,0,213,0,0,47,2828,1452,1363,2819,8,1,14010,16,16894,14026,2828,47,1357,1162,{77657EA6-12D6-4645-9915-E7357C9F40D6},31,231,262,0.118320610687023,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,23638,471,740,6678,3584,2951,2880,2905,2092,830,450,57,0 to 119,35,12744,10762,132,23126,511,1,2240,16439,201,5735,229,10607,13010,4,17,23107,10227,72,303,5,5746,4512,41,10299,188,357,5029,1534,1060,911,795,396,180,132,25,0 to 105,23,3871,2659,1450,2319,838,5481,3980,605,21,237,11,9,71,10607,4644,5921,10298,308,1,78198,213,89160,78411,10607,71,4933,4520,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},113,1719,1832,0.0616812227074236,23,2.4286163266357628,0.1707040441862682
