OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1687,45,114,253,239,229,229,217,158,119,84,0,0 to 118,43,905,774,8,1687,0,0,119,832,2,904,25,814,869,1,3,1683,720,94,0,0,397,413,4,814,14,50,132,142,115,111,93,56,52,49,0,0 to 106,40,625,62,39,88,92,624,98,91,0,50,0,0,20,814,413,397,814,0,0,5093,0,5918,5093,814,20,1010,993,{CB6285A2-DA2E-4583-AAD5-1221776836AE},7,87,94,0.074468085106383,40,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,6769,203,631,888,921,864,932,1004,704,408,206,8,0 to 118,43,3902,2821,46,6754,15,0,1064,3151,133,3609,71,2919,3823,0,27,6727,1669,1243,3,4,1547,1352,13,2912,71,289,465,409,423,391,394,278,135,63,1,0 to 100,40,1844,722,280,66,528,2293,91,446,2,300,2,0,60,2919,1357,1549,2912,7,0,19543,8,22483,19551,2919,60,1849,1786,{CE511C5D-2638-44A3-B2F8-B13847543637},36,360,396,0.0909090909090909,40,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2973,67,188,322,544,524,450,417,280,132,45,4,0 to 118,41,1236,1717,20,2963,10,0,86,1657,3,1646,32,1685,1281,0,7,2956,1582,99,4,0,519,1160,2,1681,10,46,178,364,371,292,223,121,59,21,0,0 to 95,41,927,595,82,77,133,1435,113,153,0,70,0,0,21,1685,1161,522,1681,4,0,6373,6,8089,6379,1685,21,1761,1664,{541BD5A3-4453-499A-9896-F0EDC5353D0B},10,117,127,0.078740157480315,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,18742,401,1514,2638,2890,2685,2394,2553,1689,1142,784,52,0 to 119,41,10534,8089,119,18515,226,1,1019,8584,137,6531,461,9714,8931,1,96,18420,9006,609,86,13,5156,4396,63,9615,115,491,1535,1777,1491,1321,1377,846,469,280,12,0 to 103,40,4882,758,1628,2347,845,6452,2318,645,5,439,6,1,167,9714,4446,5205,9614,99,1,46181,126,56090,46307,9714,167,14402,13978,{EB5D2450-A892-40FD-9BA4-9821A7438525},108,638,746,0.144772117962466,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1738,39,149,209,237,254,235,224,196,132,63,0,0 to 99,44,871,853,14,1736,2,0,82,559,4,768,19,920,814,0,4,1732,821,97,2,0,410,507,1,918,12,45,101,152,134,133,118,106,76,43,0,0 to 99,46,613,116,98,91,30,743,145,83,1,41,1,0,22,920,508,411,918,2,0,4951,0,5881,4951,920,22,1349,1289,{3B55AA95-5170-4CAF-82A3-E99AD7459349},15,26,41,0.365853658536585,45,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,136889,2483,5588,16455,19975,18469,19863,20454,15869,10460,5664,1609,0 to 119,47,73323,63048,518,135340,1547,2,15458,89647,465,50067,1701,68381,67947,147,414,134787,66642,919,807,13,34795,32497,269,67561,1064,3040,11362,12547,10626,10348,8797,5063,3225,2255,54,0 to 106,40,30486,9613,11381,16081,18000,31999,17562,6413,84,4565,58,25,1724,68381,32932,35155,67559,820,2,454336,726,524076,455062,68381,1724,26861,26598,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},630,9158,9788,0.0643645279934614,40,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,24039,612,1254,2718,3287,3285,3656,3622,2886,1728,961,30,0 to 119,47,13617,10230,192,23867,172,0,2550,11917,188,10309,479,11248,12426,4,361,23503,11035,171,40,2,6136,5055,15,11206,208,507,1502,1818,1765,1788,1570,1118,610,360,2,0 to 104,43,5204,2377,1508,2117,2516,6097,2593,1150,6,904,5,1,372,11248,5075,6157,11206,42,0,73809,129,85242,73938,11248,372,12117,12102,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},105,1085,1190,0.0882352941176471,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,33096,665,2250,4348,4268,4502,5015,4804,3935,2347,943,19,0 to 119,46,18269,14651,176,32880,216,0,2616,17788,223,14549,747,15949,16875,4,268,32608,15291,509,146,2,8316,7390,94,15800,231,787,2436,2413,2370,2480,2134,1670,1018,404,5,0 to 105,43,11391,976,2035,1398,3348,10661,1791,1754,16,1301,10,2,290,15948,7455,8398,15800,148,0,118580,71,134677,118651,15948,290,18183,17638,{83116673-3FAD-423E-B67E-DFE7515F5E81},241,2665,2906,0.0829318651066758,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,6350,174,421,746,1004,1094,1050,887,615,243,113,3,0 to 119,42,3662,2677,11,6325,24,1,731,3229,46,2634,66,3400,2942,1,7,6318,3273,116,11,0,1685,1699,5,3389,87,228,466,557,627,591,446,244,113,40,1,0 to 98,40,1022,1459,639,269,655,2322,412,478,1,260,0,0,57,3400,1701,1694,3388,11,1,16992,16,20457,17008,3400,57,1928,1733,{77657EA6-12D6-4645-9915-E7357C9F40D6},11,217,228,0.0482456140350877,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,29997,652,1103,9275,4594,3658,3474,3376,2363,954,503,45,0 to 119,33,16243,13649,105,29333,663,1,3663,17666,201,11018,414,15762,14194,5,36,29295,15181,126,448,7,8441,6836,30,15307,247,567,6999,2431,1712,1424,1222,659,300,192,9,0 to 106,25,6393,4394,1967,2553,1430,9762,4115,851,31,340,17,15,150,15762,7025,8703,15306,455,1,108890,214,125044,109104,15762,150,7768,7363,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},126,2412,2538,0.049645390070922,24,2.4286163266357628,0.1707040441862682
