OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1037,28,33,125,137,137,146,157,115,96,63,0,0 to 118,49,593,436,8,1037,0,0,41,733,2,349,9,305,728,0,4,1033,277,28,0,0,156,148,1,305,9,12,48,45,35,39,45,19,27,26,0,0 to 100,45,236,18,22,29,46,221,38,22,0,12,0,0,3,305,148,156,305,0,0,3048,0,3359,3048,305,3,467,450,45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4388,96,203,507,659,569,660,696,484,329,173,12,0 to 118,47,2634,1696,58,4380,8,0,269,3737,133,938,22,1261,3125,0,2,4378,728,533,0,0,653,585,23,1261,26,110,233,206,185,170,148,89,62,31,1,0 to 100,37,592,343,156,170,244,810,207,233,0,139,0,0,15,1261,585,653,1261,0,0,10072,8,11347,10080,1261,15,263,194,37,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1294,40,49,145,211,183,181,204,163,86,28,4,0 to 118,45,721,550,23,1285,9,0,50,844,3,543,29,319,972,0,3,1282,276,40,3,0,163,153,0,316,1,13,49,74,58,50,38,16,15,5,0,4 to 91,39,163,110,27,16,34,255,27,55,0,18,0,0,3,319,153,166,316,3,0,2546,6,2874,2552,319,3,669,569,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,9471,225,263,1030,1538,1390,1253,1323,986,803,615,45,0 to 119,46,5546,3819,106,9313,157,1,431,7365,137,1262,118,2704,6720,0,47,9267,2537,141,21,5,1429,1209,40,2678,31,94,500,564,431,370,308,203,117,81,5,0 to 103,38,1298,240,408,732,372,1426,880,217,3,122,1,0,24,2704,1220,1444,2677,26,1,22687,132,25561,22819,2704,24,2422,1991,38,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,820,13,22,83,93,120,116,137,111,83,42,0,0 to 99,52,480,325,15,820,0,0,30,476,4,243,11,278,541,0,1,819,262,16,0,0,164,114,0,278,2,8,33,34,30,38,41,35,33,24,0,1 to 99,54,219,21,18,20,14,236,28,38,0,25,0,0,7,278,114,164,278,0,0,1889,0,2171,1889,278,7,460,398,54,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,93838,1510,2580,8773,12991,12304,13549,14969,12413,8479,4643,1627,0 to 119,51,50831,42651,356,92899,937,2,6528,75680,465,21070,586,32696,60742,168,232,92504,32113,285,292,6,16608,15664,126,32398,540,1214,4785,6212,5378,5016,4166,2430,1638,1287,30,0 to 106,41,12026,5061,5185,10126,9027,12052,11319,3488,42,2553,27,15,806,32696,15818,16748,32396,298,2,219459,643,253350,220102,32696,806,8797,8532,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,15041,266,425,1306,2013,2041,2349,2441,2069,1323,768,40,0 to 119,51,8682,6086,273,14891,150,0,1035,11352,188,3415,117,4903,9877,5,256,14630,4773,111,19,0,2641,2183,60,4884,93,203,656,843,800,792,643,435,251,181,6,0 to 104,43,1527,994,617,1746,963,1769,2152,421,2,309,2,1,118,4903,2193,2650,4884,19,0,33692,132,38777,33824,4903,118,3173,3158,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,19761,377,543,1965,2686,2808,3131,3220,2678,1610,707,36,0 to 119,49,11183,8497,81,19665,96,0,1229,15222,223,4653,212,6201,13487,2,71,19592,6041,129,30,1,3194,2945,31,6170,99,191,958,1108,991,973,803,568,324,178,8,0 to 105,42,3714,411,792,1253,1152,3316,1702,709,9,457,4,1,94,6201,2962,3208,6170,31,0,54741,66,61050,54807,6201,94,3982,3431,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,3957,86,185,392,664,676,664,574,445,175,93,3,0 to 119,44,2569,1370,18,3936,20,1,161,3150,46,822,26,1315,2632,1,9,3927,1255,53,7,0,750,549,9,1308,32,85,190,237,245,217,148,91,47,22,1,0 to 98,39,338,463,133,374,225,605,478,202,0,105,0,0,17,1315,549,757,1307,7,1,9526,13,10885,9539,1315,17,787,592,39,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,16643,258,483,2836,2842,2368,2379,2468,1872,726,367,44,0 to 119,42,8668,7831,144,16365,277,1,772,13971,201,2508,143,4102,12502,2,37,16327,3978,48,73,3,2118,1882,26,4026,53,166,1446,817,513,445,389,173,59,29,12,0 to 105,28,1184,1237,324,1281,284,1917,1825,282,14,109,11,7,14,4102,1922,2154,4025,76,1,48579,200,52990,48779,4102,14,1870,1454,28,2.4286163266357628,0.1707040441862682
