OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1399,37,68,179,210,188,197,191,141,108,80,0,0 to 118,45,751,643,5,1399,0,0,87,780,2,668,17,600,797,1,1,1397,551,49,0,0,277,322,1,600,11,28,88,118,81,82,73,39,37,43,0,0 to 106,41,450,40,31,79,83,431,86,77,0,39,0,0,18,600,322,277,600,0,0,4340,0,4949,4340,600,18,676,659,{CB6285A2-DA2E-4583-AAD5-1221776836AE},0,45,45,0,41,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5961,167,519,769,826,768,835,892,616,370,191,8,0 to 118,43,3475,2439,47,5951,10,0,891,3151,133,2662,33,2337,3602,0,22,5929,1358,977,1,1,1240,1086,9,2335,56,240,381,337,345,317,302,209,101,48,1,0 to 100,39,1413,625,236,61,464,1778,93,401,1,247,0,0,50,2337,1087,1241,2335,2,0,16666,8,19022,16674,2337,50,1435,1372,{CE511C5D-2638-44A3-B2F8-B13847543637},14,314,328,0.0426829268292683,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2632,57,128,282,509,487,401,359,252,110,43,4,0 to 118,41,1056,1556,20,2622,10,0,74,1599,3,1310,30,1436,1190,0,6,2616,1371,61,4,0,393,1039,0,1432,6,26,150,341,337,247,173,101,36,19,0,1 to 95,40,751,563,78,40,130,1220,82,118,0,57,0,0,16,1436,1040,396,1432,4,0,5642,6,7109,5648,1436,16,1436,1337,{541BD5A3-4453-499A-9896-F0EDC5353D0B},1,96,97,0.0103092783505155,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,13910,285,812,1880,2167,2018,1778,1943,1321,956,701,49,0 to 119,43,7979,5837,94,13727,182,1,744,7835,137,3526,254,6032,7810,1,67,13660,5764,215,48,5,3219,2713,47,5979,65,251,1033,1139,935,797,842,498,281,182,9,0 to 103,40,3076,485,1263,1155,669,4145,1165,521,5,321,5,1,130,6032,2738,3247,5978,53,1,37667,129,43889,37796,6032,130,7901,7475,{EB5D2450-A892-40FD-9BA4-9821A7438525},58,473,531,0.109227871939736,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1423,28,101,167,201,223,195,192,161,104,51,0,0 to 99,44,703,706,14,1422,1,0,56,554,4,598,19,700,722,0,1,1421,649,50,1,0,294,404,1,699,7,28,80,128,116,101,90,74,47,29,0,0 to 99,44,466,101,55,77,29,570,100,69,1,37,1,0,14,700,405,294,699,1,0,4487,0,5197,4487,700,14,1010,949,{3B55AA95-5170-4CAF-82A3-E99AD7459349},1,48,49,0.0204081632653061,44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,114655,1948,3692,12712,16152,15281,16649,17674,14125,9502,5319,1601,0 to 119,49,61967,52347,341,113561,1092,2,11221,82771,465,37987,1205,49988,64264,154,249,113163,48818,713,448,9,25685,23697,149,49531,790,1950,8234,9074,7889,7634,6382,3628,2434,1923,50,0 to 106,41,20300,7936,9011,12284,13465,22021,14045,5570,65,4020,45,24,1558,49988,23944,25891,49529,457,2,355836,636,407073,356472,49988,1558,15907,15643,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},235,7138,7373,0.0318730503187305,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,20343,441,856,2159,2762,2775,3136,3154,2543,1578,913,26,0 to 119,48,11614,8562,167,20180,163,0,2052,11540,188,7597,294,8798,11271,4,270,19906,8608,155,34,1,4812,3948,3,8763,155,386,1191,1447,1388,1383,1197,840,490,320,1,0 to 104,43,3714,2039,1200,1810,2018,4516,2229,940,4,757,3,1,330,8798,3967,4828,8763,35,0,60620,127,69599,60747,8798,330,8422,8407,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},49,887,936,0.0523504273504274,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25800,522,1302,3078,3497,3636,3997,3926,3138,1874,816,14,0 to 119,47,14400,11324,76,25656,144,0,2197,15617,223,10495,491,10465,15162,4,169,25483,10137,249,77,2,5427,4955,4,10386,159,428,1668,1756,1641,1641,1366,952,572,280,2,0 to 105,42,7520,736,1588,542,2480,7168,738,1324,11,1003,5,1,227,10465,4991,5470,10386,79,0,93013,70,103610,93083,10465,227,11187,10638,{83116673-3FAD-423E-B67E-DFE7515F5E81},65,1564,1629,0.0399017802332719,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5877,153,356,672,933,1023,988,843,576,223,107,3,0 to 119,42,3404,2465,8,5853,23,1,665,3178,46,2285,47,3038,2832,1,6,5847,2948,80,10,0,1482,1544,2,3028,74,197,413,492,573,534,408,216,95,35,1,0 to 98,40,898,1272,572,286,577,2024,427,448,1,240,0,0,54,3038,1546,1490,3027,10,1,14925,16,18025,14941,3038,54,1562,1367,{77657EA6-12D6-4645-9915-E7357C9F40D6},0,225,225,0,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,25319,536,849,7325,3812,3152,3035,3048,2179,872,466,45,0 to 119,35,13663,11539,117,24772,546,1,2659,16691,201,7625,271,11902,13380,6,31,24737,11472,86,339,5,6406,5126,26,11558,208,417,5467,1729,1253,1042,925,478,221,152,10,0 to 105,24,4590,2998,1567,2403,983,6516,4059,690,25,279,12,11,102,11902,5271,6603,11557,344,1,85598,212,97856,85810,11902,102,5698,5285,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},46,2936,2982,0.0154258886653253,24,2.4286163266357628,0.1707040441862682
