OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2616,83,233,408,353,353,369,335,226,163,93,0,0 to 118,41,1437,1160,19,2611,5,0,256,1070,2,1647,36,1588,1023,1,4,2606,1360,223,2,3,843,725,15,1583,35,120,251,251,226,229,197,122,98,59,0,0 to 106,40,1248,94,56,185,130,1251,202,128,0,80,0,0,43,1588,728,845,1583,5,0,6674,0,8279,6674,1588,43,1522,1505,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,0,35,35,0,40
2,2,54,107,PUTNAM,Putnam,FL,10554,362,1049,1428,1413,1345,1433,1505,1102,637,271,9,0 to 118,42,5959,4551,44,10524,30,0,1840,3850,133,7603,91,6374,4137,0,43,10481,3964,2388,14,8,3441,2887,24,6352,161,570,952,883,869,864,888,670,366,149,2,0 to 100,42,4252,1395,523,182,875,5183,294,788,2,564,2,1,141,6374,2900,3450,6352,22,0,26560,0,32946,26560,6374,141,3128,3074,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,15,114,129,0.116279069767442,42
3,3,62,123,TAYLOR,Taylor,FL,4360,148,417,522,710,696,625,580,403,189,64,6,0 to 118,40,1968,2377,15,4351,9,0,157,2008,3,2872,49,2710,1642,0,8,4343,2437,268,5,0,1080,1622,3,2705,35,123,320,499,527,437,373,236,119,40,1,0 to 98,41,1658,806,120,121,150,2352,203,191,0,97,0,0,45,2710,1624,1083,2705,5,0,8315,0,11052,8315,2710,45,2584,2490,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,1,15,16,0.0625,41
4,4,46,091,OKALOOSA,Okaloosa,FL,33238,897,3966,4843,5130,4862,4062,4275,2613,1582,939,69,0 to 119,38,18055,14943,240,32892,345,1,1936,11272,137,15120,1048,20298,12830,1,109,32785,18660,1413,209,16,10622,9309,142,20073,290,1298,3026,3732,3244,2723,2899,1690,905,460,31,0 to 103,40,14140,1884,2108,1941,1752,15679,2642,1087,14,712,17,5,361,20298,9428,10726,20072,225,1,69674,0,90048,69674,20298,361,29151,28738,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,14,186,200,0.07,40
5,5,7,013,CALHOUN,Calhoun,FL,2878,91,378,399,335,387,360,353,292,187,94,2,0 to 99,41,1504,1351,23,2875,3,0,193,592,4,1401,46,1686,1185,0,7,2868,1456,227,3,0,824,849,10,1683,32,117,214,233,236,233,227,194,125,74,1,0 to 99,45,1151,185,216,131,38,1415,230,132,2,57,2,0,43,1686,851,825,1683,3,0,6131,0,7828,6131,1686,43,2296,2239,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,0,9,9,0,45
6,6,50,099,PALM BEACH,Palm Beach,FL,223710,5289,15534,29846,34052,31065,32363,31200,21801,13703,7202,1655,0 to 119,43,118608,103722,1380,220464,3244,2,33276,112405,465,109599,3705,141558,81285,134,733,219605,137073,1941,2517,27,72044,65914,1056,139014,2670,9021,22220,25689,21813,21408,18567,10344,6049,3703,74,0 to 107,39,71060,19771,24419,23764,36515,71815,30684,9255,164,6697,123,52,2742,141558,67205,73229,139012,2544,2,717161,0,859515,717161,141558,2742,60405,60147,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,310,4655,4965,0.0624370594159114,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,42774,1367,3434,5721,5963,5787,6135,5974,4494,2617,1237,45,0 to 119,43,23715,18826,233,42446,328,0,5102,14886,188,24916,907,25708,16568,6,492,41950,25299,217,190,2,13942,11492,82,25516,471,1471,3581,4177,3920,3937,3594,2528,1381,636,12,0 to 104,42,12896,5235,3318,4067,5858,14563,5095,2495,23,1778,14,2,621,25708,11587,14037,25516,192,0,114403,0,140190,114403,25708,621,27090,27074,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,59,836,895,0.0659217877094972,43
8,8,51,101,PASCO,Pasco,FL,62304,1430,5597,8687,8168,8696,9359,8379,6514,3916,1512,46,0 to 119,43,34000,28110,194,61890,414,0,3472,29591,223,30903,1631,40086,21739,4,475,61412,38165,1578,337,5,21228,18392,123,39743,666,2614,5832,5915,5975,6267,5365,4008,2479,950,14,0 to 105,43,29278,2356,4633,3476,7684,26471,5588,3619,70,2590,49,9,735,40085,18536,21405,39743,342,0,195509,0,235713,195509,40085,735,28108,27572,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,97,1211,1308,0.0741590214067278,44
9,9,20,039,GADSDEN,Gadsden,FL,8956,309,823,1095,1317,1449,1415,1240,815,338,151,4,0 to 119,41,5147,3783,26,8925,30,1,1183,3770,46,4823,106,5621,3322,1,12,8913,5173,431,14,3,2938,2645,21,5604,158,475,756,838,959,933,786,433,203,78,2,0 to 98,40,1615,2767,945,277,918,4253,433,739,1,418,0,0,93,5621,2649,2951,5603,17,1,22587,0,28251,22587,5621,93,3101,2907,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,6,32,38,0.157894736842105,41
10,10,37,073,LEON,Leon,FL,47846,1678,2921,14154,7561,5949,5340,4957,3233,1354,645,54,0 to 119,31,26049,21564,233,46732,1113,1,7639,21403,201,24167,888,31247,16537,8,54,46672,30041,296,891,19,16724,13462,151,30337,775,1754,11214,5187,3824,3199,2747,1489,702,344,12,0 to 106,27,14669,9446,3597,2625,2890,23146,4301,1562,51,681,38,32,311,31247,13856,17231,30336,910,1,151625,0,183035,151625,31247,311,14208,13808,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,15,220,235,0.0638297872340425,28
11,11,33,065,JEFFERSON,Jefferson,FL,2568,121,268,257,300,329,353,432,300,163,43,2,0 to 101,45,1265,1297,6,2544,24,0,95,1079,41,1766,43,1473,1090,2,3,2540,1272,179,18,4,654,793,4,1451,30,106,144,204,197,233,275,163,93,28,0,0 to 99,47,708,625,87,31,53,1321,77,134,3,79,0,0,27,1473,805,663,1451,22,0,5951,0,7442,5951,1473,27,1423,1386,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,0,11,11,0,47
12,12,40,079,MADISON,Madison,FL,3907,212,581,546,461,468,515,449,378,201,87,9,0 to 101,38,2210,1686,11,3865,42,0,226,1292,53,2862,133,2048,1844,0,15,3850,1451,571,24,2,1151,868,3,2022,68,172,277,289,262,334,271,211,106,57,1,0 to 101,43,862,1001,93,66,101,1739,182,279,3,87,2,2,45,2048,876,1166,2022,26,0,7589,0,9646,7589,2048,45,3027,2931,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,1,38,39,0.0256410256410256,43
13,13,39,077,LIBERTY,Liberty,FL,3402,78,255,393,778,691,531,410,168,71,17,10,0 to 105,37,857,2532,13,3401,1,0,112,1928,1,766,16,1065,2334,0,3,3398,900,164,1,0,421,636,7,1064,25,81,172,171,163,175,162,66,42,8,0,0 to 89,39,794,174,53,43,42,872,150,60,0,23,0,0,16,1065,636,422,1064,1,0,4156,0,5222,4156,1065,16,1401,1377,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,0,3,3,0,39
14,14,24,047,HAMILTON,Hamilton,FL,3612,116,295,389,717,616,542,426,303,139,63,6,0 to 118,39,1267,2318,27,3588,24,0,95,2041,9,1841,49,1621,1989,0,2,3587,1280,321,11,9,688,898,15,1601,59,142,213,263,238,249,219,143,70,23,2,0 to 93,41,792,656,92,61,162,1246,193,210,3,81,0,0,25,1621,909,697,1601,20,0,6563,0,8189,6563,1621,25,1229,1227,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,1,15,16,0.0625,41
15,15,3,005,BAY,Bay,FL,24625,372,1472,3312,3855,3780,3876,3803,2398,1204,492,61,0 to 119,43,12938,11371,316,23804,821,0,2601,9889,28,16684,556,19901,4646,2,76,23730,18781,337,773,10,9995,8856,267,19118,234,987,2848,3316,3171,3146,3028,1880,943,343,5,0 to 101,42,12322,1794,1912,3090,1244,14282,3592,1476,59,836,28,19,382,19901,9268,10351,19118,783,0,70454,0,90427,70454,19901,382,5234,5226,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,21,192,213,0.0985915492957746,43
16,16,12,023,COLUMBIA,Columbia,FL,12253,360,936,1551,1690,1806,1740,1835,1325,674,323,13,0 to 119,43,5993,6185,75,12196,57,0,1363,3708,63,7748,103,8057,4186,1,9,12186,7395,618,40,4,3598,4377,38,8013,143,423,1044,1276,1299,1277,1183,816,427,164,5,0 to 102,43,5233,1981,346,453,437,6863,713,373,4,468,5,0,165,8057,4403,3615,8013,44,0,25115,0,33229,25115,8057,165,5125,5124,2068684690.43686,276060.430857214,6958d394-62b5-4f73-a62a-0fa2389d4fb3,5,100,105,0.0476190476190476,43
17,17,2,003,BAKER,Baker,FL,5507,164,447,830,911,884,829,702,444,214,80,2,0 to 103,39,2684,2801,22,5441,66,0,752,1737,16,2775,114,3466,1996,1,44,5396,2947,501,13,5,1535,1906,7,3448,35,136,449,642,646,576,488,304,136,54,0,0 to 103,42,2246,431,133,638,41,2382,1025,314,1,180,0,1,60,3466,1914,1545,3448,18,0,11876,0,15373,11876,3466,60,4500,4499,1520245937.66486,183737.354704368,393e3bc9-079e-4ad6-9162-d77ee72feb59,5,37,42,0.119047619047619,42
18,18,30,059,HOLMES,Holmes,FL,3571,67,347,498,486,465,562,480,381,200,85,0,0 to 119,43,1927,1618,26,3530,41,0,228,1184,5,1824,252,2234,1333,0,4,3526,1876,325,24,9,1162,1029,10,2201,24,140,305,353,314,373,309,229,127,60,0,0 to 101,44,1755,127,110,209,58,1797,346,134,0,90,0,0,49,2234,1042,1182,2201,33,0,6714,0,8960,6714,2234,49,2933,2927,1251550190.83949,175658.620344926,bd5e2bc2-c55e-45e6-8687-0c7528780cd1,1,11,12,0.0833333333333333,44
19,19,43,085,MARTIN,Martin,FL,22004,612,1844,2888,2476,2548,2935,3288,2715,1849,817,32,0 to 106,47,11410,10242,352,21690,314,0,2438,9552,82,9773,399,12090,9747,2,165,21526,11790,69,229,2,6113,5652,94,11859,185,659,1712,1747,1646,1786,1749,1255,884,464,3,0 to 106,45,6647,527,1685,3000,2459,5865,3535,1314,19,774,13,4,313,12090,5776,6218,11859,231,0,70801,0,82943,70801,12090,313,12952,12941,1686613017.08661,308980.48751506,14dc1d1d-ce53-4995-9cf2-039fe1559f59,25,350,375,0.0666666666666667,45
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,202660,6202,18535,33214,33842,29614,28753,24482,15524,8095,3743,656,0 to 119,37,109041,90905,2714,201144,1516,0,16457,130064,458,59929,1584,133159,67970,16,1515,199615,130549,1473,1125,13,69902,60361,1759,132022,3089,8875,23103,25814,21259,20006,15359,8444,4524,2212,475,0 to 110,37,62769,16247,24473,28533,38048,57792,36182,5688,54,3047,29,21,1680,133160,60877,70474,132022,1138,0,621966,0,755788,621966,133160,1680,74043,73698,2746844886.16013,358788.307034344,12be5e4e-9d96-4b8e-8617-77c84f3bc487,331,3658,3989,0.082978190022562,37
21,21,41,081,MANATEE,Manatee,FL,55538,1418,4009,7051,7281,7178,7666,8203,7053,4006,1528,145,0 to 119,46,29931,24944,663,54427,1111,0,9759,26167,177,28811,827,37641,17702,2,193,54234,36633,139,865,4,19294,16995,483,36772,934,2862,5571,5707,5391,5420,5117,3721,2026,862,30,0 to 103,41,23005,3025,6084,4658,8094,20444,8234,1502,54,1476,46,12,658,37641,17417,19706,36772,869,0,200708,0,238450,200708,37641,658,9792,9694,1945653927.12581,371198.171414394,0ad77407-ceaa-4c6b-9e84-485e7d0fa9cc,86,1149,1235,0.0696356275303644,42
22,22,10,019,CLAY,Clay,FL,29856,597,2496,4453,3741,4418,4697,4246,2923,1609,635,41,0 to 104,43,16183,13184,489,29786,70,0,3518,13305,130,9441,496,18255,11542,5,54,29727,17512,691,50,2,9751,8165,287,18203,232,1064,2714,2604,2968,3075,2664,1628,915,387,4,0 to 104,43,11966,2303,1333,2601,1651,12488,4064,2352,13,929,9,4,336,18255,8192,9775,18203,52,0,86214,0,104546,86214,18255,336,14614,14581,1667659896.51059,183856.484298748,d8b9952e-371d-460f-96ae-4666bdb4ad84,26,420,446,0.0582959641255605,43
23,23,25,049,HARDEE,Hardee,FL,5098,264,769,886,756,660,624,518,357,205,57,2,0 to 97,32,2606,2448,44,5081,17,0,160,1093,2,3925,80,3071,2019,1,7,5073,2193,863,12,3,1519,1513,24,3056,90,269,551,507,473,427,351,229,143,30,1,0 to 97,37,2151,197,431,277,1547,1151,358,365,5,220,5,1,42,3071,1522,1525,3056,15,0,10968,0,14047,10968,3071,42,4421,4321,1653184151.65315,165534.73009074,30dcfc30-6a6d-4712-9819-f2940d3f56ed,8,80,88,0.0909090909090909,37
24,24,42,083,MARION,Marion,FL,53280,869,4769,6407,6858,6976,7120,7481,6730,4318,1724,28,0 to 168,46,30578,22465,237,53080,200,0,6536,19217,177,27529,476,30438,22690,1,151,52934,28241,2039,145,13,17129,12962,189,30280,443,1690,3823,4606,4585,4401,4332,3402,2182,967,7,0 to 106,45,20965,4096,2141,3078,4533,21642,4105,3145,26,2083,16,5,948,30438,13035,17210,30280,158,0,129408,0,159996,129408,30438,948,19436,19279,4305055841.62241,350920.190673371,76cc1b01-df08-469d-a322-71f8d05597d9,41,535,576,0.0711805555555556,45
