OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
58,58,14,027,DESOTO,Desoto,FL,6775,232,731,914,957,915,962,949,647,352,110,6,0 to 102,40,3099,3595,81,6742,33,0,1162,2112,48,4094,106,4115,2632,1,27,6715,3691,399,22,3,1749,2318,23,4090,106,322,559,641,615,618,606,389,205,54,0,0 to 100,41,2472,391,313,914,1357,1635,1098,608,3,288,2,1,86,4115,2333,1759,4090,25,0,14719,0,18844,14719,4115,86,3819,3694,1654926851.96404,168390.780925558,0d73423d-03c5-4ba5-9bfd-c106f87eb222,8,76,84,0.0952380952380952,42
59,59,18,035,FLAGLER,Flagler,FL,12786,291,897,1545,1453,1618,1831,2071,1706,994,373,7,0 to 119,48,7080,5614,92,12661,125,0,1259,5128,37,7068,272,6788,5963,0,35,12626,5607,1087,74,20,3580,3065,49,6694,100,457,978,871,907,1034,1072,789,447,132,1,0 to 99,45,4341,763,781,809,849,4739,1106,553,9,367,5,1,102,6788,3103,3632,6694,94,0,40320,0,47130,40320,6788,102,8451,8418,1294754947.55994,220559.838719988,0e4d3c2d-fb56-4a06-8b04-3ad9bff072bc,11,111,122,0.0901639344262295,46
60,60,26,051,HENDRY,Hendry,FL,7584,332,938,1205,1221,1102,998,842,502,288,148,8,0 to 104,35,3787,3774,23,7563,21,0,847,2381,32,4015,114,4495,3054,1,34,7528,4207,270,16,2,2193,2268,16,4477,119,384,712,801,743,655,505,312,182,82,0,0 to 104,38,3171,490,376,440,2509,1573,395,579,2,337,2,0,77,4495,2279,2200,4477,18,0,14177,0,18690,14177,4495,77,7288,6869,3080878042.06929,290231.154940413,71664f0e-3199-410f-ad8c-5269ffa55669,13,88,101,0.128712871287129,38
61,61,31,061,INDIAN RIVER,Indian River,FL,20835,684,2188,2700,2333,2178,2497,2858,2608,1685,1094,10,0 to 119,46,11602,9149,84,20678,157,0,2092,8517,77,12449,424,11859,8896,0,80,20599,11622,133,102,2,6309,5377,69,11755,223,785,1650,1673,1470,1584,1705,1395,870,502,2,0 to 105,45,8087,1162,1060,1446,2250,7627,1878,1304,22,819,14,4,284,11859,5431,6359,11755,104,0,70452,0,82343,70452,11859,284,9530,9078,1319798862.49319,234087.653130679,193731ca-a50a-4707-8eb3-d6585d669c9c,25,504,529,0.0472589792060491,45
62,62,6,011,BROWARD,Broward,FL,370258,12950,37992,46868,59402,57036,56696,50313,28158,13669,6847,327,0 to 119,39,195432,173177,1649,366263,3995,0,40635,138088,2336,239111,9272,218974,150721,47,516,365707,196574,19810,2413,176,112084,103309,991,216384,5516,16578,31932,41375,37320,34561,28328,13884,6392,3025,62,0 to 109,38,109806,47824,36261,22493,83013,106192,27179,16793,215,9543,160,46,2706,218973,104723,113240,216384,2589,0,1098727,0,1318736,1098727,218973,2706,137580,137221,3142374056.01305,291881.846057183,4ac0d3a0-87b8-4126-9cf4-96dc2d84d1c4,795,9064,9859,0.0806369814382797,38
63,63,17,033,ESCAMBIA,Escambia,FL,50165,950,2220,6528,8061,6679,6793,7881,5983,3333,1641,96,0 to 119,45,27744,21859,562,44048,6117,0,4745,32431,183,20520,849,35002,15127,1,35,44019,30729,647,3623,3,16702,14175,499,31376,513,1746,5352,6136,4981,4726,5011,3553,2023,945,16,0 to 105,40,15164,6375,3674,6163,1055,21806,8515,2977,64,2111,59,74,669,35002,15773,18701,31376,3626,0,148073,0,183156,148073,35002,669,3682,3602,1767890300.40206,439974.169549806,3780c858-9510-4a33-a345-0acd39c89bb6,10,404,414,0.0241545893719807,41
64,64,47,093,OKEECHOBEE,Okeechobee,FL,6165,236,683,969,784,793,786,781,530,399,195,9,0 to 119,40,3272,2882,11,6106,59,0,1107,1501,2,3280,173,3793,2364,1,7,6098,3393,349,48,3,1916,1822,4,3742,99,315,589,549,556,539,491,319,246,90,0,0 to 100,40,2934,302,315,191,1326,2241,175,566,26,389,20,3,86,3793,1850,1939,3742,51,0,14955,0,18771,14955,3793,86,5201,5123,2307690905.70045,272539.677334045,dd469486-5ba8-475c-9ddc-a21cc360caec,14,60,74,0.189189189189189,41
65,65,19,037,FRANKLIN,Franklin,FL,2198,69,218,260,292,277,273,348,284,142,34,1,0 to 96,44,1040,1153,5,2162,36,0,127,595,0,1383,67,1296,891,0,11,2151,958,305,10,23,513,746,4,1263,29,74,138,220,195,186,208,148,76,22,0,0 to 96,44,920,272,38,33,85,1079,99,56,0,30,0,0,18,1296,760,532,1263,33,0,5959,0,7264,5959,1296,18,840,839,1445840682.56789,446544.245992026,9f12dff3-9143-493b-867b-127f2b6bff20,0,8,8,0,44
66,66,1,001,ALACHUA,Alachua,FL,39065,670,1604,10914,6663,4775,4336,4458,3129,1558,888,70,0 to 119,34,21832,16964,269,38548,517,0,7662,20316,61,19920,879,23645,15333,1,86,38461,22721,647,262,15,12792,10408,168,23368,364,1106,9078,3940,2514,2163,2063,1331,711,370,5,0 to 105,27,13325,5354,2346,2343,2973,17675,2720,2401,47,1139,50,20,259,23645,10553,12908,23368,277,0,156292,0,179989,156292,23645,259,4745,4721,2510756491.26947,272135.471452184,9eddb8fb-00dd-45f1-a09d-8e689049e28a,35,1114,1149,0.030461270670148,27
67,67,55,109,ST. JOHNS,St. Johns,FL,40937,967,5417,7745,4026,5422,5795,5145,3729,1815,852,24,0 to 119,39,21644,19091,202,40613,324,0,3467,16393,208,20638,888,21394,19449,9,85,40521,20423,676,288,7,11017,10003,79,21099,291,1551,3905,2712,3426,3511,2985,1823,821,369,0,0 to 106,41,15848,1166,1523,2562,1495,15211,4393,998,17,746,16,2,203,21394,10151,11156,21099,295,0,105589,0,127068,105589,21394,203,27291,27252,1658206648.51031,344848.248220385,8c0a9f2c-c490-4bbc-9e26-85b6f4aefeb1,33,384,417,0.079136690647482,41
69,68,999,999,Unknown,Unknown,FL,4717,50,164,693,767,680,670,620,432,340,280,21,0 to 120,44,2508,2123,86,527,4190,0,82,4326,0,152,241,3588,1124,0,5,525,365,4,3185,34,192,170,7,369,47,154,618,647,546,517,462,318,186,77,16,0 to 89,38,129,50,102,88,96,183,90,2,35,1,22,17,0,3588,1773,1737,369,3219,0,33885,0,37525,33885,3588,0,1673,1671,NA,NA,d1373507-e2bb-431d-a2f9-63f6067c627a,0,58,58,0,38
70,69,998,998,A State,State,FL,3194572,80545,239756,441068,492558,460233,470741,443596,308604,171830,78816,6825,0 to 225,42,1700968,1469763,23841,3142833,51731,8,339608,1689138,0,1337897,49436,2090865,1094168,376,9163,3133380,1976874,74773,38290,925,1072306,963434,15907,2051647,42483,132163,324518,364406,323473,317436,275671,171134,94364,43868,1346,0 to 110,40,1162663,270105,313542,305337,659828,995436,396383,139071,2145,86065,1460,654,33780,2090862,982779,1091332,2051639,39215,8,9940978,0,12040912,9940978,2090862,33780,975855,963292,NA,NA,e2d719ef-85bc-44e7-84ed-af74ad1ec87d,5459,73823,79282,4.30639203573885,40
